date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002459,8.5000,8.5000,8.3000,8.3300,8.3700,3681500,30950229.0000
2019-01-03,sz.002459,8.3400,8.4300,8.3100,8.3200,8.3300,3854853,32202960.4300
2019-01-04,sz.002459,8.1400,8.4300,8.0300,8.4100,8.3200,6298200,52237438.0000
2019-01-07,sz.002459,8.4300,8.6200,8.4300,8.5400,8.4100,5384720,45973997.6000
2019-01-08,sz.002459,8.5700,8.9700,8.5400,8.8500,8.5400,11350983,100611963.2100
2019-01-09,sz.002459,8.7100,8.8600,8.6800,8.7300,8.8500,6560874,57528715.5300
2019-01-10,sz.002459,8.7300,8.9600,8.6300,8.6700,8.7300,5635795,49471720.6100
2019-01-11,sz.002459,8.7100,8.7900,8.5500,8.7200,8.6700,5794753,50223766.3900
2019-01-14,sz.002459,8.7500,8.7600,8.5400,8.6000,8.7200,4788982,41379657.3300
2019-01-15,sz.002459,8.5800,8.7200,8.5300,8.6900,8.6000,4822400,41814380.0000
2019-01-16,sz.002459,8.7400,8.8800,8.6500,8.7100,8.6900,6896700,60435198.0000
2019-01-17,sz.002459,8.7200,8.7200,8.5000,8.5000,8.7100,5650800,48518017.9700
2019-01-18,sz.002459,8.5000,8.6000,8.4400,8.5200,8.5000,3541441,30243704.3000
2019-01-21,sz.002459,9.3700,9.3700,9.3700,9.3700,8.5200,1820300,17056211.0000
2019-01-22,sz.002459,10.3100,10.3100,10.3100,10.3100,9.3700,1408200,14518542.0000
2019-01-23,sz.002459,11.3400,11.3400,10.3800,10.9000,10.3100,44574040,487809278.0800
2019-01-24,sz.002459,10.5600,11.8400,10.4500,11.3800,10.9000,36311768,410306836.0900
2019-01-25,sz.002459,11.1000,12.5200,11.0300,12.5200,11.3800,32536598,391570413.2100
2019-01-28,sz.002459,13.0500,13.7700,11.9700,12.1200,12.5200,45450245,600442644.8300
2019-01-29,sz.002459,11.9000,13.2000,11.6000,12.9900,12.1200,33756739,416487021.9800
2019-01-30,sz.002459,12.4600,12.5700,11.6900,11.6900,12.9900,19579628,237576833.5400
2019-01-31,sz.002459,10.8500,11.3400,10.5200,10.5200,11.6900,21882120,237547127.5900
2019-02-01,sz.002459,10.8900,11.0600,10.5600,10.6300,10.5200,17169843,185927252.4000
2019-02-11,sz.002459,10.7900,11.1300,10.7500,11.0100,10.6300,14245745,155613281.5300
2019-02-12,sz.002459,11.0000,11.6800,10.8300,11.5000,11.0100,20067997,225359067.7500
2019-02-13,sz.002459,11.2800,11.3800,11.1100,11.1200,11.5000,20944494,234554846.4400
2019-02-14,sz.002459,11.0000,11.5500,10.8100,11.5000,11.1200,20011918,224520466.9000
2019-02-15,sz.002459,11.3700,12.4000,11.3700,11.9500,11.5000,26539023,314274585.3900
2019-02-18,sz.002459,11.9800,12.2800,11.6500,12.1500,11.9500,18632938,223676121.6500
2019-02-19,sz.002459,12.1000,12.3600,11.6900,11.8500,12.1500,13954984,167390530.3300
2019-02-20,sz.002459,11.8900,12.3000,11.7400,12.1200,11.8500,14338302,173084719.1500
2019-02-21,sz.002459,12.0600,12.1300,11.8200,11.8200,12.1200,13496202,161289933.7800
2019-02-22,sz.002459,11.7200,13.0000,11.7200,12.5400,11.8200,25021184,316045014.4200
2019-02-25,sz.002459,12.7100,13.4000,12.7000,13.1600,12.5400,19460131,254008212.1800
2019-02-26,sz.002459,13.0200,13.4000,12.7000,12.7700,13.1600,12668100,164980036.2800
2019-02-27,sz.002459,12.7000,12.9100,11.8900,12.2200,12.7700,18714562,230877478.5000
2019-02-28,sz.002459,12.0400,12.4400,12.0400,12.2200,12.2200,9973095,121590377.0600
2019-03-01,sz.002459,12.2900,12.3200,12.1000,12.2500,12.2200,6258551,76301234.3400
2019-03-04,sz.002459,12.2200,12.5800,12.2000,12.4400,12.2500,10522505,130542941.2100
2019-03-05,sz.002459,12.3600,12.7900,12.2500,12.7700,12.4400,11359678,142602990.8400
2019-03-06,sz.002459,13.5000,13.9300,12.9100,13.0000,12.7700,17066199,225214243.3400
2019-03-07,sz.002459,13.3500,13.5900,12.9800,13.1800,13.0000,14756338,194802876.0700
2019-03-08,sz.002459,12.8000,12.9800,12.1300,12.2500,13.1800,12070030,152506130.9900
2019-03-11,sz.002459,12.3900,13.3400,12.3100,13.1200,12.2500,12280115,158389189.4200
2019-03-12,sz.002459,13.1800,13.6700,12.9900,13.5300,13.1200,17049768,226686646.7900
2019-03-13,sz.002459,13.6700,13.6700,12.7100,12.8100,13.5300,14945960,194594906.1000
2019-03-14,sz.002459,12.6900,13.1700,12.5100,12.8900,12.8100,9851022,126521907.7600
2019-03-15,sz.002459,13.0100,13.0300,12.6300,12.7800,12.8900,7113600,91384815.0000
2019-03-18,sz.002459,12.7000,12.9200,12.5300,12.7600,12.7800,7034247,89271260.7500
2019-03-19,sz.002459,12.6600,12.8000,12.4600,12.5300,12.7600,6287402,79362492.9600
2019-03-20,sz.002459,12.5200,12.7600,12.0700,12.7600,12.5300,10811793,133827767.9700
2019-03-21,sz.002459,12.5800,12.7200,12.5100,12.5900,12.7600,6750244,85171134.0200
