date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002460,22.1200,22.3500,21.8500,21.9500,22.0800,11555700,254866993.7900
2019-01-03,sz.002460,21.7000,22.2900,21.7000,21.9800,21.9500,12331946,271453618.3900
2019-01-04,sz.002460,21.7400,22.6200,21.6500,22.6100,21.9800,19534673,435620024.1500
2019-01-07,sz.002460,22.8900,22.8900,22.5300,22.8400,22.6100,19647477,446184186.3700
2019-01-08,sz.002460,22.7500,23.0600,22.5400,22.8200,22.8400,17114444,390717743.8000
2019-01-09,sz.002460,22.7000,22.9800,22.2500,22.5400,22.8200,25242319,571719131.0800
2019-01-10,sz.002460,22.6200,22.8000,22.3400,22.3800,22.5400,14408362,324953308.5900
2019-01-11,sz.002460,22.4000,22.5800,22.2800,22.4400,22.3800,10326429,231222822.7200
2019-01-14,sz.002460,22.4400,22.7800,22.3100,22.3100,22.4400,11865561,267358971.5300
2019-01-15,sz.002460,22.3100,22.7400,22.0600,22.7000,22.3100,17255068,386088714.5100
2019-01-16,sz.002460,22.6900,22.7700,22.3800,22.4400,22.7000,12594954,283819329.2200
2019-01-17,sz.002460,22.4800,22.5300,22.0200,22.0500,22.4400,12463600,276814725.6600
2019-01-18,sz.002460,22.0600,22.4800,22.0600,22.4200,22.0500,14719419,328733603.4100
2019-01-21,sz.002460,22.5300,22.9900,22.5300,22.8200,22.4200,21691098,493879363.9700
2019-01-22,sz.002460,22.7100,22.9600,22.4500,22.4900,22.8200,15320658,347429824.0200
2019-01-23,sz.002460,22.3700,22.8300,22.3000,22.7600,22.4900,16239688,367948701.0600
2019-01-24,sz.002460,22.6800,22.7500,22.4500,22.6400,22.7600,13031427,294743913.4400
2019-01-25,sz.002460,22.6600,23.2200,22.5000,22.7900,22.6400,26236111,600425860.2200
2019-01-28,sz.002460,22.8200,23.0400,22.3300,22.3500,22.7900,17085393,387969929.9200
2019-01-29,sz.002460,22.2000,22.2300,20.5500,21.1900,22.3500,24962760,534299359.0500
2019-01-30,sz.002460,21.0300,21.4600,20.7300,20.7400,21.1900,15485731,326373093.3100
