date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002465,7.9700,8.3200,7.8500,8.2300,7.8000,59702366,484965012.8400
2019-01-03,sz.002465,8.2200,8.5200,8.0900,8.1700,8.2300,56811183,469719868.6900
2019-01-04,sz.002465,8.1100,8.3500,7.9600,8.2800,8.1700,43430825,356423928.7400
2019-01-07,sz.002465,8.3300,8.6300,8.2800,8.4600,8.2800,57855475,491281332.6600
2019-01-08,sz.002465,8.4100,8.6100,8.2500,8.3100,8.4600,36894601,309246385.7400
2019-01-09,sz.002465,8.3000,8.4500,8.2500,8.2600,8.3100,32195503,268650126.4500
2019-01-10,sz.002465,8.2200,8.3200,8.1600,8.2300,8.2600,21162893,174423982.6800
2019-01-11,sz.002465,8.2300,8.5000,8.2300,8.5000,8.2300,35680458,299750138.7100
2019-01-14,sz.002465,8.4500,8.4900,8.2600,8.3700,8.5000,20871377,174380319.1400
2019-01-15,sz.002465,8.3200,8.4600,8.2600,8.4200,8.3700,18276507,152882741.3700
2019-01-16,sz.002465,8.4600,8.4900,8.3000,8.3400,8.4200,13981908,117096229.3800
2019-01-17,sz.002465,8.4400,8.4900,8.1600,8.2500,8.3400,20793269,172810146.6700
2019-01-18,sz.002465,8.2900,8.3000,8.1000,8.2500,8.2500,16137769,132436265.3500
2019-01-21,sz.002465,8.2700,8.4500,8.2000,8.3000,8.2500,18094453,150669858.2200
2019-01-22,sz.002465,8.3600,8.3700,8.0300,8.0600,8.3000,20019383,163181216.3700
2019-01-23,sz.002465,8.0500,8.1700,8.0200,8.1100,8.0600,9567919,77555743.1900
2019-01-24,sz.002465,8.1300,8.2800,8.0000,8.1800,8.1100,17608055,143785055.0700
2019-01-25,sz.002465,8.2200,8.2200,8.0300,8.0600,8.1800,16522938,133563575.3100
2019-01-28,sz.002465,8.0900,8.1500,8.0400,8.0400,8.0600,11154033,90311176.4600
2019-01-29,sz.002465,8.0500,8.0800,7.8600,7.9700,8.0400,13387519,106643667.7200
2019-01-30,sz.002465,7.9600,8.0600,7.8900,8.0000,7.9700,11786377,94056549.8300
2019-01-31,sz.002465,7.9700,8.0000,7.5900,7.6400,8.0000,28390090,219247972.1100
2019-02-01,sz.002465,7.7500,8.0400,7.7300,8.0200,7.6400,19150538,151169721.9800
2019-02-11,sz.002465,8.2000,8.3200,8.1400,8.3000,8.0200,23478822,193898684.9800
2019-02-12,sz.002465,8.2800,8.4100,8.2500,8.3300,8.3000,18400430,153380288.8700
2019-02-13,sz.002465,8.3400,8.5500,8.3300,8.4700,8.3300,30518761,258557361.9400
2019-02-14,sz.002465,8.4800,8.5000,8.3000,8.4200,8.4700,22447225,188908983.8000
2019-02-15,sz.002465,8.4100,8.6100,8.3700,8.4400,8.4200,25948626,220796498.2200
2019-02-18,sz.002465,8.5600,8.8000,8.5400,8.7800,8.4400,34629291,300965307.7500
