date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002466,29.4000,29.6300,28.9300,29.0200,29.3200,14025145,409782813.5300
2019-01-03,sz.002466,28.7000,29.5500,28.7000,29.1800,29.0200,12981089,379313268.0900
2019-01-04,sz.002466,28.8000,30.1900,28.7000,30.1800,29.1800,21460879,638540907.5200
2019-01-07,sz.002466,30.3700,30.6700,29.9100,30.6200,30.1800,22312623,674162125.7500
2019-01-08,sz.002466,30.4000,30.8800,30.1100,30.2300,30.6200,20609793,626775217.0200
2019-01-09,sz.002466,30.2000,30.2600,28.7800,29.4400,30.2300,34855770,1027896937.4100
2019-01-10,sz.002466,29.3600,29.7500,29.0900,29.2000,29.4400,19124499,561859514.7100
2019-01-11,sz.002466,29.2600,29.4300,28.9000,29.2100,29.2000,16919661,492735920.1900
2019-01-14,sz.002466,29.1800,29.5700,29.1200,29.2000,29.2100,11094597,324987772.7200
2019-01-15,sz.002466,29.1600,29.8100,28.8200,29.7500,29.2000,21530325,630639522.9400
2019-01-16,sz.002466,29.6900,29.7000,29.1400,29.3200,29.7500,17286632,508302884.1400
2019-01-17,sz.002466,29.3300,29.4100,28.9200,28.9500,29.3200,12098706,351819625.3100
2019-01-18,sz.002466,28.9800,29.5200,28.9200,29.4600,28.9500,19791254,580212998.9900
2019-01-21,sz.002466,29.6100,30.1300,29.4000,29.8600,29.4600,22590002,673543025.0800
2019-01-22,sz.002466,29.7100,30.3000,29.4100,29.5600,29.8600,19863741,592362047.3500
2019-01-23,sz.002466,29.3100,30.0800,29.1400,29.9300,29.5600,20579870,611703915.7000
2019-01-24,sz.002466,29.7900,29.8500,29.2000,29.4800,29.9300,19543966,576631570.1300
2019-01-25,sz.002466,29.4400,29.9900,29.2000,29.4200,29.4800,22842673,676494261.8000
2019-01-28,sz.002466,29.5300,29.7400,28.9000,28.9100,29.4200,19547264,571862451.8800
2019-01-29,sz.002466,28.5000,28.8800,27.3300,27.7200,28.9100,24421661,682864713.7200
2019-01-30,sz.002466,27.6000,28.2200,27.5000,27.6800,27.7200,11210224,312908229.8800
2019-01-31,sz.002466,27.6600,28.0600,26.7500,26.9000,27.6800,19018969,519760275.9500
2019-02-01,sz.002466,27.0000,27.8800,27.0000,27.8700,26.9000,14709661,404180474.8200
2019-02-11,sz.002466,28.0000,29.9800,28.0000,29.9500,27.8700,29956577,870825033.0500
2019-02-12,sz.002466,29.9000,30.1700,29.4200,29.8600,29.9500,29346756,874405918.5600
2019-02-13,sz.002466,29.7900,31.9500,29.6600,31.6000,29.8600,57054446,1769134937.4800
2019-02-14,sz.002466,31.6500,31.8500,30.9500,31.7900,31.6000,35466341,1117694800.6600
2019-02-15,sz.002466,31.6600,32.6500,31.1500,31.2700,31.7900,31765008,1010284984.0900
2019-02-18,sz.002466,31.3200,32.3900,31.1800,32.3000,31.2700,35397086,1128477992.4000
2019-02-19,sz.002466,32.5000,32.5700,31.3300,31.7100,32.3000,33331499,1063652069.2800
2019-02-20,sz.002466,31.6000,34.3000,31.5300,32.6600,31.7100,46470791,1539832514.1800
2019-02-21,sz.002466,32.7600,33.8900,32.3900,33.0900,32.6600,40337266,1333403090.7700
2019-02-22,sz.002466,32.8900,33.9700,32.6700,33.9100,33.0900,34551524,1151293588.0600
2019-02-25,sz.002466,34.3900,37.2400,34.3900,37.1200,33.9100,57245121,2044697846.8200
2019-02-26,sz.002466,37.1300,39.8800,35.9000,37.8800,37.1200,66486750,2520375266.1500
2019-02-27,sz.002466,37.2100,38.4800,35.8800,36.6100,37.8800,49505792,1833861363.9300
2019-02-28,sz.002466,36.6100,37.6600,36.5600,37.1100,36.6100,29481713,1094502362.2100
2019-03-01,sz.002466,37.1700,37.4700,36.3000,37.2000,37.1100,23672016,873072856.9200
2019-03-04,sz.002466,37.3000,39.2100,36.8300,37.3800,37.2000,50154526,1897234632.3400
2019-03-05,sz.002466,37.0000,37.5600,36.5000,37.5500,37.3800,35872799,1327193166.5000
2019-03-06,sz.002466,37.5400,39.0800,37.5400,38.6000,37.5500,51516936,1977000216.2700
2019-03-07,sz.002466,38.3000,39.5600,37.7600,38.4000,38.6000,42522073,1639636662.6200
2019-03-08,sz.002466,37.4000,37.5000,35.2000,35.3600,38.4000,47932559,1748824793.7400
2019-03-11,sz.002466,35.0800,36.7000,35.0800,36.5900,35.3600,30933195,1115398582.6700
2019-03-12,sz.002466,36.9800,37.4600,36.1600,36.7400,36.5900,32923595,1214074637.3000
2019-03-13,sz.002466,36.6400,38.7700,36.2900,38.3100,36.7400,59983919,2268158419.8500
2019-03-14,sz.002466,37.9500,39.9700,37.6000,38.8400,38.3100,71710232,2805468254.2400
2019-03-15,sz.002466,39.4000,39.4200,37.8800,38.5700,38.8400,42035822,1617681923.0700
