date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002493,10.0700,10.0900,9.9300,9.9500,10.0900,2617513,26133436.5700
2019-01-03,sz.002493,9.9300,10.1000,9.9300,10.1000,9.9500,2554393,25637243.8400
2019-01-04,sz.002493,10.0900,10.2400,9.9500,10.2300,10.1000,9024493,91367843.2100
2019-01-07,sz.002493,10.3200,10.3500,10.0900,10.2400,10.2300,7070343,72496926.8400
2019-01-08,sz.002493,10.2400,10.3400,10.1500,10.2400,10.2400,3437429,35254628.7400
2019-01-09,sz.002493,10.1200,10.3800,10.1200,10.2700,10.2400,6169100,63772731.0000
2019-01-10,sz.002493,10.3400,10.4700,10.2400,10.3400,10.2700,4470667,46344355.1200
2019-01-11,sz.002493,10.3800,10.5600,10.3500,10.5300,10.3400,6838354,71853968.4200
2019-01-14,sz.002493,10.5500,10.6000,10.4500,10.5500,10.5300,3173018,33400621.0400
2019-01-15,sz.002493,10.5900,10.5900,10.4800,10.5400,10.5500,4503850,47470880.0000
2019-01-16,sz.002493,10.5600,10.5900,10.3700,10.5300,10.5400,3655079,38328429.5400
2019-01-17,sz.002493,10.4900,10.5500,10.4000,10.4000,10.5300,2642957,27615951.8200
2019-01-18,sz.002493,10.5100,10.5700,10.4100,10.5500,10.4000,2714678,28569094.4000
2019-01-21,sz.002493,10.6000,10.6900,10.4800,10.6800,10.5500,3326303,35405038.1200
2019-01-22,sz.002493,10.6800,10.7500,10.4900,10.5300,10.6800,2182325,23157133.1700
2019-01-23,sz.002493,10.4300,10.6100,10.3600,10.5000,10.5300,4263575,44905449.6500
2019-01-24,sz.002493,10.6500,10.6500,10.4300,10.4500,10.5000,7718324,80902612.3900
2019-01-25,sz.002493,10.5600,10.6600,10.4100,10.5700,10.4500,2618677,27720889.9900
2019-01-28,sz.002493,10.7000,10.9300,10.6100,10.7900,10.5700,5618228,60510102.8100
2019-01-29,sz.002493,10.7000,10.8400,10.6100,10.7500,10.7900,3986270,42787155.8600
2019-01-30,sz.002493,10.7500,10.8700,10.7000,10.7200,10.7500,2374127,25528582.6600
2019-01-31,sz.002493,10.4700,10.7600,10.4500,10.5200,10.7200,4119212,43546732.3600
2019-02-01,sz.002493,10.6400,10.6900,10.4000,10.6500,10.5200,5021375,52873384.5000
2019-02-11,sz.002493,10.6800,10.7300,10.6000,10.7000,10.6500,2763413,29483361.0600
2019-02-12,sz.002493,10.7500,10.8500,10.6400,10.8400,10.7000,4093221,44011406.8000
2019-02-13,sz.002493,10.7400,10.9100,10.7400,10.8800,10.8400,5782201,62606462.0900
2019-02-14,sz.002493,10.8800,11.3200,10.8600,11.1300,10.8800,8353534,92808099.6400
2019-02-15,sz.002493,11.1900,11.2100,10.9300,10.9600,11.1300,4834945,53475693.9600
2019-02-18,sz.002493,11.0100,11.2000,11.0100,11.1600,10.9600,5141846,57212022.1900
2019-02-19,sz.002493,11.1700,11.2800,11.1100,11.2000,11.1600,5482502,61364176.8600
2019-02-20,sz.002493,11.2500,11.2500,11.1500,11.1900,11.2000,3715160,41511921.3500
2019-02-21,sz.002493,11.1900,11.2200,10.9900,11.0200,11.1900,6207334,68976694.5000
2019-02-22,sz.002493,11.0700,11.1900,11.0200,11.1600,11.0200,4258891,47352950.2300
2019-02-25,sz.002493,11.2800,11.4800,11.1900,11.4200,11.1600,14450998,163817899.3900
2019-02-26,sz.002493,11.4600,11.5000,11.3200,11.3500,11.4200,9678206,110435028.2300
2019-02-27,sz.002493,11.4400,11.4700,11.2300,11.2700,11.3500,7376771,83651433.4700
2019-02-28,sz.002493,11.2500,11.3500,11.2100,11.2100,11.2700,4450632,50102065.9600
2019-03-01,sz.002493,11.3100,11.4600,11.1700,11.3700,11.2100,7149860,80705074.7400
2019-03-04,sz.002493,11.4500,11.5600,11.2600,11.3800,11.3700,8594212,98205781.7400
2019-03-05,sz.002493,11.4700,11.4700,11.1400,11.2900,11.3800,11611516,130846644.2800
2019-03-06,sz.002493,11.3000,11.3900,11.1800,11.3400,11.2900,9425664,106353281.9600
2019-03-07,sz.002493,11.3400,11.3600,11.0800,11.1700,11.3400,12965695,144995673.3300
2019-03-08,sz.002493,11.1800,11.1900,10.6800,10.7000,11.1700,11156810,122516709.2100
2019-03-11,sz.002493,10.7000,11.1900,10.6500,11.1700,10.7000,11516243,126369457.5400
2019-03-12,sz.002493,11.2300,11.4200,11.1200,11.2200,11.1700,8493038,95776521.7000
2019-03-13,sz.002493,11.2200,11.2200,11.0000,11.0800,11.2200,6567642,73033213.1700
2019-03-14,sz.002493,11.1100,11.1800,10.7700,11.0700,11.0800,20752026,228405228.0100
2019-03-15,sz.002493,11.0700,11.2700,11.0000,11.1300,11.0700,9488006,105992167.2600
2019-03-18,sz.002493,11.1500,12.2400,11.1500,12.0900,11.1300,33850095,405963018.4500
2019-03-19,sz.002493,12.1800,12.4200,12.0100,12.1000,12.0900,24172852,294969939.6500
2019-03-20,sz.002493,12.1000,12.1600,11.7600,11.9200,12.1000,9266509,110821376.1800
2019-03-21,sz.002493,12.0300,12.2200,11.8000,11.8800,11.9200,10428432,124516716.8500
2019-03-22,sz.002493,11.8100,12.0400,11.7000,11.9300,11.8800,8363223,99024536.3200
2019-03-25,sz.002493,11.7700,12.5400,11.6200,12.3500,11.9300,22070149,272400599.4600
2019-03-26,sz.002493,12.3600,12.5600,12.1600,12.3800,12.3500,14313182,177536552.2900
2019-03-27,sz.002493,12.4500,12.8000,12.3000,12.5300,12.3800,10088523,126157803.9400
2019-03-28,sz.002493,12.4000,12.5100,12.2200,12.3500,12.5300,6464129,80075727.4500
2019-03-29,sz.002493,12.3300,12.6500,12.2100,12.6100,12.3500,13033731,162041722.5800
2019-04-01,sz.002493,12.7500,13.5500,12.7400,13.5100,12.6100,26123033,345562037.9900
