date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002497,6.7000,6.7600,6.6300,6.6700,6.6400,10543106,70431729.0200
2019-01-03,sz.002497,6.6700,6.8800,6.6500,6.7300,6.6700,14781295,100021419.7000
2019-01-04,sz.002497,6.6000,6.9500,6.5500,6.9100,6.7300,18988592,129590276.6400
2019-01-07,sz.002497,6.9900,7.0900,6.8800,7.0400,6.9100,19747080,138152237.7800
2019-01-08,sz.002497,6.9900,7.2000,6.9600,7.0200,7.0400,18995955,134060145.7400
2019-01-09,sz.002497,7.0100,7.0800,6.9200,6.9400,7.0200,24739887,173395980.1700
2019-01-10,sz.002497,6.9500,7.0400,6.8600,6.8900,6.9400,14738893,102154657.4900
2019-01-11,sz.002497,6.8600,6.9500,6.8300,6.9200,6.8900,12494943,86153450.5600
2019-01-14,sz.002497,6.9200,7.0600,6.8900,6.9400,6.9200,13404700,93317048.0000
2019-01-15,sz.002497,6.9200,7.0200,6.8200,7.0100,6.9400,17079406,118289384.5400
2019-01-16,sz.002497,6.9900,7.0100,6.8700,6.9000,7.0100,12956854,89870990.0600
2019-01-17,sz.002497,6.8800,6.8800,6.7100,6.7400,6.9000,14711811,99654031.9200
2019-01-18,sz.002497,6.7700,6.8800,6.7400,6.8300,6.7400,13090172,89236184.7700
2019-01-21,sz.002497,6.9000,7.0500,6.8600,6.9800,6.8300,19735887,137425896.3800
2019-01-22,sz.002497,6.9600,7.0700,6.8800,6.9200,6.9800,16604007,115587649.6100
2019-01-23,sz.002497,6.8300,7.1700,6.8100,7.1400,6.9200,35419215,250337547.4500
2019-01-24,sz.002497,7.0500,7.1000,6.9700,7.0200,7.1400,21358286,150161261.0700
2019-01-25,sz.002497,7.0100,7.1700,6.9000,6.9500,7.0200,23701713,166372811.9200
2019-01-28,sz.002497,6.9900,7.0200,6.7600,6.7900,6.9500,17630700,121324604.0000
2019-01-29,sz.002497,6.7500,6.7500,6.4200,6.5700,6.7900,17796200,117235053.0000
2019-01-30,sz.002497,6.3500,6.5600,6.3100,6.4100,6.5700,11544800,74483072.0000
2019-01-31,sz.002497,6.4200,6.5000,6.1500,6.1800,6.4100,16014300,100945398.0000
2019-02-01,sz.002497,6.2100,6.3600,6.2100,6.3500,6.1800,10115000,63669424.0000
2019-02-11,sz.002497,6.3700,6.7200,6.3700,6.6900,6.3500,15238802,100034076.0600
2019-02-12,sz.002497,6.6500,6.7600,6.6000,6.7300,6.6900,15722643,105214102.7200
2019-02-13,sz.002497,6.7600,6.9800,6.7100,6.8900,6.7300,22059616,151506233.4300
2019-02-14,sz.002497,6.8800,7.0500,6.8200,6.8900,6.8900,19747600,136642703.3400
2019-02-15,sz.002497,6.9000,7.0200,6.8400,6.8800,6.8900,18396781,127018959.9500
2019-02-18,sz.002497,6.8800,7.1000,6.8800,7.1000,6.8800,27731213,194385051.7600
2019-02-19,sz.002497,7.1500,7.1600,6.9400,7.0200,7.1000,28719131,202143097.7200
2019-02-20,sz.002497,7.1400,7.7200,7.1200,7.7200,7.0200,30634303,229597124.0400
2019-02-21,sz.002497,7.8300,8.1800,7.6000,7.7000,7.7200,91873849,722992221.6800
2019-02-22,sz.002497,7.6300,7.7700,7.4900,7.7100,7.7000,46857028,356849669.9000
2019-02-25,sz.002497,7.7900,8.1200,7.6800,8.0800,7.7100,73810974,585285915.2500
2019-02-26,sz.002497,8.0900,8.7500,7.8700,8.1300,8.0800,81371228,666334997.2400
2019-02-27,sz.002497,8.1500,8.2600,7.8000,7.9500,8.1300,51458054,413910783.4300
2019-02-28,sz.002497,7.9600,8.0500,7.8200,7.8900,7.9500,25017092,198117725.6000
2019-03-01,sz.002497,7.9500,7.9600,7.7400,7.9100,7.8900,24941754,195533901.3100
2019-03-04,sz.002497,7.9200,8.1800,7.8800,7.9900,7.9100,45046600,361128556.5100
2019-03-05,sz.002497,7.9400,8.2000,7.8900,8.2000,7.9900,45220625,364895908.5000
2019-03-06,sz.002497,8.3700,8.6000,8.0700,8.3500,8.2000,60796802,504898495.5700
2019-03-07,sz.002497,8.2200,8.5000,8.1700,8.3900,8.3500,56782195,474186694.1400
2019-03-08,sz.002497,8.1900,8.4400,7.9600,7.9600,8.3900,49593644,406139560.6100
2019-03-11,sz.002497,7.9600,8.3400,7.9600,8.3200,7.9600,38154374,312514039.9000
2019-03-12,sz.002497,8.4800,8.5500,8.1800,8.3700,8.3200,48668461,407334909.6100
2019-03-13,sz.002497,8.2900,8.8500,8.2500,8.6100,8.3700,77889223,667658874.5600
2019-03-14,sz.002497,8.5300,8.9400,8.3600,8.4800,8.6100,66342989,573581559.1100
2019-03-15,sz.002497,8.4500,8.7900,8.3100,8.6600,8.4800,52278142,444732091.7900
