date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002518,7.2100,7.2900,7.1200,7.2400,7.2000,6644071,47961519.4000
2019-01-03,sz.002518,7.1600,7.3000,7.0800,7.1200,7.2400,7312586,52574167.8200
2019-01-04,sz.002518,7.0100,7.4000,6.9700,7.3900,7.1200,10146193,73517380.0700
2019-01-07,sz.002518,7.4200,7.7500,7.4100,7.7300,7.3900,15029780,114424723.1900
2019-01-08,sz.002518,7.7000,7.7200,7.5500,7.6400,7.7300,8720078,66580800.4800
2019-01-09,sz.002518,7.6600,8.0200,7.5700,7.6600,7.6400,14233118,111132845.5900
2019-01-10,sz.002518,7.6800,8.1600,7.6800,8.1000,7.6600,17960330,143420380.3800
2019-01-11,sz.002518,8.1600,8.1600,7.8800,8.1100,8.1000,11608844,92785823.9700
2019-01-14,sz.002518,8.1000,8.1000,7.8600,7.9200,8.1100,7827286,62091605.7600
2019-01-15,sz.002518,7.9100,8.0900,7.8800,8.0000,7.9200,8787754,70110920.6200
2019-01-16,sz.002518,8.0500,8.0500,7.7800,7.7800,8.0000,8022969,63221933.9200
2019-01-17,sz.002518,7.7700,7.8600,7.6600,7.7000,7.7800,7678429,59574959.5200
2019-01-18,sz.002518,7.6800,7.8700,7.4700,7.8400,7.7000,8868043,68098756.5800
2019-01-21,sz.002518,8.4500,8.6200,7.9100,8.0500,7.8400,20018199,165407557.3700
2019-01-22,sz.002518,8.0100,8.1600,7.7700,7.8600,8.0500,11917030,94604813.1000
2019-01-23,sz.002518,7.7900,8.0800,7.7500,8.0700,7.8600,9846076,78058786.8200
2019-01-24,sz.002518,8.0100,8.2800,7.9000,8.1800,8.0700,12633610,102649542.1800
2019-01-25,sz.002518,8.1200,8.1600,7.9300,7.9400,8.1800,9964543,80317220.6100
2019-01-28,sz.002518,7.9700,8.2500,7.9400,8.0500,7.9400,9354060,75600441.6800
2019-01-29,sz.002518,7.9900,8.0800,7.4500,7.8100,8.0500,9373687,72597781.8600
2019-01-30,sz.002518,7.7500,7.8600,7.5800,7.5900,7.8100,6524624,50200330.8600
2019-01-31,sz.002518,7.6000,7.8100,7.5400,7.6700,7.5900,5134181,39301558.2300
2019-02-01,sz.002518,7.7000,8.0200,7.6400,8.0200,7.6700,7200501,56997492.4200
2019-02-11,sz.002518,7.9900,8.4600,7.9900,8.3400,8.0200,12168402,100449319.7200
2019-02-12,sz.002518,8.3500,8.5500,8.2600,8.4600,8.3400,15107385,126969665.5000
2019-02-13,sz.002518,8.3900,8.6400,8.3400,8.5300,8.4600,17152232,145878129.9600
2019-02-14,sz.002518,8.4200,8.7500,8.4200,8.4600,8.5300,14259832,122206403.6100
2019-02-15,sz.002518,8.5800,8.7300,8.3800,8.4400,8.4600,13274095,113381905.6900
2019-02-18,sz.002518,8.5800,8.8600,8.4900,8.7700,8.4400,18271762,158595265.4200
2019-02-19,sz.002518,8.8800,8.9300,8.5800,8.6700,8.7700,16574282,144513343.6000
2019-02-20,sz.002518,8.6600,8.7800,8.4900,8.6300,8.6700,10415342,89869536.2500
2019-02-21,sz.002518,8.5200,9.1800,8.5200,8.8100,8.6300,24540615,216872617.6600
2019-02-22,sz.002518,8.8600,9.1300,8.7400,9.1300,8.8100,19098868,170847359.1500
2019-02-25,sz.002518,9.3500,10.0400,9.0100,9.9200,9.1300,31522755,300227663.2900
2019-02-26,sz.002518,10.1700,10.7900,9.9400,10.5200,9.9200,26106224,270533835.5200
2019-02-27,sz.002518,10.4400,10.7600,9.9900,10.3800,10.5200,22365760,233090716.1500
2019-02-28,sz.002518,10.3000,10.5000,10.1700,10.4200,10.3800,10271525,106226164.5500
2019-03-01,sz.002518,10.3100,10.4400,10.0000,10.2200,10.4200,11654394,118642594.0900
2019-03-04,sz.002518,10.4200,11.2400,10.2200,11.2400,10.2200,32547846,355087885.5100
2019-03-05,sz.002518,11.1100,12.3600,11.0000,12.1400,11.2400,30577192,355301514.4700
2019-03-06,sz.002518,12.3600,13.1700,11.7000,12.6800,12.1400,30572163,379493793.3200
2019-03-07,sz.002518,12.2800,12.9000,12.0200,12.1300,12.6800,22634959,279685234.7700
2019-03-08,sz.002518,11.6000,11.9600,10.9500,11.1800,12.1300,21507802,248846656.8300
2019-03-11,sz.002518,11.2600,12.2100,11.2600,12.0300,11.1800,19119619,225696221.7000
2019-03-12,sz.002518,12.3700,12.4800,11.6000,12.1600,12.0300,20173253,243168457.2100
2019-03-13,sz.002518,11.9800,12.6900,11.9000,12.2800,12.1600,21382721,262389034.6900
2019-03-14,sz.002518,12.0200,12.6000,11.0500,11.3200,12.2800,18425721,215039482.6300
2019-03-15,sz.002518,11.3900,11.9900,11.3900,11.9100,11.3200,13299994,156475456.0600
2019-03-18,sz.002518,11.9300,12.0500,11.4800,11.8200,11.9100,12829581,149719274.4900
2019-03-19,sz.002518,11.8000,11.9000,11.5600,11.6400,11.8200,9950550,116240334.6500
2019-03-20,sz.002518,11.4900,12.1700,11.4900,12.1400,11.6400,16133498,192600196.2800
2019-03-21,sz.002518,12.1900,13.2000,11.8700,12.7500,12.1400,23001046,290247001.8200
2019-03-22,sz.002518,12.8200,13.1500,12.3700,12.7800,12.7500,13152776,166981762.6700
2019-03-25,sz.002518,12.5800,13.4000,12.4500,13.1300,12.7800,14942452,195308628.3700
2019-03-26,sz.002518,13.0000,13.1500,11.8200,11.9300,13.1300,14574031,182531641.3200
2019-03-27,sz.002518,12.4000,12.6100,11.8800,12.3700,11.9300,14324535,175681351.8800
2019-03-28,sz.002518,12.3700,12.3800,11.6800,12.0200,12.3700,13244517,158743532.5400
2019-03-29,sz.002518,12.0100,12.6800,11.6100,12.5800,12.0200,15185785,186566572.8600
2019-04-01,sz.002518,12.7000,13.3900,12.5300,13.2400,12.5800,19746707,257927901.8800
2019-04-02,sz.002518,13.2600,14.3700,13.1100,14.0100,13.2400,20650853,284024531.2600
2019-04-03,sz.002518,13.3000,14.1900,12.9700,13.3200,14.0100,29916400,400695640.0100
2019-04-04,sz.002518,13.3000,13.4000,12.8400,13.1700,13.3200,16656953,217741371.9000
2019-04-08,sz.002518,13.1500,13.2500,12.2500,12.6100,13.1700,18388200,232758405.4800
2019-04-09,sz.002518,12.6300,12.7800,12.4100,12.7200,12.6100,7000625,88444171.5900
2019-04-10,sz.002518,12.7000,12.7000,12.3000,12.4900,12.7200,6812953,84741953.2800
2019-04-11,sz.002518,12.6400,12.7000,12.0000,12.0500,12.4900,7220988,88418521.7900
2019-04-12,sz.002518,12.0400,12.1900,11.9900,12.1300,12.0500,3431061,41484307.5800
2019-04-15,sz.002518,12.2000,12.5800,12.0500,12.0600,12.1300,7116626,88008061.4800
2019-04-16,sz.002518,12.0800,12.3000,11.5000,12.2200,12.0600,8522869,101813052.8200
2019-04-17,sz.002518,12.2200,12.5800,12.1900,12.2000,12.2200,9205828,113546829.5600
2019-04-18,sz.002518,12.2000,12.2000,11.7500,11.7800,12.2000,9624874,114571521.1800
2019-04-19,sz.002518,11.8500,11.9500,11.6500,11.8700,11.7800,5768758,68134642.9500
2019-04-22,sz.002518,11.9700,11.9800,11.5100,11.5400,11.8700,6938238,80953447.8400
2019-04-23,sz.002518,11.6200,11.6200,11.1800,11.3800,11.5400,7800512,88782934.6600
2019-04-24,sz.002518,11.4800,11.4800,11.0500,11.4500,11.3800,5982637,67559799.9700
2019-04-25,sz.002518,11.4700,11.5000,11.0100,11.0600,11.4500,5529531,62294348.7300
2019-04-26,sz.002518,10.9000,10.9300,10.7200,10.7300,10.8600,5182383,56079775.9200
2019-04-29,sz.002518,10.7800,10.8300,9.9900,10.0000,10.7300,7493966,76755742.7700
2019-04-30,sz.002518,10.2500,10.3900,10.0200,10.1500,10.0000,7156180,72973579.8500
2019-05-06,sz.002518,9.5800,9.8700,9.1400,9.1400,10.1500,8185590,77619191.1300
2019-05-07,sz.002518,9.1300,9.4500,9.1300,9.4100,9.1400,7042540,65539311.3800
2019-05-08,sz.002518,9.2300,9.8500,9.2000,9.5300,9.4100,6728136,64352613.9100
2019-05-09,sz.002518,9.5500,9.7800,9.2400,9.2400,9.5300,6376327,60296456.5700
2019-05-10,sz.002518,9.4200,9.7600,9.3000,9.7500,9.2400,9344513,89854171.7500
2019-05-13,sz.002518,9.7700,9.8300,9.5500,9.6900,9.7500,4925191,47758805.3300
2019-05-14,sz.002518,9.6500,9.7300,9.4000,9.4900,9.6900,4917912,47023233.2800
2019-05-15,sz.002518,9.6700,9.7900,9.6000,9.7700,9.4900,5268477,51145669.4600
2019-05-16,sz.002518,9.7900,9.8200,9.6200,9.6800,9.7700,4436163,42991120.1800
2019-05-17,sz.002518,9.7000,9.7500,9.0400,9.1000,9.6800,6450199,60186522.5500
2019-05-20,sz.002518,9.0900,9.2300,8.7100,9.1800,9.1000,6072227,54634543.2900
2019-05-21,sz.002518,9.1800,9.5400,9.0300,9.3900,9.1800,5211233,48880779.8500
2019-05-22,sz.002518,9.5200,9.6000,9.3400,9.4000,9.3900,3800208,36011911.6700
2019-05-23,sz.002518,9.3600,9.4800,9.0400,9.1200,9.4000,3953805,36434760.3900
2019-05-24,sz.002518,9.1200,9.2900,8.9100,8.9500,9.1200,3481793,31430566.2900
2019-05-27,sz.002518,8.9900,9.4400,8.9500,9.3800,8.9500,5074870,46944589.7000
2019-05-28,sz.002518,9.4900,9.5500,9.3500,9.4000,9.3800,3649936,34614222.9200
2019-05-29,sz.002518,9.4000,9.6000,9.3200,9.3900,9.4000,3996190,37780735.3000
2019-05-30,sz.002518,9.3800,9.3800,8.9800,9.1400,9.3900,5487135,50124437.4800
2019-05-31,sz.002518,9.2000,9.4800,9.0800,9.3500,9.1400,5084391,47747156.8600
2019-06-03,sz.002518,9.3700,9.3700,9.0500,9.0900,9.3500,4586263,41951827.4600
2019-06-04,sz.002518,9.1300,9.1300,8.9000,9.0100,9.0900,3597066,32338755.0500
2019-06-05,sz.002518,9.1400,9.1400,8.9400,8.9700,9.0100,2999171,27110954.1400
