date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000538,74.6000,74.6800,71.7100,71.9300,73.9600,3917533,283258334.9800
2019-01-03,sz.000538,72.5200,72.5200,69.3800,69.9900,71.9300,5373642,377536914.4400
2019-01-04,sz.000538,69.0200,71.6000,69.0000,70.9500,69.9900,2820136,199110895.7100
2019-01-07,sz.000538,71.7800,72.7600,70.4000,72.4000,70.9500,4281916,308707896.8800
2019-01-08,sz.000538,72.2400,74.7400,71.8000,74.1900,72.4000,4793438,352379676.1500
2019-01-09,sz.000538,74.2600,76.1300,73.8800,74.3100,74.1900,5487659,413092232.3500
2019-01-10,sz.000538,73.8900,75.1000,73.3300,73.6400,74.3100,2516172,185929246.3500
2019-01-11,sz.000538,73.6900,74.1900,72.3400,73.7200,73.6400,2955088,216115392.3700
2019-01-14,sz.000538,73.9000,74.0000,72.0100,72.0800,73.7200,2874816,209015803.8500
2019-01-15,sz.000538,72.0800,75.3000,72.0800,75.1300,72.0800,3823245,283569707.7300
2019-01-16,sz.000538,75.6400,77.0900,75.1000,77.0000,75.1300,5081175,388335986.6700
2019-01-17,sz.000538,77.0000,77.5800,75.6500,75.8500,77.0000,3677512,281519871.1600
2019-01-18,sz.000538,76.0000,78.8000,75.9200,78.4800,75.8500,5455771,424090405.6400
2019-01-21,sz.000538,78.4700,79.4500,77.8000,78.5200,78.4800,5000226,393424625.4900
2019-01-22,sz.000538,78.4000,78.4000,76.7000,77.3400,78.5200,3346808,258742985.5000
2019-01-23,sz.000538,76.8000,79.2000,76.8000,78.7900,77.3400,3589098,281421892.5100
2019-01-24,sz.000538,78.5500,79.8400,77.3500,79.6200,78.7900,3267038,258547861.9400
2019-01-25,sz.000538,79.6300,80.1800,78.0000,78.2300,79.6200,2829965,223708776.7400
2019-01-28,sz.000538,78.2800,79.4200,76.7500,78.0000,78.2300,4886025,380856901.9700
2019-01-29,sz.000538,77.9000,79.1300,77.3600,78.9800,78.0000,3260742,256154601.2500
2019-01-30,sz.000538,78.6700,79.1800,77.3700,77.7000,78.9800,2381606,185546115.0600
2019-01-31,sz.000538,77.5600,78.4800,77.1000,77.7300,77.7000,2945111,229450272.5400
2019-02-01,sz.000538,78.3200,81.4900,77.7400,80.9600,77.7300,3881143,311387297.0700
2019-02-11,sz.000538,80.4900,83.8000,80.2600,83.3000,80.9600,4283156,354456591.3100
2019-02-12,sz.000538,83.4400,85.9800,82.9600,85.1500,83.3000,5685234,481449961.3400
2019-02-13,sz.000538,85.0800,86.1500,84.3800,85.5500,85.1500,4059426,345800406.9400
2019-02-14,sz.000538,85.5600,85.5600,83.8800,84.7000,85.5500,4466320,377192751.2200
2019-02-15,sz.000538,84.4000,84.4000,82.3100,82.8000,84.7000,4038159,336046495.9500
2019-02-18,sz.000538,82.9500,85.3900,82.9500,85.2400,82.8000,4284498,362474691.3300
2019-02-19,sz.000538,85.2800,85.2900,83.1800,83.6400,85.2400,3827733,322353324.0500
2019-02-20,sz.000538,83.6300,84.2500,83.0600,83.7800,83.6400,3241182,270940881.4600
2019-02-21,sz.000538,83.7900,83.9300,82.7400,82.8700,83.7800,3052575,254290370.2700
2019-02-22,sz.000538,82.8600,83.1800,81.4100,83.1200,82.8700,3901069,320858081.8600
