date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002544,10.7800,11.2900,10.6200,11.1500,10.8200,9975918,109423774.9100
2019-01-03,sz.002544,11.0100,11.5800,10.9900,11.3900,11.1500,15447564,175114327.6000
2019-01-04,sz.002544,11.1700,11.8700,11.0400,11.7900,11.3900,14137774,163488828.2400
2019-01-07,sz.002544,11.9000,12.7700,11.6100,12.3500,11.7900,16513942,199493957.9600
2019-01-08,sz.002544,12.1600,12.3600,11.9100,11.9800,12.3500,10833821,131102318.4600
2019-01-09,sz.002544,12.3200,12.5000,11.9000,11.9100,11.9800,9575675,116199530.4400
2019-01-10,sz.002544,11.8500,12.0700,11.7300,12.0400,11.9100,7307888,87093230.9400
2019-01-11,sz.002544,12.1000,12.3500,12.0300,12.0900,12.0400,7548962,91724530.7300
2019-01-14,sz.002544,12.0000,12.0500,11.7200,11.9300,12.0900,4866914,57713436.6400
2019-01-15,sz.002544,11.8900,12.1100,11.7100,12.0000,11.9300,5659138,67676151.0600
2019-01-16,sz.002544,12.0000,12.0500,11.6700,11.8600,12.0000,4756566,56394448.9500
2019-01-17,sz.002544,11.8000,11.9100,11.5900,11.6500,11.8600,5170424,60720444.3100
2019-01-18,sz.002544,11.6800,11.7200,11.3900,11.6500,11.6500,4567222,52727811.8200
2019-01-21,sz.002544,11.6600,11.9600,11.5700,11.7400,11.6500,4901661,57704152.2500
2019-01-22,sz.002544,11.7000,11.8100,11.4100,11.4900,11.7400,3867400,44858631.8900
2019-01-23,sz.002544,11.4500,11.6000,11.3300,11.5200,11.4900,2487600,28603569.0000
2019-01-24,sz.002544,11.5200,11.7400,11.4000,11.6200,11.5200,4017385,46640253.1800
2019-01-25,sz.002544,11.5900,11.9800,11.4800,11.6500,11.6200,5316179,62356534.5300
2019-01-28,sz.002544,11.6800,11.7600,11.4200,11.4700,11.6500,3903891,45177378.9300
2019-01-29,sz.002544,11.4300,11.4300,10.7700,10.9600,11.4700,4661995,51318489.9400
2019-01-30,sz.002544,10.9600,11.1700,10.7600,10.8700,10.9600,2111453,23167885.5100
2019-01-31,sz.002544,10.6100,10.6100,9.8100,10.0500,10.8700,8524787,86621921.6100
2019-02-01,sz.002544,10.0500,10.5000,10.0500,10.4700,10.0500,4183486,43235830.9000
2019-02-11,sz.002544,10.5700,10.8800,10.5100,10.8500,10.4700,3757793,40349550.2800
2019-02-12,sz.002544,10.8500,11.0500,10.7900,11.0200,10.8500,4131011,45320678.1300
2019-02-13,sz.002544,11.1500,11.2900,10.9100,11.2300,11.0200,4615748,51629201.2900
2019-02-14,sz.002544,11.2000,11.3600,11.0700,11.2100,11.2300,3921001,44028035.1400
2019-02-15,sz.002544,11.2800,11.3800,11.1300,11.1600,11.2100,4189477,47110874.0200
2019-02-18,sz.002544,11.3000,11.7600,11.1800,11.7400,11.1600,8023240,93105932.1500
2019-02-19,sz.002544,11.9000,12.3600,11.7300,11.9200,11.7400,9967298,119937329.2800
2019-02-20,sz.002544,11.9300,12.2200,11.6800,12.1500,11.9200,7939593,95424459.1400
2019-02-21,sz.002544,12.1600,12.5500,12.0000,12.0900,12.1500,11646406,143412480.6700
2019-02-22,sz.002544,12.0700,12.5800,12.0000,12.5600,12.0900,12617293,156048869.7900
2019-02-25,sz.002544,12.8900,13.4900,12.6600,13.3300,12.5600,16127462,211384091.5600
2019-02-26,sz.002544,13.3300,13.5100,12.9600,13.0000,13.3300,13654754,180282680.3400
2019-02-27,sz.002544,12.9900,13.4500,12.9000,13.1400,13.0000,10614682,140273088.6900
2019-02-28,sz.002544,12.9900,13.3000,12.9000,13.0000,13.1400,9166236,119843809.4200
2019-03-01,sz.002544,13.2300,13.8600,13.0200,13.1900,13.0000,16471260,220705483.8800
2019-03-04,sz.002544,13.3000,13.5600,13.0800,13.2500,13.1900,13180104,176349892.0600
2019-03-05,sz.002544,13.2500,13.8300,13.1600,13.8100,13.2500,12242319,165932251.8000
2019-03-06,sz.002544,13.9500,14.2400,13.5300,13.8800,13.8100,12972647,178919255.0400
2019-03-07,sz.002544,13.7500,14.3400,13.5600,14.1300,13.8800,13504183,189200531.0000
2019-03-08,sz.002544,13.8000,14.6500,13.6200,13.8000,14.1300,16122995,228290203.9500
