date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002709,21.6600,21.8500,21.2900,21.3200,21.6600,2381000,51171502.6600
2019-01-03,sz.002709,21.3200,21.6300,20.9000,21.4000,21.3200,3255200,69525771.0600
2019-01-04,sz.002709,20.9700,21.8500,20.8000,21.7000,21.4000,4460537,95641987.0200
2019-01-07,sz.002709,21.8900,22.3800,21.6200,22.3800,21.7000,4983345,109757424.3200
2019-01-08,sz.002709,22.4000,23.4400,22.1900,23.2300,22.3800,6776208,156115077.9500
2019-01-09,sz.002709,23.3900,23.3900,22.2900,22.5300,23.2300,6671285,151051642.9800
2019-01-10,sz.002709,22.3300,22.7800,22.3200,22.5300,22.5300,2553509,57614938.9100
2019-01-11,sz.002709,22.3600,22.6500,21.8800,22.3100,22.5300,2931891,65111895.3400
2019-01-14,sz.002709,22.2800,23.1500,22.0000,22.7500,22.3100,4557436,103183579.7000
2019-01-15,sz.002709,22.6900,23.0900,22.5600,22.9000,22.7500,2510399,57343611.3100
2019-01-16,sz.002709,22.9600,23.0200,22.6000,22.6700,22.9000,1642100,37368829.0000
2019-01-17,sz.002709,22.6700,22.6700,21.8700,21.9000,22.6700,2387300,52927380.6200
2019-01-18,sz.002709,21.8000,22.2500,21.8000,22.1200,21.9000,2280684,50245755.3800
2019-01-21,sz.002709,22.1200,22.6900,22.0900,22.4700,22.1200,2901787,65112535.5400
2019-01-22,sz.002709,22.4500,22.7300,22.0300,22.1400,22.4700,2393746,53617190.5800
2019-01-23,sz.002709,22.1400,24.3500,22.1400,24.3500,22.1400,7471128,178649193.2500
2019-01-24,sz.002709,25.2000,25.6600,24.4800,25.1400,24.3500,16829912,421485570.0700
2019-01-25,sz.002709,24.9100,26.8000,24.5100,25.7000,25.1400,13887881,356682990.4600
2019-01-28,sz.002709,25.6100,26.7800,25.3500,25.8100,25.7000,8937936,233078941.5400
2019-01-29,sz.002709,25.8100,26.2500,24.8600,25.2700,25.8100,7282843,186055099.1500
2019-01-30,sz.002709,25.4800,26.5000,25.2700,25.7900,25.2700,7998200,207751043.1500
2019-01-31,sz.002709,25.3000,26.2500,25.0700,25.4000,25.7900,7187059,182982565.5800
2019-02-01,sz.002709,25.6900,27.6000,25.5000,27.5000,25.4000,11221594,300511843.7200
2019-02-11,sz.002709,27.4000,28.5200,27.1200,28.3200,27.5000,9307320,259094393.8200
2019-02-12,sz.002709,28.2000,29.2000,27.5800,28.2200,28.3200,9469030,267155883.9500
2019-02-13,sz.002709,28.0000,28.6600,27.7700,28.3100,28.2200,8089930,227977427.6100
2019-02-14,sz.002709,28.0100,30.0000,27.8800,29.4100,28.3100,9386098,273693499.6800
2019-02-15,sz.002709,28.9000,29.4500,28.3000,28.4500,29.4100,7226404,208265788.3600
2019-02-18,sz.002709,28.7000,29.4800,28.0500,29.4700,28.4500,7612754,218919764.6200
2019-02-19,sz.002709,29.4000,30.3800,28.4700,28.9200,29.4700,9189848,269658235.5000
2019-02-20,sz.002709,28.7400,29.4800,28.2800,28.7500,28.9200,5566865,160492351.7600
2019-02-21,sz.002709,28.4200,28.8000,27.5800,28.0800,28.7500,8272736,233283276.0700
2019-02-22,sz.002709,27.8800,28.4300,27.6500,28.3200,28.0800,4600613,129571527.7200
2019-02-25,sz.002709,28.5600,31.1500,28.5600,31.1500,28.3200,13741864,414527389.7300
2019-02-26,sz.002709,31.0000,34.0000,30.0000,32.8900,31.1500,12645532,411354689.4400
2019-02-27,sz.002709,32.2000,35.2500,32.2000,33.4000,32.8900,9902926,335488026.5400
2019-02-28,sz.002709,33.4100,34.8000,32.8000,33.0100,33.4000,8003613,270403677.8400
2019-03-01,sz.002709,34.1100,34.7600,33.3600,34.2800,33.0100,6661815,226704933.3900
2019-03-04,sz.002709,34.2000,35.5900,33.4800,34.0400,34.2800,10183491,348727821.3500
2019-03-05,sz.002709,33.8100,33.8100,32.7600,33.5500,34.0400,10034124,333363704.7800
2019-03-06,sz.002709,33.3000,33.8900,32.6900,33.3500,33.5500,8403430,278412959.8300
