date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002756,11.9300,12.0000,11.8200,11.8700,11.9200,558300,6637146.9600
2019-01-03,sz.002756,11.8700,12.1300,11.8400,11.9600,11.8700,793780,9538507.0000
2019-01-04,sz.002756,11.9100,12.2800,11.8300,12.2500,11.9600,1113860,13525881.4800
2019-01-07,sz.002756,12.3000,12.5400,12.2500,12.4200,12.2500,1153239,14330138.0700
2019-01-08,sz.002756,12.4500,12.4600,12.3200,12.3600,12.4200,730400,9043044.0000
2019-01-09,sz.002756,12.3500,12.5200,12.3300,12.3900,12.3600,1097200,13652705.4000
2019-01-10,sz.002756,12.3500,12.4300,12.2600,12.3000,12.3900,727240,8978248.0000
2019-01-11,sz.002756,12.3400,12.4300,12.2600,12.4200,12.3000,664723,8203135.9700
2019-01-14,sz.002756,12.4400,13.0800,12.4100,12.9300,12.4200,4208563,54245960.7200
2019-01-15,sz.002756,12.9300,12.9600,12.6000,12.7700,12.9300,2648885,33708988.7800
2019-01-16,sz.002756,12.7700,12.8600,12.5400,12.7000,12.7700,1707813,21630459.3300
2019-01-17,sz.002756,12.7000,12.8600,12.6000,12.6100,12.7000,1583797,20193457.0500
2019-01-18,sz.002756,12.5900,13.4800,12.5900,13.0500,12.6100,3699682,48103291.0900
2019-01-21,sz.002756,13.0500,13.1000,12.8300,12.8800,13.0500,2183993,28218872.9300
2019-01-22,sz.002756,12.8900,12.9000,12.6300,12.6900,12.8800,1065500,13585553.0000
2019-01-23,sz.002756,12.7000,12.7900,12.6100,12.7700,12.6900,702400,8930778.0000
2019-01-24,sz.002756,12.7300,12.8500,12.6300,12.7800,12.7700,1021686,13010883.7200
2019-01-25,sz.002756,12.6800,12.8800,12.6000,12.6100,12.7800,1103446,14041047.0800
2019-01-28,sz.002756,12.6700,12.7800,12.5900,12.6900,12.6100,1027439,13014728.3800
2019-01-29,sz.002756,12.6300,12.7500,12.1300,12.5100,12.6900,1228039,15354070.9700
2019-01-30,sz.002756,12.4900,12.8600,12.4500,12.5600,12.5100,1080580,13692896.6200
2019-01-31,sz.002756,12.6000,12.7700,12.3800,12.3900,12.5600,959959,12069092.1000
2019-02-01,sz.002756,12.3900,12.7300,12.3900,12.7200,12.3900,802958,10131464.2200
2019-02-11,sz.002756,12.7300,12.9800,12.7300,12.9500,12.7200,1602938,20695320.1700
2019-02-12,sz.002756,12.9600,13.1000,12.8800,13.0800,12.9500,2282091,29695015.6100
2019-02-13,sz.002756,13.0400,13.2500,12.9300,13.1800,13.0800,2897693,37928841.6000
2019-02-14,sz.002756,14.4800,14.5000,14.1800,14.5000,13.1800,11858119,171154328.9000
2019-02-15,sz.002756,14.5000,15.7800,14.3200,15.0100,14.5000,14739277,220117783.5100
2019-02-18,sz.002756,15.0100,15.2700,14.7500,15.1900,15.0100,9812306,146935596.7100
2019-02-19,sz.002756,15.1000,15.1000,14.7500,14.8200,15.1900,7049955,104917524.5200
2019-02-20,sz.002756,14.7100,15.0900,14.7000,14.9100,14.8200,5097049,76120193.1600
2019-02-21,sz.002756,14.9100,14.9500,14.6300,14.6900,14.9100,5487161,80943242.0800
2019-02-22,sz.002756,14.8000,14.8500,14.4800,14.7800,14.6900,4324002,63409866.7400
2019-02-25,sz.002756,14.8500,15.3800,14.7200,15.3600,14.7800,9766495,147262209.2100
2019-02-26,sz.002756,15.1900,16.5800,15.0600,15.9900,15.3600,12984893,206601405.6500
2019-02-27,sz.002756,15.7600,15.9700,15.2700,15.5100,15.9900,7942933,124614093.1700
2019-02-28,sz.002756,15.5900,15.7600,15.3600,15.6500,15.5100,3888012,60482074.9100
2019-03-01,sz.002756,15.6600,15.7500,15.3800,15.5700,15.6500,3612080,56196553.2000
2019-03-04,sz.002756,15.6000,15.9500,15.5700,15.6800,15.5700,6718020,105589177.3500
2019-03-05,sz.002756,15.6200,15.7600,15.4100,15.7400,15.6800,4476108,69709401.4400
2019-03-06,sz.002756,15.4300,16.9700,15.4200,16.6700,15.7400,12604219,207247783.4700
2019-03-07,sz.002756,16.4000,16.6100,16.2000,16.4300,16.6700,7119340,116675249.0000
2019-03-08,sz.002756,16.0800,16.2900,15.3000,15.3000,16.4300,6729442,106583760.2000
2019-03-11,sz.002756,15.4000,15.8500,15.3000,15.7900,15.3000,4891185,76200580.2300
2019-03-12,sz.002756,15.7900,16.3600,15.7900,15.9800,15.7900,5301376,84994366.0400
2019-03-13,sz.002756,15.9800,16.3700,15.8100,15.9300,15.9800,5389260,87043519.2600
2019-03-14,sz.002756,15.9900,16.4500,15.8900,16.1400,15.9300,4605619,74290282.4300
2019-03-15,sz.002756,16.2100,16.4500,16.0700,16.3800,16.1400,4951560,80687976.3100
2019-03-18,sz.002756,16.4400,17.2500,16.4000,17.1000,16.3800,8176580,137643918.1600
2019-03-19,sz.002756,17.1000,17.1400,16.7100,16.8900,17.1000,5198446,87347897.4800
2019-03-20,sz.002756,16.8500,16.9800,16.3000,16.6400,16.8900,4378543,72822910.0300
2019-03-21,sz.002756,16.6400,16.7900,16.4800,16.6000,16.6400,3105500,51666946.8000
2019-03-22,sz.002756,16.5000,16.7800,16.4600,16.7400,16.6000,2999660,49823835.2000
2019-03-25,sz.002756,16.5000,16.5300,16.1700,16.1700,16.7400,3904602,63762433.4300
2019-03-26,sz.002756,16.2100,16.2900,15.6500,15.6600,16.1700,3436593,54569013.9500
2019-03-27,sz.002756,15.7000,15.9300,15.4200,15.8700,15.6600,2324140,36437797.2000
2019-03-28,sz.002756,15.7800,15.8300,15.5000,15.5000,15.8700,2287100,35787216.8000
2019-03-29,sz.002756,15.5300,15.9100,15.4300,15.9000,15.5000,2578422,40590194.4500
2019-04-01,sz.002756,15.9100,16.4600,15.9100,16.4000,15.9000,3907736,63737024.5200
2019-04-02,sz.002756,16.4400,16.5700,16.3100,16.4500,16.4000,3975321,65380964.8100
2019-04-03,sz.002756,16.4900,16.8800,16.3900,16.6400,16.4500,4024197,66835220.6300
2019-04-04,sz.002756,16.6500,16.9600,16.5400,16.8800,16.6400,4462507,74811180.3400
2019-04-08,sz.002756,17.0800,17.2400,16.5700,17.1500,16.8800,7968237,134823192.2000
2019-04-09,sz.002756,17.1800,17.1800,16.5700,16.6300,17.1500,4545710,76200069.3000
2019-04-10,sz.002756,16.5400,16.7500,16.3500,16.5700,16.6300,3019426,50009693.9600
2019-04-11,sz.002756,16.6000,16.7500,16.1200,16.1400,16.5700,2977212,48963781.1400
2019-04-12,sz.002756,16.2300,16.3300,16.0800,16.2900,16.1400,1714090,27753783.2000
2019-04-15,sz.002756,16.4400,16.7900,16.3200,16.6700,16.2900,3328121,54982191.3400
2019-04-16,sz.002756,16.6000,16.7500,16.2400,16.7300,16.6700,3862820,63804779.4100
2019-04-17,sz.002756,16.8300,16.8300,16.3800,16.5200,16.7300,3206660,53246064.8600
2019-04-18,sz.002756,16.5300,17.1400,16.4000,17.0800,16.5200,5964734,100561073.1100
2019-04-19,sz.002756,17.0900,17.9500,17.0900,17.5600,17.0800,8547821,150578353.2700
2019-04-22,sz.002756,17.5800,17.5800,16.8200,16.8700,17.5600,5594321,95749419.1400
2019-04-23,sz.002756,16.9400,16.9900,16.5000,16.6500,16.8700,2599969,43279188.0700
2019-04-24,sz.002756,16.6000,16.8900,16.5500,16.8300,16.6500,1914080,32015340.4000
2019-04-25,sz.002756,16.8300,16.8300,16.0000,16.0700,16.8300,2584520,42349052.2000
2019-04-26,sz.002756,15.9700,16.0600,15.6700,15.6800,16.0700,2422680,38205756.8000
2019-04-29,sz.002756,15.6800,15.9500,15.0000,15.1000,15.6800,2539752,39068026.8800
2019-04-30,sz.002756,15.1900,15.5100,15.1500,15.4500,15.1000,1447253,22234354.7800
2019-05-06,sz.002756,15.0100,15.3000,14.2700,14.5000,15.4500,2645100,39282266.8000
2019-05-07,sz.002756,14.5700,14.7800,14.4000,14.6700,14.5000,1524640,22261328.6000
2019-05-08,sz.002756,14.5500,14.7600,14.2800,14.7400,14.6700,1560166,22759101.7400
2019-05-09,sz.002756,14.7400,14.7800,14.5100,14.6300,14.7400,1605180,23578796.4000
2019-05-10,sz.002756,14.7000,15.1000,14.5000,15.0600,14.6300,2437420,36331390.8000
2019-05-13,sz.002756,15.0100,15.6800,14.8200,15.4300,15.0600,2455030,37685842.1000
2019-05-14,sz.002756,15.3000,15.9400,15.2100,15.8900,15.4300,2966080,46660295.8000
2019-05-15,sz.002756,15.9000,16.4300,15.8200,16.3400,15.8900,2921643,47265241.5900
2019-05-16,sz.002756,16.1800,16.7600,16.1600,16.7500,16.3400,3564040,59093931.6000
2019-05-17,sz.002756,16.7600,16.8500,16.4000,16.5100,16.7500,3932180,65352518.3900
2019-05-20,sz.002756,16.6100,16.8300,16.2200,16.8300,16.5100,4699282,78202592.6700
2019-05-21,sz.002756,16.8300,17.1900,16.7200,17.1300,16.8300,4434413,75639100.8300
2019-05-22,sz.002756,17.1300,17.1900,16.6800,16.9000,17.1300,5111492,86701006.0900
2019-05-23,sz.002756,15.2500,15.6000,14.8100,14.9000,15.9000,4696066,70851247.5400
2019-05-24,sz.002756,14.9000,15.5600,14.8800,15.3600,14.9000,3155103,48196308.2400
2019-05-27,sz.002756,15.6000,15.6600,15.3400,15.5500,15.3600,2695409,41827620.8800
2019-05-28,sz.002756,15.4500,15.8400,15.3800,15.6100,15.5500,2411960,37757048.2000
2019-05-29,sz.002756,15.6100,15.6200,15.2800,15.3000,15.6100,1713140,26473061.7600
2019-05-30,sz.002756,15.4700,15.4700,15.0300,15.3500,15.3000,1783500,27129183.0000
2019-05-31,sz.002756,15.3600,15.6000,15.1600,15.4400,15.3500,1686628,26027373.9600
2019-06-03,sz.002756,15.4600,15.6800,15.3500,15.4800,15.4400,2199008,34198982.2200
2019-06-04,sz.002756,15.4800,15.5800,14.3300,14.5300,15.4800,3528894,51819113.7000
2019-06-05,sz.002756,14.5800,15.0600,14.5000,14.9800,14.5300,2391040,35340309.2000
2019-06-06,sz.002756,14.9000,15.2400,14.7100,14.7300,14.9800,1528122,22754146.1400
2019-06-10,sz.002756,14.8000,14.8200,14.4300,14.5900,14.7300,1446782,21088572.3800
2019-06-11,sz.002756,15.1000,15.8000,15.1000,15.2300,14.5900,3299400,50635093.0000
2019-06-12,sz.002756,15.1600,15.5000,15.0100,15.1000,15.2300,2425400,37118512.0000
2019-06-13,sz.002756,14.8800,15.1500,14.7300,14.9200,15.1000,2371140,35409889.8000
