date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002812,49.0100,49.2400,48.0400,48.0800,49.4100,1026100,50034973.1200
2019-01-03,sz.002812,47.8400,48.3000,46.0200,46.2100,48.0800,1567522,73314736.6900
2019-01-04,sz.002812,45.4300,50.2900,44.0000,49.6900,46.2100,2248626,108783285.9500
2019-01-07,sz.002812,49.6900,50.8200,48.1500,49.2200,49.6900,2247841,109768471.8600
2019-01-08,sz.002812,49.2000,50.6500,48.8000,50.5500,49.2200,1809254,90147473.9700
2019-01-09,sz.002812,49.5000,49.7800,47.1000,48.0000,50.5500,3181736,153865136.8800
2019-01-10,sz.002812,47.9900,47.9900,46.5000,47.1300,48.0000,2088564,98272232.4800
2019-01-11,sz.002812,47.1300,47.5800,45.8100,46.3600,47.1300,1373779,63969241.4800
2019-01-14,sz.002812,46.5000,47.1800,45.3000,46.8400,46.3600,1667342,77087763.5600
2019-01-15,sz.002812,46.7400,46.7400,45.0100,45.9400,46.8400,2722802,124480356.7000
2019-01-16,sz.002812,45.8000,46.4500,45.2500,45.5500,45.9400,1174229,53763819.1800
2019-01-17,sz.002812,45.6000,47.1300,45.3000,46.8900,45.5500,1480506,69012189.4600
2019-01-18,sz.002812,46.9100,47.4700,45.9500,46.8200,46.8900,1160728,53983475.7200
2019-01-21,sz.002812,47.0800,48.5000,46.2900,47.3700,46.8200,1572334,74627041.2500
2019-01-22,sz.002812,47.3900,48.6800,47.0000,47.7100,47.3700,1253985,60175307.8500
2019-01-23,sz.002812,47.1200,49.6500,47.1200,49.3000,47.7100,1657297,80967072.4500
2019-01-24,sz.002812,49.0000,50.3500,48.8500,50.2300,49.3000,1124100,55937148.1500
2019-01-25,sz.002812,49.5500,51.5000,49.5300,50.0900,50.2300,1605125,81307913.1800
2019-01-28,sz.002812,50.1700,50.7900,48.0000,48.5500,50.0900,2378336,115998394.1400
2019-01-29,sz.002812,49.0000,49.1800,47.5600,48.6800,48.5500,1084708,52526510.4400
2019-01-30,sz.002812,48.4900,48.9800,46.3000,46.8000,48.6800,1920239,90737962.4600
2019-01-31,sz.002812,46.6000,47.9000,45.9500,46.3800,46.8000,1530415,71563252.4800
2019-02-01,sz.002812,46.5000,47.9500,46.4600,47.5900,46.3800,1410729,67066103.5000
2019-02-11,sz.002812,47.5900,49.5000,47.2200,49.2700,47.5900,2136091,103487996.4900
