date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002841,57.1500,57.1500,55.6600,55.9400,56.9000,700849,39275567.8000
2019-01-03,sz.002841,55.1000,56.3500,54.8500,55.0300,55.9400,582632,32257242.1400
2019-01-04,sz.002841,54.6800,56.4800,54.5200,56.3000,55.0300,624022,34758567.8600
2019-01-07,sz.002841,56.5000,57.9600,56.4000,57.8100,56.3000,662047,37953037.0800
2019-01-08,sz.002841,57.8100,58.0000,56.8100,57.4000,57.8100,444574,25553490.2000
2019-01-09,sz.002841,57.5000,58.2800,57.0100,57.0100,57.4000,835905,48216522.9000
2019-01-10,sz.002841,57.1000,57.8800,56.8200,57.4000,57.0100,696537,40008885.1300
2019-01-11,sz.002841,57.4000,57.4400,55.6000,56.8800,57.4000,945318,53356707.1900
2019-01-14,sz.002841,56.8700,56.8700,55.6300,55.7000,56.8800,835496,46813439.3600
2019-01-15,sz.002841,55.7000,57.1500,55.4000,56.9600,55.7000,864207,48578328.2600
2019-01-16,sz.002841,56.9600,58.1300,56.5100,57.3700,56.9600,768590,43986721.8000
2019-01-17,sz.002841,57.3800,57.7900,55.3800,55.7100,57.3700,1248866,70363339.1700
2019-01-18,sz.002841,55.6000,57.9900,55.2800,57.9300,55.7100,1418388,80938484.3400
2019-01-21,sz.002841,57.9000,58.4400,57.2000,58.0000,57.9300,1239276,71974843.4600
2019-01-22,sz.002841,58.0000,58.6000,57.6500,58.2600,58.0000,624476,36320559.4600
2019-01-23,sz.002841,58.3000,58.3100,56.0600,56.8000,58.2600,1334130,75783777.6300
2019-01-24,sz.002841,56.8000,58.7500,56.6100,57.9500,56.8000,1168091,67738937.1100
2019-01-25,sz.002841,58.0000,58.9600,57.7000,58.0000,57.9500,717566,41803938.7600
2019-01-28,sz.002841,59.2200,60.5800,58.7400,59.1700,58.0000,1169987,69818503.6600
2019-01-29,sz.002841,59.1700,60.8100,58.7500,60.0800,59.1700,1167954,70248810.4200
2019-01-30,sz.002841,59.8800,63.0000,59.6500,62.1000,60.0800,1376693,85243157.8700
2019-01-31,sz.002841,62.0400,62.9400,60.4200,61.1800,62.1000,1206249,74139300.0800
2019-02-01,sz.002841,61.3600,62.7000,60.6000,62.1000,61.1800,1095623,67868470.8100
2019-02-11,sz.002841,62.7900,64.2300,62.2200,63.8200,62.1000,1243572,79163909.4800
2019-02-12,sz.002841,63.8800,64.1900,63.0000,63.6800,63.8200,1236174,78767673.5600
2019-02-13,sz.002841,63.7000,64.9000,63.5500,64.1900,63.6800,939192,60372418.7200
2019-02-14,sz.002841,64.4400,64.7900,63.9200,64.2100,64.1900,719395,46295981.2000
2019-02-15,sz.002841,64.1800,65.2900,63.9300,63.9300,64.2100,1159582,74618989.1000
2019-02-18,sz.002841,64.5000,65.0500,62.9200,65.0000,63.9300,1877769,120826514.4000
2019-02-19,sz.002841,65.4100,65.5700,64.4500,64.5600,65.0000,1606489,104328468.6000
2019-02-20,sz.002841,64.4000,65.2000,63.6700,64.0700,64.5600,846336,54578312.2400
2019-02-21,sz.002841,64.2400,69.3000,64.2400,66.9300,64.0700,1921008,128426719.7700
2019-02-22,sz.002841,66.5000,67.3100,65.0300,67.3100,66.9300,1446196,95837622.6100
2019-02-25,sz.002841,70.1000,73.9900,69.3200,71.0000,67.3100,2478226,174922260.4200
2019-02-26,sz.002841,71.0000,71.3100,68.0300,69.5100,71.0000,2038858,141904342.7300
2019-02-27,sz.002841,69.5000,69.5000,66.6000,66.9300,69.5100,1885888,127768239.6500
2019-02-28,sz.002841,67.1300,69.5000,67.1300,68.0000,66.9300,1484373,101576620.5000
2019-03-01,sz.002841,68.0700,69.4500,67.7800,69.2000,68.0000,990031,68103228.0100
2019-03-04,sz.002841,70.5000,76.1200,70.4300,75.5400,69.2000,3918870,292198996.4100
2019-03-05,sz.002841,75.2800,76.5000,74.0000,75.7400,75.5400,1706059,128344285.6600
2019-03-06,sz.002841,75.9900,78.5000,74.6400,75.9200,75.7400,1981633,151099170.8500
2019-03-07,sz.002841,76.1200,76.2600,72.8800,73.8400,75.9200,1947364,144077494.8000
2019-03-08,sz.002841,73.0000,76.0000,72.0000,72.9500,73.8400,2065358,152582644.1900
2019-03-11,sz.002841,73.2000,77.4700,73.2000,77.0000,72.9500,2014150,152407535.6900
2019-03-12,sz.002841,76.5600,78.9400,75.0000,77.2000,77.0000,2336712,179491944.6300
2019-03-13,sz.002841,77.3100,84.1700,76.7600,78.4300,77.2000,2433977,194348019.8000
2019-03-14,sz.002841,78.0200,78.0200,74.5800,75.0000,78.4300,1595340,121091589.4000
2019-03-15,sz.002841,75.8000,76.9700,74.2000,74.5000,75.0000,1236513,92941639.3600
2019-03-18,sz.002841,75.1900,77.4000,74.2500,76.9500,74.5000,1089368,83183897.2500
2019-03-19,sz.002841,77.0700,77.8400,76.0000,76.3000,76.9500,719718,55111128.6300
2019-03-20,sz.002841,76.3000,76.9800,74.0000,74.8400,76.3000,1235973,92185409.9900
2019-03-21,sz.002841,75.2300,75.8200,74.0000,74.9000,74.8400,727920,54561981.6300
2019-03-22,sz.002841,74.1100,75.6700,73.5600,75.2900,74.9000,1299387,96903288.8000
2019-03-25,sz.002841,74.7000,76.5000,73.3100,74.6700,75.2900,1406750,105460186.7500
2019-03-26,sz.002841,75.4000,75.8400,73.5800,73.5900,74.6700,758930,56384760.0900
2019-03-27,sz.002841,73.9800,74.5900,72.5300,73.9900,73.5900,856725,63077550.2000
2019-03-28,sz.002841,73.9900,77.2800,73.1200,76.7700,73.9900,1512988,114473956.4100
2019-03-29,sz.002841,77.8300,79.8600,76.0600,79.3000,76.7700,1395374,109326835.0200
2019-04-01,sz.002841,80.1800,81.9800,79.4000,80.0000,79.3000,1631109,131128047.9400
2019-04-02,sz.002841,80.0000,80.7600,78.6000,79.8000,80.0000,1202812,95606394.7600
2019-04-03,sz.002841,76.4000,79.7600,76.4000,78.8800,79.8000,1247404,98154446.2800
2019-04-04,sz.002841,78.5000,80.8400,77.3500,77.9800,78.8800,1377219,108565886.4500
2019-04-08,sz.002841,78.3800,79.5000,76.3500,76.9800,77.9800,1430207,110915260.1300
2019-04-09,sz.002841,77.7400,78.4000,75.7700,76.8000,76.9800,877095,67398009.8300
