date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002916,80.3300,80.7900,78.3100,78.3300,80.1700,3163227,250252509.4200
2019-01-03,sz.002916,77.3500,79.3600,75.1000,75.1500,78.3300,3237630,247780275.3200
2019-01-04,sz.002916,74.0100,77.2700,74.0100,76.5000,75.1500,3143331,238874275.7000
2019-01-07,sz.002916,77.2000,79.6800,76.6200,79.4600,76.5000,4451695,351028483.0300
2019-01-08,sz.002916,84.0000,86.5000,83.5400,84.8500,79.4600,11322398,962425068.6500
2019-01-09,sz.002916,86.0000,87.4800,84.6800,85.4000,84.8500,6647791,571156145.0000
2019-01-10,sz.002916,86.3000,88.2800,85.2800,85.5200,85.4000,5330363,462769555.7900
2019-01-11,sz.002916,86.2900,88.9300,83.9000,85.1900,85.5200,6088298,525854558.0200
2019-01-14,sz.002916,86.0800,87.3800,84.2200,85.2700,85.1900,4223916,361820610.9400
2019-01-15,sz.002916,83.8000,86.0700,82.6800,86.0000,85.2700,4034518,340048163.7800
2019-01-16,sz.002916,85.8300,88.9600,85.0900,87.9000,86.0000,6016983,527952696.0300
2019-01-17,sz.002916,87.3000,87.9300,86.2900,86.2900,87.9000,2854068,248753108.9300
2019-01-18,sz.002916,86.4000,92.1100,85.0000,91.2700,86.2900,6175295,547487308.5400
2019-01-21,sz.002916,91.0000,94.9800,90.3700,92.4000,91.2700,5258321,486126333.0500
2019-01-22,sz.002916,91.1300,93.2000,89.5600,90.7000,92.4000,4398073,401605016.2800
2019-01-23,sz.002916,90.3000,94.2000,90.0100,92.9300,90.7000,4126411,382457292.8300
2019-01-24,sz.002916,92.5000,95.8800,92.1100,94.0800,92.9300,3596325,338640726.8900
2019-01-25,sz.002916,94.1500,95.6000,93.2000,93.4900,94.0800,2664741,251097711.0000
2019-01-28,sz.002916,94.5000,96.5000,91.8600,94.9500,93.4900,3884290,366686765.4100
2019-01-29,sz.002916,94.0000,94.9400,92.3300,94.1300,94.9500,2664269,249722997.8700
2019-01-30,sz.002916,93.5000,95.5000,89.8900,91.2000,94.1300,3740837,345323840.5800
2019-01-31,sz.002916,92.0000,95.5000,91.9000,93.7700,91.2000,4053369,381806668.4400
2019-02-01,sz.002916,94.6000,100.7800,93.3600,100.3000,93.7700,4357359,427353476.6500
2019-02-11,sz.002916,100.3800,103.4700,99.6600,102.5800,100.3000,3716073,378734359.1300
2019-02-12,sz.002916,102.2500,103.4300,100.5100,101.6600,102.5800,3419409,347477967.1600
2019-02-13,sz.002916,101.1000,104.3500,100.6000,101.4300,101.6600,4319061,441408533.8600
2019-02-14,sz.002916,100.6100,102.0000,99.5700,101.8300,101.4300,4033208,404843952.2800
2019-02-15,sz.002916,101.1400,101.8000,99.1600,99.5000,101.8300,3460474,346364851.2700
2019-02-18,sz.002916,100.2400,109.4000,99.8700,108.0100,99.5000,5485542,573339214.0200
2019-02-19,sz.002916,107.7700,109.0200,103.7500,104.5600,108.0100,5253003,558648113.4200
2019-02-20,sz.002916,103.8500,106.1000,102.0000,105.6700,104.5600,4654255,485035000.3700
2019-02-21,sz.002916,104.8900,110.4000,103.1000,103.9000,105.6700,6325201,671652216.1500
2019-02-22,sz.002916,103.4000,110.3500,103.0000,109.8200,103.9000,5266487,566636437.5100
2019-02-25,sz.002916,114.0000,120.8000,113.5000,120.7800,109.8200,7047686,835709133.8500
2019-02-26,sz.002916,120.0000,120.0000,114.0200,114.4500,120.7800,6195999,723726835.0800
2019-02-27,sz.002916,114.0800,117.0000,112.5100,114.5200,114.4500,4126408,470661191.5900
2019-02-28,sz.002916,113.0000,117.5000,113.0000,115.8000,114.5200,3739876,431681277.0800
2019-03-01,sz.002916,117.0000,117.5000,113.5300,116.5200,115.8000,2764544,318581153.2700
2019-03-04,sz.002916,116.5200,121.8900,115.3300,116.6600,116.5200,6006048,711096629.6900
2019-03-05,sz.002916,116.0000,118.9900,114.6000,118.2400,116.6600,4447902,519771873.0400
2019-03-06,sz.002916,119.9000,120.2600,116.1100,118.4200,118.2400,3597562,424898179.3600
2019-03-07,sz.002916,116.7100,118.4200,111.8000,113.2000,118.4200,5738175,656056293.2500
2019-03-08,sz.002916,110.2200,123.8000,109.0700,118.2900,113.2000,7512656,887041880.6200
2019-03-11,sz.002916,119.0100,130.1200,119.0100,129.5000,118.2900,6617837,838175542.1500
2019-03-12,sz.002916,129.0000,132.3800,126.7600,130.6100,129.5000,5899794,761380748.8900
2019-03-13,sz.002916,126.0000,127.5000,117.5500,117.5500,130.6100,9409254,1144513646.3500
2019-03-14,sz.002916,116.9000,120.7700,115.5500,119.8000,117.5500,4283267,507490375.1300
2019-03-15,sz.002916,121.0000,123.1800,118.1100,118.8200,119.8000,3854612,465677101.4900
2019-03-18,sz.002916,118.8200,122.8700,117.4000,122.3300,118.8200,3390436,407945383.1800
2019-03-19,sz.002916,121.9900,124.5000,120.1000,121.0600,122.3300,2899686,353606371.9500
2019-03-20,sz.002916,120.4600,121.8900,117.2000,118.5900,121.0600,3007355,356983124.6200
2019-03-21,sz.002916,118.5500,122.8500,118.0200,119.9000,118.5900,3014202,364539730.0600
2019-03-22,sz.002916,120.0100,121.5000,116.7000,119.9000,119.9000,2498845,296271283.1100
2019-03-25,sz.002916,116.5500,120.9000,116.5500,118.7600,119.9000,3013761,357438646.6600
2019-03-26,sz.002916,118.7600,120.4900,112.0700,112.6000,118.7600,3876176,447538838.4900
2019-03-27,sz.002916,114.5000,117.0000,110.0200,114.8100,112.6000,3538374,403104149.6400
2019-03-28,sz.002916,114.1000,123.0800,113.8300,118.9000,114.8100,4590105,549783983.9200
2019-03-29,sz.002916,119.9000,126.5700,117.0100,124.4100,118.9000,4808693,590827498.2300
2019-04-01,sz.002916,126.5100,132.1800,125.3000,131.2500,124.4100,4786568,618322996.0100
2019-04-02,sz.002916,132.9900,132.9900,128.0000,128.7300,131.2500,3154364,410176378.0600
2019-04-03,sz.002916,127.5000,127.8800,123.8800,126.8400,128.7300,3510083,442108246.8500
2019-04-04,sz.002916,126.8400,127.8000,123.8000,125.5000,126.8400,3285695,413161191.0200
2019-04-08,sz.002916,125.5000,126.6800,120.0100,122.5300,125.5000,3987005,489073860.5900
2019-04-09,sz.002916,123.0000,125.8500,121.5400,124.1000,122.5300,3410491,424930679.0000
2019-04-10,sz.002916,121.7600,123.5000,119.7500,121.9000,124.1000,2834797,344297169.4300
2019-04-11,sz.002916,122.4900,122.6800,116.7000,117.0000,121.9000,3575391,424313185.9900
2019-04-12,sz.002916,117.8600,119.2900,116.5000,117.5000,117.0000,2325360,274217984.6000
2019-04-15,sz.002916,120.9700,121.8500,114.4200,114.7500,117.5000,4317774,510758913.6800
2019-04-16,sz.002916,114.0000,125.5000,113.3000,124.7700,114.7500,6200430,747277436.7800
2019-04-17,sz.002916,124.0000,125.7300,122.4000,123.7200,124.7700,3437218,426559144.1600
2019-04-18,sz.002916,123.5000,126.9800,122.7500,123.5300,123.7200,2679122,333743304.1200
2019-04-19,sz.002916,122.4000,125.9800,122.4000,125.6800,123.5300,2377204,296702826.1500
2019-04-22,sz.002916,125.6800,130.5400,124.3600,124.4000,125.6800,3889046,496729147.5000
2019-04-23,sz.002916,124.0100,126.5000,119.5800,121.2200,124.4000,4002662,488113623.2900
2019-04-24,sz.002916,121.3000,122.8800,119.1800,121.8000,121.2200,2544461,308254188.5400
2019-04-25,sz.002916,121.6000,124.5800,119.1000,120.4000,121.8000,2858919,348556869.4200
2019-04-26,sz.002916,119.1200,123.0500,119.1200,120.6700,120.4000,2285369,277020850.1300
2019-04-29,sz.002916,121.0800,121.7400,116.8500,118.4000,120.6700,2463053,294050559.0100
2019-04-30,sz.002916,118.1100,119.9800,116.1100,117.8500,118.4000,2136205,251973236.2500
2019-05-06,sz.002916,110.8000,110.8000,106.0700,106.0700,117.8500,3805262,407410702.7200
2019-05-07,sz.002916,106.3100,106.9900,101.0000,104.9200,106.0700,3743193,392532974.8700
2019-05-08,sz.002916,101.9000,108.8800,101.8000,107.0300,104.9200,3119152,332204168.1700
2019-05-09,sz.002916,106.1500,109.6800,105.5100,106.5900,107.0300,2353002,253202201.9300
2019-05-10,sz.002916,109.3500,115.6700,107.0100,114.1000,106.5900,3382831,378558896.3800
2019-05-13,sz.002916,114.0000,116.2700,113.0100,114.9400,114.1000,2305977,264149912.8600
2019-05-14,sz.002916,112.5500,115.5400,112.5500,113.5400,114.9400,1849900,210647410.0300
2019-05-15,sz.002916,115.2000,116.8800,114.1500,116.6800,113.5400,2052934,237418712.9700
2019-05-16,sz.002916,116.1300,116.1300,109.1600,110.2100,116.6800,5166031,574562173.9000
2019-05-17,sz.002916,91.8900,93.6000,87.8000,88.1000,91.2200,5176960,467100082.4400
2019-05-20,sz.002916,88.5100,88.9900,79.2900,79.5000,88.1000,12143350,974901841.5100
2019-05-21,sz.002916,80.0000,81.8000,78.3400,80.0300,79.5000,8414884,675011179.2100
2019-05-22,sz.002916,80.7800,83.5500,79.8200,80.8400,80.0300,7489499,609945407.2600
2019-05-23,sz.002916,80.9000,80.9000,75.0100,76.7000,80.8400,9326970,721534437.4400
2019-05-24,sz.002916,76.7000,77.4900,75.1500,75.6400,76.7000,4740252,361005962.4700
2019-05-27,sz.002916,75.6000,80.0000,75.1500,79.4500,75.6400,6730613,525188295.1200
2019-05-28,sz.002916,79.4000,79.9900,78.2200,78.5700,79.4500,4247661,335861328.6900
2019-05-29,sz.002916,78.3800,80.8800,78.0200,79.7000,78.5700,4800097,382749251.2500
2019-05-30,sz.002916,79.2100,79.2300,75.8900,78.1700,79.7000,4174534,322478210.9000
2019-05-31,sz.002916,77.8900,79.2700,77.5000,78.1200,78.1700,2937237,230764614.8600
2019-06-03,sz.002916,78.8000,85.8700,78.3800,83.1200,78.1200,9393457,769387179.6000
2019-06-04,sz.002916,84.6000,87.4000,83.6000,84.1100,83.1200,8525548,731439541.6900
2019-06-05,sz.002916,85.9900,87.2500,84.2200,85.7500,84.1100,5771163,496345554.8300
2019-06-06,sz.002916,86.3400,86.4500,80.0000,80.3100,85.7500,6440456,524540699.2500
2019-06-10,sz.002916,81.0000,84.6500,80.6900,84.4900,80.3100,5642187,471095446.6300
2019-06-11,sz.002916,84.6500,86.8200,82.5100,86.2800,84.4900,5262797,449751373.2600
2019-06-12,sz.002916,86.1600,88.8800,85.6200,86.3500,86.2800,4334914,377597010.6800
2019-06-13,sz.002916,86.0000,86.9800,84.9000,85.7000,86.3500,2851709,244758258.2300
