date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002920,17.3500,17.7900,17.3200,17.6400,17.3500,1810076,31755457.6100
2019-01-03,sz.002920,17.6400,17.8600,17.3800,17.3900,17.6400,1177086,20724133.9500
2019-01-04,sz.002920,17.1800,18.1100,16.9600,18.0300,17.3900,2455372,43604292.0800
2019-01-07,sz.002920,18.2700,18.5700,18.0300,18.4800,18.0300,2302763,42302766.8500
2019-01-08,sz.002920,18.4800,18.5900,18.3300,18.4600,18.4800,1100197,20294280.4000
2019-01-09,sz.002920,18.6500,20.2900,18.6500,19.4800,18.4600,6166918,121644979.3400
2019-01-10,sz.002920,19.3400,19.8600,19.1000,19.7500,19.4800,4042208,79014091.4200
2019-01-11,sz.002920,20.1000,20.7000,19.8000,19.8800,19.7500,4053704,82109895.6700
2019-01-14,sz.002920,20.2300,20.7800,19.9300,20.0600,19.8800,2693060,54406373.8900
2019-01-15,sz.002920,20.0600,20.3300,19.8100,20.3000,20.0600,1988519,40063680.7000
2019-01-16,sz.002920,20.2800,21.1000,20.2000,20.9300,20.3000,4089166,84974322.9700
2019-01-17,sz.002920,20.9100,21.0900,20.4600,20.6300,20.9300,1965317,40627923.3200
2019-01-18,sz.002920,20.4900,20.8400,20.1500,20.7700,20.6300,2240735,45905442.1300
2019-01-21,sz.002920,20.7700,20.8400,20.4300,20.7400,20.7700,1336551,27552884.9100
2019-01-22,sz.002920,20.5400,20.7200,20.1700,20.1700,20.7400,1297014,26441910.0800
2019-01-23,sz.002920,20.4200,20.9900,20.3600,20.7100,20.1700,2465647,51222500.3900
2019-01-24,sz.002920,20.5100,21.2200,20.5100,21.0700,20.7100,2591700,54413871.0000
2019-01-25,sz.002920,21.1700,21.1700,20.7500,20.8000,21.0700,1653592,34665320.4500
2019-01-28,sz.002920,20.8600,21.5800,20.8400,21.0200,20.8000,2251912,47912309.3600
2019-01-29,sz.002920,21.0300,21.5000,19.8800,21.2800,21.0200,2667515,55430115.0800
2019-01-30,sz.002920,21.1100,21.1800,20.3700,20.4500,21.2800,1662674,34491161.1800
2019-01-31,sz.002920,20.4600,20.9700,20.4500,20.6000,20.4500,1433700,29736779.0000
2019-02-01,sz.002920,20.8900,21.6300,20.7300,21.4500,20.6000,1985804,42423748.8800
2019-02-11,sz.002920,21.6900,22.4600,21.4300,22.4400,21.4500,2138900,47317989.8100
