date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300001,17.5300,17.8200,17.4100,17.5300,17.5300,5199500,91578660.1300
2019-01-03,sz.300001,17.8000,17.8000,16.6800,16.9600,17.5300,7324153,125581265.1400
2019-01-04,sz.300001,16.9500,17.6100,16.7000,17.4800,16.9600,10668765,184796585.8100
2019-01-07,sz.300001,17.6000,17.9000,17.2800,17.6900,17.4800,10911777,192121535.1300
2019-01-08,sz.300001,17.6700,17.6700,17.2800,17.5800,17.6900,7621928,133277466.4400
2019-01-09,sz.300001,17.6200,17.6600,16.7800,16.9000,17.5800,13567182,230760394.5800
2019-01-10,sz.300001,16.9000,17.2200,16.5800,16.6700,16.9000,9813794,165987654.9200
2019-01-11,sz.300001,16.5400,16.9700,16.5400,16.8000,16.6700,6444013,108384806.9400
2019-01-14,sz.300001,16.8900,16.9800,16.3800,16.5500,16.8000,5198692,86417678.0400
2019-01-15,sz.300001,16.6200,16.9100,16.4000,16.8600,16.5500,6954643,116277032.5700
2019-01-16,sz.300001,16.8900,17.2600,16.7500,16.9000,16.8600,9905220,168085042.5200
2019-01-17,sz.300001,16.8500,17.0500,16.5700,16.6400,16.9000,6745489,113207143.4300
2019-01-18,sz.300001,16.7200,16.8000,16.4900,16.5600,16.6400,7199713,119544592.6400
2019-01-21,sz.300001,17.0600,17.6300,16.7900,17.4600,16.5600,22704651,392466083.3000
2019-01-22,sz.300001,17.4800,18.1500,17.3400,17.7400,17.4600,14976854,265939668.7200
2019-01-23,sz.300001,17.8000,17.8600,17.4600,17.7500,17.7400,6951657,123032972.1100
2019-01-24,sz.300001,17.7000,17.7400,17.2000,17.3400,17.7500,7466784,130311058.6800
2019-01-25,sz.300001,17.4000,17.5000,16.5000,16.6500,17.3400,13410236,228128257.7200
2019-01-28,sz.300001,16.6500,17.4500,16.6000,17.1500,16.6500,12464770,212472578.0100
2019-01-29,sz.300001,17.0900,17.4300,16.1100,16.3100,17.1500,16458944,274129311.8800
2019-01-30,sz.300001,16.2800,16.9400,16.2100,16.7400,16.3100,9920098,165955350.9900
2019-01-31,sz.300001,16.7200,17.9200,16.5100,17.4000,16.7400,17321230,300795425.1500
2019-02-01,sz.300001,17.7500,18.2400,17.4300,17.7600,17.4000,17694373,315930952.7800
2019-02-11,sz.300001,18.1500,19.0600,17.8000,18.9200,17.7600,19566371,360736061.1100
2019-02-12,sz.300001,18.8000,19.0600,18.5200,18.6900,18.9200,9807363,184431570.0500
2019-02-13,sz.300001,18.7400,18.9200,18.5400,18.7500,18.6900,12329562,231201262.3600
2019-02-14,sz.300001,18.6700,19.0400,18.5500,18.9800,18.7500,10690207,201664265.2700
2019-02-15,sz.300001,18.8600,18.9500,18.5500,18.6800,18.9800,9107039,170521739.6500
2019-02-18,sz.300001,18.4000,19.2600,18.3600,19.1300,18.6800,12356434,234147228.8400
2019-02-19,sz.300001,19.1500,19.6500,18.2900,18.6400,19.1300,15352542,289864781.8300
2019-02-20,sz.300001,18.6400,18.8800,18.5100,18.6500,18.6400,6692499,125006744.6600
2019-02-21,sz.300001,18.7500,20.5100,18.6900,19.8800,18.6500,23480553,463628588.1400
2019-02-22,sz.300001,19.8400,21.4000,19.6800,20.9800,19.8800,20017679,411215898.3400
2019-02-25,sz.300001,21.3700,22.4800,20.8500,22.3200,20.9800,20976819,456808305.8800
