date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000625,6.6000,6.6700,6.5600,6.6200,6.5900,15435149,102159619.0800
2019-01-03,sz.000625,6.6100,6.7200,6.5500,6.7000,6.6200,16757919,111576900.4400
2019-01-04,sz.000625,6.6500,6.9000,6.6300,6.8900,6.7000,21518050,146672956.7900
2019-01-07,sz.000625,6.9100,7.2600,6.8400,7.2000,6.8900,62631145,443041733.2200
2019-01-08,sz.000625,7.1400,7.4200,7.0900,7.1700,7.2000,47506814,344472397.9000
2019-01-09,sz.000625,7.6200,7.8600,7.3500,7.4500,7.1700,74995986,569318101.3200
2019-01-10,sz.000625,7.4500,7.5500,7.2100,7.3800,7.4500,25522454,188626209.6600
2019-01-11,sz.000625,7.2900,7.7400,7.2600,7.6400,7.3800,30349953,229326370.3800
2019-01-14,sz.000625,7.7200,7.8900,7.4500,7.5000,7.6400,37547184,287871507.0700
2019-01-15,sz.000625,7.4700,7.6200,7.4600,7.5200,7.5000,24964453,188202392.1800
2019-01-16,sz.000625,7.5600,7.7300,7.4200,7.4600,7.5200,29509406,222839928.6900
2019-01-17,sz.000625,7.5300,7.6300,7.4000,7.4900,7.4600,20619774,155270313.6300
2019-01-18,sz.000625,7.4900,7.5400,7.2400,7.4200,7.4900,33070197,244558383.0900
2019-01-21,sz.000625,7.5700,7.5900,7.4500,7.5000,7.4200,21398931,160881282.6700
2019-01-22,sz.000625,7.5600,7.5700,7.2800,7.3100,7.5000,17014112,125449976.8700
2019-01-23,sz.000625,7.3400,7.4100,7.2400,7.3000,7.3100,22419644,163851659.8500
2019-01-24,sz.000625,7.3400,7.3800,7.2600,7.3400,7.3000,16523291,121212549.7400
2019-01-25,sz.000625,7.3300,7.7000,7.3300,7.5800,7.3400,30783694,233155374.6900
2019-01-28,sz.000625,7.6300,7.7100,7.4900,7.5900,7.5800,22285872,169317276.9200
2019-01-29,sz.000625,7.6500,7.7400,7.3600,7.4000,7.5900,32952308,247101083.8700
2019-01-30,sz.000625,7.2100,7.7300,7.1100,7.6300,7.4000,42557712,320267953.8800
2019-01-31,sz.000625,7.5500,7.6900,7.4600,7.5200,7.6300,22753920,172309348.5200
2019-02-01,sz.000625,7.4800,7.7000,7.3600,7.7000,7.5200,27513255,206890400.5100
2019-02-11,sz.000625,7.6800,7.8500,7.5700,7.7900,7.7000,22186873,171908754.0400
2019-02-12,sz.000625,7.8100,8.3300,7.8100,8.2100,7.7900,41169705,335807711.9700
2019-02-13,sz.000625,8.2400,9.0300,8.1200,8.5800,8.2100,49385518,418802624.7100
2019-02-14,sz.000625,8.3800,8.5100,8.2500,8.3400,8.5800,38120092,318570310.8700
2019-02-15,sz.000625,8.3200,8.3500,7.9900,8.0600,8.3400,36357431,296072788.7700
2019-02-18,sz.000625,7.9100,8.2100,7.9100,8.1900,8.0600,47576223,386430052.0400
2019-02-19,sz.000625,8.1600,8.2500,8.0800,8.1200,8.1900,31530810,257025740.9000
2019-02-20,sz.000625,8.1300,8.4300,8.0700,8.3700,8.1200,37735032,313580452.5400
2019-02-21,sz.000625,8.3700,8.8000,8.3300,8.4700,8.3700,46281814,399145739.3200
2019-02-22,sz.000625,8.5700,8.7400,8.4100,8.6700,8.4700,27310318,236087999.8400
2019-02-25,sz.000625,8.6700,8.9600,8.5600,8.9400,8.6700,43090187,378173837.8800
2019-02-26,sz.000625,8.9000,9.0100,8.7100,8.7300,8.9400,34666941,306098823.5000
2019-02-27,sz.000625,8.7200,8.8400,8.4800,8.5600,8.7300,27685182,240857327.6500
2019-02-28,sz.000625,8.5800,8.7900,8.5300,8.5300,8.5600,19890831,171326244.8200
2019-03-01,sz.000625,8.6000,8.7700,8.5500,8.7500,8.5300,19893887,172608187.9200
2019-03-04,sz.000625,8.7500,9.0200,8.7100,8.7700,8.7500,32451289,287896582.6600
2019-03-05,sz.000625,8.7500,8.9100,8.7000,8.7900,8.7700,23215480,203842165.2300
2019-03-06,sz.000625,8.7700,8.9600,8.6700,8.8700,8.7900,38422081,339429854.2800
2019-03-07,sz.000625,8.8700,8.9300,8.6000,8.6100,8.8700,36819808,320780179.6700
2019-03-08,sz.000625,8.4800,8.4800,7.8600,7.8700,8.6100,68231107,549069546.4400
2019-03-11,sz.000625,7.8700,8.1300,7.8000,8.1000,7.8700,33846161,270522683.9100
2019-03-12,sz.000625,8.1500,8.2200,7.9600,8.0500,8.1000,44516227,358544550.5600
2019-03-13,sz.000625,8.0400,8.0400,7.6200,7.7300,8.0500,57369460,447439127.3800
2019-03-14,sz.000625,7.7100,7.7700,7.6000,7.7200,7.7300,24341267,186928368.4400
2019-03-15,sz.000625,7.7300,7.9400,7.7200,7.8600,7.7200,34654995,271650818.0800
2019-03-18,sz.000625,7.8700,7.9900,7.7700,7.9700,7.8600,33250093,262967194.1700
2019-03-19,sz.000625,7.9800,8.0200,7.7900,7.8600,7.9700,33772501,266375003.6400
2019-03-20,sz.000625,7.8300,7.9700,7.7700,7.8600,7.8600,29548114,232650864.7900
2019-03-21,sz.000625,7.8800,8.0400,7.8100,7.9700,7.8600,33293512,264625845.4000
2019-03-22,sz.000625,7.9700,8.7700,7.9300,8.7700,7.9700,49593798,417457208.0900
2019-03-25,sz.000625,8.8000,9.3900,8.6200,8.8100,8.7700,185268269,1651726480.0500
2019-03-26,sz.000625,8.6800,8.7900,8.2100,8.2700,8.8100,78254754,663776544.1100
2019-03-27,sz.000625,8.2700,8.4600,8.1800,8.3100,8.2700,47733316,397617872.3200
2019-03-28,sz.000625,8.3600,8.4300,8.0700,8.1200,8.3100,39201708,323896141.1700
2019-03-29,sz.000625,8.0800,8.3000,7.9800,8.2800,8.1200,45733996,373272924.1500
2019-04-01,sz.000625,8.3500,8.7900,8.2700,8.6000,8.2800,73330496,624851187.8400
2019-04-02,sz.000625,8.6500,8.6800,8.4300,8.5300,8.6000,54354336,463832372.7800
2019-04-03,sz.000625,8.4800,8.9700,8.4100,8.8900,8.5300,92853303,815690221.4000
2019-04-04,sz.000625,8.9800,9.6800,8.9800,9.4200,8.8900,122813424,1154006693.4700
2019-04-08,sz.000625,9.7300,9.7300,9.2200,9.4100,9.4200,76133165,718029175.6500
2019-04-09,sz.000625,9.4100,9.6100,9.2700,9.4700,9.4100,58347655,553212712.5700
2019-04-10,sz.000625,9.3800,10.4100,9.3300,10.1300,9.4700,121053621,1208880580.4600
2019-04-11,sz.000625,10.1700,10.7700,9.9900,10.0000,10.1300,100823922,1049477843.4900
2019-04-12,sz.000625,10.3000,10.4300,9.8800,10.0500,10.0000,66826973,677989124.0300
2019-04-15,sz.000625,9.9800,10.0800,9.4800,9.5000,10.0500,82113678,802956501.5100
2019-04-16,sz.000625,9.5000,9.5000,9.1000,9.3900,9.5000,67246569,627474162.4500
2019-04-17,sz.000625,9.4600,10.3200,9.4300,10.3200,9.3900,100700276,1005591521.9100
2019-04-18,sz.000625,10.3300,10.3700,9.8100,9.8200,10.3200,58185483,583718932.0000
2019-04-19,sz.000625,9.8000,10.0800,9.5600,9.8600,9.8200,39110297,384715751.1000
2019-04-22,sz.000625,9.8500,9.8500,9.3100,9.3900,9.8600,42894836,407674446.5200
2019-04-23,sz.000625,9.4000,9.4900,9.1800,9.2700,9.3900,30057917,280638480.9200
2019-04-24,sz.000625,9.2800,9.4800,9.1100,9.3000,9.2700,31336639,290362317.2700
2019-04-25,sz.000625,9.2600,9.2600,8.8200,8.8400,9.3000,32719737,294892761.0400
2019-04-26,sz.000625,8.7600,8.8500,8.5000,8.7000,8.8400,33298527,288387493.6600
