date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300014,15.8300,16.2200,15.6600,15.9100,15.7200,15978762,255536965.0500
2019-01-03,sz.300014,15.9000,16.4300,15.9000,16.0500,15.9100,18594224,300718086.8500
2019-01-04,sz.300014,15.8200,16.2400,15.4100,15.9200,16.0500,21777229,344093518.3400
2019-01-07,sz.300014,15.9500,16.1700,15.4100,16.1600,15.9200,22952565,362032398.5700
2019-01-08,sz.300014,16.0100,17.7800,15.9100,17.5500,16.1600,45575687,780524877.2100
2019-01-09,sz.300014,17.1000,17.1000,16.2200,16.5200,17.5500,44394439,738441648.9700
2019-01-10,sz.300014,16.5300,16.6700,16.1300,16.3300,16.5200,19174404,313324525.0100
2019-01-11,sz.300014,16.2300,16.3600,16.0300,16.2800,16.3300,12626592,204384480.0900
2019-01-14,sz.300014,16.0600,16.4800,16.0600,16.2400,16.2800,8925365,145423615.5900
2019-01-15,sz.300014,16.1100,16.5700,16.1100,16.4700,16.2400,12898466,211278314.9200
2019-01-16,sz.300014,16.4700,16.4900,16.0400,16.1200,16.4700,11584282,187462112.4500
2019-01-17,sz.300014,16.1200,16.2800,15.4600,15.5400,16.1200,13917698,220229149.4800
2019-01-18,sz.300014,15.7000,16.0600,15.6300,15.9900,15.5400,13693084,217972483.1200
2019-01-21,sz.300014,16.0200,16.2500,15.8700,16.2400,15.9900,12043366,193910965.7400
2019-01-22,sz.300014,16.1000,16.8000,16.0000,16.2500,16.2400,18043640,296930896.9500
2019-01-23,sz.300014,16.3300,16.5900,16.0000,16.4000,16.2500,14717790,240299680.8500
2019-01-24,sz.300014,16.3400,17.2800,16.2200,16.9100,16.4000,29409394,495813588.7200
2019-01-25,sz.300014,16.8800,18.3800,16.8500,17.7700,16.9100,36946479,654112752.1200
2019-01-28,sz.300014,17.7700,18.3500,17.6600,17.6700,17.7700,20149218,360803147.6700
2019-01-29,sz.300014,17.8400,18.0700,17.4100,17.7100,17.6700,19048410,339133936.2500
2019-01-30,sz.300014,17.5900,17.9500,17.4200,17.4200,17.7100,11854515,209231704.7600
2019-01-31,sz.300014,17.6000,17.9800,17.0100,17.2900,17.4200,16492973,289079183.8600
2019-02-01,sz.300014,17.5000,18.4800,17.4900,18.2400,17.2900,21839787,396074306.3200
2019-02-11,sz.300014,18.3200,19.0500,18.2300,18.8900,18.2400,22496584,420359907.0800
2019-02-12,sz.300014,18.8800,19.1600,18.6000,18.8900,18.8900,14752986,278038698.4500
2019-02-13,sz.300014,18.9000,19.0500,18.6000,18.7800,18.8900,18339685,344157678.3200
2019-02-14,sz.300014,18.7000,19.5900,18.5200,19.1400,18.7800,22992984,440458068.1500
2019-02-15,sz.300014,18.9800,18.9800,18.4000,18.4800,19.1400,20123572,374357743.1500
2019-02-18,sz.300014,18.1800,19.0600,18.1600,19.0100,18.4800,18387016,344803428.7900
