date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300037,23.9000,24.3900,23.7200,23.9600,24.0500,2887511,69481258.6000
2019-01-03,sz.300037,23.7500,24.0900,23.1800,23.2500,23.9600,2759233,64979165.9600
2019-01-04,sz.300037,23.0000,24.5000,22.9500,24.3400,23.2500,4489534,106682503.7300
2019-01-07,sz.300037,24.0000,24.3800,23.2500,24.3600,24.3400,8933924,213156423.1700
2019-01-08,sz.300037,23.6000,25.3800,23.6000,25.1500,24.3600,8678439,215123613.7200
2019-01-09,sz.300037,24.7000,24.7000,22.9000,23.7400,25.1500,11049539,262758282.7200
2019-01-10,sz.300037,23.5500,23.8200,23.2500,23.3300,23.7400,3865483,91088184.2600
2019-01-11,sz.300037,23.3700,23.5000,22.8000,23.1100,23.3300,4665178,107631370.8800
2019-01-14,sz.300037,23.2000,23.6300,23.0300,23.2200,23.1100,4076247,94888914.0400
2019-01-15,sz.300037,23.2000,24.2200,23.2000,24.1300,23.2200,5395583,129008313.2000
2019-01-16,sz.300037,24.1300,24.5800,23.9200,24.1800,24.1300,3142245,76036304.7500
2019-01-17,sz.300037,24.0000,24.1200,23.7400,23.8500,24.1800,2484654,59431022.3100
2019-01-18,sz.300037,23.6000,24.3200,23.3500,23.7600,23.8500,3570892,84469531.5200
2019-01-21,sz.300037,23.6000,23.8800,23.1000,23.4400,23.7600,3519224,82716929.2400
2019-01-22,sz.300037,23.5500,24.4800,23.5100,24.3800,23.4400,7001431,169608230.2800
2019-01-23,sz.300037,24.1700,25.7400,24.1500,25.4400,24.3800,6969826,175941423.2000
2019-01-24,sz.300037,25.3300,26.0100,25.2400,25.6200,25.4400,5078056,130218496.8600
2019-01-25,sz.300037,25.4300,26.6900,25.3700,25.6200,25.6200,5624460,146364397.9600
2019-01-28,sz.300037,25.8400,26.1500,25.4000,25.7000,25.6200,2771328,71359779.2500
2019-01-29,sz.300037,25.6500,25.6500,24.8600,25.2500,25.7000,2862808,72077410.3700
2019-01-30,sz.300037,25.3400,25.4100,24.4400,24.6200,25.2500,4257265,105740588.4100
2019-01-31,sz.300037,24.7500,25.4500,24.5900,25.0000,24.6200,3746905,93899448.3700
2019-02-01,sz.300037,25.0000,26.2200,24.4700,26.0800,25.0000,8013562,206125495.2000
2019-02-11,sz.300037,26.0300,27.5000,25.8400,27.1200,26.0800,7722835,207446306.8900
2019-02-12,sz.300037,27.0100,27.3000,26.7100,26.9900,27.1200,4523725,121818767.0400
2019-02-13,sz.300037,26.8100,27.5000,26.6900,27.3100,26.9900,7075643,192069081.7600
2019-02-14,sz.300037,27.0000,28.1300,26.8600,27.5000,27.3100,8391274,231473034.6000
