date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300068,14.1700,14.2100,14.0300,14.1800,14.2200,16318300,230559325.9800
2019-01-03,sz.300068,14.1200,14.2000,14.0600,14.1300,14.1800,10227715,144526215.3700
2019-01-04,sz.300068,14.5000,14.6800,13.4200,13.4200,14.1300,23479863,329872826.3900
2019-01-07,sz.300068,13.9800,14.0500,13.4500,13.9800,13.4200,24358753,336160545.0900
2019-01-08,sz.300068,13.8300,14.1900,13.7500,14.1400,13.9800,24402963,343160998.7800
2019-01-09,sz.300068,14.2000,14.2700,14.0900,14.1300,14.1400,29031316,411705676.2600
2019-01-10,sz.300068,14.1300,14.2200,14.0500,14.1600,14.1300,15435226,218419001.0800
2019-01-11,sz.300068,14.0900,14.2400,14.0300,14.1700,14.1600,21281864,301175721.1400
2019-01-14,sz.300068,14.0300,14.5300,14.0300,14.3700,14.1700,28406501,406949346.3700
2019-01-15,sz.300068,14.2700,14.4000,14.1000,14.3700,14.3700,15559181,221823597.8800
2019-01-16,sz.300068,14.3300,14.3300,14.1200,14.2200,14.3700,12491020,177668666.2800
2019-01-17,sz.300068,14.1500,14.4000,14.1300,14.2300,14.2200,11719464,167251051.8300
2019-01-18,sz.300068,14.2800,14.3000,14.1700,14.2800,14.2300,10291389,146702296.6700
2019-01-21,sz.300068,14.2800,14.3200,14.1800,14.2800,14.2800,11214803,159662344.7500
2019-01-22,sz.300068,14.2800,14.2900,14.1800,14.2100,14.2800,3032150,43078296.1300
2019-01-23,sz.300068,14.2300,14.2800,13.8300,14.2300,14.2100,8583449,121807231.1900
2019-01-24,sz.300068,14.2800,14.3000,14.1800,14.2300,14.2300,7048290,100261540.1500
2019-01-25,sz.300068,14.2500,14.2700,14.1500,14.1600,14.2300,8549050,121480999.2400
2019-01-28,sz.300068,14.1600,14.2200,14.0400,14.2000,14.1600,12559116,177470253.6300
2019-01-29,sz.300068,14.1800,14.1900,13.8600,14.1800,14.2000,20434580,287725746.2000
2019-01-30,sz.300068,14.1000,14.1500,13.9000,13.9000,14.1800,14972899,210554038.9800
2019-01-31,sz.300068,13.7500,13.9900,13.7500,13.9000,13.9000,7537200,104532240.0000
2019-02-01,sz.300068,13.8800,14.0100,13.8300,13.9100,13.9000,9182969,127726202.6100
2019-02-11,sz.300068,13.8900,13.9700,13.8900,13.9500,13.9100,3788333,52755541.8700
2019-02-12,sz.300068,13.9300,14.2800,13.9100,14.1900,13.9500,8654345,122493996.6600
2019-02-13,sz.300068,14.1900,14.3200,14.1200,14.2500,14.1900,9595304,136613892.5400
2019-02-14,sz.300068,14.2300,14.6200,14.0000,14.5600,14.2500,28564510,411535016.7400
2019-02-15,sz.300068,14.4700,14.6200,14.3800,14.5700,14.5600,22207302,323352639.2800
2019-02-18,sz.300068,14.6000,15.1000,14.4900,15.0000,14.5700,26393685,391489294.4800
2019-02-19,sz.300068,14.8000,14.9400,14.7500,14.8800,15.0000,11084292,164535297.9400
2019-02-20,sz.300068,14.8000,14.9800,14.7800,14.9100,14.8800,13488901,200861620.0500
2019-02-21,sz.300068,14.8500,15.0700,14.7000,14.9700,14.9100,18138220,271465836.9600
2019-02-22,sz.300068,14.9600,15.2000,14.8800,15.1700,14.9700,19874000,300401930.3800
2019-02-25,sz.300068,15.2700,15.6300,15.1100,15.5600,15.1700,14804591,227700008.7900
2019-02-26,sz.300068,15.4300,15.5500,15.2100,15.4400,15.5600,18971114,292747940.1600
2019-02-27,sz.300068,15.3700,15.7700,15.1800,15.6600,15.4400,25649781,398868270.9200
2019-02-28,sz.300068,15.5000,15.7100,15.4500,15.5700,15.6600,10065818,156584458.8200
2019-03-01,sz.300068,15.5300,15.5700,15.3200,15.5300,15.5700,11549710,178706974.3000
2019-03-04,sz.300068,15.5300,15.6300,15.3900,15.5600,15.5300,19462891,301660949.2000
2019-03-05,sz.300068,15.4400,15.5500,15.3900,15.4700,15.5600,8792823,135887537.5600
2019-03-06,sz.300068,15.4900,15.5900,15.2400,15.3900,15.4700,9461482,145712298.7400
2019-03-07,sz.300068,15.3900,15.5900,15.1100,15.4000,15.3900,20915901,321818021.5900
2019-03-08,sz.300068,15.1300,15.4100,14.9800,15.1600,15.4000,25256755,384841684.6800
2019-03-11,sz.300068,15.0300,15.3200,15.0300,15.2400,15.1600,11364522,173146390.4900
2019-03-12,sz.300068,15.3200,15.4200,15.1900,15.3200,15.2400,13836705,211626491.3300
2019-03-13,sz.300068,15.2900,15.3200,15.1100,15.1700,15.3200,8813400,133919513.9800
2019-03-14,sz.300068,15.1900,15.2900,14.9900,15.1100,15.1700,8763033,132385988.3100
2019-03-15,sz.300068,15.0800,16.3900,15.0300,16.1300,15.1100,31063175,484423315.8300
2019-03-18,sz.300068,15.9800,16.5100,15.9100,16.1500,16.1300,24071300,389028869.4400
2019-03-19,sz.300068,16.1000,16.1300,15.6700,15.7300,16.1500,10482431,165830523.3800
2019-03-20,sz.300068,15.7900,16.0600,15.4800,15.8100,15.7300,17985891,284089792.7300
2019-03-21,sz.300068,15.5100,16.0100,15.4000,16.0100,15.8100,15127798,237621079.4800
2019-03-22,sz.300068,15.8600,15.8800,15.5000,15.5700,16.0100,9821728,153794496.6000
2019-03-25,sz.300068,15.4100,15.5400,15.3100,15.4200,15.5700,6905540,106299783.1800
2019-03-26,sz.300068,15.4200,15.5000,15.0200,15.3300,15.4200,14873006,226855526.8000
2019-03-27,sz.300068,15.3200,15.5000,15.1600,15.2000,15.3300,6688702,102390710.5000
2019-03-28,sz.300068,15.1800,15.3700,15.0600,15.1900,15.2000,13475723,204993790.1300
2019-03-29,sz.300068,15.1900,15.3800,15.0000,15.3500,15.1900,9747080,148627858.4000
2019-04-01,sz.300068,15.4200,15.6300,15.3300,15.6300,15.3500,15526698,240789588.2000
2019-04-02,sz.300068,15.6200,15.6200,15.4300,15.4400,15.6300,9857859,152986649.3300
2019-04-03,sz.300068,15.3800,15.5500,15.2100,15.4400,15.4400,9743660,149906969.1000
2019-04-04,sz.300068,15.4500,15.4500,15.2500,15.2700,15.4400,6621072,101601448.6000
2019-04-08,sz.300068,15.4000,15.5000,15.1700,15.4100,15.2700,11110813,170566067.2800
