date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300073,27.5000,28.0500,27.3500,27.4500,27.6900,5121008,141535239.6700
2019-01-03,sz.300073,27.2600,27.4000,26.1200,26.5000,27.4500,6843076,182332743.5500
2019-01-04,sz.300073,26.2000,27.8000,25.7100,27.7900,26.5000,8761805,236303334.7000
2019-01-07,sz.300073,27.9800,28.0000,27.0200,27.5800,27.7900,10853330,296788911.1700
2019-01-08,sz.300073,27.5300,29.2000,27.5300,28.4600,27.5800,16512393,471130096.4700
2019-01-09,sz.300073,27.8000,28.0200,26.4900,27.1000,28.4600,18232245,495234295.1600
2019-01-10,sz.300073,27.0000,27.3100,26.8000,26.9600,27.1000,6028430,163268527.5900
2019-01-11,sz.300073,26.9600,27.2000,26.6600,26.9500,26.9600,4353370,117249730.7900
2019-01-14,sz.300073,26.8100,27.2600,26.7300,27.0300,26.9500,5255918,141876072.7300
2019-01-15,sz.300073,26.9700,27.3800,26.5100,27.3500,27.0300,7329209,197514677.8000
2019-01-16,sz.300073,27.2000,27.5100,26.7500,26.8800,27.3500,5074795,137447056.2800
2019-01-17,sz.300073,27.2900,27.2900,26.8100,26.9000,26.8800,4189087,113176983.9900
2019-01-18,sz.300073,27.1000,27.1000,26.5500,26.8000,26.9000,5414203,145221398.9400
2019-01-21,sz.300073,26.8000,27.2500,26.6800,27.0200,26.8000,5169288,139413229.4600
2019-01-22,sz.300073,27.2500,28.2800,27.1000,27.6000,27.0200,11465602,318686927.4700
2019-01-23,sz.300073,27.5000,28.8700,27.4300,28.7800,27.6000,11565154,329054832.9100
2019-01-24,sz.300073,28.6800,29.9000,28.2500,28.5400,28.7800,14539225,420191482.9100
2019-01-25,sz.300073,28.2700,29.2000,28.2700,28.7100,28.5400,11069891,318540247.0500
2019-01-28,sz.300073,28.9400,29.1200,28.5100,28.8600,28.7100,5260633,151540195.3300
2019-01-29,sz.300073,28.8000,28.8400,27.6000,28.1000,28.8600,6245271,175899210.6700
2019-01-30,sz.300073,28.3500,28.3500,26.8100,26.9000,28.1000,8746948,239383711.7400
2019-01-31,sz.300073,27.0000,27.3700,26.6800,26.9000,26.9000,5466548,147649413.6200
2019-02-01,sz.300073,27.1500,28.7400,27.0900,28.7000,26.9000,9337041,261555178.3700
2019-02-11,sz.300073,28.7500,29.4400,28.5200,29.3000,28.7000,8316450,241914842.6900
2019-02-12,sz.300073,29.3200,29.5500,28.9600,29.3100,29.3000,6870689,200968494.0300
2019-02-13,sz.300073,29.6000,29.8300,29.1100,29.5300,29.3100,9518620,280952788.7900
2019-02-14,sz.300073,29.4000,31.4200,29.3000,30.7100,29.5300,14886992,456101106.2000
2019-02-15,sz.300073,30.5100,30.6000,29.6800,29.7000,30.7100,10722587,322586286.2600
2019-02-18,sz.300073,29.8000,30.6300,29.3300,30.4900,29.7000,10064518,301909141.2700
2019-02-19,sz.300073,30.5500,30.7000,29.2100,29.6900,30.4900,12181566,363521454.1400
