date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300118,5.6900,5.7500,5.6400,5.7200,5.6900,3195735,18215266.3600
2019-01-03,sz.300118,5.7200,5.7800,5.6500,5.6500,5.7200,2648088,15106741.8800
2019-01-04,sz.300118,5.6100,5.8300,5.5700,5.7900,5.6500,6295402,35853353.1100
2019-01-07,sz.300118,5.8500,6.1600,5.8200,6.0600,5.7900,6920214,41469934.8000
2019-01-08,sz.300118,6.1300,6.1600,6.0700,6.1500,6.0600,4906619,29984218.8600
2019-01-09,sz.300118,6.1900,6.2000,6.0900,6.1100,6.1500,5010953,30853348.3500
2019-01-10,sz.300118,6.1100,6.7200,6.1100,6.4000,6.1100,16510915,107365237.4600
2019-01-11,sz.300118,6.3400,6.4800,6.3000,6.4000,6.4000,9256647,59056221.8600
2019-01-14,sz.300118,6.3500,6.4900,6.3100,6.3300,6.4000,6730533,42962371.0000
2019-01-15,sz.300118,6.3600,6.3900,6.2600,6.3400,6.3300,5865341,37114306.6600
2019-01-16,sz.300118,6.3800,6.6000,6.3100,6.3100,6.3400,6526735,41980762.9900
2019-01-17,sz.300118,6.3600,6.6500,6.3000,6.4800,6.3100,9577738,62344282.4100
2019-01-18,sz.300118,6.4200,6.5600,6.3900,6.4500,6.4800,5782745,37293593.3500
2019-01-21,sz.300118,6.4500,6.4900,6.4000,6.4400,6.4500,4597634,29634583.3400
2019-01-22,sz.300118,6.4800,6.4800,6.2700,6.3000,6.4400,5699059,36192828.2200
2019-01-23,sz.300118,6.2900,6.4500,6.2900,6.4300,6.3000,5418810,34597210.3800
2019-01-24,sz.300118,6.4500,6.5900,6.3600,6.5900,6.4300,8669369,56563092.1300
2019-01-25,sz.300118,6.6100,6.6500,6.4500,6.4800,6.5900,7009258,45648509.2200
2019-01-28,sz.300118,6.5800,7.1300,6.5800,7.1300,6.4800,27447069,192492715.8200
2019-01-29,sz.300118,7.4200,7.8400,7.2500,7.8400,7.1300,56469375,426912609.2400
2019-01-30,sz.300118,7.5500,8.6200,7.5500,8.0400,7.8400,72705859,597084268.8400
2019-01-31,sz.300118,7.8000,8.8400,7.8000,8.5100,8.0400,68327512,578216221.6600
2019-02-01,sz.300118,8.2500,8.6500,8.0000,8.3500,8.5100,43281062,361099500.4100
2019-02-11,sz.300118,8.5000,8.6100,8.2300,8.6100,8.3500,37652320,315109555.7700
2019-02-12,sz.300118,8.5500,8.7800,8.2500,8.3800,8.6100,41020033,344945914.8100
2019-02-13,sz.300118,8.2500,8.4300,8.1400,8.3500,8.3800,32105338,265777990.7600
2019-02-14,sz.300118,8.3100,9.1900,8.1900,9.1900,8.3500,62131963,543096283.8200
2019-02-15,sz.300118,9.2600,9.5600,8.9500,9.0100,9.1900,51456124,473137178.9400
2019-02-18,sz.300118,8.8800,9.6400,8.8500,9.3900,9.0100,47464587,443101603.3900
2019-02-19,sz.300118,9.3200,9.8700,9.3100,9.3700,9.3900,31707354,303682719.8000
2019-02-20,sz.300118,9.3600,9.7000,9.2100,9.5500,9.3700,20309939,191989381.7000
2019-02-21,sz.300118,9.4100,9.6300,9.2500,9.2700,9.5500,24005339,225734240.7200
2019-02-22,sz.300118,9.1000,10.1000,9.0700,9.8700,9.2700,23078255,221467991.2100
2019-02-25,sz.300118,10.0000,10.8600,10.0000,10.8500,9.8700,40531253,433395823.5100
2019-02-26,sz.300118,10.6500,11.0900,10.3400,10.4400,10.8500,27553988,294576620.2900
2019-02-27,sz.300118,10.3700,10.4400,9.4000,9.4000,10.4400,41934971,406084651.3700
2019-02-28,sz.300118,9.3800,9.5400,9.2600,9.4800,9.4000,9920222,93620967.0300
2019-03-01,sz.300118,9.4900,9.5000,9.1200,9.3100,9.4800,14593252,135741512.9300
2019-03-04,sz.300118,9.4000,9.8200,9.4000,9.5100,9.3100,21833189,209426542.2000
2019-03-05,sz.300118,9.5100,9.8100,9.4600,9.7300,9.5100,15326324,148173382.1100
2019-03-06,sz.300118,9.7600,10.4600,9.6000,10.2000,9.7300,26809319,268688851.2600
2019-03-07,sz.300118,10.0100,10.2200,9.9300,10.0600,10.2000,16543513,166217233.2500
2019-03-08,sz.300118,9.7200,9.9800,9.2000,9.2300,10.0600,13575742,131072281.7200
2019-03-11,sz.300118,9.2400,10.1500,9.2300,10.1500,9.2300,24057709,237874244.8900
2019-03-12,sz.300118,10.3500,10.9200,10.1800,10.4100,10.1500,29559103,312050504.2700
2019-03-13,sz.300118,10.5900,10.9000,10.0800,10.1700,10.4100,20683596,217189791.0200
2019-03-14,sz.300118,10.2200,10.7100,10.1300,10.1700,10.1700,19545836,204514945.3600
2019-03-15,sz.300118,10.4000,10.5900,9.9700,9.9700,10.1700,16133699,164982587.3400
2019-03-18,sz.300118,10.0900,10.6600,9.9200,10.5500,9.9700,17781872,182801715.7300
2019-03-19,sz.300118,10.5500,10.6600,10.2500,10.4100,10.5500,11530837,119965718.3500
2019-03-20,sz.300118,10.3200,10.4300,10.0600,10.3200,10.4100,9468805,96645766.6300
2019-03-21,sz.300118,10.3300,10.5000,10.1300,10.3300,10.3200,11044296,114203811.1900
2019-03-22,sz.300118,10.3500,10.4000,10.0800,10.1100,10.3300,8707123,88625163.0600
2019-03-25,sz.300118,9.1500,10.4600,9.1500,9.9900,10.1100,13242318,132035421.7600
2019-03-26,sz.300118,10.0500,10.4400,9.7000,9.7500,9.9900,12037732,120695220.5300
2019-03-27,sz.300118,9.8000,10.2500,9.5700,10.0700,9.7500,10009994,98858801.1500
2019-03-28,sz.300118,9.9800,10.8000,9.9700,10.5600,10.0700,18695309,196012035.0400
2019-03-29,sz.300118,10.5000,11.4400,10.5000,10.9500,10.5600,23688968,261093992.7000
2019-04-01,sz.300118,11.0000,11.9900,11.0000,11.6800,10.9500,28692242,332792952.6500
2019-04-02,sz.300118,11.6800,12.4600,11.5800,11.8900,11.6800,23012345,277355025.7100
2019-04-03,sz.300118,11.8900,12.1100,11.6700,12.0000,11.8900,13241742,157335516.6400
2019-04-04,sz.300118,12.0200,12.2200,11.7000,12.0000,12.0000,12019946,143155064.6300
2019-04-08,sz.300118,11.9900,12.1500,11.3500,11.5400,12.0000,12420970,144045866.1500
2019-04-09,sz.300118,11.6200,11.7000,11.4000,11.5700,11.5400,6981286,80648010.1500
2019-04-10,sz.300118,11.6300,11.6300,10.4800,10.9000,11.5700,32985042,357101103.7700
2019-04-11,sz.300118,10.8400,11.1400,10.5000,10.8600,10.9000,16215492,176262983.8300
2019-04-12,sz.300118,10.8600,11.0500,10.5600,10.8500,10.8600,9959259,106912631.6600
2019-04-15,sz.300118,11.0000,11.0300,10.5400,10.6000,10.8500,10879803,117063384.9700
2019-04-16,sz.300118,10.5000,10.6700,10.1600,10.6300,10.6000,10751985,111688408.2800
2019-04-17,sz.300118,10.6000,11.1800,10.4500,10.7600,10.6300,19166034,206668086.8300
2019-04-18,sz.300118,10.6600,11.1200,10.6300,10.8600,10.7600,11226507,122826772.3700
2019-04-19,sz.300118,10.8800,10.9800,10.5800,10.6500,10.8600,8365142,89483753.9600
2019-04-22,sz.300118,10.6700,10.9900,10.6100,10.6700,10.6500,8899919,95933398.4200
2019-04-23,sz.300118,10.7000,10.7900,10.2000,10.4800,10.6700,8976366,93490480.6200
2019-04-24,sz.300118,10.4800,10.5900,10.3200,10.5000,10.4800,4448017,46537804.6500
2019-04-25,sz.300118,10.4900,10.6200,9.9200,10.0200,10.5000,10088598,102858141.9500
2019-04-26,sz.300118,10.0400,10.2500,9.9300,10.0900,10.0200,5783578,58350123.8200
2019-04-29,sz.300118,10.3000,10.4200,10.0300,10.1000,10.0900,7848566,80216075.1300
2019-04-30,sz.300118,10.1500,10.4200,10.0500,10.1500,10.1000,6775735,69438500.4100
2019-05-06,sz.300118,9.9300,10.0000,9.2800,9.4600,10.1500,9463900,91827889.4800
2019-05-07,sz.300118,9.4700,9.9000,9.4700,9.7900,9.4600,6261301,60879493.9700
2019-05-08,sz.300118,9.7400,10.3500,9.5900,10.0600,9.7900,8469139,85415625.9500
2019-05-09,sz.300118,10.0000,10.2500,9.8600,9.9300,10.0600,4808948,48220665.4700
2019-05-10,sz.300118,10.0000,10.4500,9.9000,10.4000,9.9300,8250963,84660917.3500
2019-05-13,sz.300118,10.3400,10.6800,10.2600,10.4200,10.4000,8161264,85764808.5100
2019-05-14,sz.300118,10.3000,10.7300,10.2900,10.4900,10.4200,9043141,95686750.7200
2019-05-15,sz.300118,10.6500,11.5400,10.6100,11.5400,10.4900,26168516,297141351.9700
2019-05-16,sz.300118,11.7000,12.1400,11.3300,11.4800,11.5400,27273033,320605807.5100
2019-05-17,sz.300118,11.4900,11.6700,11.1500,11.3800,11.4800,15170501,172630045.8200
2019-05-20,sz.300118,11.3700,11.4800,10.7100,11.0300,11.3800,11508798,126180214.9300
2019-05-21,sz.300118,10.9600,11.2000,10.9300,11.0500,11.0300,6516250,72009760.3000
2019-05-22,sz.300118,11.0900,11.4200,10.8600,10.9800,11.0500,8807129,97711720.1500
2019-05-23,sz.300118,10.8500,11.2500,10.8300,10.9800,10.9800,7402186,81495047.3300
2019-05-24,sz.300118,10.9200,10.9200,10.5800,10.6500,10.9800,5691641,61147645.0600
2019-05-27,sz.300118,10.7600,11.2900,10.7600,11.1500,10.6500,10643555,117747127.9900
2019-05-28,sz.300118,11.1500,11.4800,11.1000,11.2000,11.1500,9402249,106286775.6800
2019-05-29,sz.300118,11.0800,11.3400,10.9300,11.2800,11.2000,7578384,84261469.9900
2019-05-30,sz.300118,11.2000,11.2100,10.8800,11.1000,11.2800,5686465,62570247.2400
2019-05-31,sz.300118,11.3200,11.5800,11.1800,11.3600,11.1000,9906712,112717388.5900
2019-06-03,sz.300118,11.1200,11.1500,10.6800,10.7600,11.3600,11731345,127681699.9700
2019-06-04,sz.300118,10.7600,11.0800,10.3000,10.6500,10.7600,10443241,111062108.5400
2019-06-05,sz.300118,10.6500,10.8200,10.2000,10.3100,10.6500,5450610,56755508.3700
2019-06-06,sz.300118,10.2700,10.4300,10.2300,10.2700,10.3100,6282890,64914061.4300
2019-06-10,sz.300118,10.2900,10.4700,10.1000,10.1500,10.2700,5330109,54384317.1200
2019-06-11,sz.300118,10.1300,10.5500,10.0900,10.4900,10.1500,6736229,69485445.2000
2019-06-12,sz.300118,10.5000,10.5000,10.0300,10.1800,10.4900,6447793,65834191.6100
2019-06-13,sz.300118,10.1800,10.3500,9.9200,10.3200,10.1800,7551333,76435174.8300
2019-06-14,sz.300118,10.4900,10.4900,9.9500,10.0000,10.3200,8340395,84861410.8800
2019-06-17,sz.300118,10.0900,10.2200,9.6500,10.1000,10.0000,8377958,83138728.8700
2019-06-18,sz.300118,9.9400,10.0500,9.8200,9.8600,10.1000,3905305,38716055.9700
2019-06-19,sz.300118,10.1000,10.1400,9.7600,9.8800,9.8600,10689627,105857381.9700
2019-06-20,sz.300118,9.7800,10.0500,9.7400,9.9500,9.8800,5235010,51936840.7200
2019-06-21,sz.300118,9.9500,10.1800,9.9400,10.1000,9.9500,5269503,53119801.0100
2019-06-24,sz.300118,10.1500,10.3300,10.0400,10.2400,10.1000,7663792,78269115.0000
2019-06-25,sz.300118,10.2600,10.3000,10.0300,10.1000,10.2400,3253974,32890162.4400
2019-06-26,sz.300118,10.1100,10.1500,9.9000,10.0800,10.1000,3594021,36058117.9000
2019-06-27,sz.300118,10.1200,10.4800,10.0800,10.3000,10.0800,6338787,64867708.6600
2019-06-28,sz.300118,10.3000,10.3300,10.0800,10.1800,10.3000,4351557,44221741.0800
2019-07-01,sz.300118,10.3200,10.4200,10.2600,10.3700,10.1800,5524700,57265664.0800
2019-07-02,sz.300118,10.3900,10.6300,10.3000,10.5300,10.3700,6886158,72092885.1300
2019-07-03,sz.300118,10.5100,10.5300,10.3300,10.4300,10.5300,3779503,39357674.9300
2019-07-04,sz.300118,10.4300,10.8500,10.3800,10.5200,10.4300,8046833,85393412.5100
2019-07-05,sz.300118,10.5200,10.7000,10.4200,10.5000,10.5200,5093642,53507951.1700
2019-07-08,sz.300118,10.4900,10.5300,10.1000,10.1800,10.5000,4451607,45654630.6800
2019-07-09,sz.300118,10.2000,10.3300,10.1100,10.2400,10.1800,3620439,36968824.1800
2019-07-10,sz.300118,10.2300,10.3600,10.0200,10.0900,10.2400,3729937,37976464.5100
2019-07-11,sz.300118,10.1600,10.2200,9.9800,10.0800,10.0900,2562084,25882883.4600
2019-07-12,sz.300118,10.1600,10.2400,9.9800,10.1300,10.0800,3706294,37480576.9200
2019-07-15,sz.300118,10.2300,11.0800,10.0700,10.6400,10.1300,11187016,118084855.1000
2019-07-16,sz.300118,10.6300,10.8300,10.5200,10.7200,10.5800,9386824,100353838.9400
2019-07-17,sz.300118,10.7000,10.7800,10.5200,10.5600,10.7200,5618218,59756942.6100
2019-07-18,sz.300118,10.6700,11.1500,10.5400,11.0600,10.5600,19878521,216874971.6400
2019-07-19,sz.300118,10.9800,11.0700,10.8200,10.8600,11.0600,8497264,92740321.4100
2019-07-22,sz.300118,10.8700,11.0500,10.6600,10.8900,10.8600,6177887,67061446.7400
2019-07-23,sz.300118,10.7800,11.2500,10.6400,11.0800,10.8900,12543037,138356648.4600
2019-07-24,sz.300118,11.0800,11.2000,10.9700,11.0700,11.0800,7569408,83770879.9100
2019-07-25,sz.300118,11.0000,11.7400,10.9800,11.5800,11.0700,19141052,220045422.7000
2019-07-26,sz.300118,11.6000,11.6500,11.3500,11.4700,11.5800,11562296,132938954.9600
2019-07-29,sz.300118,11.1600,11.2000,10.7500,11.0300,11.4700,13307686,146063833.5400
2019-07-30,sz.300118,11.1900,11.1900,10.7800,10.8500,11.0300,9971943,109111244.0600
2019-07-31,sz.300118,10.8600,10.9700,10.8000,10.8800,10.8500,6105110,66428095.9900
2019-08-01,sz.300118,10.8000,10.8800,10.5300,10.6900,10.8800,9412881,100315609.2100
2019-08-02,sz.300118,10.4500,10.6200,10.3200,10.4000,10.6900,7800584,81357829.2000
2019-08-05,sz.300118,10.1800,10.4900,10.1700,10.1900,10.4000,6268646,64428062.8700
2019-08-06,sz.300118,10.2000,10.2000,9.6600,10.0000,10.1900,7380579,72953669.8000
2019-08-07,sz.300118,10.0100,10.0700,9.8000,9.8400,10.0000,5396763,53421224.4000
2019-08-08,sz.300118,9.8700,9.9200,9.6900,9.7000,9.8400,4768575,46512915.9300
2019-08-09,sz.300118,9.6900,10.0200,9.6300,9.6800,9.7000,7746076,76039001.0200
2019-08-12,sz.300118,9.8100,9.9900,9.6400,9.9700,9.6800,5077777,49996010.4300
2019-08-13,sz.300118,9.8800,10.0600,9.6600,9.7100,9.9700,5784283,56706383.3500
2019-08-14,sz.300118,9.8200,9.9700,9.6100,9.6600,9.7100,4855006,47401067.4200
2019-08-15,sz.300118,9.4700,9.4900,9.2300,9.4600,9.6600,9551114,89339630.5600
2019-08-16,sz.300118,9.4800,9.8700,9.4800,9.6000,9.4600,8454716,81800507.3800
2019-08-19,sz.300118,9.7200,9.9100,9.6500,9.8700,9.6000,10579438,103537003.5900
2019-08-20,sz.300118,9.8600,9.9600,9.7900,9.8100,9.8700,7710101,76159913.8600
2019-08-21,sz.300118,9.7900,10.7900,9.7700,10.7900,9.8100,24070052,252672055.1800
2019-08-22,sz.300118,11.3000,11.3000,10.8900,11.0700,10.7900,30224329,335685058.9800
2019-08-23,sz.300118,11.1800,11.2800,10.9700,11.0900,11.0700,18469297,205189365.5000
2019-08-26,sz.300118,10.9200,11.5000,10.9200,11.2700,11.0900,21917085,247293025.6100
2019-08-27,sz.300118,11.3800,11.6200,11.2600,11.4400,11.2700,22236676,254000880.3400
2019-08-28,sz.300118,11.3400,11.6700,11.2000,11.3500,11.4400,18942749,216256634.9800
2019-08-29,sz.300118,11.4900,11.8500,11.3800,11.5800,11.3500,24527212,285225796.6300
2019-08-30,sz.300118,11.6400,11.8500,11.4000,11.4500,11.5800,19986800,232896487.1500
2019-09-02,sz.300118,11.6300,12.6000,11.6300,12.3900,11.4500,37231286,455145151.1400
2019-09-03,sz.300118,12.5000,13.2000,12.3900,13.0900,12.3900,36869427,471862451.5800
