date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300274,8.8800,8.9800,8.5600,8.6800,8.9200,25262949,221068322.5200
2019-01-03,sz.300274,8.7100,8.8000,8.4700,8.4900,8.6800,20374223,175576198.2000
2019-01-04,sz.300274,8.3900,8.8100,8.3300,8.7100,8.4900,23039903,199774392.9900
2019-01-07,sz.300274,8.7800,9.2800,8.7100,9.0700,8.7100,29763901,269539743.7700
2019-01-08,sz.300274,8.9900,9.1300,8.8300,8.9800,9.0700,16965668,152493956.3000
2019-01-09,sz.300274,9.0000,9.2000,8.7200,8.8900,8.9800,26820458,241102005.7700
2019-01-10,sz.300274,9.1500,9.7400,9.1500,9.5500,8.8900,49604371,469222982.7500
2019-01-11,sz.300274,9.4400,9.5600,9.2200,9.5000,9.5500,29992514,281586917.4800
2019-01-14,sz.300274,9.5000,9.5000,9.2100,9.2500,9.5000,23710697,221554322.8900
2019-01-15,sz.300274,9.2500,10.0100,9.1900,9.8500,9.2500,43422395,420237794.8300
2019-01-16,sz.300274,9.8600,9.9600,9.7300,9.8700,9.8500,23168705,227828142.9200
2019-01-17,sz.300274,9.8800,10.2500,9.4500,9.5600,9.8700,42118778,414480462.2400
2019-01-18,sz.300274,9.6900,10.3600,9.3500,10.2000,9.5600,48887670,485296622.2900
2019-01-21,sz.300274,10.2100,10.6600,10.0100,10.3900,10.2000,42575951,439365654.4500
2019-01-22,sz.300274,10.3000,10.4500,10.1700,10.3100,10.3900,22539932,231639447.0700
2019-01-23,sz.300274,10.2300,10.4100,10.0700,10.3700,10.3100,21246980,217375009.9600
2019-01-24,sz.300274,10.3000,11.4100,10.2500,11.4100,10.3700,67058216,745746151.0700
2019-01-25,sz.300274,11.5700,12.4600,11.3000,11.9500,11.4100,57967062,679201227.1700
2019-01-28,sz.300274,11.9900,12.7700,11.6700,11.9600,11.9500,51329914,623125343.5200
2019-01-29,sz.300274,12.0500,12.1400,11.1300,11.4200,11.9600,60200337,691674010.4500
