date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300351,8.2000,8.2000,8.0300,8.0800,8.1900,2119200,17110467.0000
2019-01-03,sz.300351,8.1100,8.2700,8.0400,8.0900,8.0800,2660487,21643266.8300
2019-01-04,sz.300351,8.0300,8.3600,7.9300,8.3200,8.0900,3034167,24928887.6000
2019-01-07,sz.300351,8.3900,9.1500,8.3900,9.1500,8.3200,4329832,38830040.0800
2019-01-08,sz.300351,10.0700,10.0700,9.4700,9.5000,9.1500,29573326,293251403.0600
2019-01-09,sz.300351,9.3200,10.4500,9.2500,10.2900,9.5000,36195937,363517620.8000
2019-01-10,sz.300351,9.8700,10.0500,9.6600,9.7800,10.2900,18837557,185571705.9100
2019-01-11,sz.300351,9.8100,9.9200,9.7000,9.8300,9.7800,10357359,101679876.4800
2019-01-14,sz.300351,9.8000,9.9400,9.5500,9.7000,9.8300,9954042,96801050.4400
2019-01-15,sz.300351,9.5800,9.7800,9.5000,9.7100,9.7000,8204231,79235987.7100
2019-01-16,sz.300351,9.7200,9.7700,9.4100,9.4900,9.7100,6983571,66992193.2600
2019-01-17,sz.300351,9.4800,9.5200,9.2400,9.2800,9.4900,6022750,56319544.9800
2019-01-18,sz.300351,9.3000,9.4200,9.1500,9.3000,9.2800,6045121,56177755.3000
2019-01-21,sz.300351,9.3300,9.5500,9.3000,9.4400,9.3000,5997597,56681610.6800
2019-01-22,sz.300351,9.4600,9.5100,9.2700,9.5000,9.4400,5091700,47751580.0000
2019-01-23,sz.300351,9.4000,9.7300,9.3500,9.7100,9.5000,7230040,69228218.6700
2019-01-24,sz.300351,9.6800,9.7300,9.4600,9.5600,9.7100,4141836,39681909.1600
2019-01-25,sz.300351,9.4900,9.5300,9.2000,9.2000,9.5600,4801275,44963919.2800
2019-01-28,sz.300351,9.0100,9.1500,8.7200,8.7300,9.2000,7329617,65300617.3900
2019-01-29,sz.300351,8.7500,8.7500,8.3200,8.5000,8.7300,5059963,42901189.1700
2019-01-30,sz.300351,8.5800,8.6500,8.3300,8.3400,8.5000,3423706,28990367.6800
2019-01-31,sz.300351,7.5100,7.6900,7.5100,7.5100,8.3400,9516801,71642553.7500
2019-02-01,sz.300351,7.4400,7.5400,7.3000,7.4300,7.5100,9343027,69608423.6400
2019-02-11,sz.300351,7.4500,7.7600,7.4300,7.7200,7.4300,7853105,59867104.0000
2019-02-12,sz.300351,7.7800,8.3500,7.7500,8.3000,7.7200,11088300,89518279.0000
2019-02-13,sz.300351,8.2000,8.4600,8.1300,8.3900,8.3000,7405820,61294829.8900
2019-02-14,sz.300351,8.3500,8.4300,8.2400,8.3300,8.3900,4653695,38741808.3500
2019-02-15,sz.300351,8.3300,8.6200,8.2800,8.4400,8.3300,5590940,47411212.4000
2019-02-18,sz.300351,8.4400,9.2800,8.4200,9.2800,8.4400,8088139,72760737.2200
2019-02-19,sz.300351,9.3000,9.7600,9.1700,9.4000,9.2800,12140874,114278947.0400
2019-02-20,sz.300351,9.2600,9.4700,9.1600,9.3000,9.4000,6671190,61813972.6800
2019-02-21,sz.300351,9.3300,9.9500,9.3300,9.5300,9.3000,14350722,139194190.0600
2019-02-22,sz.300351,9.5200,10.4800,9.5200,10.2800,9.5300,15573216,158779387.3200
2019-02-25,sz.300351,10.5900,11.3100,10.0500,11.1200,10.2800,17373650,188180938.8500
2019-02-26,sz.300351,11.1200,11.7000,10.8400,11.0500,11.1200,11625302,130065842.2800
2019-02-27,sz.300351,10.9800,11.9700,10.8200,11.5700,11.0500,14395098,166228482.1700
2019-02-28,sz.300351,11.4100,11.6500,11.0200,11.2500,11.5700,9758368,110624050.3700
2019-03-01,sz.300351,11.3200,11.7000,11.3200,11.5100,11.2500,7367377,85031077.2300
2019-03-04,sz.300351,11.6600,11.7400,11.1800,11.2600,11.5100,12514523,143989237.2700
2019-03-05,sz.300351,11.5600,11.8900,11.3100,11.6500,11.2600,10326421,119650359.0100
2019-03-06,sz.300351,11.7300,12.3700,11.7300,11.8400,11.6500,14275484,171504608.9700
2019-03-07,sz.300351,11.8100,11.9500,11.3700,11.4800,11.8400,13747052,160209364.7000
2019-03-08,sz.300351,11.5300,11.8200,11.0000,11.0000,11.4800,15748921,180656046.1700
2019-03-11,sz.300351,11.3800,11.7000,11.1500,11.4300,11.0000,11124686,127692528.5700
2019-03-12,sz.300351,11.7900,12.1800,11.4400,11.4400,11.4300,13231771,155979412.2700
2019-03-13,sz.300351,11.8600,12.1000,11.0800,11.1900,11.4400,13599606,158484184.3800
2019-03-14,sz.300351,11.1800,11.6800,10.6800,10.7100,11.1900,13062084,145380356.6000
2019-03-15,sz.300351,10.9200,11.5700,10.9200,11.4100,10.7100,13799842,155536395.1400
2019-03-18,sz.300351,11.9900,12.0600,10.9300,11.2000,11.4100,17415287,194125437.7500
2019-03-19,sz.300351,11.3000,11.3000,10.8100,10.9100,11.2000,10550739,116288785.8300
2019-03-20,sz.300351,10.8100,11.0300,10.3400,10.7700,10.9100,10304625,110352953.3000
2019-03-21,sz.300351,10.8000,11.1600,10.7400,10.9800,10.7700,11803571,129372009.0400
2019-03-22,sz.300351,11.0200,11.1600,10.7500,10.8700,10.9800,6984917,76185507.2600
2019-03-25,sz.300351,10.7300,11.0200,10.5800,10.7600,10.8700,6764461,73525012.3100
2019-03-26,sz.300351,10.8000,10.9200,10.2000,10.3100,10.7600,7818718,82629114.8800
2019-03-27,sz.300351,10.3300,10.5500,10.2600,10.4000,10.3100,5582451,58069502.8500
2019-03-28,sz.300351,10.3900,10.6600,10.1000,10.1500,10.4000,5861181,60939636.2700
2019-03-29,sz.300351,10.1800,10.5000,10.0600,10.5000,10.1500,6573300,67999473.0000
2019-04-01,sz.300351,10.5400,11.0500,10.5100,10.9200,10.5000,8329957,90354270.3900
2019-04-02,sz.300351,11.1000,11.3300,10.9700,11.0700,10.9200,8241337,91833391.4700
2019-04-03,sz.300351,11.0400,11.1700,10.8600,10.9900,11.0700,6861830,75438090.3800
2019-04-04,sz.300351,11.1300,11.2600,10.7700,11.1000,10.9900,9408979,103596668.1800
2019-04-08,sz.300351,11.1000,11.2500,10.7400,10.8400,11.1000,7853220,86140831.8900
2019-04-09,sz.300351,10.8800,11.1500,10.8000,11.0600,10.8400,5818582,63944621.2600
2019-04-10,sz.300351,10.8600,11.7000,10.7100,11.6500,11.0600,15877120,180387755.5800
2019-04-11,sz.300351,12.3100,12.8200,12.3100,12.8200,11.6500,15646423,199617634.6300
2019-04-12,sz.300351,13.1900,13.4200,11.6600,11.7500,12.8200,20587925,254698481.8100
2019-04-15,sz.300351,12.0000,12.5000,11.4500,12.1400,11.7500,16232074,193633818.6600
2019-04-16,sz.300351,11.8700,12.8500,11.7000,12.7400,12.1400,13445657,165994852.7500
2019-04-17,sz.300351,12.7200,14.0000,12.5100,13.8200,12.7400,19683073,265860990.8800
2019-04-18,sz.300351,13.5900,13.8600,13.0500,13.1000,13.8200,11481410,154095396.8000
2019-04-19,sz.300351,13.2500,13.7300,13.1000,13.3200,13.1000,9759105,130983774.6200
2019-04-22,sz.300351,13.5000,13.7400,12.7800,12.9100,13.3200,10604634,139582607.0600
2019-04-23,sz.300351,12.8500,12.9900,12.0000,12.2500,12.9100,9155298,114233730.6200
2019-04-24,sz.300351,12.3400,12.6500,12.1000,12.2700,12.2500,6284411,77971226.8300
2019-04-25,sz.300351,12.3400,12.5100,11.1100,11.1800,12.2700,11351587,132640071.1000
2019-04-26,sz.300351,11.3500,11.7500,11.1700,11.2300,11.1800,8042810,92266789.6200
2019-04-29,sz.300351,11.4700,11.5000,10.7400,11.2300,11.2300,9672020,107922077.4300
2019-04-30,sz.300351,11.1600,11.4400,11.0100,11.2800,11.2300,5266861,59314583.0600
2019-05-06,sz.300351,10.6500,10.7900,10.1500,10.1500,11.2800,7501395,77308812.0400
2019-05-07,sz.300351,10.2500,10.2500,9.3600,9.7500,10.1500,10213132,99210612.8900
2019-05-08,sz.300351,9.3800,9.8200,9.2300,9.4600,9.7500,5112676,48967431.0400
2019-05-09,sz.300351,9.4600,9.7900,9.3000,9.5200,9.4600,5231680,50029929.0000
2019-05-10,sz.300351,9.6100,9.9800,9.3200,9.8900,9.5200,5604539,54910002.4400
2019-05-13,sz.300351,9.8300,10.0800,9.7000,9.7600,9.8900,4219453,41660592.9000
2019-05-14,sz.300351,9.6000,9.9700,9.6000,9.8100,9.7600,3570652,35062603.0700
2019-05-15,sz.300351,9.8500,9.9500,9.7400,9.8800,9.8100,4789454,47177379.0600
2019-05-16,sz.300351,9.7900,10.0200,9.7000,9.9500,9.8800,5196928,51360200.7800
2019-05-17,sz.300351,9.9900,10.0100,9.1000,9.5800,9.9500,8219025,77528008.5900
2019-05-20,sz.300351,9.4000,9.5800,9.1100,9.4400,9.5800,4307307,40256138.6600
2019-05-21,sz.300351,9.5400,9.6700,9.4700,9.5600,9.4400,3449048,32983610.8200
2019-05-22,sz.300351,9.7500,9.9200,9.4000,9.4200,9.5600,4905554,47365044.4800
