date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300390,7.3500,8.0700,7.2100,7.6800,7.3400,8044006,62264011.7000
2019-01-03,sz.300390,7.7300,7.7700,7.5400,7.5500,7.6800,5995635,45899985.2000
2019-01-04,sz.300390,7.3200,7.9700,7.2800,7.8600,7.5500,8031110,62240476.2400
2019-01-07,sz.300390,7.9800,8.0100,7.7300,7.9200,7.8600,6899175,54290545.1000
2019-01-08,sz.300390,7.8400,7.9300,7.7700,7.8700,7.9200,4150098,32606552.2900
2019-01-09,sz.300390,7.9300,8.0700,7.8300,7.8400,7.8700,5731885,45581964.6600
2019-01-10,sz.300390,7.7900,7.9800,7.7300,7.8000,7.8400,4498671,35487455.9600
2019-01-11,sz.300390,7.8300,7.9700,7.7000,7.8900,7.8000,4341275,33977540.5000
2019-01-14,sz.300390,7.8900,7.9600,7.7200,7.7500,7.8900,3147125,24561314.5000
2019-01-15,sz.300390,7.7400,7.9800,7.7000,7.9700,7.7500,4581600,36064038.0000
2019-01-16,sz.300390,7.9700,8.1500,7.8600,7.8700,7.9700,5666600,45362582.0000
2019-01-17,sz.300390,7.8900,8.0900,7.8100,7.8500,7.8700,4950618,39282639.2700
2019-01-18,sz.300390,7.8500,7.8800,7.7200,7.7700,7.8500,3878999,30168538.0600
2019-01-21,sz.300390,7.9300,7.9700,7.7900,7.8700,7.7700,3479800,27463992.5700
2019-01-22,sz.300390,7.8800,8.1000,7.7600,7.9500,7.8700,5640446,44897489.2000
2019-01-23,sz.300390,7.8800,8.3400,7.8000,8.2700,7.9500,12726238,104210135.7500
2019-01-24,sz.300390,8.2000,8.3700,8.1000,8.1300,8.2700,8571099,70302314.8300
2019-01-25,sz.300390,8.1300,8.2400,8.0600,8.1900,8.1300,5523649,45000558.8800
2019-01-28,sz.300390,8.2000,8.2800,7.8900,7.9200,8.1900,5475551,44141515.2200
2019-01-29,sz.300390,7.8900,7.9000,7.2200,7.4800,7.9200,5886550,44014786.5000
2019-01-30,sz.300390,7.4900,7.5600,7.3800,7.4000,7.4800,2723700,20283745.0000
2019-01-31,sz.300390,7.4000,7.5100,7.2300,7.2600,7.4000,3357700,24723602.0000
2019-02-01,sz.300390,7.3100,7.5800,7.3100,7.5000,7.2600,3548400,26581199.0000
2019-02-11,sz.300390,7.5100,7.6900,7.4800,7.6800,7.5000,3697700,28201294.0000
2019-02-12,sz.300390,7.6700,7.9800,7.6600,7.9200,7.6800,5544450,43478658.0000
2019-02-13,sz.300390,7.9200,8.2100,7.8500,8.1800,7.9200,9701037,78266045.7400
2019-02-14,sz.300390,8.0900,8.3000,8.0600,8.1400,8.1800,9100882,74212708.3700
2019-02-15,sz.300390,8.2500,8.8000,8.1100,8.1600,8.1400,13837686,116084040.1200
2019-02-18,sz.300390,8.2300,8.4700,8.1600,8.4600,8.1600,11575508,96364723.6100
2019-02-19,sz.300390,8.4100,8.6200,8.2500,8.4300,8.4600,12556897,106106477.6300
2019-02-20,sz.300390,8.4000,8.5400,8.2600,8.4300,8.4300,7941347,66825745.7200
2019-02-21,sz.300390,8.3000,8.6200,8.3000,8.3500,8.4300,9554000,80705315.0000
2019-02-22,sz.300390,8.3300,8.6500,8.3100,8.6100,8.3500,11849277,100988248.6700
2019-02-25,sz.300390,8.7500,9.2900,8.6000,9.0300,8.6100,21221287,188768697.3900
2019-02-26,sz.300390,8.8700,9.0000,8.6200,8.7600,9.0300,18049692,158800003.3300
2019-02-27,sz.300390,8.7300,8.8400,8.4500,8.5900,8.7600,11819820,102789692.7400
2019-02-28,sz.300390,8.5600,8.9200,8.5500,8.7800,8.5900,10104639,88441657.8500
2019-03-01,sz.300390,8.7900,8.8500,8.5900,8.7000,8.7800,6619187,57443944.1800
2019-03-04,sz.300390,8.8500,8.9900,8.7200,8.7700,8.7000,13618425,120262050.2500
2019-03-05,sz.300390,8.7500,9.3900,8.7200,9.1800,8.7700,21867849,198439422.6200
2019-03-06,sz.300390,9.2100,9.2800,8.9600,9.2600,9.1800,18871293,172140223.4500
2019-03-07,sz.300390,9.2400,10.1900,9.1200,10.1900,9.2600,23990613,229150430.3000
2019-03-08,sz.300390,9.9000,10.7200,9.6500,9.9000,10.1900,34498345,353450593.2000
2019-03-11,sz.300390,10.1000,10.4000,9.8200,10.3700,9.9000,19387179,197099776.9400
2019-03-12,sz.300390,10.3500,10.6000,10.0200,10.3200,10.3700,24634468,253939019.9900
2019-03-13,sz.300390,10.3000,10.6800,9.9300,9.9600,10.3200,21588758,223930581.1000
2019-03-14,sz.300390,9.8800,9.9100,9.1700,9.2800,9.9600,16757360,158897457.3000
2019-03-15,sz.300390,9.3000,9.6200,9.2700,9.4300,9.2800,12370200,116517632.7300
2019-03-18,sz.300390,10.3700,10.3700,10.3700,10.3700,9.4300,6560546,68032862.0200
2019-03-19,sz.300390,10.8000,11.4100,10.4500,11.4100,10.3700,43251192,465914310.8500
2019-03-20,sz.300390,11.6600,12.5000,11.3300,11.3500,11.4100,61308006,725897926.8500
2019-03-21,sz.300390,11.2300,12.1200,11.2300,11.5200,11.3500,45539873,531073127.1200
2019-03-22,sz.300390,11.2400,11.2600,10.8500,10.9800,11.5200,28878141,318544486.7500
2019-03-25,sz.300390,10.6800,11.4500,10.6000,11.0900,10.9800,23594493,262202754.1100
2019-03-26,sz.300390,11.0100,11.1300,10.7000,10.7200,11.0900,17113572,186264265.3600
2019-03-27,sz.300390,10.8000,10.9600,10.3700,10.8200,10.7200,16471446,175792561.4200
2019-03-28,sz.300390,10.6100,10.7700,10.2700,10.2800,10.8200,13497847,141871079.3800
2019-03-29,sz.300390,10.2800,10.5800,10.0700,10.5400,10.2800,13850286,143373565.0200
2019-04-01,sz.300390,10.5800,11.0800,10.5800,10.9600,10.5400,15284231,165972303.9700
2019-04-02,sz.300390,11.1000,11.1000,10.7600,10.8900,10.9600,15454392,168464285.2300
2019-04-03,sz.300390,10.8900,10.9300,10.7100,10.9200,10.8900,10600784,114885360.9600
2019-04-04,sz.300390,10.9200,11.0500,10.7000,10.7700,10.9200,12848506,139643366.8300
2019-04-08,sz.300390,10.8600,10.8900,10.3100,10.5500,10.7700,10705477,113864702.7400
2019-04-09,sz.300390,10.7200,11.1400,10.6900,10.9700,10.5500,17407538,190103517.2000
2019-04-10,sz.300390,10.8700,10.8800,10.5500,10.7200,10.9700,10677180,114595131.8000
2019-04-11,sz.300390,10.7000,10.8100,10.3800,10.4100,10.7200,8649000,91506510.4700
2019-04-12,sz.300390,10.3600,10.6400,10.3600,10.5600,10.4100,6314877,66364283.4800
2019-04-15,sz.300390,10.5000,10.5300,10.1000,10.1200,10.5600,12069244,125211455.9500
2019-04-16,sz.300390,10.0000,10.3200,9.8000,10.2900,10.1200,8854652,88967262.3100
2019-04-17,sz.300390,10.2400,10.4800,10.2000,10.4300,10.2900,7822540,81360155.6100
2019-04-18,sz.300390,10.4200,10.4900,10.2400,10.2400,10.4300,5481350,56891394.5600
2019-04-19,sz.300390,10.3000,10.4500,10.2200,10.4500,10.2400,5552805,57593439.1500
2019-04-22,sz.300390,10.4100,10.6500,10.3500,10.5800,10.4500,8075975,84740567.0000
2019-04-23,sz.300390,10.5000,10.5300,10.1200,10.1600,10.5800,7761200,79819811.8700
2019-04-24,sz.300390,10.1900,10.2600,10.0200,10.2400,10.1600,4926455,49957864.0000
2019-04-25,sz.300390,10.2300,10.2700,9.8000,9.8100,10.2400,7842768,78584640.1300
2019-04-26,sz.300390,9.8000,10.1200,9.7500,9.9700,9.8100,5938661,59112603.1800
2019-04-29,sz.300390,9.9300,10.0600,9.5700,9.5800,9.9700,5471444,53409572.4300
2019-04-30,sz.300390,9.5100,9.8900,9.5000,9.8500,9.5800,4313087,42291126.5400
2019-05-06,sz.300390,9.5200,9.6100,8.8700,8.8700,9.8500,8248736,74888773.3200
2019-05-07,sz.300390,8.9000,9.0200,8.6200,8.8900,8.8700,6423335,56876946.6600
2019-05-08,sz.300390,8.7100,9.1300,8.5100,8.8900,8.8900,6865931,61188273.5300
2019-05-09,sz.300390,8.7500,9.2800,8.7500,9.0500,8.8900,7998181,72782010.2700
2019-05-10,sz.300390,9.1600,9.4900,9.0000,9.4000,9.0500,10044331,93481273.0900
2019-05-13,sz.300390,9.2500,9.4800,9.1800,9.4400,9.4000,6879713,64607469.5600
2019-05-14,sz.300390,9.2800,9.5600,9.2400,9.3300,9.4400,5652900,53118896.0000
2019-05-15,sz.300390,9.4700,9.7800,9.3300,9.7600,9.3300,9084061,87143409.0400
2019-05-16,sz.300390,9.7400,9.7400,9.5400,9.6700,9.7600,6835288,65914944.2800
2019-05-17,sz.300390,9.6600,9.9200,9.2800,9.3300,9.6700,6917050,66266096.0000
2019-05-20,sz.300390,9.5300,9.6900,9.3600,9.6000,9.3300,6908055,65793342.1500
2019-05-21,sz.300390,9.5500,9.6900,9.4500,9.6100,9.6000,7445050,71387830.0000
2019-05-22,sz.300390,9.5700,9.6800,9.3300,9.4800,9.6100,7203736,68555703.3200
2019-05-23,sz.300390,9.4800,9.5200,9.1500,9.2100,9.4800,5265450,49102911.5000
2019-05-24,sz.300390,9.1700,9.4800,9.1400,9.2400,9.2100,5075519,47071482.9700
2019-05-27,sz.300390,9.3500,10.1600,9.2600,10.1600,9.2400,7837986,77986503.5000
2019-05-28,sz.300390,6.4700,6.6500,6.1000,6.2000,6.2600,42997475,272999711.2100
2019-05-29,sz.300390,5.9700,6.4300,5.9000,6.2300,6.2000,35374255,217122187.7200
2019-05-30,sz.300390,6.0600,6.1800,5.7600,6.1400,6.2300,26600148,159978070.9800
2019-05-31,sz.300390,6.0300,6.2000,5.9800,6.0000,6.1400,17857472,108878632.6100
2019-06-03,sz.300390,5.9200,6.5900,5.8300,6.2100,6.0000,38381710,239916069.1200
2019-06-04,sz.300390,6.1400,6.1400,5.6000,5.6900,6.2100,29509227,174381089.6500
2019-06-05,sz.300390,5.7300,6.2600,5.7300,6.2600,5.6900,16985260,103543873.2000
2019-06-06,sz.300390,6.2600,6.4000,5.9900,6.1300,6.2600,33524914,207132678.0400
2019-06-10,sz.300390,6.1800,6.3100,5.8300,6.1700,6.1300,23523156,141729249.9400
2019-06-11,sz.300390,6.0300,6.5800,6.0100,6.4200,6.1700,40495711,255789804.2000
2019-06-12,sz.300390,6.3600,6.8700,6.2900,6.5400,6.4200,42208798,273464298.3900
2019-06-13,sz.300390,6.4400,6.5500,6.3500,6.3600,6.5400,24480835,157413868.0600
2019-06-14,sz.300390,6.4000,6.4200,6.0500,6.0900,6.3600,20711360,128326915.4000
2019-06-17,sz.300390,6.1000,6.2100,6.0200,6.1600,6.0900,9725718,59728927.7800
2019-06-18,sz.300390,6.1400,6.1600,5.8900,5.9700,6.1600,12021882,71958666.9700
2019-06-19,sz.300390,6.1100,6.1700,6.0200,6.0300,5.9700,10734455,65334655.4100
2019-06-20,sz.300390,6.0600,6.3000,5.9100,6.2000,6.0300,18841698,116010643.2700
2019-06-21,sz.300390,6.3000,6.4200,6.1700,6.2900,6.2000,23169655,146092221.8100
2019-06-24,sz.300390,6.2300,6.2900,6.1100,6.1900,6.2900,12036160,74479529.0000
2019-06-25,sz.300390,6.1900,6.1900,5.9500,6.0500,6.1900,10565380,63915892.2000
2019-06-26,sz.300390,6.0500,6.1400,5.9700,6.0400,6.0500,6909720,41950760.2000
2019-06-27,sz.300390,6.0500,6.2000,6.0500,6.1600,6.0400,9904120,60670569.2000
2019-06-28,sz.300390,6.1200,6.1300,5.9000,5.9200,6.1600,12085164,72198693.6700
2019-07-01,sz.300390,6.0700,6.0900,5.9800,6.0700,5.9200,9349710,56565582.5000
2019-07-02,sz.300390,6.0800,6.2500,6.0500,6.1400,6.0700,13620409,83949260.5800
2019-07-03,sz.300390,6.1300,6.1300,5.9500,5.9700,6.1400,9396267,56410630.1900
2019-07-04,sz.300390,5.9600,6.0300,5.8800,5.9300,5.9700,6446300,38226666.4000
2019-07-05,sz.300390,5.9300,6.1800,5.8900,6.0700,5.9300,11120935,67310947.9500
2019-07-08,sz.300390,6.0400,6.0500,5.8700,5.9000,6.0700,7791947,46271490.4900
2019-07-09,sz.300390,5.8800,5.9500,5.8200,5.9100,5.9000,4173307,24564164.0800
2019-07-10,sz.300390,5.9000,5.9400,5.8300,5.8600,5.9100,3206320,18820440.8000
2019-07-11,sz.300390,5.9100,5.9500,5.8200,5.8600,5.8600,4595920,27036155.2000
2019-07-12,sz.300390,5.8800,5.9100,5.8200,5.8500,5.8600,3842300,22515266.4000
2019-07-15,sz.300390,5.8300,5.9300,5.6800,5.8800,5.8500,4853344,28249366.5600
2019-07-16,sz.300390,5.8400,5.9300,5.8200,5.9200,5.8800,4189240,24650993.2000
2019-07-17,sz.300390,5.8900,6.0400,5.8900,5.9800,5.9200,8065174,48292724.9800
2019-07-18,sz.300390,5.9900,5.9900,5.8100,5.8200,5.9800,5292157,31072671.6500
2019-07-19,sz.300390,5.8600,5.9100,5.8000,5.8300,5.8200,3990320,23309053.0000
2019-07-22,sz.300390,5.8400,5.8800,5.6100,5.6900,5.8300,6215131,35706667.1400
2019-07-23,sz.300390,5.6900,5.7500,5.6800,5.7300,5.6900,3654040,20870797.4000
2019-07-24,sz.300390,5.7600,5.8400,5.7300,5.8100,5.7300,5251280,30463702.6000
2019-07-25,sz.300390,5.7900,5.8800,5.7800,5.8200,5.8100,4218030,24618207.2000
2019-07-26,sz.300390,5.8100,5.8200,5.7500,5.8000,5.8200,3666960,21204154.8000
2019-07-29,sz.300390,5.8200,5.8600,5.7800,5.8400,5.8000,3111080,18100245.6000
2019-07-30,sz.300390,6.0500,6.1800,5.8700,5.9200,5.8400,19497760,117241255.8000
2019-07-31,sz.300390,5.8200,5.8900,5.7300,5.7400,5.9200,9142320,52913769.4000
