date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000651,36.4500,36.4500,35.7000,35.8000,35.6900,42478984,1530288713.6200
2019-01-03,sz.000651,35.8000,36.1900,35.7500,35.9200,35.8000,25879802,930818184.9300
2019-01-04,sz.000651,35.7200,36.7000,35.5600,36.6500,35.9200,48961213,1778066631.3800
2019-01-07,sz.000651,36.8800,36.9600,36.2500,36.4800,36.6500,39269076,1433346230.6400
2019-01-08,sz.000651,36.4100,36.4200,36.0300,36.3400,36.4800,19302164,700121376.0400
2019-01-09,sz.000651,37.2000,38.0600,37.0700,37.5100,36.3400,105806077,3985321487.6400
2019-01-10,sz.000651,37.3800,37.9300,37.2900,37.7600,37.5100,47756614,1803308972.6300
2019-01-11,sz.000651,37.9600,37.9600,37.3900,37.7300,37.7600,33092589,1246253762.3400
2019-01-14,sz.000651,37.7700,37.9700,37.5400,37.6800,37.7300,21177348,798844063.0500
2019-01-15,sz.000651,37.8400,38.8800,37.7100,38.7800,37.6800,61271292,2358470585.2100
2019-01-16,sz.000651,38.8000,39.5000,38.6500,39.3100,38.7800,50192876,1965928907.5500
2019-01-17,sz.000651,38.1000,38.8800,37.8400,38.6600,39.3100,92745328,3563409526.2800
2019-01-18,sz.000651,38.6800,39.1500,38.4300,38.9700,38.6600,56937644,2211036288.0800
2019-01-21,sz.000651,39.0300,40.1500,38.8500,39.4800,38.9700,58980901,2334690125.1600
2019-01-22,sz.000651,39.4700,39.4700,38.6700,38.9100,39.4800,31945881,1243034902.7600
2019-01-23,sz.000651,38.7200,39.4600,38.4800,39.1900,38.9100,34826523,1365387904.2200
2019-01-24,sz.000651,39.4600,39.5000,39.0000,39.3800,39.1900,29729031,1168618111.6300
2019-01-25,sz.000651,39.5600,40.1000,39.2300,39.9000,39.3800,48283883,1926015444.1300
2019-01-28,sz.000651,40.1000,41.2900,40.0500,40.2900,39.9000,51847665,2107414534.8900
2019-01-29,sz.000651,40.2500,41.1700,40.1200,41.1000,40.2900,52298077,2131184235.1500
2019-01-30,sz.000651,40.8300,41.0500,40.4400,40.7000,41.1000,33230654,1355912044.9500
2019-01-31,sz.000651,41.0800,41.7500,40.8800,41.7500,40.7000,47374589,1963679969.4400
2019-02-01,sz.000651,42.3500,42.3500,41.6500,41.9600,41.7500,40894729,1714917893.6100
2019-02-11,sz.000651,41.8700,43.2800,41.7900,43.0700,41.9600,39917349,1707182382.6700
2019-02-12,sz.000651,43.0700,43.4500,42.8200,43.2200,43.0700,36698352,1582481925.2900
2019-02-13,sz.000651,43.3700,43.6500,42.8300,43.5100,43.2200,41802503,1810395646.2800
2019-02-14,sz.000651,43.4600,44.5000,43.2100,44.3500,43.5100,43546157,1919738192.5800
