date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300410,22.0000,22.0000,20.3000,20.3000,22.5500,8088060,167890860.3900
2019-01-03,sz.300410,20.2100,20.5400,20.0300,20.0700,20.3000,3237309,65555404.8300
2019-01-04,sz.300410,19.7300,20.8400,19.7000,20.7600,20.0700,4122471,84340803.0600
2019-01-07,sz.300410,20.9800,21.3300,20.7800,21.1000,20.7600,3525300,74145755.1500
2019-01-08,sz.300410,20.9600,21.4000,20.9600,21.3500,21.1000,3518658,74568616.9000
2019-01-09,sz.300410,21.6000,21.6000,21.2600,21.3500,21.3500,4644158,99407088.9800
2019-01-10,sz.300410,21.5000,21.5100,20.9700,21.0200,21.3500,2638175,56167192.7500
2019-01-11,sz.300410,21.2900,21.6500,21.2000,21.4000,21.0200,2900050,62161423.0000
2019-01-14,sz.300410,21.5600,22.0000,21.2500,21.6500,21.4000,4282653,92625083.5600
2019-01-15,sz.300410,21.8800,21.8800,21.2200,21.6500,21.6500,4114175,88411128.0000
2019-01-16,sz.300410,21.8100,21.9200,21.5300,21.7100,21.6500,3104900,67362410.5000
2019-01-17,sz.300410,21.7500,21.7500,21.4000,21.4700,21.7100,2318125,49933384.0000
2019-01-18,sz.300410,21.5600,22.2900,21.3900,21.9700,21.4700,3819835,83208215.0000
2019-01-21,sz.300410,21.8600,22.2000,21.8600,21.9600,21.9700,3290400,72393898.0000
2019-01-22,sz.300410,21.9900,22.5600,21.8900,22.3700,21.9600,5744000,128054185.0000
2019-01-23,sz.300410,22.1900,23.2300,22.1100,23.1400,22.3700,6221600,141396212.2200
2019-01-24,sz.300410,23.0400,23.4200,22.7000,22.8500,23.1400,5485260,125964460.9100
2019-01-25,sz.300410,22.9000,23.0700,22.2500,22.3300,22.8500,4015600,90933325.5000
2019-01-28,sz.300410,22.8300,23.7600,22.7700,22.8800,22.3300,8796073,203736401.7000
2019-01-29,sz.300410,22.8000,22.8000,21.0000,21.0300,22.8800,6468300,139748641.0000
2019-01-30,sz.300410,20.8200,21.3400,20.7200,20.8500,21.0300,2743313,57837296.4100
2019-01-31,sz.300410,18.7700,18.7700,18.7700,18.7700,20.8500,531500,9976255.0000
2019-02-01,sz.300410,16.8900,17.4300,16.8900,17.1500,18.7700,14272292,242079816.8600
