date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300432,5.7900,5.8500,5.7400,5.7600,5.7600,1664240,9642981.9200
2019-01-03,sz.300432,5.7600,5.9000,5.7500,5.8300,5.7600,2293237,13395150.1200
2019-01-04,sz.300432,5.8000,6.0000,5.7300,5.9800,5.8300,3051769,17976522.1700
2019-01-07,sz.300432,6.0200,6.1200,5.9700,6.0700,5.9800,3242199,19623415.3100
2019-01-08,sz.300432,6.0800,6.2400,6.0500,6.2100,6.0700,4206493,25924451.8000
2019-01-09,sz.300432,6.3000,6.3300,6.1800,6.3000,6.2100,4140320,25958544.7200
2019-01-10,sz.300432,6.5000,6.6500,6.2100,6.2400,6.3000,10717775,69031487.4300
2019-01-11,sz.300432,6.1800,6.1800,6.0700,6.1500,6.2400,5203394,31861005.6000
2019-01-14,sz.300432,6.1600,6.1900,6.0500,6.1100,6.1500,3499750,21314696.9100
2019-01-15,sz.300432,6.0600,6.1500,6.0600,6.1400,6.1100,2959400,18085862.0000
2019-01-16,sz.300432,6.1500,6.2200,6.1200,6.1500,6.1400,2882546,17755358.9000
2019-01-17,sz.300432,6.1500,6.1600,5.9900,6.0100,6.1500,3000080,18178829.8400
2019-01-18,sz.300432,6.0000,6.0900,5.9500,6.0500,6.0100,2782926,16721696.0900
2019-01-21,sz.300432,6.0300,6.2200,6.0100,6.1600,6.0500,4577455,28090869.5400
2019-01-22,sz.300432,6.1800,6.1800,5.9800,6.0300,6.1600,2683410,16236043.2000
2019-01-23,sz.300432,6.0000,6.0800,5.9700,6.0600,6.0300,3365330,20290118.8100
2019-01-24,sz.300432,6.0500,6.0800,5.9700,6.0400,6.0600,2490109,15037564.4500
2019-01-25,sz.300432,6.0600,6.0600,5.9700,5.9700,6.0400,2649720,15922399.5800
2019-01-28,sz.300432,5.3700,5.5200,5.3700,5.3700,5.9700,12683727,68334776.8200
2019-01-29,sz.300432,5.3000,5.3500,4.9900,5.1800,5.3700,5081210,26234005.1000
