date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300450,29.2800,29.7200,28.8800,28.9200,28.9400,5939562,173779303.0300
2019-01-03,sz.300450,29.1000,29.1000,26.7300,27.6000,28.9200,8906728,248133862.3500
2019-01-04,sz.300450,27.1500,27.5400,25.9500,26.7000,27.6000,16698656,445865979.4800
2019-01-07,sz.300450,26.9000,27.6800,26.2700,27.6500,26.7000,13223841,356272805.9700
2019-01-08,sz.300450,27.5500,28.8800,27.3100,28.7000,27.6500,13047946,371763731.6100
2019-01-09,sz.300450,28.2000,28.9000,26.1000,27.5000,28.7000,22357181,609602312.0300
2019-01-10,sz.300450,27.0400,27.8600,27.0400,27.4500,27.5000,9209735,253943105.4500
2019-01-11,sz.300450,27.4700,27.6700,26.6200,27.1200,27.4500,9889305,267984195.5000
2019-01-14,sz.300450,27.2500,27.6500,26.7000,26.8600,27.1200,8176494,222403340.9000
2019-01-15,sz.300450,26.9000,28.2500,26.9000,27.9700,26.8600,10474275,289726321.1700
2019-01-16,sz.300450,27.9900,28.5800,27.8000,27.9200,27.9700,7792413,219251203.7400
2019-01-17,sz.300450,27.8500,28.2500,27.5600,27.6600,27.9200,4430118,123249811.7400
2019-01-18,sz.300450,27.8000,28.8700,27.6600,28.7200,27.6600,7476863,212576888.6200
2019-01-21,sz.300450,28.6900,29.3500,28.2100,28.9500,28.7200,9866793,285502408.7700
2019-01-22,sz.300450,29.0000,29.2000,28.0600,28.2500,28.9500,8686464,248303078.2300
2019-01-23,sz.300450,28.4000,29.1200,27.9500,28.9900,28.2500,9158214,263642085.6300
2019-01-24,sz.300450,28.9700,29.1800,28.5000,28.7000,28.9900,7366552,212015892.9000
2019-01-25,sz.300450,28.7700,31.2200,28.3000,30.8200,28.7000,16486199,496431596.5800
2019-01-28,sz.300450,31.0000,31.1700,30.1800,30.4300,30.8200,8943266,274237988.6600
2019-01-29,sz.300450,30.6900,30.7000,28.6800,29.5000,30.4300,12175152,360436739.8800
2019-01-30,sz.300450,30.7200,30.7200,29.5200,29.6000,29.5000,12189874,365794734.1400
2019-01-31,sz.300450,29.2600,30.8100,29.2600,30.0000,29.6000,8656755,261806304.3000
2019-02-01,sz.300450,29.8500,32.1300,29.8500,31.7900,30.0000,15760881,494144736.8500
2019-02-11,sz.300450,31.7700,32.4600,31.5500,32.2600,31.7900,13298034,426504538.3400
2019-02-12,sz.300450,32.2000,32.2000,31.2200,31.9900,32.2600,14741521,467014329.8300
2019-02-13,sz.300450,31.7500,32.2300,31.4100,32.0100,31.9900,16145282,513824183.7600
2019-02-14,sz.300450,31.9500,32.7800,31.4000,32.6300,32.0100,16296004,524815025.3600
2019-02-15,sz.300450,32.6300,32.6300,31.3400,31.5000,32.6300,15476440,492956775.2800
2019-02-18,sz.300450,31.6400,32.4500,31.3000,32.2100,31.5000,16520739,528299030.5500
2019-02-19,sz.300450,32.2900,32.3500,30.6600,31.0100,32.2100,17836984,559930544.6600
2019-02-20,sz.300450,30.9000,31.3500,30.1600,30.5800,31.0100,12101347,372049257.1400
2019-02-21,sz.300450,30.4800,31.4300,30.4400,30.5600,30.5800,11277486,348480708.3500
2019-02-22,sz.300450,30.6400,31.3500,29.8900,31.2000,30.5600,13987084,426963939.2700
2019-02-25,sz.300450,31.5100,34.3200,31.5100,34.3200,31.2000,29056546,978048262.9400
2019-02-26,sz.300450,34.7800,36.0000,33.9000,33.9000,34.3200,21206401,738477385.6200
2019-02-27,sz.300450,33.8500,34.9900,32.8000,33.1700,33.9000,13568878,456674309.9200
2019-02-28,sz.300450,33.6500,33.8500,32.4100,32.6300,33.1700,12061676,395444004.6900
2019-03-01,sz.300450,33.3100,34.9000,33.2900,34.2500,32.6300,20289239,692285881.8500
2019-03-04,sz.300450,34.4900,36.3800,34.3400,35.7100,34.2500,21573916,771617248.9400
2019-03-05,sz.300450,35.7000,36.7100,35.3000,35.9700,35.7100,13565480,486955810.8700
2019-03-06,sz.300450,36.1500,36.5800,35.1200,35.7000,35.9700,14302148,509680825.2900
2019-03-07,sz.300450,35.5100,35.8000,34.1500,35.1000,35.7000,17196083,601057186.8300
2019-03-08,sz.300450,34.1400,36.3000,33.5300,35.2500,35.1000,18676168,660289159.3400
2019-03-11,sz.300450,35.2800,38.3100,35.2800,38.2000,35.2500,19791176,739807227.6000
2019-03-12,sz.300450,38.7000,40.6800,38.3600,38.7800,38.2000,21950186,868263969.0800
2019-03-13,sz.300450,38.7000,39.6600,37.7000,38.3600,38.7800,15201110,588905106.0400
2019-03-14,sz.300450,38.5500,39.8700,37.0000,37.8000,38.3600,20188637,778716442.4100
2019-03-15,sz.300450,38.2500,39.5000,37.6300,38.5000,37.8000,15152277,583561959.8500
2019-03-18,sz.300450,38.6900,39.1600,35.9100,38.2100,38.5000,17366121,651362786.6500
2019-03-19,sz.300450,38.0000,38.1900,37.1100,37.4100,38.2100,9403326,353642958.1700
2019-03-20,sz.300450,37.5000,37.6000,36.0000,36.8500,37.4100,13962130,510294689.6300
2019-03-21,sz.300450,36.0000,37.3700,35.4100,37.1200,36.8500,15097918,551768164.6300
2019-03-22,sz.300450,37.3500,37.7400,36.2300,37.6400,37.1200,13524431,500971966.8600
2019-03-25,sz.300450,36.9000,38.8800,36.6000,38.1400,37.6400,15393410,588576863.9500
2019-03-26,sz.300450,38.3000,38.5000,35.8200,35.9000,38.1400,13066104,482325517.3500
2019-03-27,sz.300450,36.8000,37.9300,36.1700,36.2800,35.9000,12502803,460643227.5400
2019-03-28,sz.300450,36.0100,37.4900,35.2100,36.6400,36.2800,9905105,364417898.0900
2019-03-29,sz.300450,36.6400,37.4600,36.3900,37.1900,36.6400,11939312,442332293.1300
2019-04-01,sz.300450,37.8000,38.6500,37.7900,38.3800,37.1900,14533110,555362550.8400
2019-04-02,sz.300450,38.4100,38.9000,37.5100,37.6000,38.3800,12574009,479317373.1100
2019-04-03,sz.300450,37.4100,37.9800,36.7600,37.2100,37.6000,9323605,348113940.4300
2019-04-04,sz.300450,37.3300,37.5000,36.4000,36.6800,37.2100,9586814,353432675.0100
2019-04-08,sz.300450,36.7400,37.3000,34.7000,35.0700,36.6800,20198379,715691199.4600
2019-04-09,sz.300450,35.1000,35.6900,34.2500,35.4800,35.0700,10119541,356506823.1600
2019-04-10,sz.300450,35.2100,35.6500,34.6300,34.8800,35.4800,11201564,391975621.3500
2019-04-11,sz.300450,34.8500,35.2000,34.2000,34.3000,34.8800,8914098,308440425.8100
2019-04-12,sz.300450,34.6000,35.4300,34.2500,35.4000,34.3000,8113366,282410071.8200
2019-04-15,sz.300450,35.7000,35.9400,34.4000,34.4000,35.4000,9427780,330086069.8600
2019-04-16,sz.300450,34.3100,35.2100,33.2800,35.0000,34.4000,11113515,379833510.2900
2019-04-17,sz.300450,34.9800,38.5000,34.9000,37.4500,35.0000,30648086,1143982254.6200
2019-04-18,sz.300450,37.4300,37.8000,36.5600,36.5800,37.4500,8128250,300938640.9200
2019-04-19,sz.300450,36.6100,36.8900,35.6800,36.4000,36.5800,6705640,243342158.4100
2019-04-22,sz.300450,36.2000,36.2000,35.0000,35.0700,36.4000,9279545,329529297.0900
2019-04-23,sz.300450,34.9300,35.4500,34.5000,34.9500,35.0700,6155784,215010640.4700
2019-04-24,sz.300450,34.9500,35.3500,34.0000,35.2500,34.9500,7387212,256836304.3200
2019-04-25,sz.300450,35.2000,35.6300,34.0000,34.3900,35.2500,6360224,222288678.2700
2019-04-26,sz.300450,34.2500,34.2500,31.0500,31.7600,34.3900,22117283,708715408.6000
2019-04-29,sz.300450,31.7600,32.7700,31.2300,32.5000,31.7600,10380326,334775613.0300
2019-04-30,sz.300450,32.1000,32.9500,31.5500,31.8700,32.5000,8555946,272932739.2600
2019-05-06,sz.300450,30.5000,30.9800,29.6100,29.8900,31.8700,9688766,293469096.7400
2019-05-07,sz.300450,30.3000,30.8000,29.0600,30.0000,29.8900,10615522,316817801.0900
2019-05-08,sz.300450,29.4500,30.4600,29.2600,29.7000,30.0000,7690263,230801524.7700
2019-05-09,sz.300450,29.3900,30.2400,29.1300,29.3600,29.7000,6793945,202245950.9300
2019-05-10,sz.300450,29.8800,31.7000,29.5900,31.5200,29.3600,10038701,307945161.2400
2019-05-13,sz.300450,31.0000,31.4300,29.3000,29.4300,31.5200,9134966,275872726.8000
2019-05-14,sz.300450,30.0000,30.3400,29.5800,29.7300,29.4300,7285805,218127471.4200
2019-05-15,sz.300450,30.0800,30.7900,29.6600,30.5700,29.7300,7616478,231273251.0800
2019-05-16,sz.300450,30.0500,31.3200,29.7000,30.8500,30.5700,7746564,236229547.3600
2019-05-17,sz.300450,30.7900,31.1800,29.8000,29.9200,30.8500,5682513,172984061.4500
2019-05-20,sz.300450,30.0100,30.1700,28.2100,29.7000,29.9200,6107332,178040536.7900
2019-05-21,sz.300450,29.9400,29.9400,28.4100,28.6900,29.7000,13120378,379026035.0200
2019-05-22,sz.300450,28.6900,29.1000,28.2400,28.4000,28.6900,6731889,192788062.4900
2019-05-23,sz.300450,28.2600,28.2700,27.0500,27.7100,28.4000,9461353,261046760.8000
2019-05-24,sz.300450,27.6500,28.1000,27.1500,27.6700,27.7100,5779957,160205466.7900
2019-05-27,sz.300450,27.6800,28.5200,27.6000,28.3700,27.6700,6840050,192658306.5600
2019-05-28,sz.300450,28.3000,28.8500,28.1100,28.7200,28.3700,7682715,219394906.0300
2019-05-29,sz.300450,28.5500,28.8700,28.3900,28.5400,28.7200,4146041,118794259.4500
2019-05-30,sz.300450,28.5000,28.5000,27.9000,28.2200,28.5400,3256086,91578372.1800
