date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300491,15.7500,16.8800,15.7500,16.1500,15.5900,6864419,110675605.7600
2019-01-03,sz.300491,16.0000,17.7700,15.7200,16.9500,16.1500,10361904,174008649.5300
2019-01-04,sz.300491,16.3000,17.7600,16.0700,17.4900,16.9500,10795823,184421590.7300
2019-01-07,sz.300491,17.3000,17.8700,17.0400,17.5100,17.4900,8701251,152468370.1300
2019-01-08,sz.300491,17.4000,17.4900,16.7000,16.8700,17.5100,5980461,101638683.2400
2019-01-09,sz.300491,16.5500,17.1300,16.5500,16.6500,16.8700,4947372,83454278.8100
2019-01-10,sz.300491,16.4800,17.4800,16.4800,17.2300,16.6500,6049221,103352111.9300
2019-01-11,sz.300491,17.0800,17.6300,16.7600,16.9300,17.2300,4823192,82444610.7200
2019-01-14,sz.300491,17.0500,17.4700,16.5600,17.2100,16.9300,4575386,77938844.8800
2019-01-15,sz.300491,17.1800,17.7800,16.7300,17.5000,17.2100,5099582,87829423.7200
2019-01-16,sz.300491,17.4700,18.5000,17.3000,17.9200,17.5000,8448136,151672724.3500
2019-01-17,sz.300491,17.9200,17.9200,16.8000,16.9300,17.9200,6245720,107649035.7300
2019-01-18,sz.300491,16.7700,16.9500,16.1100,16.4300,16.9300,4010089,66167621.9500
2019-01-21,sz.300491,16.9700,17.0000,16.4700,16.6100,16.4300,3052632,51156834.3200
2019-01-22,sz.300491,16.4100,16.4500,16.1100,16.2100,16.6100,2577101,41798237.4400
2019-01-23,sz.300491,16.3500,16.6500,16.2000,16.5100,16.2100,2026760,33205951.4000
2019-01-24,sz.300491,16.5500,16.6800,16.3500,16.4000,16.5100,1943560,32061542.6000
2019-01-25,sz.300491,16.3600,16.7300,15.7000,15.7800,16.4000,2603200,42366525.8900
2019-01-28,sz.300491,15.7800,16.1000,15.3000,15.6200,15.7800,2168771,34160023.6900
2019-01-29,sz.300491,15.6200,15.7600,14.2000,14.9600,15.6200,2357330,35260598.5300
2019-01-30,sz.300491,14.8100,15.2800,14.5600,14.9400,14.9600,1898660,28428727.4000
2019-01-31,sz.300491,15.0400,15.0400,14.1200,14.1500,14.9400,2679960,38659206.6000
2019-02-01,sz.300491,14.2300,14.7900,14.2300,14.7000,14.1500,1823982,26645700.4900
2019-02-11,sz.300491,14.8400,15.2200,14.6400,15.1600,14.7000,1582628,23830766.9100
2019-02-12,sz.300491,15.1700,15.5900,15.1300,15.1900,15.1600,2288364,35058995.0400
2019-02-13,sz.300491,15.2500,15.6000,15.0200,15.4900,15.1900,2956644,45552560.9200
2019-02-14,sz.300491,15.6400,15.6400,15.3200,15.5500,15.4900,2385123,36912568.4900
2019-02-15,sz.300491,15.6500,15.8800,15.4600,15.8300,15.5500,2818243,44203518.8500
2019-02-18,sz.300491,15.8400,16.5000,15.7100,16.3700,15.8300,3967683,63728332.1700
2019-02-19,sz.300491,16.4800,16.5000,15.8600,16.2300,16.3700,3843403,62012228.8900
2019-02-20,sz.300491,16.3800,16.5600,15.9200,16.4500,16.2300,3322240,54107540.4200
2019-02-21,sz.300491,16.9300,16.9900,16.0700,16.3900,16.4500,4080056,67285260.3800
2019-02-22,sz.300491,16.1400,16.7000,16.0500,16.4900,16.3900,2910068,47657769.2000
2019-02-25,sz.300491,16.3700,17.9500,16.3700,17.3400,16.4900,6001998,102071509.6100
2019-02-26,sz.300491,17.4200,17.6600,16.8600,17.0100,17.3400,4815738,82784036.8000
2019-02-27,sz.300491,16.8000,17.5900,16.8000,17.1000,17.0100,4142160,71002769.5200
2019-02-28,sz.300491,17.1000,17.4500,16.9100,17.1600,17.1000,2669980,45847648.6000
2019-03-01,sz.300491,16.8000,16.9300,16.2200,16.5600,17.1600,5353988,88087468.2800
2019-03-04,sz.300491,16.5600,18.2200,16.5600,18.2200,16.5600,6998515,123142279.7600
2019-03-05,sz.300491,18.8800,20.0000,18.5900,19.5800,18.2200,14314132,274753269.2200
2019-03-06,sz.300491,19.2000,21.0700,18.8500,20.1600,19.5800,12836634,252113344.3900
2019-03-07,sz.300491,19.9400,19.9400,19.3600,19.6200,20.1600,8903338,175306639.1900
2019-03-08,sz.300491,19.0100,19.4800,18.5500,18.8200,19.6200,5982660,114508685.2500
2019-03-11,sz.300491,18.8500,20.3700,18.8500,20.2500,18.8200,8089433,159447130.7400
2019-03-12,sz.300491,20.5800,20.6800,19.4200,19.9200,20.2500,8024427,160267564.9500
2019-03-13,sz.300491,19.9900,20.0000,19.0100,19.1800,19.9200,4557143,88709623.5200
2019-03-14,sz.300491,18.8000,19.3800,18.0100,18.3600,19.1800,4393186,81727162.5600
2019-03-15,sz.300491,18.5000,18.8000,18.1800,18.5800,18.3600,3078199,57091796.0000
2019-03-18,sz.300491,18.7000,18.8200,18.2200,18.8200,18.5800,2440620,45308377.0000
2019-03-19,sz.300491,18.8200,19.2900,18.5900,18.8300,18.8200,2840061,53615434.0500
2019-03-20,sz.300491,18.8400,19.1000,18.1600,18.5500,18.8300,2912020,54040134.0000
2019-03-21,sz.300491,18.4600,18.9000,18.4000,18.7700,18.5500,2721799,50914517.9100
2019-03-22,sz.300491,18.4900,18.5800,17.8600,18.5600,18.7700,3958421,72131940.7500
2019-03-25,sz.300491,18.1700,19.2000,18.0300,19.0100,18.5600,5444834,102659100.9500
2019-03-26,sz.300491,18.8300,18.9600,17.8100,17.9300,19.0100,3493640,64331286.3100
2019-03-27,sz.300491,19.5600,19.5600,18.3200,18.5800,17.9300,4774098,90074464.1500
2019-03-28,sz.300491,18.0000,18.7900,18.0000,18.0000,18.5800,3098300,56637619.9100
2019-03-29,sz.300491,18.0000,18.4500,17.5400,18.3000,18.0000,2969989,53444851.3900
2019-04-01,sz.300491,18.3400,18.8200,18.2600,18.7600,18.3000,3306142,61735929.1400
2019-04-02,sz.300491,18.9000,18.9000,18.4200,18.5300,18.7600,3491200,64960481.2000
2019-04-03,sz.300491,18.4600,19.8700,18.4100,19.3700,18.5300,7435594,143677380.7800
2019-04-04,sz.300491,19.2100,19.2600,18.7700,18.9600,19.3700,4247213,80597635.4400
2019-04-08,sz.300491,18.9600,19.2500,18.1000,18.3000,18.9600,3302387,61321286.1600
2019-04-09,sz.300491,18.2100,18.5400,18.0800,18.4800,18.3000,2032382,37388250.1000
2019-04-10,sz.300491,18.3100,18.5600,17.8100,18.1300,18.4800,2781980,50442669.3900
2019-04-11,sz.300491,18.1600,18.2800,17.7000,17.7000,18.1300,1808640,32550684.4000
2019-04-12,sz.300491,17.7600,17.9800,17.4500,17.6400,17.7000,1560962,27603904.6200
2019-04-15,sz.300491,17.6900,18.1700,17.6900,17.7900,17.6400,1545762,27680995.0000
2019-04-16,sz.300491,17.8100,18.3100,17.7000,18.3000,17.7900,2100152,37990948.4000
2019-04-17,sz.300491,18.3800,18.5300,18.1000,18.3900,18.3000,1919372,35092894.7600
2019-04-18,sz.300491,18.3800,18.4600,17.9900,18.1200,18.3900,1645536,29968240.2000
2019-04-19,sz.300491,18.1000,18.2300,17.6100,18.1700,18.1200,2016784,36162245.9200
2019-04-22,sz.300491,18.1600,18.3300,17.6000,17.7300,18.1700,1566144,28002428.8400
2019-04-23,sz.300491,17.7000,17.8100,16.9000,16.9000,17.7300,1891520,32671410.4000
2019-04-24,sz.300491,16.9800,17.1500,16.7600,17.0600,16.9000,1247820,21221170.6000
2019-04-25,sz.300491,17.1200,17.1800,15.9900,16.1500,17.0600,1811782,29957148.0500
2019-04-26,sz.300491,16.0800,16.3000,15.7500,15.9800,16.1500,1155219,18647378.0800
2019-04-29,sz.300491,15.9600,16.1900,15.0900,15.3200,15.9800,1655059,25918605.8700
2019-04-30,sz.300491,15.3800,15.8700,15.3500,15.5700,15.3200,1145160,17879356.0000
2019-05-06,sz.300491,15.3000,15.3000,14.0200,14.2500,15.5700,2054747,30059898.1000
2019-05-07,sz.300491,14.4000,14.8500,14.3600,14.6600,14.2500,1473787,21506488.0100
2019-05-08,sz.300491,14.6000,14.9000,14.0600,14.7300,14.6600,1456500,21307049.5900
2019-05-09,sz.300491,14.7000,14.8500,14.3700,14.4500,14.7300,1085562,15914690.2400
2019-05-10,sz.300491,14.7800,15.0400,14.2500,14.9600,14.4500,1673189,24715760.0500
2019-05-13,sz.300491,14.5000,15.2800,14.5000,14.9700,14.9600,1519840,22833520.8500
2019-05-14,sz.300491,14.8200,15.2200,14.7000,14.9400,14.9700,1074500,16102716.2000
2019-05-15,sz.300491,15.1900,15.2300,14.8000,15.1000,14.9400,1013560,15234391.0000
2019-05-16,sz.300491,15.0000,15.2000,14.9600,15.1100,15.1000,1084562,16377852.4200
2019-05-17,sz.300491,15.1800,15.3500,14.2600,14.3400,15.1100,1626893,24017828.1000
2019-05-20,sz.300491,14.5200,14.8500,14.0600,14.7500,14.3400,1325661,19295079.9800
2019-05-21,sz.300491,14.8500,15.2200,14.7000,15.0100,14.7500,1204635,18120610.7100
2019-05-22,sz.300491,14.9400,15.3000,14.9200,15.0800,15.0100,1095220,16529299.4000
2019-05-23,sz.300491,15.1900,15.1900,14.6200,14.7600,15.0800,1191717,17683182.1800
2019-05-24,sz.300491,14.5500,14.8700,14.4400,14.5200,14.7600,748082,10942324.4100
2019-05-27,sz.300491,14.4300,15.0400,14.4300,14.9600,14.5200,1110844,16428304.2800
2019-05-28,sz.300491,15.1000,15.1900,14.8500,14.8800,14.9600,1041702,15665550.9900
2019-05-29,sz.300491,15.0000,15.1000,14.8100,15.0200,14.8800,704757,10581664.8600
2019-05-30,sz.300491,15.0200,15.1800,14.6100,14.9400,15.0200,940779,13944238.7600
2019-05-31,sz.300491,15.1000,15.1000,14.6800,14.7000,14.9400,781900,11606360.1600
2019-06-03,sz.300491,14.7500,14.9900,14.5500,14.7300,14.7000,915741,13501753.7800
2019-06-04,sz.300491,14.7300,14.7700,14.3500,14.5000,14.7300,845676,12272496.5800
2019-06-05,sz.300491,14.6900,14.7500,14.4100,14.5400,14.5000,766954,11164954.4200
2019-06-06,sz.300491,14.6900,14.6900,13.6800,13.7000,14.5400,1399859,19566986.2800
2019-06-10,sz.300491,13.7400,14.1000,13.7400,14.0600,13.7000,763749,10670848.4200
2019-06-11,sz.300491,14.0500,14.7000,14.0000,14.5500,14.0600,1125281,16199725.4700
2019-06-12,sz.300491,14.7300,14.9400,14.5000,14.5100,14.5500,878228,12889498.0000
2019-06-13,sz.300491,14.7000,14.8900,14.6100,14.8100,14.5100,1132845,16706842.5200
2019-06-14,sz.300491,14.7300,14.9700,14.1900,14.3000,14.8100,952006,13833897.3700
2019-06-17,sz.300491,14.2400,14.7300,14.1500,14.6800,14.3000,1057570,15301656.8800
2019-06-18,sz.300491,14.8900,14.8900,14.0600,14.1900,14.6800,1158393,16595844.0000
2019-06-19,sz.300491,14.6000,14.7700,14.3400,14.5100,14.1900,1564978,22845545.9800
2019-06-20,sz.300491,14.7100,14.7600,14.4100,14.6300,14.5100,1147372,16759891.0400
2019-06-21,sz.300491,15.4000,15.6500,14.8000,15.2900,14.6300,3549185,53911188.3600
2019-06-24,sz.300491,15.0000,15.1600,14.7600,14.8300,15.2900,2029193,30246892.2300
2019-06-25,sz.300491,14.8300,14.8600,14.1000,14.4100,14.8300,1809876,26045509.8600
2019-06-26,sz.300491,14.4000,14.6700,14.2000,14.4000,14.4100,1069920,15470170.4600
2019-06-27,sz.300491,14.3300,14.6700,14.3300,14.5200,14.4000,823653,11952664.2300
2019-06-28,sz.300491,14.5900,14.5900,14.1000,14.1700,14.5200,923980,13148926.4000
2019-07-01,sz.300491,14.4600,14.6700,14.2300,14.5200,14.1700,1220260,17658205.0000
2019-07-02,sz.300491,14.5600,14.8500,14.5000,14.7400,14.5200,1576797,23208567.8100
2019-07-03,sz.300491,14.6800,14.7500,14.3000,14.4500,14.7400,826880,11986032.8000
2019-07-04,sz.300491,14.4600,14.6000,14.2900,14.3500,14.4500,601720,8661969.6000
2019-07-05,sz.300491,14.4200,14.4500,14.2500,14.4500,14.3500,600280,8628624.8000
2019-07-08,sz.300491,14.8800,15.3000,14.5500,14.5700,14.4500,3773909,56359258.7600
2019-07-09,sz.300491,13.9900,14.5500,13.8000,14.1000,14.5700,2754345,38427080.4100
2019-07-10,sz.300491,14.0300,14.0500,13.7100,13.7700,14.1000,1374280,19054241.1600
2019-07-11,sz.300491,14.0700,14.0700,13.7400,13.9800,13.7700,1278126,17737471.6400
2019-07-12,sz.300491,13.8800,13.9800,13.8100,13.9400,13.9800,868892,12069838.3000
2019-07-15,sz.300491,13.8800,13.9900,13.4100,13.8700,13.9400,1307376,17962672.6800
2019-07-16,sz.300491,13.8700,13.9500,13.7600,13.9200,13.8700,920620,12790705.5400
2019-07-17,sz.300491,13.6900,13.9900,13.6900,13.9700,13.9200,938157,13064323.1600
