date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300568,22.4100,22.4200,22.0900,22.0900,22.1900,3010427,66894684.2800
2019-01-03,sz.300568,22.1200,22.2200,21.5100,21.9800,22.0900,3544027,77790673.2000
2019-01-04,sz.300568,21.6900,22.8700,21.3500,22.8300,21.9800,7693395,170878734.1500
2019-01-07,sz.300568,22.8500,23.1200,22.4800,23.1000,22.8300,6621189,151122333.6800
2019-01-08,sz.300568,22.8500,23.9900,22.7000,23.5100,23.1000,6971444,164006534.4500
2019-01-09,sz.300568,23.3300,23.4000,22.0600,22.7000,23.5100,8449974,192476897.1200
2019-01-10,sz.300568,22.5500,22.8000,22.2100,22.2800,22.7000,3607757,81207537.1300
2019-01-11,sz.300568,22.2100,22.6500,22.1700,22.6000,22.2800,2920956,65546619.0800
2019-01-14,sz.300568,22.5700,23.0300,22.5000,22.6000,22.6000,3160466,71912507.8800
2019-01-15,sz.300568,22.7000,23.1900,22.5200,23.1800,22.6000,4025654,92230571.2500
2019-01-16,sz.300568,23.0500,23.2600,22.6700,22.8000,23.1800,3246190,74368320.3300
2019-01-17,sz.300568,22.8000,22.8000,21.9800,22.0000,22.8000,3498397,78195240.3800
2019-01-18,sz.300568,22.0100,22.4000,21.8000,22.3100,22.0000,2965062,65635918.7800
2019-01-21,sz.300568,22.2700,22.8100,22.2200,22.7300,22.3100,3291878,74559891.7800
2019-01-22,sz.300568,22.6900,22.9500,22.3900,22.5000,22.7300,2646928,60002010.0400
2019-01-23,sz.300568,22.3100,24.7400,22.2100,24.2400,22.5000,11615759,275361804.2700
2019-01-24,sz.300568,24.0800,24.8800,23.7200,24.6700,24.2400,11669127,282271963.2200
2019-01-25,sz.300568,24.5100,25.6300,24.4100,24.6900,24.6700,9040797,225730134.0400
2019-01-28,sz.300568,24.9400,25.8800,24.6500,25.0500,24.6900,7819886,197562480.3800
2019-01-29,sz.300568,25.0400,25.7400,24.0200,25.1700,25.0500,6974679,174240563.9700
2019-01-30,sz.300568,24.8100,25.1600,24.3200,24.3700,25.1700,4114060,101959705.3500
2019-01-31,sz.300568,24.6400,25.4900,24.6400,24.9700,24.3700,5505008,137990618.7000
2019-02-01,sz.300568,25.0000,26.5700,24.9900,26.0200,24.9700,9889191,256353028.3200
2019-02-11,sz.300568,25.9100,27.3200,25.8200,26.9700,26.0200,6201093,164761725.6700
2019-02-12,sz.300568,26.8000,27.7400,26.6000,26.7400,26.9700,6259886,169288647.4200
2019-02-13,sz.300568,26.7800,27.4000,26.6500,26.8700,26.7400,6192263,167053684.5300
2019-02-14,sz.300568,26.7100,27.9800,26.7100,27.4700,26.8700,6617474,181952170.6700
2019-02-15,sz.300568,27.2000,27.5000,26.4700,26.4700,27.4700,7140132,190966978.2600
2019-02-18,sz.300568,26.8200,27.6400,26.7000,27.6400,26.4700,6431484,175035333.4700
2019-02-19,sz.300568,28.0000,28.2400,26.7500,27.3000,27.6400,5848072,160256480.6800
2019-02-20,sz.300568,27.1600,27.9000,26.7800,27.0000,27.3000,4549197,124057722.5600
2019-02-21,sz.300568,26.9500,27.2700,26.1500,26.3500,27.0000,6278109,168230845.1300
2019-02-22,sz.300568,26.3300,26.8600,26.2100,26.7800,26.3500,4811296,127617083.8500
2019-02-25,sz.300568,27.1000,29.4000,27.1000,28.9400,26.7800,12051474,341494904.9000
2019-02-26,sz.300568,28.9500,30.9900,28.2100,29.9100,28.9400,12259012,366020891.2100
2019-02-27,sz.300568,29.8000,30.7800,28.6900,29.1600,29.9100,7150971,213150811.9400
2019-02-28,sz.300568,29.9800,31.3200,29.8000,30.1200,29.1600,6323130,192834364.8700
2019-03-01,sz.300568,30.5000,31.4800,30.4900,31.2600,30.1200,7217871,224317823.7100
2019-03-04,sz.300568,31.2600,32.4500,30.6200,31.9600,31.2600,7978047,252804757.2400
2019-03-05,sz.300568,31.6400,31.7800,30.8000,31.6700,31.9600,6335872,198808960.4000
2019-03-06,sz.300568,31.6100,31.8700,30.6100,31.2600,31.6700,4978174,155208510.6600
2019-03-07,sz.300568,31.0200,32.1400,30.9700,31.3400,31.2600,5028197,158553644.1000
2019-03-08,sz.300568,30.7000,31.5900,29.8000,29.8000,31.3400,5893244,180685291.9000
2019-03-11,sz.300568,29.8000,32.4000,29.8000,32.2900,29.8000,7572488,235925750.4900
2019-03-12,sz.300568,32.4000,33.5000,31.8100,33.1300,32.2900,8268568,270929162.0000
2019-03-13,sz.300568,32.9500,32.9500,30.7000,30.9800,33.1300,7512781,239228220.7700
2019-03-14,sz.300568,30.7500,32.0000,29.4100,30.3900,30.9800,7278762,221683654.0800
2019-03-15,sz.300568,29.0300,29.7700,28.5300,28.7700,30.3900,9754422,284383620.5100
2019-03-18,sz.300568,29.0100,31.6500,28.8000,31.6500,28.7700,8858591,269688626.2300
2019-03-19,sz.300568,32.5000,33.3000,31.7400,32.2500,31.6500,7828397,254316345.3700
