date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300619,30.2500,30.2500,28.0000,28.1200,27.5000,5222585,153774924.8800
2019-01-03,sz.300619,28.1100,30.5000,28.1000,29.8000,28.1200,5169641,152073207.6800
2019-01-04,sz.300619,29.2700,31.1800,29.0500,30.8200,29.8000,5136000,154610916.0000
2019-01-07,sz.300619,30.1000,30.8800,30.0200,30.3300,30.8200,3462251,105558578.8700
2019-01-08,sz.300619,30.0800,31.0000,30.0000,30.6100,30.3300,2437751,74427626.8500
2019-01-09,sz.300619,30.2700,30.4800,29.1800,29.3200,30.6100,3429371,101522210.5300
2019-01-10,sz.300619,29.5900,29.9800,29.1100,29.3900,29.3200,1883251,55708349.1600
2019-01-11,sz.300619,29.3700,29.7000,28.6300,29.0900,29.3900,2225700,64883813.0000
2019-01-14,sz.300619,29.1200,30.9700,29.1200,30.6000,29.0900,3730555,112911381.8800
2019-01-15,sz.300619,29.0000,29.0000,27.5400,27.5400,30.6000,4004271,111729930.1600
2019-01-16,sz.300619,27.7600,28.2400,27.3200,27.8600,27.5400,2453822,68486747.3800
2019-01-17,sz.300619,28.1800,28.5500,28.0000,28.2500,27.8600,1897022,53558392.0800
2019-01-18,sz.300619,28.4100,28.5800,26.0000,27.2400,28.2500,2755500,74315605.0000
2019-01-21,sz.300619,27.0000,27.5800,26.3500,26.5100,27.2400,2686600,72616071.0000
2019-01-22,sz.300619,24.5000,24.6800,23.9100,23.9500,26.5100,5143523,125013176.3800
2019-01-23,sz.300619,23.9000,24.1900,23.8000,24.0100,23.9500,2212100,53129241.0000
2019-01-24,sz.300619,23.9700,24.0000,23.5800,23.6600,24.0100,1842322,43782105.0400
2019-01-25,sz.300619,23.6200,23.8500,23.3800,23.4700,23.6600,1352200,31962402.0000
2019-01-28,sz.300619,23.7000,23.7500,23.2200,23.3000,23.4700,1033030,24218032.6000
2019-01-29,sz.300619,23.0300,23.5200,22.5100,23.2200,23.3000,1057300,24411507.0000
2019-01-30,sz.300619,23.2100,23.2700,22.7000,22.7100,23.2200,685500,15730293.0000
2019-01-31,sz.300619,22.8100,22.9600,22.3100,22.4700,22.7100,966100,21872517.0000
2019-02-01,sz.300619,22.9000,23.0500,22.5200,23.0000,22.4700,713700,16322315.0000
2019-02-11,sz.300619,23.0200,23.7500,22.9000,23.6600,23.0000,998800,23439039.0000
2019-02-12,sz.300619,23.6400,23.9300,23.5100,23.8200,23.6600,982422,23327840.9400
2019-02-13,sz.300619,23.9000,24.3000,23.6900,24.2300,23.8200,1467522,35293380.0300
2019-02-14,sz.300619,24.2000,24.2300,23.8000,24.0100,24.2300,1178800,28298675.0000
2019-02-15,sz.300619,23.8800,24.1500,23.8800,23.9700,24.0100,833100,20020799.0000
2019-02-18,sz.300619,24.0100,24.8500,24.0100,24.7800,23.9700,1607700,39343873.8500
2019-02-19,sz.300619,24.7900,25.3000,24.5100,24.7500,24.7800,1667499,41467591.0300
2019-02-20,sz.300619,24.9000,26.3000,24.5800,26.2300,24.7500,3264800,83165590.8100
2019-02-21,sz.300619,26.0000,26.1700,25.4200,25.5600,26.2300,2850801,73237824.3700
2019-02-22,sz.300619,25.3800,25.9300,25.3100,25.8100,25.5600,1617100,41417338.0000
2019-02-25,sz.300619,25.7600,26.8800,25.7600,26.8600,25.8100,2474148,65165431.6600
2019-02-26,sz.300619,26.7100,27.1700,26.2100,26.4300,26.8600,2251249,59800212.1900
2019-02-27,sz.300619,26.3000,26.7400,25.7500,26.0000,26.4300,1638900,43047205.0000
2019-02-28,sz.300619,26.0800,26.4800,26.0100,26.3000,26.0000,1248635,32747285.0500
2019-03-01,sz.300619,26.3000,26.4200,25.9100,26.1700,26.3000,967522,25272233.4400
2019-03-04,sz.300619,26.3500,26.7500,26.1400,26.3200,26.1700,1864199,49370609.4600
2019-03-05,sz.300619,26.4000,26.8000,26.0300,26.8000,26.3200,1928786,51348339.7700
2019-03-06,sz.300619,27.0100,27.6100,26.7000,27.3100,26.8000,2134690,57913983.8100
2019-03-07,sz.300619,27.1800,28.0800,27.0100,27.7800,27.3100,2261399,62171416.2900
2019-03-08,sz.300619,27.3000,28.3000,26.5700,26.6300,27.7800,2600105,71358968.1500
2019-03-11,sz.300619,26.6000,27.7500,26.6000,27.7000,26.6300,1925999,52470574.6400
2019-03-12,sz.300619,27.8700,28.5000,27.4000,28.0300,27.7000,2111970,59149651.7000
2019-03-13,sz.300619,28.2500,28.3400,27.0100,27.2900,28.0300,1619285,44920389.1000
2019-03-14,sz.300619,27.2600,27.8000,26.7000,26.9500,27.2900,1731070,46948243.1900
2019-03-15,sz.300619,27.2400,27.4600,26.6600,27.0200,26.9500,1198700,32437443.0000
2019-03-18,sz.300619,27.2200,27.3700,26.7900,27.3600,27.0200,1289701,34923037.0000
2019-03-19,sz.300619,27.3000,27.5900,27.0200,27.3100,27.3600,1087700,29658247.7800
2019-03-20,sz.300619,27.3500,28.1000,27.0000,27.6200,27.3100,1709621,47140621.5700
2019-03-21,sz.300619,27.3500,27.7800,27.3500,27.7000,27.6200,1281622,35362480.2900
2019-03-22,sz.300619,27.7000,27.9400,27.1300,27.3700,27.7000,1466552,40186566.8300
2019-03-25,sz.300619,27.0100,27.2500,26.8300,26.9000,27.3700,1091252,29469564.0300
2019-03-26,sz.300619,27.0800,27.0800,25.6000,25.7900,26.9000,1374151,36345114.9200
2019-03-27,sz.300619,25.9000,26.0800,25.3500,25.6800,25.7900,1031600,26488283.0000
2019-03-28,sz.300619,25.5100,25.8800,25.3000,25.4300,25.6800,901800,23089914.0000
2019-03-29,sz.300619,25.3800,26.0400,25.0700,25.8900,25.4300,1058400,27107508.0000
2019-04-01,sz.300619,25.9000,26.8900,25.9000,26.8700,25.8900,1370800,36409244.0000
2019-04-02,sz.300619,26.9500,27.2400,26.7300,27.0900,26.8700,1245300,33601284.0000
2019-04-03,sz.300619,27.1900,27.3000,26.8700,27.2300,27.0900,1102700,29910531.0000
2019-04-04,sz.300619,27.4600,27.5000,26.9600,27.0800,27.2300,1137900,30932926.0000
2019-04-08,sz.300619,27.1200,27.8000,26.4400,26.7200,27.0800,1721900,46654566.0000
2019-04-09,sz.300619,26.6700,27.4700,26.6600,27.3200,26.7200,1292300,34817490.0000
2019-04-10,sz.300619,27.1900,27.1900,26.6600,26.8400,27.3200,1146899,30795499.9600
2019-04-11,sz.300619,26.8700,27.4300,26.5900,26.6000,26.8400,1336000,36153301.0000
2019-04-12,sz.300619,26.6000,26.7300,26.0100,26.3000,26.6000,1017900,26868088.0000
