date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300693,14.9900,15.0800,14.5900,14.7800,14.8700,1916650,28501157.0000
2019-01-03,sz.300693,14.7600,15.2800,14.7400,14.8600,14.7800,2379738,35544770.9800
2019-01-04,sz.300693,14.7300,15.4700,14.4000,15.2800,14.8600,2686490,40515444.2000
2019-01-07,sz.300693,15.5000,16.4500,15.1800,16.0800,15.2800,4987620,79480574.0000
2019-01-08,sz.300693,16.1500,16.2000,15.8200,16.0000,16.0800,3253952,51922371.6800
2019-01-09,sz.300693,16.0100,16.5000,15.9200,15.9200,16.0000,4425525,71825551.1500
2019-01-10,sz.300693,16.1000,16.6400,15.9500,16.3300,15.9200,5121259,83711246.7900
2019-01-11,sz.300693,16.3700,16.3800,15.9200,16.2500,16.3300,3424304,55263073.4400
2019-01-14,sz.300693,16.2000,16.2800,15.7300,15.9600,16.2500,2296944,36526578.1400
2019-01-15,sz.300693,15.8100,16.1800,15.8100,16.0700,15.9600,2211500,35465261.5000
2019-01-16,sz.300693,16.0700,16.2600,15.7100,15.8000,16.0700,2439678,39069435.9400
2019-01-17,sz.300693,15.8000,16.0300,15.1000,15.1900,15.8000,2731909,42714814.0700
2019-01-18,sz.300693,15.5700,16.7100,15.5700,16.7100,15.1900,2943705,48267496.0500
2019-01-21,sz.300693,18.3800,18.3800,18.0800,18.3800,16.7100,10061751,184779424.6300
2019-01-22,sz.300693,18.2900,18.7700,17.3500,17.4600,18.3800,15152564,272852886.6300
2019-01-23,sz.300693,17.2400,19.2100,17.0800,19.2100,17.4600,16938425,308831210.1200
2019-01-24,sz.300693,18.4000,19.0900,18.1900,18.4500,19.2100,13696029,254241490.5800
2019-01-25,sz.300693,18.0800,18.0900,17.2200,17.3000,18.4500,8667815,152773580.5600
2019-01-28,sz.300693,17.5800,17.9800,17.3200,17.6300,17.3000,7204858,127404424.5700
2019-01-29,sz.300693,17.0100,17.1200,15.8700,16.0000,17.6300,8642128,140942533.5000
2019-01-30,sz.300693,16.2600,16.7800,15.5000,16.1000,16.0000,5379370,87335131.4500
2019-01-31,sz.300693,16.0500,16.0500,14.8800,15.2100,16.1000,5119181,79351097.2500
2019-02-01,sz.300693,15.4000,15.6500,15.1000,15.5600,15.2100,2948450,45702426.5000
2019-02-11,sz.300693,15.5600,16.3500,15.5600,16.2900,15.5600,4194295,67401768.3500
2019-02-12,sz.300693,16.2900,17.5000,16.1100,17.1900,16.2900,7765174,132006667.3500
2019-02-13,sz.300693,17.0900,17.4300,16.7400,17.1700,17.1900,7893319,134923343.5500
2019-02-14,sz.300693,17.2500,17.4800,17.0000,17.2500,17.1700,6589100,113819476.6400
2019-02-15,sz.300693,17.2400,17.5500,17.1000,17.3800,17.2500,6013118,104567555.2100
2019-02-18,sz.300693,17.5500,17.9600,17.2700,17.9300,17.3800,7485762,132104421.8600
2019-02-19,sz.300693,17.8600,17.9700,17.2800,17.4800,17.9300,6638610,116768133.3500
2019-02-20,sz.300693,17.6000,17.9400,17.2100,17.7000,17.4800,5196940,91602655.9200
2019-02-21,sz.300693,17.7000,18.0700,17.3200,17.4700,17.7000,6196315,109397969.5400
2019-02-22,sz.300693,17.3000,17.6700,17.0200,17.5800,17.4700,4834166,83988488.8400
2019-02-25,sz.300693,17.6000,18.6400,17.6000,18.4500,17.5800,8550389,155085696.1700
2019-02-26,sz.300693,18.5000,19.5100,18.4800,18.6300,18.4500,10331440,196228479.1400
2019-02-27,sz.300693,18.3500,18.9500,18.1800,18.2600,18.6300,6257551,115979430.7100
2019-02-28,sz.300693,18.5500,18.9600,18.2700,18.8000,18.2600,4751544,88615929.6500
2019-03-01,sz.300693,18.9200,19.1700,18.4200,18.6000,18.8000,4276032,80121907.8800
2019-03-04,sz.300693,18.8000,19.4600,18.5100,19.1100,18.6000,9293636,177575911.4800
