date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300713,21.5600,21.7900,21.0300,21.1000,21.5500,887215,18846135.3900
2019-01-03,sz.300713,21.3000,21.4700,20.8200,20.8400,21.1000,860939,18180353.9200
2019-01-04,sz.300713,20.6100,21.5000,20.6000,21.3100,20.8400,802798,16972446.2300
2019-01-07,sz.300713,21.4400,22.1800,21.3200,21.8600,21.3100,1276793,27839184.0500
2019-01-08,sz.300713,21.8200,22.2500,21.6000,21.8000,21.8600,903673,19836142.2900
2019-01-09,sz.300713,21.9900,22.1600,21.7000,21.7000,21.8000,1309115,28776569.3100
2019-01-10,sz.300713,21.6800,22.3800,21.6300,21.8600,21.7000,1026716,22492869.1900
2019-01-11,sz.300713,21.8500,22.2200,21.4200,22.0000,21.8600,1498342,32771408.4500
2019-01-14,sz.300713,22.1500,22.1600,21.3200,21.3800,22.0000,866122,18782337.4000
2019-01-15,sz.300713,21.2100,21.7400,21.2100,21.6900,21.3800,676463,14592908.5300
2019-01-16,sz.300713,21.7100,22.1800,21.5100,22.1000,21.6900,1337871,29377922.2900
2019-01-17,sz.300713,22.1000,22.1900,21.3500,21.4400,22.1000,894652,19376813.6100
2019-01-18,sz.300713,21.4700,21.9900,21.3100,21.7400,21.4400,1041586,22527366.1200
2019-01-21,sz.300713,23.9100,23.9100,22.3400,22.5600,21.7400,4726510,110378378.1200
2019-01-22,sz.300713,22.3000,22.5000,21.7500,21.8300,22.5600,2805969,61929557.0500
2019-01-23,sz.300713,21.8000,22.5600,21.5700,22.4900,21.8300,2538696,56127846.5200
2019-01-24,sz.300713,22.2300,22.4900,22.0600,22.2100,22.4900,1849151,41119767.8600
2019-01-25,sz.300713,22.0600,22.2100,21.4500,21.4500,22.2100,1222837,26656961.6100
2019-01-28,sz.300713,21.3700,21.7400,21.0000,21.0600,21.4500,981088,20953244.2600
2019-01-29,sz.300713,21.0900,21.1800,19.3800,19.7600,21.0600,1327482,26490787.4500
2019-01-30,sz.300713,19.5700,20.0000,19.2300,19.2800,19.7600,769143,15105948.5500
2019-01-31,sz.300713,18.9900,19.1700,17.3500,17.4000,19.2800,2138613,38666335.6800
2019-02-01,sz.300713,17.4100,18.0800,17.4100,17.9300,17.4000,971106,17282272.6900
2019-02-11,sz.300713,17.9400,18.6500,17.9400,18.5500,17.9300,1093998,20085128.4700
2019-02-12,sz.300713,18.5200,19.4100,18.4200,18.8400,18.5500,1415152,26761452.4900
2019-02-13,sz.300713,18.8100,19.2800,18.6600,19.1900,18.8400,1470302,27960278.4400
2019-02-14,sz.300713,19.1900,19.7400,19.0700,19.2200,19.1900,1297321,25007492.9600
2019-02-15,sz.300713,19.2400,19.5000,19.1000,19.3400,19.2200,941058,18154854.0200
2019-02-18,sz.300713,19.4000,20.0600,19.3600,20.0200,19.3400,1402519,27739141.6300
2019-02-19,sz.300713,20.1100,20.3200,19.7200,20.1100,20.0200,1554393,31128110.5600
2019-02-20,sz.300713,20.1200,20.7300,19.9300,20.5800,20.1100,1963711,40130719.5300
2019-02-21,sz.300713,20.4700,20.8000,20.0000,20.2200,20.5800,1725667,35256974.4800
2019-02-22,sz.300713,20.1500,20.4800,19.9500,20.3500,20.2200,1554536,31378024.6300
2019-02-25,sz.300713,20.7000,21.6500,20.6800,21.3900,20.3500,2523954,53330359.6800
2019-02-26,sz.300713,21.5300,23.2700,21.5300,21.7800,21.3900,3117686,69606699.0700
2019-02-27,sz.300713,21.8200,22.5500,21.4800,21.6000,21.7800,2279259,49739750.2200
2019-02-28,sz.300713,21.5600,21.9400,21.4500,21.7800,21.6000,1401306,30311046.6500
2019-03-01,sz.300713,22.1900,22.1900,21.7000,21.8800,21.7800,1795048,39276956.3400
2019-03-04,sz.300713,22.0000,22.6500,22.0000,22.0800,21.8800,2477998,55299217.5000
2019-03-05,sz.300713,22.1500,22.8700,22.1500,22.5700,22.0800,2798933,63236287.9000
2019-03-06,sz.300713,22.6000,23.5100,22.2100,23.3300,22.5700,4184720,95875130.0100
2019-03-07,sz.300713,22.7500,24.0800,22.7500,23.7600,23.3300,4369011,102168179.8000
2019-03-08,sz.300713,23.3500,23.4600,22.3100,22.3100,23.7600,3189336,73360903.1300
2019-03-11,sz.300713,22.6100,24.5400,22.4400,24.5400,22.3100,3581233,84258788.7200
2019-03-12,sz.300713,25.4700,25.4900,23.8000,24.2000,24.5400,5127063,125439456.0100
2019-03-13,sz.300713,24.1100,24.4600,22.9300,23.0000,24.2000,3392237,79926534.7300
2019-03-14,sz.300713,23.1500,25.3000,23.1500,25.3000,23.0000,9650706,240090452.0200
2019-03-15,sz.300713,24.6900,26.8000,24.4500,26.4700,25.3000,10559389,270017292.0300
2019-03-18,sz.300713,25.8000,25.8400,25.0100,25.5800,26.4700,5216440,132468247.6800
2019-03-19,sz.300713,25.4100,25.5800,24.7000,25.0400,25.5800,3781956,94897127.7700
2019-03-20,sz.300713,25.0000,25.4800,24.5800,25.2900,25.0400,3124148,78138310.6300
2019-03-21,sz.300713,25.0000,25.1000,24.6800,24.8400,25.2900,2974152,74017106.8300
2019-03-22,sz.300713,24.8200,24.8200,23.7500,24.1700,24.8400,3306873,79826815.7300
2019-03-25,sz.300713,23.8500,24.0800,23.5800,23.6100,24.1700,1893060,45065605.8000
2019-03-26,sz.300713,23.7600,23.8600,22.4800,22.6000,23.6100,2181411,50185527.9400
2019-03-27,sz.300713,23.6200,24.3200,23.0300,23.3000,22.6000,3042404,72048973.1000
2019-03-28,sz.300713,22.7500,23.5900,22.5100,22.6500,23.3000,1901449,43616195.6100
2019-03-29,sz.300713,22.4400,23.2900,22.2100,23.1800,22.6500,1839106,41806768.3600
2019-04-01,sz.300713,23.3000,24.1800,23.1200,23.9900,23.1800,2560514,60665092.6800
2019-04-02,sz.300713,24.0100,24.0800,23.7500,23.8300,23.9900,2129233,50922639.5200
2019-04-03,sz.300713,23.6900,24.4700,23.6000,24.4700,23.8300,2553291,61769677.3300
2019-04-04,sz.300713,24.7000,24.7500,24.0400,24.1100,24.4700,1863426,45152971.0700
2019-04-08,sz.300713,24.1100,24.3100,23.3000,23.5200,24.1100,1874996,44630912.6800
2019-04-09,sz.300713,23.5200,24.0500,23.2600,24.0500,23.5200,1149671,27293257.9000
2019-04-10,sz.300713,23.5100,23.9700,23.5000,23.7700,24.0500,1100700,26185843.4000
2019-04-11,sz.300713,23.7700,24.2800,23.6900,23.7100,23.7700,1179305,28235863.4300
2019-04-12,sz.300713,23.7100,23.7500,22.7600,23.0200,23.7100,1340632,31050204.0200
2019-04-15,sz.300713,23.1000,23.5400,23.0000,23.0000,23.0200,875599,20433859.3200
2019-04-16,sz.300713,23.0000,23.4500,22.5700,23.4000,23.0000,865594,20008085.0300
2019-04-17,sz.300713,23.4700,23.9600,23.0800,23.7200,23.4000,1287224,30421314.5300
2019-04-18,sz.300713,23.8700,24.1100,23.6000,23.7100,23.7200,1447770,34618937.4800
2019-04-19,sz.300713,23.5200,24.1500,23.2300,23.9600,23.7100,1388476,32970197.2200
2019-04-22,sz.300713,24.0600,24.2000,23.6200,23.7300,23.9600,1065802,25431150.6000
2019-04-23,sz.300713,23.5100,23.9000,23.0100,23.4100,23.7300,1249808,29374698.5100
2019-04-24,sz.300713,23.3500,23.7000,23.0500,23.4500,23.4100,712200,16619219.1000
2019-04-25,sz.300713,23.3300,23.5200,21.4900,21.7000,23.4500,1537424,34621466.7400
2019-04-26,sz.300713,21.7000,22.3000,21.0000,21.0300,21.7000,959340,20565614.9600
2019-04-29,sz.300713,20.8000,21.2000,19.2500,19.6600,21.0300,1287148,25968930.0700
2019-04-30,sz.300713,19.8800,20.3000,19.8800,20.0900,19.6600,789411,15855427.3200
2019-05-06,sz.300713,19.7900,19.7900,18.0800,18.0800,20.0900,1164000,21691708.7600
2019-05-07,sz.300713,18.2100,18.5700,17.9400,18.5300,18.0800,896862,16448323.2400
2019-05-08,sz.300713,18.3000,19.0800,18.0000,18.8200,18.5300,747491,14023823.3200
2019-05-09,sz.300713,18.9900,19.3000,18.1400,18.7900,18.8200,655067,12439279.9300
2019-05-10,sz.300713,19.2800,19.5900,18.6600,19.4100,18.7900,896076,17297941.5500
2019-05-13,sz.300713,19.1800,19.7800,19.0600,19.6000,19.4100,655041,12779347.4800
2019-05-14,sz.300713,19.4600,19.7400,19.1200,19.3000,19.6000,651152,12680901.0400
2019-05-15,sz.300713,19.3900,19.7600,19.3500,19.6700,19.3000,651490,12793247.7000
2019-05-16,sz.300713,19.7400,20.0500,19.6100,19.9800,19.6700,566410,11283138.2000
2019-05-17,sz.300713,19.8300,20.1800,18.8400,18.8700,19.9800,860814,16706680.9900
2019-05-20,sz.300713,18.9700,19.5800,18.8500,19.5100,18.8700,758877,14685552.7500
2019-05-21,sz.300713,19.6800,19.8500,19.3000,19.5100,19.5100,761061,14910742.6400
