date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000725,2.6400,2.6500,2.5800,2.5800,2.6300,200078034,520017149.2000
2019-01-03,sz.000725,2.5800,2.6200,2.5700,2.5800,2.5800,168763724,437458776.9300
2019-01-04,sz.000725,2.5600,2.6500,2.5400,2.6300,2.5800,320334864,834450362.0300
2019-01-07,sz.000725,2.6500,2.6700,2.6200,2.6600,2.6300,337443728,893091491.0900
2019-01-08,sz.000725,2.6500,2.7600,2.6200,2.7100,2.6600,551406592,1490870862.2400
2019-01-09,sz.000725,2.6900,2.7500,2.6800,2.6900,2.7100,450626272,1222640933.4200
2019-01-10,sz.000725,2.6800,2.6900,2.6600,2.6700,2.6900,254622180,680742373.7700
2019-01-11,sz.000725,2.6900,2.7000,2.6600,2.6800,2.6700,227365342,608990510.1400
2019-01-14,sz.000725,2.6800,2.7300,2.6500,2.7100,2.6800,345425600,928365027.1700
2019-01-15,sz.000725,2.7000,2.7200,2.6800,2.7100,2.7100,280043248,757360841.0000
2019-01-16,sz.000725,2.7100,2.7200,2.6600,2.6700,2.7100,302812816,812876809.1200
2019-01-17,sz.000725,2.6700,2.7100,2.6500,2.6700,2.6700,274311792,734913640.7100
2019-01-18,sz.000725,2.6700,2.7100,2.6700,2.7000,2.6700,271448640,730789973.1400
2019-01-21,sz.000725,2.7000,2.7400,2.6900,2.7100,2.7000,317553200,859514979.4200
2019-01-22,sz.000725,2.7000,2.7000,2.6500,2.6600,2.7100,258446186,691035929.9400
2019-01-23,sz.000725,2.6600,2.6700,2.6300,2.6500,2.6600,197945137,524764572.4400
2019-01-24,sz.000725,2.6500,2.6700,2.6200,2.6500,2.6500,236364301,625640956.5200
2019-01-25,sz.000725,2.6500,2.6700,2.6300,2.6400,2.6500,226589313,601481653.2800
2019-01-28,sz.000725,2.6600,2.6900,2.6500,2.6500,2.6400,256891788,684648073.6400
2019-01-29,sz.000725,2.6400,2.6400,2.6000,2.6200,2.6500,243533249,638348921.3700
2019-01-30,sz.000725,2.6100,2.6300,2.6000,2.6000,2.6200,147033003,384071141.2600
2019-01-31,sz.000725,2.6100,2.6200,2.5400,2.5600,2.6000,347319920,895356738.4600
2019-02-01,sz.000725,2.5600,2.6200,2.5600,2.6200,2.5600,277229264,721010719.2600
2019-02-11,sz.000725,2.6200,2.7400,2.6100,2.7400,2.6200,655926624,1769017720.8300
2019-02-12,sz.000725,2.7400,3.0100,2.7200,3.0100,2.7400,2070794768,6082754790.9200
2019-02-13,sz.000725,3.1500,3.3100,3.1300,3.3100,3.0100,1556651408,5007098259.5100
2019-02-14,sz.000725,3.6400,3.6400,3.3900,3.5300,3.3100,3990576608,14124856384.9300
2019-02-15,sz.000725,3.4600,3.6700,3.4500,3.5800,3.5300,2677641520,9530564389.5500
2019-02-18,sz.000725,3.6200,3.8900,3.4700,3.7800,3.5800,3277468608,11927029707.5600
2019-02-19,sz.000725,3.7300,3.8400,3.6600,3.7600,3.7800,2372256112,8854799143.7000
2019-02-20,sz.000725,3.6900,3.9300,3.6700,3.8300,3.7600,2318355024,8848682069.0900
2019-02-21,sz.000725,3.8000,3.9200,3.7200,3.7500,3.8300,2080239664,7909276814.4800
2019-02-22,sz.000725,3.7100,3.8400,3.7000,3.8100,3.7500,1604865728,6065852200.3300
2019-02-25,sz.000725,4.0000,4.1900,3.9100,4.1900,3.8100,2440220224,10097318523.8100
2019-02-26,sz.000725,4.4000,4.6100,4.1900,4.4000,4.1900,4034860432,17847532190.8000
2019-02-27,sz.000725,4.3700,4.4500,4.0300,4.1400,4.4000,2942373360,12572027942.8400
2019-02-28,sz.000725,4.1700,4.2100,4.0000,4.0700,4.1400,1765839056,7234875795.7400
2019-03-01,sz.000725,4.1000,4.2800,4.0100,4.2800,4.0700,1876186384,7776229035.3000
2019-03-04,sz.000725,4.4200,4.4900,4.2600,4.3200,4.2800,2407850720,10525626493.3300
2019-03-05,sz.000725,4.2800,4.4500,4.2100,4.4200,4.3200,1863466128,8141510945.3300
2019-03-06,sz.000725,4.2700,4.3300,4.1300,4.3000,4.4200,3102427232,13121176415.8400
2019-03-07,sz.000725,4.2100,4.3100,4.1600,4.2000,4.3000,2034755280,8579570425.0500
2019-03-08,sz.000725,4.0500,4.2400,4.0100,4.0200,4.2000,1962622176,8029918003.8300
2019-03-11,sz.000725,4.0500,4.1800,3.9600,4.1400,4.0200,1804929216,7349124771.8700
2019-03-12,sz.000725,4.1400,4.1700,4.0700,4.1200,4.1400,1554150496,6392693352.5000
2019-03-13,sz.000725,4.1000,4.1000,3.9000,3.9300,4.1200,1441156000,5770499595.1400
2019-03-14,sz.000725,3.9000,3.9600,3.7700,3.8100,3.9300,1182154544,4539646614.2200
2019-03-15,sz.000725,3.8500,3.8800,3.7800,3.8200,3.8100,809943392,3101715923.2500
2019-03-18,sz.000725,3.8200,3.8700,3.7400,3.8700,3.8200,1099457616,4206679356.2500
2019-03-19,sz.000725,3.8600,4.0200,3.8400,3.9500,3.8700,1259747712,4965296726.0500
2019-03-20,sz.000725,3.9500,3.9500,3.8400,3.9100,3.9500,787172864,3061677339.5100
2019-03-21,sz.000725,3.9000,3.9900,3.8800,3.9300,3.9100,965869856,3816274894.2800
