date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300745,36.2100,36.4000,34.5000,34.8800,36.2100,2793770,98317158.7600
2019-01-03,sz.300745,34.8000,35.1800,33.1800,33.2800,34.8800,2768302,94487466.3400
2019-01-04,sz.300745,32.8000,33.9600,32.3600,33.9000,33.2800,2279201,76110533.5300
2019-01-07,sz.300745,34.2000,35.3800,33.7600,34.5600,33.9000,2640207,90670053.3500
2019-01-08,sz.300745,34.1500,34.6000,33.9500,34.1200,34.5600,1766502,60471690.5600
2019-01-09,sz.300745,35.1200,35.2000,34.1300,34.1400,34.1200,2774504,96377994.6100
2019-01-10,sz.300745,34.3200,34.7900,33.5000,33.5800,34.1400,2209935,75408097.8200
2019-01-11,sz.300745,33.6000,35.9900,33.5000,35.5200,33.5800,4751364,165184868.1900
2019-01-14,sz.300745,35.2500,35.4000,34.2400,34.5700,35.5200,3360770,116498892.6700
2019-01-15,sz.300745,35.0000,35.2000,34.5900,35.1000,34.5700,2713923,94792360.9800
2019-01-16,sz.300745,36.2000,38.6100,35.2000,38.6100,35.1000,5137435,189723801.0000
2019-01-17,sz.300745,39.0600,39.8800,37.6000,37.6100,38.6100,10004744,388312114.8200
2019-01-18,sz.300745,36.0000,37.3500,36.0000,36.9700,37.6100,5866647,214631141.0100
2019-01-21,sz.300745,37.5200,38.5300,36.7500,36.7500,36.9700,4695090,176726184.0300
2019-01-22,sz.300745,36.6300,40.0000,36.3900,38.4400,36.7500,7620617,292840874.9900
2019-01-23,sz.300745,38.0000,40.3800,37.4500,39.7300,38.4400,8257564,322881169.7400
2019-01-24,sz.300745,39.3000,39.5000,38.3900,38.7600,39.7300,5720903,222905219.4200
2019-01-25,sz.300745,38.6700,38.6900,36.7800,36.8700,38.7600,4286095,161879895.6500
2019-01-28,sz.300745,37.1300,37.6800,36.4100,36.9200,36.8700,2556202,94609059.2400
2019-01-29,sz.300745,36.7100,36.9700,33.2300,34.2800,36.9200,3329182,115930538.2200
2019-01-30,sz.300745,33.7400,34.4500,32.8200,32.8400,34.2800,3083956,103435254.4400
2019-01-31,sz.300745,33.0000,33.3700,30.4100,30.9100,32.8400,3091775,98511670.7900
2019-02-01,sz.300745,31.2300,31.7500,31.2200,31.4900,30.9100,1777508,56095921.3900
2019-02-11,sz.300745,31.5600,32.6400,31.5600,32.6400,31.4900,1846012,59611777.0000
2019-02-12,sz.300745,32.6300,34.3300,32.4500,33.4800,32.6400,2644511,88443122.7300
2019-02-13,sz.300745,33.5000,34.1400,33.0400,33.9000,33.4800,3459746,116383245.5600
2019-02-14,sz.300745,33.6700,34.2900,33.5600,33.9900,33.9000,2571017,87304930.2700
2019-02-15,sz.300745,33.9900,34.2100,33.7400,33.9200,33.9900,2388816,81179345.7800
2019-02-18,sz.300745,34.1900,35.3500,33.9300,35.1800,33.9200,3400045,117680837.2900
2019-02-19,sz.300745,35.2000,35.7900,34.4000,34.9600,35.1800,3660444,128559913.7000
2019-02-20,sz.300745,35.1100,35.4300,34.6300,35.2600,34.9600,2665424,93432403.8900
2019-02-21,sz.300745,35.2700,36.1700,34.6200,34.7500,35.2600,3963345,139581427.1300
2019-02-22,sz.300745,34.6000,35.8800,34.2200,35.7200,34.7500,4390599,154099555.3200
2019-02-25,sz.300745,36.3000,37.3000,35.7000,37.2600,35.7200,5611012,205079444.7200
2019-02-26,sz.300745,37.1000,38.8700,36.4000,37.4500,37.2600,7097945,267800633.1000
2019-02-27,sz.300745,37.5900,38.3900,36.6200,37.0200,37.4500,4314826,162314814.5300
2019-02-28,sz.300745,36.7200,38.2900,36.7200,38.2000,37.0200,4207712,159074494.7400
2019-03-01,sz.300745,38.3100,38.9500,37.7000,38.2100,38.2000,3834914,146899098.6100
2019-03-04,sz.300745,38.2500,38.8600,37.7500,38.4000,38.2100,6250627,239269149.7400
2019-03-05,sz.300745,38.4000,39.8800,38.0600,39.1700,38.4000,5656610,220024676.6900
2019-03-06,sz.300745,38.7400,39.8900,38.2000,39.6700,39.1700,6621374,259152073.8900
2019-03-07,sz.300745,39.6600,41.6500,38.5000,40.8700,39.6700,7957024,320927805.9400
2019-03-08,sz.300745,39.4400,39.9600,36.7800,37.1200,40.8700,5955867,232144413.7000
2019-03-11,sz.300745,37.5100,38.6900,37.4500,38.6700,37.1200,3486500,132836913.3500
2019-03-12,sz.300745,39.4400,40.2000,38.3800,39.4800,38.6700,5092986,201112628.4200
2019-03-13,sz.300745,39.4900,42.6800,39.0100,40.0100,39.4800,6761480,272518777.4500
2019-03-14,sz.300745,39.2600,39.4300,37.5000,37.8000,40.0100,4278211,163768443.4800
2019-03-15,sz.300745,37.9500,38.4300,37.5700,38.1700,37.8000,2485136,94737089.9800
2019-03-18,sz.300745,38.9600,39.9600,38.7000,39.4400,38.1700,3523845,138407509.2200
2019-03-19,sz.300745,39.0400,39.4400,38.5200,38.9200,39.4400,2930562,114135015.0500
2019-03-20,sz.300745,38.8100,38.9500,37.0800,38.0100,38.9200,3233603,122846566.0800
2019-03-21,sz.300745,38.1000,38.8900,37.7800,38.4600,38.0100,3163300,121067633.0000
2019-03-22,sz.300745,38.3000,38.4800,37.3700,38.0200,38.4600,2244402,85076706.5400
2019-03-25,sz.300745,37.0700,37.6900,37.0400,37.0800,38.0200,2076103,77446667.6000
2019-03-26,sz.300745,37.1800,37.4400,35.8600,35.9300,37.0800,2471203,90629749.6100
2019-03-27,sz.300745,36.6000,36.7700,35.6200,36.0000,35.9300,1782904,64488393.0300
2019-03-28,sz.300745,36.0500,36.0500,34.9100,34.9700,36.0000,1980850,70172192.0000
2019-03-29,sz.300745,35.0900,35.7300,34.5100,35.6300,34.9700,1747734,61602417.1000
2019-04-01,sz.300745,35.6500,36.9200,35.6500,36.8800,35.6300,2325104,84923128.1200
