date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300751,120.5000,128.2900,119.8400,125.6900,119.7200,1078680,134828113.8200
2019-01-03,sz.300751,125.0000,128.8800,124.8000,126.6100,125.6900,1093938,139016933.8100
2019-01-04,sz.300751,126.0100,135.6600,126.0000,135.3600,126.6100,1315805,172998050.8800
2019-01-07,sz.300751,135.0000,148.8900,134.0200,143.9600,135.3600,1458038,204397318.2600
2019-01-08,sz.300751,142.5100,145.7800,139.9900,143.0000,143.9600,949877,135285332.1500
2019-01-09,sz.300751,143.9700,145.4500,138.5000,139.0500,143.0000,954913,135299305.5800
2019-01-10,sz.300751,141.6200,146.3000,140.1000,142.1200,139.0500,1067310,152850575.0000
2019-01-11,sz.300751,140.0000,141.4700,134.5000,139.4900,142.1200,1555963,213962951.5200
2019-01-14,sz.300751,139.0300,143.8800,137.6400,140.0000,139.4900,699513,98424527.2400
2019-01-15,sz.300751,139.0000,144.3200,137.0300,144.1300,140.0000,872678,122988574.3600
2019-01-16,sz.300751,143.0300,156.0000,143.0300,145.3000,144.1300,1172143,174135914.0700
2019-01-17,sz.300751,147.5200,148.9500,143.2500,145.9100,145.3000,739272,107818448.4800
2019-01-18,sz.300751,142.0000,145.9000,137.0000,142.2000,145.9100,1015125,143161578.8000
2019-01-21,sz.300751,142.0900,145.5200,142.0900,142.5900,142.2000,470450,67394951.5000
2019-01-22,sz.300751,143.8700,153.7400,142.1200,153.6000,142.5900,1222964,181506403.0400
2019-01-23,sz.300751,153.6000,155.6600,148.0000,153.4800,153.6000,960586,145645554.6000
2019-01-24,sz.300751,152.1200,153.7900,147.6600,153.4000,153.4800,915876,138031748.5600
2019-01-25,sz.300751,153.2000,166.2500,152.0300,162.1000,153.4000,1166098,186320001.3000
2019-01-28,sz.300751,161.3400,169.9300,158.3800,167.9000,162.1000,976646,160782696.5400
2019-01-29,sz.300751,166.6000,169.7700,160.0200,165.8500,167.9000,882928,145894941.9800
2019-01-30,sz.300751,165.0200,168.4700,149.2700,149.3000,165.8500,1648045,258002467.7900
2019-01-31,sz.300751,148.9600,152.9400,147.3000,148.7500,149.3000,768103,115492171.7500
2019-02-01,sz.300751,149.7200,160.0000,146.0400,158.0800,148.7500,874678,134888564.9000
2019-02-11,sz.300751,158.3800,169.8000,157.5100,164.2100,158.0800,902238,147117336.9000
2019-02-12,sz.300751,165.9000,173.2200,164.0000,173.0000,164.2100,1090386,183929329.2700
2019-02-13,sz.300751,177.0000,177.0000,168.0100,171.3900,173.0000,934581,159553259.8000
2019-02-14,sz.300751,170.0500,172.1000,167.1100,171.8300,171.3900,879812,149199351.0500
