date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600000,9.7400,9.7900,9.5800,9.7000,9.8000,23762822,229625669.0000
2019-01-03,sh.600000,9.7000,9.8200,9.6600,9.8100,9.7000,18654262,181975985.0000
2019-01-04,sh.600000,9.7300,10.0000,9.7000,9.9600,9.8100,27172844,268964563.0000
2019-01-07,sh.600000,10.0900,10.0900,9.9200,9.9800,9.9600,23597376,235440197.0000
2019-01-08,sh.600000,10.0300,10.0300,9.9100,9.9600,9.9800,15104933,150501650.0000
2019-01-09,sh.600000,10.0600,10.1600,9.9800,9.9900,9.9600,23163720,233890281.0000
2019-01-10,sh.600000,9.9400,10.0200,9.9200,9.9600,9.9900,15923566,158718755.0000
2019-01-11,sh.600000,10.0300,10.1500,9.9600,10.0500,9.9600,19069069,191290102.0000
2019-01-14,sh.600000,10.0300,10.1000,10.0100,10.0600,10.0500,20352840,204659052.0000
2019-01-15,sh.600000,10.1000,10.1500,10.0500,10.1100,10.0600,15632125,158126136.0000
2019-01-16,sh.600000,10.1000,10.1500,10.0700,10.1300,10.1100,12988340,131354721.0000
2019-01-17,sh.600000,10.1700,10.2800,10.0700,10.1700,10.1300,22766048,232114667.0000
2019-01-18,sh.600000,10.2900,10.4400,10.2200,10.4300,10.1700,29087141,300979124.0000
2019-01-21,sh.600000,10.3600,10.4600,10.3000,10.3500,10.4300,18947789,196394076.0000
2019-01-22,sh.600000,10.3800,10.3800,10.2300,10.2500,10.3500,16250557,167165417.0000
2019-01-23,sh.600000,10.2900,10.3400,10.2500,10.2700,10.2500,16520327,170289907.0000
2019-01-24,sh.600000,10.3400,10.3900,10.2700,10.3800,10.2700,15006699,155265972.0000
2019-01-25,sh.600000,10.4500,10.5600,10.3800,10.5000,10.3800,19696587,206935398.0000
2019-01-28,sh.600000,10.5300,10.6600,10.3900,10.4200,10.5000,21769073,229185387.0000
2019-01-29,sh.600000,10.3900,10.6300,10.3800,10.5800,10.4200,23768004,250301612.0000
2019-01-30,sh.600000,10.5900,10.6400,10.4700,10.5000,10.5800,16054256,169387635.0000
2019-01-31,sh.600000,10.5900,10.7300,10.5100,10.7300,10.5000,25131034,267614893.0000
2019-02-01,sh.600000,10.8200,10.8200,10.6200,10.7700,10.7300,19119343,204604273.0000
2019-02-11,sh.600000,10.6200,10.7300,10.6200,10.7000,10.7700,20216568,215903077.0000
2019-02-12,sh.600000,10.7100,10.7300,10.6300,10.7200,10.7000,16769601,179099038.0000
