date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600030,16.0100,16.0100,16.0100,16.0100,16.0100,0,0.0000
2019-01-03,sh.600030,16.0100,16.0100,16.0100,16.0100,16.0100,0,0.0000
2019-01-04,sh.600030,16.0100,16.0100,16.0100,16.0100,16.0100,0,0.0000
2019-01-07,sh.600030,16.0100,16.0100,16.0100,16.0100,16.0100,0,0.0000
2019-01-08,sh.600030,16.0100,16.0100,16.0100,16.0100,16.0100,0,0.0000
2019-01-09,sh.600030,16.0100,16.0100,16.0100,16.0100,16.0100,0,0.0000
2019-01-10,sh.600030,17.1500,17.1500,16.7500,16.8000,16.0100,218684412,3703434312.0000
2019-01-11,sh.600030,16.8000,17.0300,16.7400,16.9700,16.8000,112769559,1908024319.0000
2019-01-14,sh.600030,17.1100,17.2600,16.9700,17.0000,16.9700,86110894,1471577136.0000
2019-01-15,sh.600030,17.0400,17.7200,17.0100,17.6000,17.0000,180546995,3152949475.0000
2019-01-16,sh.600030,17.6300,17.7500,17.4800,17.6400,17.6000,110444369,1945845696.0000
2019-01-17,sh.600030,17.7500,17.8700,17.5100,17.5600,17.6400,88332561,1561153014.0000
2019-01-18,sh.600030,17.6700,17.9400,17.5100,17.8800,17.5600,111055563,1973470383.0000
2019-01-21,sh.600030,17.8800,18.1400,17.6900,17.8400,17.8800,113213508,2027762945.0000
2019-01-22,sh.600030,17.7500,17.8300,17.3700,17.4700,17.8400,92181316,1620587941.0000
2019-01-23,sh.600030,17.5500,17.6300,17.3600,17.5200,17.4700,51943129,909072392.0000
2019-01-24,sh.600030,17.6000,18.0800,17.5200,17.8900,17.5200,115756966,2065794375.0000
2019-01-25,sh.600030,17.9500,18.2500,17.8900,18.0400,17.8900,113196862,2051498543.0000
2019-01-28,sh.600030,18.2900,18.4200,17.8200,18.0000,18.0400,100745695,1831738250.0000
2019-01-29,sh.600030,17.9200,18.2100,17.8200,18.1000,18.0000,76907013,1386058446.0000
