date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600038,37.5100,38.3500,37.3200,37.5000,37.3600,3494452,131950011.0000
2019-01-03,sh.600038,37.3100,39.4500,37.3100,38.9100,37.5000,6166571,239968273.0000
2019-01-04,sh.600038,38.5800,39.7500,38.1000,39.6000,38.9100,4042200,158709288.0000
2019-01-07,sh.600038,40.0000,41.1700,39.6000,40.7000,39.6000,6748450,273371614.0000
2019-01-08,sh.600038,40.5200,41.2000,39.9000,40.8200,40.7000,4235762,172416599.0000
2019-01-09,sh.600038,40.7000,41.4500,40.4000,40.5200,40.8200,4411783,180209195.0000
2019-01-10,sh.600038,40.5000,40.9000,39.9800,40.1000,40.5200,3386954,136514843.0000
2019-01-11,sh.600038,40.2800,41.0600,40.0300,40.9000,40.1000,4218612,171227646.0000
2019-01-14,sh.600038,40.7000,41.3600,40.4100,40.6200,40.9000,2794448,114326102.0000
2019-01-15,sh.600038,40.9000,41.4600,40.4600,41.3000,40.6200,2940907,120866107.0000
2019-01-16,sh.600038,41.0700,41.5500,40.4300,40.7000,41.3000,3705542,151212130.0000
2019-01-17,sh.600038,40.6300,40.8000,39.9100,40.5000,40.7000,2562064,103583907.0000
2019-01-18,sh.600038,40.5000,40.7000,39.9600,40.5800,40.5000,2741368,110441682.0000
2019-01-21,sh.600038,40.5800,41.6900,40.1800,41.6200,40.5800,5264752,217266769.0000
2019-01-22,sh.600038,41.5000,41.6000,41.0200,41.1500,41.6200,2305708,95089186.0000
2019-01-23,sh.600038,41.2000,41.5700,40.5100,41.5100,41.1500,3168561,129858666.0000
2019-01-24,sh.600038,41.6000,42.4400,41.1200,42.3700,41.5100,4395386,184744963.0000
2019-01-25,sh.600038,42.4600,42.4800,41.8700,41.9800,42.3700,1737113,73187406.0000
2019-01-28,sh.600038,42.1700,42.3900,41.4000,41.6300,41.9800,2643255,110500052.0000
2019-01-29,sh.600038,41.6400,41.6900,40.0500,40.7600,41.6300,4607015,187239081.0000
2019-01-30,sh.600038,40.6200,41.5000,40.3700,40.8200,40.7600,3110238,127559267.0000
2019-01-31,sh.600038,40.8000,41.1000,40.1800,40.2600,40.8200,3501063,141899039.0000
2019-02-01,sh.600038,40.4400,41.8500,40.4300,41.4300,40.2600,3192561,131778440.0000
2019-02-11,sh.600038,41.7800,42.2200,41.5500,42.1700,41.4300,3926311,164654149.0000
2019-02-12,sh.600038,42.1700,43.3000,41.7000,42.9900,42.1700,4514355,193007013.0000
2019-02-13,sh.600038,42.9800,43.6700,42.6500,43.3900,42.9900,3903747,168884451.0000
2019-02-14,sh.600038,43.3900,44.1100,43.0700,43.5700,43.3900,3721925,162758084.0000
2019-02-15,sh.600038,43.6900,43.9000,42.6000,42.6800,43.5700,4218256,181676406.0000
2019-02-18,sh.600038,42.9900,45.1200,42.9900,44.9000,42.6800,6332988,281139034.0000
