date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600089,6.8200,6.9200,6.7300,6.9200,6.7900,12635458,85796723.0000
2019-01-03,sh.600089,6.8500,6.9300,6.8200,6.9200,6.9200,17933264,123583832.0000
2019-01-04,sh.600089,6.8500,7.2900,6.8300,7.2800,6.9200,87808678,628530456.0000
2019-01-07,sh.600089,7.3100,7.5300,7.2600,7.4500,7.2800,95615499,708704193.0000
2019-01-08,sh.600089,7.4000,7.4400,7.3000,7.3400,7.4500,48542694,357107466.0000
2019-01-09,sh.600089,7.3700,7.4500,7.3100,7.3100,7.3400,48688611,359490974.0000
2019-01-10,sh.600089,7.3200,7.4600,7.2800,7.3300,7.3100,41795171,308405459.0000
2019-01-11,sh.600089,7.3200,7.4000,7.2800,7.3900,7.3300,29734059,218502228.0000
2019-01-14,sh.600089,7.3800,7.4100,7.3000,7.3300,7.3900,21606048,158399101.0000
2019-01-15,sh.600089,7.3200,7.4400,7.2600,7.4000,7.3300,33169744,244265304.0000
2019-01-16,sh.600089,7.4000,7.4100,7.2600,7.2900,7.4000,28658600,209796525.0000
2019-01-17,sh.600089,7.2800,7.3000,7.1500,7.1600,7.2900,28468055,204885319.0000
2019-01-18,sh.600089,7.2300,7.2600,7.1500,7.2300,7.1600,20318117,146321778.0000
2019-01-21,sh.600089,7.2500,7.3100,7.2100,7.2300,7.2300,21410047,155325476.0000
2019-01-22,sh.600089,7.2300,7.2600,7.1600,7.2000,7.2300,14788554,106542657.0000
2019-01-23,sh.600089,7.1600,7.2400,7.1600,7.2200,7.2000,12938907,93208110.0000
2019-01-24,sh.600089,7.2300,7.2800,7.1600,7.2400,7.2200,22429470,162042862.0000
2019-01-25,sh.600089,7.2400,7.3400,7.2200,7.2500,7.2400,27091300,197359014.0000
2019-01-28,sh.600089,7.2600,7.3700,7.1900,7.2000,7.2500,28757558,209567324.0000
2019-01-29,sh.600089,7.2100,7.2400,7.0300,7.1100,7.2000,28082970,199354038.0000
2019-01-30,sh.600089,7.1000,7.1900,7.0600,7.1200,7.1100,15636455,111590557.0000
2019-01-31,sh.600089,7.1400,7.1500,6.9800,7.0200,7.1200,25130590,177682709.0000
2019-02-01,sh.600089,7.0700,7.2200,7.0500,7.2200,7.0200,26043635,186285958.0000
2019-02-11,sh.600089,7.2200,7.3400,7.2200,7.3300,7.2200,28710176,209303094.0000
2019-02-12,sh.600089,7.3200,7.3800,7.3000,7.3600,7.3300,30641492,225130630.0000
2019-02-13,sh.600089,7.3700,7.5800,7.3200,7.5600,7.3600,62317102,465599365.0000
2019-02-14,sh.600089,7.5500,7.6400,7.5100,7.5400,7.5600,39830240,300848957.0000
2019-02-15,sh.600089,7.5200,7.6300,7.4600,7.4900,7.5400,34186650,257743885.0000
2019-02-18,sh.600089,7.5500,7.7500,7.5500,7.7500,7.4900,57900333,444881638.0000
2019-02-19,sh.600089,7.7600,7.7800,7.5800,7.6900,7.7500,46160020,354685167.0000
2019-02-20,sh.600089,7.6500,7.6700,7.5700,7.6500,7.6900,29872988,227422183.0000
2019-02-21,sh.600089,7.6500,7.7200,7.5400,7.5600,7.6500,41556110,317289314.0000
2019-02-22,sh.600089,7.6000,7.7400,7.5700,7.7300,7.5600,41137208,315333192.0000
2019-02-25,sh.600089,7.8200,8.1300,7.7600,8.0900,7.7300,93219664,741310042.0000
2019-02-26,sh.600089,8.1000,8.1600,8.0000,8.0300,8.0900,77149125,623630134.0000
2019-02-27,sh.600089,8.0200,8.1200,7.8500,7.9300,8.0300,57027922,456179020.0000
2019-02-28,sh.600089,7.9300,8.0400,7.8900,7.9500,7.9300,31146143,247872633.0000
2019-03-01,sh.600089,7.9800,8.0100,7.8300,7.9400,7.9500,39089329,308904374.0000
2019-03-04,sh.600089,8.0000,8.1300,7.9400,7.9600,7.9400,75987518,610764773.0000
2019-03-05,sh.600089,7.9500,8.1000,7.9200,8.1000,7.9600,50739329,406882042.0000
2019-03-06,sh.600089,8.1100,8.1600,8.0200,8.1300,8.1000,57290377,463736630.0000
2019-03-07,sh.600089,8.1100,8.2000,8.0500,8.1500,8.1300,74214506,603313989.0000
