date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600096,4.9900,5.0000,4.9200,4.9300,5.0100,2176985,10761191.0000
2019-01-03,sh.600096,4.9600,5.0000,4.9300,4.9300,4.9300,1934682,9597675.0000
2019-01-04,sh.600096,4.8800,5.0300,4.8500,5.0300,4.9300,3307349,16391214.0000
2019-01-07,sh.600096,5.0300,5.1000,5.0000,5.1000,5.0300,3253648,16452002.0000
2019-01-08,sh.600096,5.0900,5.0900,5.0300,5.0700,5.1000,1688900,8555533.0000
2019-01-09,sh.600096,5.0700,5.1700,5.0500,5.0700,5.0700,2996761,15357020.0000
2019-01-10,sh.600096,5.0600,5.1500,5.0600,5.0800,5.0700,2607200,13313214.0000
2019-01-11,sh.600096,5.1000,5.1600,5.0100,5.1500,5.0800,4128600,21049541.0000
2019-01-14,sh.600096,5.1500,5.1600,5.0700,5.0800,5.1500,2808300,14341129.0000
2019-01-15,sh.600096,5.0700,5.1500,5.0700,5.1400,5.0800,2315102,11824673.0000
2019-01-16,sh.600096,5.2000,5.3400,5.1800,5.3200,5.1400,9144241,48233110.0000
2019-01-17,sh.600096,5.3200,5.4100,5.2900,5.3500,5.3200,5946438,31823475.0000
2019-01-18,sh.600096,5.4800,5.6700,5.4500,5.5500,5.3500,15306042,85071506.0000
2019-01-21,sh.600096,5.5200,5.8000,5.5000,5.7500,5.5500,18467396,105392395.0000
2019-01-22,sh.600096,5.7100,6.0200,5.6500,5.6700,5.7500,18795201,109260378.0000
2019-01-23,sh.600096,5.7200,5.9900,5.5800,5.9000,5.6700,21837760,126794615.0000
2019-01-24,sh.600096,5.8100,5.9400,5.5700,5.7600,5.9000,19102049,110013884.0000
2019-01-25,sh.600096,5.6300,5.7700,5.5500,5.6500,5.7600,10559736,59642294.0000
2019-01-28,sh.600096,5.6400,5.7200,5.5100,5.5400,5.6500,5840100,32669422.0000
2019-01-29,sh.600096,5.5200,5.7000,5.4100,5.6500,5.5400,8224847,46010535.0000
2019-01-30,sh.600096,5.5800,5.7200,5.5100,5.5600,5.6500,4285700,24187055.0000
2019-01-31,sh.600096,5.5200,5.6500,5.4500,5.6000,5.5600,6444503,35767666.0000
2019-02-01,sh.600096,5.6200,5.6600,5.5800,5.6000,5.6000,4949396,27783676.0000
2019-02-11,sh.600096,5.6000,5.7900,5.5700,5.7700,5.6000,6202836,35482085.0000
2019-02-12,sh.600096,5.7700,6.0300,5.7300,6.0300,5.7700,8653364,51260325.0000
2019-02-13,sh.600096,6.0000,6.1600,5.9500,6.0900,6.0300,9126102,55304013.0000
2019-02-14,sh.600096,6.0700,6.0800,5.9200,6.0400,6.0900,7650165,45806070.0000
2019-02-15,sh.600096,6.0100,6.0300,5.8700,5.8800,6.0400,4298543,25603693.0000
2019-02-18,sh.600096,5.9400,6.1300,5.9400,6.0600,5.8800,6619637,40005594.0000
2019-02-19,sh.600096,6.0500,6.1600,5.9600,6.1600,6.0600,7146114,43436270.0000
2019-02-20,sh.600096,6.2300,6.3300,6.0600,6.1200,6.1600,7193858,44415250.0000
2019-02-21,sh.600096,6.0600,6.1400,5.9600,5.9800,6.1200,5408313,32773621.0000
2019-02-22,sh.600096,5.9500,6.0600,5.9000,6.0300,5.9800,6952772,41702486.0000
2019-02-25,sh.600096,6.1000,6.3600,6.0600,6.3200,6.0300,11623668,72518143.0000
2019-02-26,sh.600096,6.3500,6.4800,6.2300,6.3100,6.3200,10788632,68805981.0000
2019-02-27,sh.600096,6.3200,6.4300,6.2300,6.2900,6.3100,9567569,60369861.0000
2019-02-28,sh.600096,6.3000,6.4200,6.2300,6.3200,6.2900,6697718,42447322.0000
2019-03-01,sh.600096,6.4600,6.6200,6.3200,6.4700,6.3200,12903613,83368817.0000
2019-03-04,sh.600096,6.4700,6.7200,6.4700,6.5600,6.4700,12541920,82588331.0000
2019-03-05,sh.600096,6.5600,6.6000,6.4700,6.5700,6.5600,8409508,54952902.0000
2019-03-06,sh.600096,6.6200,6.7300,6.5300,6.7200,6.5700,10075546,66907488.0000
2019-03-07,sh.600096,6.6600,6.9500,6.6200,6.8200,6.7200,12700987,86446968.0000
2019-03-08,sh.600096,6.7400,7.0400,6.5800,6.5800,6.8200,15104906,103336540.0000
2019-03-11,sh.600096,6.5500,7.1200,6.5400,6.8900,6.5800,15498225,106259880.0000
2019-03-12,sh.600096,7.0100,7.0500,6.7300,6.8000,6.8900,16669963,114395178.0000
2019-03-13,sh.600096,6.8100,6.9300,6.6500,6.7000,6.8000,12980164,87856067.0000
2019-03-14,sh.600096,6.6600,6.7500,6.4700,6.5800,6.7000,9405703,61791521.0000
2019-03-15,sh.600096,6.5800,6.6900,6.4500,6.5500,6.5800,9270246,60957018.0000
