date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600110,4.0600,4.0600,3.9800,4.0300,4.0600,7516021,30132657.0000
2019-01-03,sh.600110,4.0200,4.0500,3.9700,4.0100,4.0300,7266942,29100980.0000
2019-01-04,sh.600110,3.9500,4.0900,3.9000,4.0700,4.0100,11894150,47887238.0000
2019-01-07,sh.600110,4.0900,4.2800,4.0700,4.1900,4.0700,15281631,63834959.0000
2019-01-08,sh.600110,4.2000,4.2400,4.1300,4.1500,4.1900,11289000,47224859.0000
2019-01-09,sh.600110,4.1700,4.2700,4.1200,4.1900,4.1500,13865359,58249992.0000
2019-01-10,sh.600110,4.1900,4.2400,4.1500,4.1900,4.1900,9496525,39859596.0000
2019-01-11,sh.600110,4.1800,4.2200,4.1000,4.1700,4.1900,14520816,60439704.0000
2019-01-14,sh.600110,4.1900,4.2500,4.1700,4.2000,4.1700,11689700,49158545.0000
2019-01-15,sh.600110,4.1800,4.2500,4.1300,4.2500,4.2000,12904270,54342847.0000
2019-01-16,sh.600110,4.2500,4.2700,4.1900,4.2000,4.2500,8302780,35064575.0000
2019-01-17,sh.600110,4.2000,4.2000,4.1400,4.1400,4.2000,6813098,28389562.0000
2019-01-18,sh.600110,4.1400,4.2200,4.1300,4.1700,4.1400,5729945,23907942.0000
2019-01-21,sh.600110,4.2000,4.2100,4.1500,4.1700,4.1700,8925318,37229162.0000
2019-01-22,sh.600110,4.1500,4.1800,4.0600,4.0700,4.1700,9953709,41005882.0000
2019-01-23,sh.600110,4.0600,4.1000,4.0300,4.0700,4.0700,6931831,28211918.0000
2019-01-24,sh.600110,4.0700,4.1300,4.0500,4.1000,4.0700,9266440,37908206.0000
2019-01-25,sh.600110,4.0800,4.1600,4.0700,4.0900,4.1000,9296201,38225227.0000
2019-01-28,sh.600110,4.1000,4.1400,3.9300,3.9300,4.0900,14363493,57828372.0000
2019-01-29,sh.600110,3.9400,3.9400,3.8000,3.8700,3.9300,12518801,48352258.0000
2019-01-30,sh.600110,3.8700,3.9900,3.8400,3.8500,3.8700,6420500,25045828.0000
2019-01-31,sh.600110,3.8500,3.8800,3.7300,3.7800,3.8500,10116063,38529519.0000
2019-02-01,sh.600110,3.8100,3.8700,3.7800,3.8500,3.7800,7608738,29219227.0000
2019-02-11,sh.600110,3.8600,3.9900,3.8500,3.9800,3.8500,10041694,39556538.0000
2019-02-12,sh.600110,3.9800,4.0600,3.9200,4.0500,3.9800,11811442,47511992.0000
2019-02-13,sh.600110,4.0500,4.1600,4.0300,4.1500,4.0500,16399359,67601853.0000
2019-02-14,sh.600110,4.1500,4.2300,4.1000,4.1700,4.1500,15081399,62746173.0000
2019-02-15,sh.600110,4.1800,4.2200,4.1300,4.1400,4.1700,13892551,57951222.0000
2019-02-18,sh.600110,4.1800,4.3000,4.1500,4.3000,4.1400,23678893,100595907.0000
2019-02-19,sh.600110,4.2900,4.7300,4.2900,4.5900,4.3000,110404551,516748408.0000
2019-02-20,sh.600110,4.5200,4.6700,4.5000,4.5700,4.5900,60522600,277495128.0000
2019-02-21,sh.600110,4.5600,4.8300,4.5000,4.5200,4.5700,56939360,266601394.0000
2019-02-22,sh.600110,4.6000,4.7700,4.5600,4.6800,4.5200,45629913,213172058.0000
2019-02-25,sh.600110,4.7600,4.9600,4.7100,4.9300,4.6800,68611433,332826387.0000
2019-02-26,sh.600110,4.9200,4.9700,4.7800,4.8100,4.9300,53880737,262027653.0000
2019-02-27,sh.600110,4.7900,4.8700,4.6300,4.6900,4.8100,35066924,166928213.0000
2019-02-28,sh.600110,4.7100,4.8300,4.6800,4.7300,4.6900,23275137,110522960.0000
2019-03-01,sh.600110,4.8000,4.8100,4.6600,4.7700,4.7300,22567114,106462771.0000
2019-03-04,sh.600110,4.7900,4.9800,4.7400,4.8000,4.7700,64884857,313533449.0000
2019-03-05,sh.600110,4.7500,4.8900,4.7100,4.8800,4.8000,51615880,248302013.0000
2019-03-06,sh.600110,4.9000,5.1300,4.8900,5.1000,4.8800,76450823,385027346.0000
2019-03-07,sh.600110,5.1000,5.3000,5.0600,5.1800,5.1000,64372084,333558988.0000
2019-03-08,sh.600110,5.0500,5.5400,4.9400,5.1600,5.1800,93090356,493543850.0000
2019-03-11,sh.600110,5.1600,5.6400,5.1500,5.5100,5.1600,98007720,531369033.0000
2019-03-12,sh.600110,5.5800,5.6000,5.3500,5.4900,5.5100,86988739,476088452.0000
2019-03-13,sh.600110,5.4800,5.5600,5.3300,5.4000,5.4900,67675739,368596292.0000
2019-03-14,sh.600110,5.3100,5.4000,4.9500,5.0300,5.4000,58695286,302363024.0000
2019-03-15,sh.600110,5.1000,5.1400,5.0000,5.0600,5.0300,32833518,166368288.0000
2019-03-18,sh.600110,5.0600,5.1600,5.0500,5.1500,5.0600,34811263,177586814.0000
2019-03-19,sh.600110,5.1400,5.2700,5.1200,5.1800,5.1500,32567378,168852090.0000
2019-03-20,sh.600110,5.1300,5.2000,4.9700,5.1000,5.1800,32097999,163458752.0000
2019-03-21,sh.600110,5.1100,5.2200,5.1000,5.1400,5.1000,35737049,184665091.0000
2019-03-22,sh.600110,5.1700,5.1700,5.0400,5.1200,5.1400,27521342,140184814.0000
2019-03-25,sh.600110,5.0500,5.2600,5.0100,5.2500,5.1200,49179649,254440319.0000
2019-03-26,sh.600110,5.2500,5.3300,4.9500,5.0100,5.2500,54825161,283481919.0000
2019-03-27,sh.600110,5.0000,5.0600,4.8100,4.9300,5.0100,28866148,142235602.0000
2019-03-28,sh.600110,4.8900,4.9100,4.7100,4.7100,4.9300,27946716,134599805.0000
2019-03-29,sh.600110,4.7300,4.8400,4.6200,4.8200,4.7100,26624982,126640702.0000
2019-04-01,sh.600110,4.8500,5.0300,4.8300,4.9800,4.8200,34992336,173276866.0000
2019-04-02,sh.600110,5.0000,5.0700,4.9600,5.0000,4.9800,30090802,151063520.0000
2019-04-03,sh.600110,5.0100,5.0800,4.9500,5.0600,5.0000,26792913,134675652.0000
2019-04-04,sh.600110,5.0600,5.2300,5.0500,5.1300,5.0600,42458734,217818640.0000
2019-04-08,sh.600110,5.1400,5.2100,4.9600,5.0300,5.1300,36527002,185464876.0000
2019-04-09,sh.600110,5.0200,5.1100,4.9600,5.0700,5.0300,23036433,116189993.0000
2019-04-10,sh.600110,5.0200,5.2400,5.0100,5.2100,5.0700,46712034,240488571.0000
2019-04-11,sh.600110,5.2300,5.2500,5.0100,5.0400,5.2100,37823603,193533797.0000
2019-04-12,sh.600110,5.0400,5.1500,4.9800,5.0300,5.0400,19778138,99634638.0000
2019-04-15,sh.600110,5.0900,5.2100,5.0900,5.1000,5.0300,33940522,174312729.0000
2019-04-16,sh.600110,5.1200,5.3400,4.9900,5.3400,5.1000,61123667,316551839.0000
2019-04-17,sh.600110,5.3000,5.4900,5.3000,5.4000,5.3400,70694735,382642801.0000
2019-04-18,sh.600110,5.4700,5.4900,5.2800,5.2900,5.4000,41093064,220749793.0000
2019-04-19,sh.600110,5.3000,5.5800,5.2000,5.5400,5.2900,63144148,341540028.0000
2019-04-22,sh.600110,5.5200,5.7400,5.4600,5.5400,5.5400,90643571,510636557.0000
2019-04-23,sh.600110,5.4500,5.5100,5.2700,5.3400,5.5400,49184692,264438176.0000
