date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000792,7.0100,7.0400,6.8300,6.9000,6.9800,14940897,103492771.8200
2019-01-03,sz.000792,6.8200,6.9500,6.7000,6.7200,6.9000,15239307,103582859.1000
2019-01-04,sz.000792,6.6100,6.8200,6.5100,6.8100,6.7200,22251270,149113618.0300
2019-01-07,sz.000792,6.8100,6.8100,6.6000,6.6800,6.8100,42395417,283028260.8000
2019-01-08,sz.000792,6.6300,6.6800,6.5000,6.5700,6.6800,31210294,205105552.9600
2019-01-09,sz.000792,6.5800,6.6700,6.5300,6.6000,6.5700,26466694,175238073.0500
2019-01-10,sz.000792,6.5900,6.8600,6.5600,6.7400,6.6000,48414300,325561752.7200
2019-01-11,sz.000792,6.7100,6.7300,6.5300,6.5900,6.7400,37154044,245231195.8800
2019-01-14,sz.000792,6.5500,6.5500,6.1300,6.1800,6.5900,48289439,303474910.2500
2019-01-15,sz.000792,6.1300,6.1600,6.0200,6.1500,6.1800,35688366,217730002.8500
2019-01-16,sz.000792,6.1200,6.2400,6.1000,6.1300,6.1500,22541106,139060492.0800
2019-01-17,sz.000792,6.1400,6.3100,6.0400,6.2700,6.1300,29089176,179322164.3200
2019-01-18,sz.000792,6.2200,6.3800,6.2000,6.3100,6.2700,33762858,212736183.5400
2019-01-21,sz.000792,6.3300,6.8600,6.2700,6.6100,6.3100,58303462,383357908.7400
2019-01-22,sz.000792,6.5700,6.5900,6.4600,6.5200,6.6100,22239965,144683276.4300
2019-01-23,sz.000792,6.4900,6.6400,6.4600,6.5300,6.5200,21316056,139520443.7100
2019-01-24,sz.000792,6.1900,6.4100,6.1100,6.2600,6.5300,53231449,332327488.6400
2019-01-25,sz.000792,6.2300,6.2800,5.9700,6.0000,6.2600,43701478,266226023.7200
2019-01-28,sz.000792,6.0200,6.1600,5.9800,6.0600,6.0000,27123962,164625947.1000
2019-01-29,sz.000792,6.0000,6.3900,6.0000,6.2900,6.0600,41766043,260224789.9000
2019-01-30,sz.000792,6.2500,6.2800,6.0900,6.1300,6.2900,18885749,116530039.3700
2019-01-31,sz.000792,6.1500,6.1700,5.9100,5.9100,6.1300,23856205,143789582.1800
2019-02-01,sz.000792,5.9300,6.1100,5.9300,6.0800,5.9100,15036739,90721462.2400
2019-02-11,sz.000792,6.0900,6.2500,6.0900,6.2200,6.0800,17014783,105188140.5300
2019-02-12,sz.000792,6.2200,6.3800,6.1900,6.3200,6.2200,19316846,121616690.6400
