date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600111,8.7900,8.8000,8.6600,8.6900,8.7700,9241109,80535092.0000
2019-01-03,sh.600111,8.7000,8.8500,8.6600,8.8200,8.6900,12515368,109832412.0000
2019-01-04,sh.600111,8.7300,9.1800,8.6900,9.1800,8.8200,32427875,291657923.0000
2019-01-07,sh.600111,9.1800,9.3300,9.1200,9.2800,9.1800,33198703,306471398.0000
2019-01-08,sh.600111,9.2000,9.3000,9.1200,9.1600,9.2800,17874194,164300567.0000
2019-01-09,sh.600111,9.2000,9.2500,9.1000,9.1000,9.1600,21979960,201929379.0000
2019-01-10,sh.600111,9.1100,9.1200,8.9400,8.9600,9.1000,18355664,165697639.0000
2019-01-11,sh.600111,9.0200,9.1100,9.0000,9.0600,8.9600,18902615,171153586.0000
2019-01-14,sh.600111,9.0800,9.1400,8.9900,9.0000,9.0600,15208107,137812242.0000
2019-01-15,sh.600111,8.8900,9.0600,8.8900,9.0400,9.0000,15675154,140995431.0000
2019-01-16,sh.600111,9.0400,9.0700,8.8700,8.9100,9.0400,18124557,162313203.0000
2019-01-17,sh.600111,8.9300,9.0900,8.8700,8.9100,8.9100,32245316,289266383.0000
2019-01-18,sh.600111,8.8900,9.0900,8.8600,9.0600,8.9100,35697690,321823508.0000
2019-01-21,sh.600111,9.0800,9.1100,8.9800,9.0500,9.0600,22845299,206640014.0000
2019-01-22,sh.600111,9.0400,9.0500,8.8700,8.9100,9.0500,17577736,157361292.0000
2019-01-23,sh.600111,8.8800,8.9800,8.8700,8.9000,8.9100,11655255,103927444.0000
2019-01-24,sh.600111,8.9000,8.9300,8.8300,8.8800,8.9000,16731456,148554587.0000
2019-01-25,sh.600111,8.8800,8.9400,8.8500,8.8600,8.8800,15135079,134564747.0000
2019-01-28,sh.600111,8.9000,8.9400,8.8200,8.8400,8.8600,13404390,119031772.0000
2019-01-29,sh.600111,8.8000,8.8300,8.5200,8.6900,8.8400,22345716,193880230.0000
2019-01-30,sh.600111,8.7000,8.7400,8.6100,8.6400,8.6900,9835205,85314726.0000
2019-01-31,sh.600111,8.7400,8.7400,8.5100,8.5500,8.6400,15608218,134492138.0000
2019-02-01,sh.600111,8.6000,8.7000,8.5800,8.7000,8.5500,13634252,117997085.0000
2019-02-11,sh.600111,8.7800,8.9700,8.7300,8.9600,8.7000,22142611,196493414.0000
2019-02-12,sh.600111,9.0000,9.0400,8.9100,8.9800,8.9600,23612296,211842793.0000
2019-02-13,sh.600111,8.9800,9.2800,8.9600,9.1900,8.9800,52023584,475658128.0000
2019-02-14,sh.600111,9.1600,9.2200,9.1100,9.1600,9.1900,23842124,218209307.0000
2019-02-15,sh.600111,9.1700,9.2300,9.0800,9.0900,9.1600,24125289,220871644.0000
2019-02-18,sh.600111,9.1500,9.3500,9.1300,9.3200,9.0900,45536533,421322042.0000
2019-02-19,sh.600111,9.3400,9.3700,9.1900,9.2700,9.3200,38625297,358482694.0000
2019-02-20,sh.600111,9.2600,9.5400,9.2400,9.3500,9.2700,49646969,467007821.0000
2019-02-21,sh.600111,9.3000,9.4400,9.2500,9.2800,9.3500,39676830,370445292.0000
2019-02-22,sh.600111,9.2600,9.3900,9.1600,9.3800,9.2800,37165124,344436139.0000
2019-02-25,sh.600111,9.5000,10.3200,9.4300,10.3200,9.3800,146278206,1475168464.0000
2019-02-26,sh.600111,10.7500,11.3500,10.4500,11.2800,10.3200,277759872,3033685441.0000
2019-02-27,sh.600111,10.9500,11.2800,10.7500,10.9600,11.2800,140994556,1552540888.0000
2019-02-28,sh.600111,10.9700,11.0500,10.6300,10.6600,10.9600,83204199,897802358.0000
2019-03-01,sh.600111,10.7700,10.7800,10.4800,10.7800,10.6600,80833209,859173687.0000
2019-03-04,sh.600111,10.9400,11.2000,10.7800,10.9100,10.7800,129388866,1420546395.0000
2019-03-05,sh.600111,10.8000,11.1300,10.7300,11.1300,10.9100,91945945,1008747858.0000
2019-03-06,sh.600111,11.2900,11.8300,11.1700,11.3900,11.1300,150304981,1721632774.0000
2019-03-07,sh.600111,11.2500,12.3000,11.1300,11.8000,11.3900,165198997,1945863810.0000
2019-03-08,sh.600111,11.4000,11.6000,10.8000,10.8500,11.8000,122597394,1381390093.0000
2019-03-11,sh.600111,10.7700,11.2500,10.7700,11.1900,10.8500,68293033,757489080.0000
2019-03-12,sh.600111,11.2500,11.5200,11.0700,11.3000,11.1900,93246147,1056501986.0000
2019-03-13,sh.600111,11.3900,11.7900,11.1800,11.4800,11.3000,114456700,1309318502.0000
2019-03-14,sh.600111,11.3400,11.8900,11.1400,11.2900,11.4800,130032894,1507329414.0000
2019-03-15,sh.600111,11.3500,11.6900,11.1600,11.6900,11.2900,106703464,1218936479.0000
2019-03-18,sh.600111,12.2000,12.4700,11.7700,11.8700,11.6900,148650075,1790837754.0000
2019-03-19,sh.600111,11.8000,12.0100,11.6200,11.8900,11.8700,84817366,1002450437.0000
2019-03-20,sh.600111,11.8000,11.8300,11.3200,11.5400,11.8900,87373201,1007792959.0000
2019-03-21,sh.600111,11.5400,11.7700,11.4200,11.5600,11.5400,73199524,850011479.0000
2019-03-22,sh.600111,11.4800,11.6900,11.3700,11.5600,11.5600,55069088,635470396.0000
2019-03-25,sh.600111,11.3000,11.4000,11.1000,11.1000,11.5600,66788625,751975694.0000
2019-03-26,sh.600111,11.1500,11.2600,10.7900,10.9000,11.1000,55493214,610054755.0000
2019-03-27,sh.600111,10.9900,11.0300,10.7600,10.9000,10.9000,35297795,383756786.0000
2019-03-28,sh.600111,10.8100,10.9300,10.7100,10.7800,10.9000,34362182,372222892.0000
2019-03-29,sh.600111,10.8000,11.1500,10.7600,11.1500,10.7800,54006501,594338652.0000
2019-04-01,sh.600111,11.1900,11.6500,11.1900,11.5000,11.1500,83903500,962635386.0000
2019-04-02,sh.600111,11.5500,11.9700,11.3900,11.8000,11.5000,117563381,1367737136.0000
2019-04-03,sh.600111,11.6000,11.7600,11.5200,11.6400,11.8000,69514839,808135101.0000
2019-04-04,sh.600111,11.6600,11.8600,11.5200,11.7800,11.6400,90411830,1059362003.0000
2019-04-08,sh.600111,11.8800,12.1300,11.6100,11.8000,11.7800,110438486,1314067578.0000
2019-04-09,sh.600111,11.6900,11.6900,11.4400,11.5200,11.8000,59802549,690165062.0000
2019-04-10,sh.600111,11.5300,11.5900,11.3000,11.4900,11.5200,47629727,543695794.0000
2019-04-11,sh.600111,11.4700,11.6100,11.2800,11.2900,11.4900,44123067,505655228.0000
2019-04-12,sh.600111,11.2500,11.3500,11.1100,11.2200,11.2900,30629662,343846302.0000
2019-04-15,sh.600111,11.4000,11.4800,11.0800,11.0900,11.2200,35622154,403808550.0000
2019-04-16,sh.600111,11.0200,11.5000,10.9900,11.4800,11.0900,48989652,555746595.0000
2019-04-17,sh.600111,11.5000,11.6200,11.3900,11.4700,11.4800,41212838,473454851.0000
2019-04-18,sh.600111,11.4000,11.5200,11.2400,11.2600,11.4700,35598303,404542983.0000
2019-04-19,sh.600111,11.2600,11.3800,11.0800,11.3700,11.2600,35059980,394013817.0000
2019-04-22,sh.600111,11.4500,11.5700,11.2000,11.2000,11.3700,33961599,386077822.0000
2019-04-23,sh.600111,11.2200,11.7700,11.0500,11.5200,11.2000,71828439,822050181.0000
2019-04-24,sh.600111,11.4500,11.5500,11.3000,11.5400,11.5200,44621573,510608948.0000
2019-04-25,sh.600111,11.5200,12.0700,11.3900,11.6500,11.5400,142715876,1687325675.0000
2019-04-26,sh.600111,11.5900,11.5900,10.7800,10.9700,11.6500,84462770,939468850.0000
2019-04-29,sh.600111,10.7300,10.8900,10.0600,10.1700,10.9700,71025473,742595393.0000
2019-04-30,sh.600111,10.2200,10.4100,10.2000,10.2700,10.1700,25041251,258137849.0000
2019-05-06,sh.600111,9.9800,10.0800,9.4000,9.5300,10.2700,50245329,490226241.0000
2019-05-07,sh.600111,9.6400,9.7800,9.4600,9.6900,9.5300,27538765,265748516.0000
2019-05-08,sh.600111,9.4900,9.8700,9.4500,9.7300,9.6900,27663609,267951530.0000
2019-05-09,sh.600111,9.6200,9.9800,9.5600,9.8400,9.7300,31946299,313148804.0000
2019-05-10,sh.600111,9.9300,10.2400,9.7700,10.2000,9.8400,53298607,535480378.0000
2019-05-13,sh.600111,10.0500,10.1600,9.9700,10.0200,10.2000,30100598,302866034.0000
2019-05-14,sh.600111,10.2500,10.4900,10.1100,10.1300,10.0200,46396447,476430400.0000
2019-05-15,sh.600111,10.2100,10.2800,10.0200,10.1900,10.1300,40299019,409843759.0000
2019-05-16,sh.600111,10.3000,11.2100,10.3000,11.2100,10.1900,86684975,945672084.0000
2019-05-17,sh.600111,11.8900,11.8900,10.9900,10.9900,11.2100,180806381,2069947601.0000
2019-05-20,sh.600111,10.7300,11.7400,10.3800,11.6000,10.9900,158934641,1778100716.0000
2019-05-21,sh.600111,11.6500,12.7600,11.2800,12.7600,11.6000,226152797,2746574654.0000
2019-05-22,sh.600111,13.5000,13.5000,12.6600,12.7300,12.7600,342566032,4489115532.0000
2019-05-23,sh.600111,12.8200,13.2500,12.5500,13.0100,12.7300,215611232,2792366464.0000
2019-05-24,sh.600111,12.5900,13.2000,11.9500,12.0500,13.0100,196881873,2466668533.0000
2019-05-27,sh.600111,12.1500,12.6500,12.0800,12.4500,12.0500,142575285,1762485024.0000
2019-05-28,sh.600111,12.3000,12.7600,12.1200,12.4400,12.4500,146358674,1817434591.0000
2019-05-29,sh.600111,13.0000,13.6000,12.8200,13.5200,12.4400,300161632,3978435000.0000
2019-05-30,sh.600111,13.2600,13.3400,12.4400,12.9600,13.5200,209890914,2719794384.0000
2019-05-31,sh.600111,12.8000,13.7300,12.6800,13.1300,12.9600,214229253,2847164403.0000
2019-06-03,sh.600111,13.1300,13.4600,12.6400,12.8300,13.1300,151146918,1969889651.0000
2019-06-04,sh.600111,12.8000,13.0200,12.1800,12.3900,12.8300,122085745,1525253775.0000
2019-06-05,sh.600111,12.8600,12.9500,12.4300,12.4600,12.3900,103169574,1309595382.0000
2019-06-06,sh.600111,12.4900,13.0800,12.3700,12.8200,12.4600,135425328,1736444640.0000
2019-06-10,sh.600111,13.0500,13.0700,12.3300,12.7300,12.8200,114628156,1459534715.0000
2019-06-11,sh.600111,12.7400,13.9300,12.6900,13.7100,12.7300,228430388,3064532552.0000
2019-06-12,sh.600111,13.8000,15.0800,13.6800,14.3200,13.7100,393586272,5735350722.0000
2019-06-13,sh.600111,14.0000,14.2800,13.5600,13.9900,14.3200,216266821,3009013913.0000
2019-06-14,sh.600111,14.0000,14.0500,13.5600,13.6200,13.9900,134414424,1842174453.0000
2019-06-17,sh.600111,13.7300,14.1600,13.6100,13.8000,13.6200,126492829,1757156975.0000
2019-06-18,sh.600111,13.5600,13.6500,13.0100,13.2800,13.7500,104462048,1393512453.0000
2019-06-19,sh.600111,13.2400,13.4500,13.0300,13.1300,13.2800,123614967,1632540256.0000
2019-06-20,sh.600111,13.1400,13.1700,12.6300,12.9400,13.1300,126235999,1621611635.0000
2019-06-21,sh.600111,12.9400,13.1600,12.8300,12.9800,12.9400,111290654,1448738586.0000
2019-06-24,sh.600111,12.9800,13.3900,12.8900,13.2000,12.9800,106325647,1402689817.0000
2019-06-25,sh.600111,13.1000,13.1000,12.4300,12.6600,13.2000,110207823,1397356513.0000
2019-06-26,sh.600111,12.5200,12.7300,12.4400,12.5000,12.6600,45621726,573428152.0000
2019-06-27,sh.600111,12.6000,12.6300,12.3800,12.5500,12.5000,47524542,595418246.0000
2019-06-28,sh.600111,12.5500,12.9500,12.4600,12.8400,12.5500,87834230,1117422168.0000
2019-07-01,sh.600111,12.4800,12.6500,12.0300,12.5900,12.8400,104147969,1288916428.0000
2019-07-02,sh.600111,12.4800,12.6600,12.4000,12.4900,12.5900,53455942,669691158.0000
2019-07-03,sh.600111,12.4500,12.5500,12.1400,12.1900,12.4900,64973899,799066789.0000
2019-07-04,sh.600111,12.1900,12.4900,12.0400,12.2200,12.1900,55916444,682240158.0000
2019-07-05,sh.600111,12.2200,12.3500,12.0700,12.2000,12.2200,36420412,443610925.0000
2019-07-08,sh.600111,12.1500,12.1600,11.5000,11.6100,12.2000,67726452,796138969.0000
2019-07-09,sh.600111,11.6000,11.8500,11.4600,11.6700,11.6100,42936977,500562263.0000
2019-07-10,sh.600111,11.6000,11.7000,11.3300,11.3900,11.6700,38621946,443885864.0000
2019-07-11,sh.600111,11.4900,11.6200,11.2400,11.3400,11.3900,37054519,423857146.0000
2019-07-12,sh.600111,11.4000,11.4200,11.2500,11.2900,11.3400,24049843,272318971.0000
