date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600118,17.4400,18.1200,17.0700,18.0800,17.3200,16473905,292645169.0000
2019-01-03,sh.600118,18.0200,19.1900,17.8600,18.3900,18.0800,21546972,400985372.0000
2019-01-04,sh.600118,18.3000,18.7000,18.1000,18.4800,18.3900,14144662,260369720.0000
2019-01-07,sh.600118,18.5900,19.0800,18.3700,18.8700,18.4800,18738196,351475735.0000
2019-01-08,sh.600118,18.6800,18.6800,18.1900,18.2900,18.8700,11295333,207725435.0000
2019-01-09,sh.600118,18.3100,18.5800,18.1200,18.2300,18.2900,9142785,167625203.0000
2019-01-10,sh.600118,18.2000,18.3400,18.0500,18.2200,18.2300,6569273,119462545.0000
2019-01-11,sh.600118,18.2400,19.1800,18.2400,19.1800,18.2200,21622565,406750839.0000
2019-01-14,sh.600118,19.1000,19.1800,18.6500,18.6800,19.1800,9684022,182005563.0000
2019-01-15,sh.600118,18.6500,18.9200,18.6300,18.8900,18.6800,8079712,152029585.0000
2019-01-16,sh.600118,18.8800,18.9700,18.5400,18.5600,18.8900,6789085,126887669.0000
2019-01-17,sh.600118,18.5500,18.6800,18.2800,18.4000,18.5600,5046810,92982691.0000
2019-01-18,sh.600118,18.3700,18.6300,18.3700,18.5000,18.4000,4973626,91833740.0000
2019-01-21,sh.600118,18.5000,18.6800,18.2600,18.4600,18.5000,4203193,77624189.0000
2019-01-22,sh.600118,18.4800,18.4800,18.0300,18.1000,18.4600,5227020,95215697.0000
2019-01-23,sh.600118,18.1000,18.2000,18.0000,18.1500,18.1000,3555024,64297339.0000
2019-01-24,sh.600118,18.2600,18.6300,18.1000,18.4100,18.1500,6418269,118232342.0000
2019-01-25,sh.600118,18.3800,18.4700,18.1100,18.1700,18.4100,4642199,84723308.0000
2019-01-28,sh.600118,18.2300,18.3500,18.1200,18.1600,18.1700,3265237,59539769.0000
2019-01-29,sh.600118,18.0600,18.1400,17.5900,17.8700,18.1600,7382360,131320885.0000
2019-01-30,sh.600118,17.8000,18.0600,17.5800,17.8800,17.8700,3361239,60125252.0000
2019-01-31,sh.600118,17.7900,17.9800,17.6000,17.8000,17.8800,4026331,71597192.0000
2019-02-01,sh.600118,17.8500,18.1600,17.7500,18.1600,17.8000,4811414,86637094.0000
2019-02-11,sh.600118,18.1800,18.6200,18.1800,18.5800,18.1600,6876115,126877485.0000
2019-02-12,sh.600118,18.5800,18.7100,18.4000,18.6100,18.5800,5874317,109038714.0000
2019-02-13,sh.600118,18.6000,19.2000,18.5200,18.9400,18.6100,11381684,214946010.0000
2019-02-14,sh.600118,18.9600,19.1500,18.8600,18.9400,18.9400,7685856,145941321.0000
2019-02-15,sh.600118,18.9500,19.2200,18.8900,19.0200,18.9400,8895489,169992760.0000
2019-02-18,sh.600118,19.2900,19.4800,19.0000,19.4200,19.0200,13138921,253414702.0000
2019-02-19,sh.600118,19.4000,21.3600,19.0400,21.3600,19.4200,26751495,533242478.0000
2019-02-20,sh.600118,20.8100,21.2800,20.5400,20.9000,21.3600,23670558,493830055.0000
2019-02-21,sh.600118,20.9100,21.5000,20.5800,20.6600,20.9000,22612792,476396409.0000
2019-02-22,sh.600118,20.5800,21.2500,20.4500,21.0900,20.6600,16593971,347866078.0000
2019-02-25,sh.600118,21.2100,22.6700,21.2100,22.2900,21.0900,31697315,696766803.0000
2019-02-26,sh.600118,22.3000,22.3000,21.6500,21.7300,22.2900,22418837,491537683.0000
2019-02-27,sh.600118,21.5100,23.0900,21.5100,22.7200,21.7300,33571774,761339559.0000
2019-02-28,sh.600118,22.9500,23.0500,22.2300,22.4000,22.7200,15791397,355256828.0000
2019-03-01,sh.600118,22.5500,22.6500,21.8700,22.3000,22.4000,13106271,290353762.0000
2019-03-04,sh.600118,22.5300,23.0800,22.2900,22.5900,22.3000,21656301,491127360.0000
2019-03-05,sh.600118,22.4000,23.3500,22.2000,23.2400,22.5900,23348728,532861215.0000
2019-03-06,sh.600118,23.2500,23.3500,22.7600,23.1100,23.2400,21423481,493128909.0000
2019-03-07,sh.600118,23.0000,23.6200,22.7600,23.0800,23.1100,19917577,462567380.0000
2019-03-08,sh.600118,22.7500,23.6500,21.8000,22.4800,23.0800,29332369,673939996.0000
2019-03-11,sh.600118,22.7000,23.4400,22.6900,23.2800,22.4800,19864206,459659370.0000
2019-03-12,sh.600118,23.4300,25.6100,23.0800,25.6000,23.2800,57309969,1417014545.0000
