date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600183,10.0000,10.1800,9.9200,10.0100,10.0600,13420967,134928558.0000
2019-01-03,sh.600183,10.0200,10.1600,9.6600,9.7800,10.0100,19181232,188713889.0000
2019-01-04,sh.600183,9.7600,9.8700,9.6500,9.7100,9.7800,17033342,165985237.0000
2019-01-07,sh.600183,9.7900,10.3200,9.7400,10.2200,9.7100,22970998,230298324.0000
2019-01-08,sh.600183,10.2000,10.4100,10.0200,10.0600,10.2200,17446655,177312815.0000
2019-01-09,sh.600183,10.1200,10.2000,9.8800,9.9300,10.0600,19743291,198256048.0000
2019-01-10,sh.600183,9.9500,10.2700,9.8900,10.1000,9.9300,15646395,158019769.0000
2019-01-11,sh.600183,10.1000,10.3500,10.0500,10.1400,10.1000,14544688,147982219.0000
2019-01-14,sh.600183,10.1200,10.2000,9.9200,10.1300,10.1400,10025681,101094051.0000
2019-01-15,sh.600183,10.1000,10.3800,10.0500,10.2900,10.1300,15120287,155220202.0000
2019-01-16,sh.600183,10.3400,10.4400,10.2400,10.2800,10.2900,12556986,129477651.0000
2019-01-17,sh.600183,10.3200,10.3500,10.1000,10.1100,10.2800,9622553,98102288.0000
2019-01-18,sh.600183,10.1600,10.2600,10.0300,10.2500,10.1100,10311882,104955767.0000
2019-01-21,sh.600183,10.2500,10.3700,10.1500,10.2700,10.2500,9148929,93858754.0000
2019-01-22,sh.600183,10.2900,10.2900,9.8500,10.0100,10.2700,16058976,160714353.0000
2019-01-23,sh.600183,9.9500,10.0900,9.9000,10.0600,10.0100,9787393,97770789.0000
2019-01-24,sh.600183,10.0600,10.2300,9.9400,10.0600,10.0600,11562964,116881012.0000
2019-01-25,sh.600183,10.1000,10.2800,10.0000,10.1900,10.0600,12267814,124817599.0000
2019-01-28,sh.600183,10.2300,10.5000,10.2000,10.2700,10.1900,14086339,146161607.0000
2019-01-29,sh.600183,10.2300,10.2300,10.0200,10.1100,10.2700,12104135,122149767.0000
2019-01-30,sh.600183,10.1200,10.1500,9.8400,9.8800,10.1100,8668786,86627619.0000
2019-01-31,sh.600183,9.8700,10.1700,9.8300,10.1700,9.8800,12370774,124162075.0000
2019-02-01,sh.600183,10.1500,10.3400,10.1500,10.3000,10.1700,13261314,135970099.0000
2019-02-11,sh.600183,10.3600,10.5500,10.3200,10.4800,10.3000,14017545,146638418.0000
2019-02-12,sh.600183,10.4400,10.6800,10.4300,10.5300,10.4800,14157719,149433386.0000
2019-02-13,sh.600183,10.5100,10.8600,10.4700,10.8100,10.5300,25612239,274333600.0000
2019-02-14,sh.600183,10.7700,10.9000,10.6200,10.8200,10.8100,21331896,229655990.0000
2019-02-15,sh.600183,10.7900,10.9700,10.6400,10.6800,10.8200,19363802,208998751.0000
2019-02-18,sh.600183,10.7600,11.1000,10.7300,11.0900,10.6800,28583674,312366273.0000
