date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600219,2.1200,2.1200,2.0900,2.1100,2.1100,27276782,57368959.0000
2019-01-03,sh.600219,2.1000,2.1300,2.0900,2.1100,2.1100,29099866,61429347.0000
2019-01-04,sh.600219,2.1000,2.1600,2.0900,2.1500,2.1100,51206063,109220477.0000
2019-01-07,sh.600219,2.1600,2.1900,2.1500,2.1900,2.1500,45425033,98783323.0000
2019-01-08,sh.600219,2.1800,2.2000,2.1700,2.1800,2.1900,35926811,78504558.0000
2019-01-09,sh.600219,2.1800,2.2200,2.1800,2.1900,2.1800,43082623,94857295.0000
2019-01-10,sh.600219,2.1900,2.2000,2.1700,2.1700,2.1900,32555209,70982682.0000
2019-01-11,sh.600219,2.1700,2.2100,2.1700,2.2000,2.1700,44418301,97430573.0000
2019-01-14,sh.600219,2.1900,2.2100,2.1800,2.2000,2.2000,36583296,80402618.0000
2019-01-15,sh.600219,2.1900,2.2000,2.1800,2.2000,2.2000,31676031,69384809.0000
2019-01-16,sh.600219,2.2000,2.2200,2.1900,2.1900,2.2000,32180509,70888264.0000
2019-01-17,sh.600219,2.1900,2.2400,2.1900,2.2100,2.1900,58695533,130130287.0000
2019-01-18,sh.600219,2.2100,2.2800,2.2000,2.2600,2.2100,88517231,199377938.0000
2019-01-21,sh.600219,2.2600,2.2600,2.2300,2.2500,2.2600,60638606,136092391.0000
2019-01-22,sh.600219,2.2400,2.2500,2.2000,2.2100,2.2500,41413686,92119393.0000
2019-01-23,sh.600219,2.2000,2.2200,2.1900,2.2000,2.2100,25169889,55480795.0000
2019-01-24,sh.600219,2.2000,2.2200,2.1900,2.2200,2.2000,25640691,56683618.0000
2019-01-25,sh.600219,2.2100,2.2300,2.2000,2.2000,2.2200,25993884,57443373.0000
2019-01-28,sh.600219,2.2100,2.2200,2.1800,2.1900,2.2000,36267574,79883105.0000
2019-01-29,sh.600219,2.1800,2.1900,2.1400,2.1600,2.1900,35341607,76320942.0000
2019-01-30,sh.600219,2.1500,2.1600,2.1300,2.1400,2.1600,26392036,56596117.0000
2019-01-31,sh.600219,2.1400,2.1600,2.1200,2.1300,2.1400,33724246,72174907.0000
2019-02-01,sh.600219,2.1400,2.1700,2.1300,2.1700,2.1300,32596820,70197849.0000
2019-02-11,sh.600219,2.1700,2.2100,2.1600,2.2100,2.1700,50744920,111107964.0000
2019-02-12,sh.600219,2.2100,2.2400,2.2000,2.2200,2.2100,52818327,117103920.0000
2019-02-13,sh.600219,2.2200,2.2700,2.2200,2.2600,2.2200,90568388,203571470.0000
2019-02-14,sh.600219,2.2500,2.2600,2.2400,2.2500,2.2600,61696584,138691829.0000
2019-02-15,sh.600219,2.2500,2.2700,2.2400,2.2500,2.2500,48370427,108950566.0000
2019-02-18,sh.600219,2.2500,2.3000,2.2500,2.2900,2.2500,87810725,199701206.0000
2019-02-19,sh.600219,2.2900,2.3000,2.2600,2.2800,2.2900,97676817,223205982.0000
2019-02-20,sh.600219,2.2800,2.3300,2.2700,2.3000,2.2800,83120313,191440140.0000
2019-02-21,sh.600219,2.3000,2.3100,2.2700,2.2700,2.3000,85987660,197093378.0000
2019-02-22,sh.600219,2.2700,2.3000,2.2600,2.3000,2.2700,84350831,192162166.0000
2019-02-25,sh.600219,2.3100,2.4400,2.3100,2.4400,2.3000,245034660,584616244.0000
2019-02-26,sh.600219,2.4600,2.5800,2.4200,2.5000,2.4400,348531168,872768955.0000
2019-02-27,sh.600219,2.4900,2.5300,2.4700,2.4900,2.5000,169422491,423999048.0000
2019-02-28,sh.600219,2.5100,2.6100,2.5000,2.5600,2.4900,188186821,480738885.0000
2019-03-01,sh.600219,2.5600,2.5700,2.5100,2.5600,2.5600,118282986,299604368.0000
2019-03-04,sh.600219,2.5700,2.6800,2.5700,2.6100,2.5600,201054750,525348238.0000
2019-03-05,sh.600219,2.6000,2.6600,2.5800,2.6500,2.6100,149195187,390544301.0000
2019-03-06,sh.600219,2.6600,2.7500,2.6500,2.7300,2.6500,200894273,543092532.0000
2019-03-07,sh.600219,2.7300,2.9900,2.7000,2.9300,2.7300,373879664,1079416699.0000
2019-03-08,sh.600219,2.8700,2.9000,2.7000,2.7100,2.9300,314254288,882194169.0000
2019-03-11,sh.600219,2.7100,2.8000,2.7100,2.7900,2.7100,174832723,483658085.0000
2019-03-12,sh.600219,2.8000,2.9400,2.7900,2.8500,2.7900,229846874,657855443.0000
2019-03-13,sh.600219,2.8400,2.8500,2.7300,2.7600,2.8500,163780194,457504549.0000
2019-03-14,sh.600219,2.7400,2.8300,2.6600,2.6900,2.7600,151151129,412858259.0000
2019-03-15,sh.600219,2.6900,2.7400,2.6900,2.7100,2.6900,113538162,308336127.0000
2019-03-18,sh.600219,2.7100,2.7700,2.7000,2.7600,2.7100,116157001,318044677.0000
2019-03-19,sh.600219,2.7800,2.7900,2.7200,2.7400,2.7600,86431084,238111253.0000
2019-03-20,sh.600219,2.7300,2.7700,2.7100,2.7500,2.7400,101586493,278228017.0000
2019-03-21,sh.600219,2.7500,2.7700,2.7300,2.7600,2.7500,104466720,287682210.0000
2019-03-22,sh.600219,2.7500,2.7600,2.7000,2.7300,2.7600,89076322,242591340.0000
2019-03-25,sh.600219,2.6900,2.7500,2.6700,2.7000,2.7300,97619506,264749972.0000
2019-03-26,sh.600219,2.7100,2.7200,2.6000,2.6100,2.7000,123686163,327495502.0000
2019-03-27,sh.600219,2.6300,2.6400,2.6000,2.6400,2.6100,63446096,166621854.0000
2019-03-28,sh.600219,2.6200,2.6400,2.5800,2.5900,2.6400,61310174,159962428.0000
2019-03-29,sh.600219,2.5800,2.6700,2.5800,2.6700,2.5900,97992261,258150743.0000
2019-04-01,sh.600219,2.7100,2.8500,2.7100,2.7900,2.6700,201284990,559593491.0000
2019-04-02,sh.600219,2.8400,2.8500,2.7700,2.8000,2.7900,150035843,419802784.0000
2019-04-03,sh.600219,2.7800,2.8200,2.7600,2.8100,2.8000,106488965,297249628.0000
2019-04-04,sh.600219,2.8800,2.9000,2.8000,2.8300,2.8100,163122350,463947764.0000
2019-04-08,sh.600219,2.8500,2.9400,2.8200,2.8800,2.8300,250668191,720594219.0000
2019-04-09,sh.600219,2.8500,2.8600,2.8000,2.8300,2.8800,126868020,358234925.0000
2019-04-10,sh.600219,2.8100,2.8300,2.7600,2.8000,2.8300,93341639,260895343.0000
2019-04-11,sh.600219,2.8000,2.8100,2.7500,2.7500,2.8000,76934149,213860344.0000
2019-04-12,sh.600219,2.7600,2.7700,2.7300,2.7700,2.7500,62202570,171262979.0000
2019-04-15,sh.600219,2.8000,2.8300,2.7400,2.7400,2.7700,79405236,221711897.0000
2019-04-16,sh.600219,2.7400,2.8200,2.7200,2.8100,2.7400,111859147,311633125.0000
2019-04-17,sh.600219,2.8000,2.8200,2.7700,2.7900,2.8100,98672433,275658558.0000
2019-04-18,sh.600219,2.7900,2.8100,2.7600,2.7600,2.7900,74911394,208355421.0000
2019-04-19,sh.600219,2.7700,2.8000,2.7500,2.8000,2.7600,81604713,226645254.0000
2019-04-22,sh.600219,2.8200,2.8300,2.7300,2.7400,2.8000,113905434,315968645.0000
2019-04-23,sh.600219,2.7400,2.7500,2.6800,2.6900,2.7400,92139113,249571526.0000
2019-04-24,sh.600219,2.6900,2.7000,2.6500,2.6900,2.6900,67663396,181267033.0000
2019-04-25,sh.600219,2.6800,2.6900,2.6000,2.6000,2.6900,80349910,211998580.0000
2019-04-26,sh.600219,2.6000,2.6000,2.5500,2.5600,2.6000,72439599,186554772.0000
2019-04-29,sh.600219,2.5500,2.5600,2.4600,2.4800,2.5600,87470698,218762393.0000
2019-04-30,sh.600219,2.4800,2.5200,2.4700,2.5100,2.4800,52161826,130421449.0000
2019-05-06,sh.600219,2.4400,2.4400,2.3000,2.3300,2.5100,123170410,291826524.0000
2019-05-07,sh.600219,2.3400,2.3600,2.2800,2.3100,2.3300,108977284,252128614.0000
2019-05-08,sh.600219,2.2600,2.3100,2.2300,2.2700,2.3100,87632381,199118840.0000
2019-05-09,sh.600219,2.2600,2.2900,2.2500,2.2700,2.2700,59270641,134486888.0000
2019-05-10,sh.600219,2.2800,2.3200,2.2500,2.3200,2.2700,113027719,259447326.0000
2019-05-13,sh.600219,2.2900,2.3100,2.2800,2.2800,2.3200,69236491,158633247.0000
2019-05-14,sh.600219,2.2500,2.3000,2.2500,2.2700,2.2800,46435016,105614531.0000
2019-05-15,sh.600219,2.2900,2.3100,2.2800,2.3100,2.2700,54170846,124501437.0000
2019-05-16,sh.600219,2.3100,2.4000,2.3000,2.3700,2.3100,118122322,279162861.0000
2019-05-17,sh.600219,2.3600,2.3700,2.2700,2.2800,2.3700,87701116,202913264.0000
2019-05-20,sh.600219,2.2700,2.3200,2.2300,2.3100,2.2800,72436320,164042640.0000
2019-05-21,sh.600219,2.3000,2.3700,2.2900,2.3300,2.3100,88368089,205930200.0000
2019-05-22,sh.600219,2.3300,2.3300,2.2700,2.2900,2.3300,65013307,149557748.0000
2019-05-23,sh.600219,2.2800,2.2800,2.2500,2.2600,2.2900,40002700,90658135.0000
2019-05-24,sh.600219,2.2500,2.2800,2.2500,2.2700,2.2600,42353783,95875456.0000
2019-05-27,sh.600219,2.2700,2.3200,2.2500,2.3100,2.2700,58772496,134585530.0000
2019-05-28,sh.600219,2.2900,2.3200,2.2800,2.2900,2.3100,57824015,132890807.0000
2019-05-29,sh.600219,2.2800,2.3200,2.2700,2.3000,2.2900,57213665,131448551.0000
2019-05-30,sh.600219,2.2900,2.3100,2.2700,2.3000,2.3000,57040056,130655171.0000
2019-05-31,sh.600219,2.3000,2.3300,2.2900,2.3000,2.3000,49720578,114631939.0000
2019-06-03,sh.600219,2.3000,2.3100,2.2700,2.2800,2.3000,56225176,128472472.0000
2019-06-04,sh.600219,2.2700,2.2800,2.2500,2.2600,2.2800,37323668,84354145.0000
2019-06-05,sh.600219,2.2800,2.2800,2.2500,2.2500,2.2600,32698474,73977006.0000
2019-06-06,sh.600219,2.2500,2.2600,2.2300,2.2300,2.2500,34938529,78199938.0000
2019-06-10,sh.600219,2.2400,2.2500,2.2200,2.2400,2.2300,40371881,90218119.0000
2019-06-11,sh.600219,2.2400,2.3000,2.2300,2.2900,2.2400,67206448,152911785.0000
2019-06-12,sh.600219,2.2900,2.3100,2.2800,2.2900,2.2900,60148924,137933857.0000
2019-06-13,sh.600219,2.2800,2.3000,2.2600,2.2900,2.2900,44969673,102624656.0000
2019-06-14,sh.600219,2.2900,2.3200,2.2700,2.2700,2.2900,61558683,141297784.0000
2019-06-17,sh.600219,2.2700,2.3000,2.2600,2.2800,2.2700,36137390,82390414.0000
2019-06-18,sh.600219,2.2800,2.2900,2.2500,2.2700,2.2800,33379546,75571111.0000
2019-06-19,sh.600219,2.3000,2.3100,2.2700,2.2800,2.2700,83398586,190737321.0000
2019-06-20,sh.600219,2.2800,2.3200,2.2600,2.3200,2.2800,95676532,220009729.0000
2019-06-21,sh.600219,2.3200,2.3700,2.3100,2.3600,2.3200,135506853,316584948.0000
2019-06-24,sh.600219,2.3400,2.3600,2.3300,2.3400,2.3600,62553852,146613507.0000
2019-06-25,sh.600219,2.3400,2.3500,2.3000,2.3200,2.3400,56891102,131930505.0000
2019-06-26,sh.600219,2.3100,2.3300,2.3000,2.3200,2.3200,32684452,75674558.0000
2019-06-27,sh.600219,2.3200,2.3500,2.3100,2.3300,2.3200,65229935,152007184.0000
2019-06-28,sh.600219,2.2900,2.3000,2.2500,2.2600,2.2800,58283018,132223227.0000
2019-07-01,sh.600219,2.2900,2.3100,2.2800,2.3100,2.2600,67373801,154692213.0000
2019-07-02,sh.600219,2.3000,2.3100,2.2800,2.3000,2.3100,46899616,107395484.0000
