date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600276,53.2900,53.9100,52.5400,52.9700,52.7500,27884808,1483924992.0000
2019-01-03,sh.600276,52.2300,52.6800,50.1200,51.0700,52.9700,32556097,1658914634.0000
2019-01-04,sh.600276,50.3000,54.4800,49.7800,54.3500,51.0700,35496863,1864852759.0000
2019-01-07,sh.600276,54.0000,54.1000,52.9000,53.5700,54.3500,24033818,1285195635.0000
2019-01-08,sh.600276,53.3500,54.3600,53.3500,53.9800,53.5700,12829205,692280658.0000
2019-01-09,sh.600276,54.5000,56.2200,54.1000,55.5300,53.9800,19701098,1093435791.0000
2019-01-10,sh.600276,55.0900,57.2400,54.7200,56.2700,55.5300,16368575,918176985.0000
2019-01-11,sh.600276,56.2000,56.5100,55.0300,55.9500,56.2700,13116499,729523516.0000
2019-01-14,sh.600276,55.9500,55.9500,54.1100,54.3300,55.9500,11180550,610742647.0000
2019-01-15,sh.600276,54.5000,56.4900,54.3300,56.4400,54.3300,16121003,898836695.0000
2019-01-16,sh.600276,56.4300,57.9900,55.5000,57.4700,56.4400,17737355,1014739756.0000
2019-01-17,sh.600276,57.3500,58.4400,57.1200,57.3600,57.4700,12421406,719327698.0000
2019-01-18,sh.600276,57.9000,59.7800,57.5200,59.1700,57.3600,17839995,1054628301.0000
2019-01-21,sh.600276,58.9600,60.4600,58.8500,59.0700,59.1700,15792972,940625990.0000
2019-01-22,sh.600276,59.3000,59.3000,57.0500,57.6900,59.0700,15165957,874479845.0000
2019-01-23,sh.600276,57.4000,58.3800,57.2300,58.0200,57.6900,9013534,521428512.0000
2019-01-24,sh.600276,57.9000,59.6800,57.4000,59.3800,58.0200,12194226,716635233.0000
2019-01-25,sh.600276,59.3500,59.7800,58.8100,58.9900,59.3800,11123213,659259622.0000
2019-01-28,sh.600276,57.9500,57.9500,54.5000,54.8200,58.9900,41575483,2312598474.0000
2019-01-29,sh.600276,55.0100,57.2400,54.7800,57.1800,54.8200,26740342,1506140392.0000
2019-01-30,sh.600276,57.0000,58.4800,56.8300,57.4000,57.1800,14405342,834538700.0000
2019-01-31,sh.600276,58.2400,59.4500,57.5900,59.0500,57.4000,18500062,1088217460.0000
2019-02-01,sh.600276,59.9400,60.8700,58.8400,60.8200,59.0500,17380401,1046218100.0000
