date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600305,10.4500,10.6100,10.3400,10.3600,10.4000,13244702,138681389.0000
2019-01-03,sh.600305,10.3600,10.4400,9.8400,9.8900,10.3600,16553240,166831080.0000
2019-01-04,sh.600305,9.6900,10.1800,9.6300,10.1500,9.8900,15866875,158169725.0000
2019-01-07,sh.600305,10.4800,10.7500,10.3700,10.6400,10.1500,30408481,320273448.0000
2019-01-08,sh.600305,10.5900,10.7500,10.5100,10.7000,10.6400,15334137,163143612.0000
2019-01-09,sh.600305,10.7400,11.0600,10.6400,10.7800,10.7000,19616993,213428339.0000
2019-01-10,sh.600305,10.8500,10.9400,10.6700,10.8000,10.7800,9063030,98019296.0000
2019-01-11,sh.600305,10.7200,10.9500,10.5700,10.9000,10.8000,12551395,134927064.0000
2019-01-14,sh.600305,10.9000,10.9500,10.6500,10.6800,10.9000,10403500,111818628.0000
2019-01-15,sh.600305,10.6800,11.2500,10.6500,11.2100,10.6800,18610226,204549034.0000
2019-01-16,sh.600305,11.1700,11.3300,11.0800,11.3200,11.2100,13047826,146109556.0000
2019-01-17,sh.600305,11.2000,11.3500,11.1200,11.2200,11.3200,10417690,116949174.0000
2019-01-18,sh.600305,11.1500,11.2800,11.0600,11.1500,11.2200,13157335,146742487.0000
2019-01-21,sh.600305,11.1800,11.5400,11.1300,11.2000,11.1500,14340587,162158670.0000
2019-01-22,sh.600305,11.1200,11.2900,11.0800,11.1900,11.2000,9900984,110582121.0000
2019-01-23,sh.600305,11.0800,11.3800,11.0800,11.2500,11.1900,9755594,109267133.0000
2019-01-24,sh.600305,11.2400,11.5000,11.2000,11.4800,11.2500,13181996,150079734.0000
2019-01-25,sh.600305,11.4900,11.8800,11.4300,11.7600,11.4800,19037239,222420984.0000
2019-01-28,sh.600305,11.8100,12.0500,11.6600,11.6900,11.7600,18370139,217091081.0000
2019-01-29,sh.600305,11.6900,11.8000,11.4000,11.6900,11.6900,15917793,185230119.0000
2019-01-30,sh.600305,11.5100,11.6300,11.0700,11.1700,11.6900,29300199,331803878.0000
2019-01-31,sh.600305,11.2100,11.3300,11.0900,11.2300,11.1700,16657103,186760573.0000
2019-02-01,sh.600305,11.2800,11.4200,11.0500,11.2400,11.2300,16999265,190718596.0000
2019-02-11,sh.600305,11.2500,11.7500,11.2100,11.6900,11.2400,21340226,245600152.0000
2019-02-12,sh.600305,11.6900,11.8000,11.5300,11.7800,11.6900,15920992,185435546.0000
2019-02-13,sh.600305,11.7400,12.0400,11.6300,11.9000,11.7800,22982679,272676216.0000
2019-02-14,sh.600305,11.8800,12.0900,11.7300,11.9200,11.9000,13000774,155021013.0000
2019-02-15,sh.600305,11.9000,11.9000,11.6600,11.6700,11.9200,13610765,160075236.0000
2019-02-18,sh.600305,11.7000,11.9900,11.7000,11.9900,11.6700,16948012,200586123.0000
2019-02-19,sh.600305,11.9500,12.0200,11.5800,11.7600,11.9900,19219423,226182662.0000
2019-02-20,sh.600305,11.7000,11.8700,11.6000,11.7500,11.7600,8681826,101893665.0000
2019-02-21,sh.600305,11.7200,11.8100,11.5000,11.6100,11.7500,13350803,155422879.0000
2019-02-22,sh.600305,11.5300,11.7100,11.4100,11.6400,11.6100,13754829,158827261.0000
2019-02-25,sh.600305,11.7400,11.8200,11.3800,11.8000,11.6400,36888347,427406166.0000
2019-02-26,sh.600305,11.6800,11.7100,11.4200,11.4500,11.8000,31300165,360569145.0000
2019-02-27,sh.600305,11.4600,11.8000,11.3600,11.6000,11.4500,24950611,290286517.0000
2019-02-28,sh.600305,11.6000,12.1000,11.3900,12.1000,11.6000,35983551,423215079.0000
2019-03-01,sh.600305,12.2800,12.4400,12.1200,12.3100,12.1000,26302917,322147267.0000
2019-03-04,sh.600305,12.2500,12.4700,11.9500,12.1500,12.3100,31510758,385578138.0000
2019-03-05,sh.600305,12.0300,12.1500,11.9000,12.0600,12.1500,18257317,218931038.0000
2019-03-06,sh.600305,12.0900,12.0900,11.8500,11.9900,12.0600,18804829,224397648.0000
2019-03-07,sh.600305,11.9500,11.9500,11.6600,11.7900,11.9900,21483149,253143376.0000
2019-03-08,sh.600305,11.5900,11.7000,11.1700,11.1800,11.7900,21684504,248649433.0000
2019-03-11,sh.600305,11.2000,11.5300,11.2000,11.5000,11.1800,14554455,166038607.0000
2019-03-12,sh.600305,11.5100,11.5700,11.3700,11.5000,11.5000,20612345,236735339.0000
2019-03-13,sh.600305,11.4800,11.6700,11.3400,11.6200,11.5000,20707226,237733734.0000
2019-03-14,sh.600305,11.6300,12.0500,11.5800,11.7900,11.6200,30254195,357381401.0000
2019-03-15,sh.600305,11.7100,12.0800,11.6200,12.0000,11.7900,28421760,338431042.0000
2019-03-18,sh.600305,11.9800,12.7600,11.9100,12.7500,12.0000,36029947,448030849.0000
2019-03-19,sh.600305,12.7800,12.7900,12.3500,12.6000,12.7500,20464677,255666279.0000
2019-03-20,sh.600305,12.5100,12.7400,12.2000,12.4200,12.6000,18504355,230305557.0000
2019-03-21,sh.600305,12.3500,12.5300,12.2200,12.4600,12.4200,13448708,166410617.0000
2019-03-22,sh.600305,12.4000,12.6900,12.2000,12.4600,12.4600,14329567,178578490.0000
2019-03-25,sh.600305,12.2300,12.5800,12.1700,12.2200,12.4600,11585236,143173073.0000
2019-03-26,sh.600305,12.2700,12.7100,12.2700,12.2800,12.2200,22148351,276790673.0000
2019-03-27,sh.600305,12.3900,13.2000,12.3800,13.1700,12.2800,31846948,409778217.0000
2019-03-28,sh.600305,12.9100,13.3900,12.8400,13.1700,13.1700,21741930,285021300.0000
2019-03-29,sh.600305,13.1100,13.8600,13.1100,13.7100,13.1700,28698668,389877108.0000
2019-04-01,sh.600305,13.6600,14.1400,13.5100,13.8000,13.7100,29321315,403268494.0000
2019-04-02,sh.600305,13.7500,13.7500,13.5800,13.7200,13.8000,16060792,219242895.0000
2019-04-03,sh.600305,13.6000,14.1800,13.5800,13.8600,13.7200,18428691,256288011.0000
2019-04-04,sh.600305,13.6900,13.9700,13.6400,13.8000,13.8600,15137158,208316211.0000
2019-04-08,sh.600305,13.8100,14.1600,13.4000,13.6100,13.8000,19970962,273829757.0000
2019-04-09,sh.600305,13.5400,13.8200,13.5000,13.7100,13.6100,11484349,156662506.0000
2019-04-10,sh.600305,13.6600,14.5700,13.5600,14.3800,13.7100,24847829,351120556.0000
2019-04-11,sh.600305,14.2600,14.3400,13.3500,13.4000,14.3800,24175197,333676671.0000
2019-04-12,sh.600305,13.4000,13.5100,13.0300,13.3700,13.4000,18784717,248637801.0000
2019-04-15,sh.600305,13.5500,13.5900,13.1000,13.1700,13.3700,12362820,165365843.0000
2019-04-16,sh.600305,12.7300,13.2800,12.6000,13.2800,13.1700,20152398,260143882.0000
2019-04-17,sh.600305,13.1000,13.3000,12.9000,13.1100,13.2800,13069275,171073231.0000
2019-04-18,sh.600305,13.0100,13.1300,12.9100,13.0000,13.1100,10423430,135829216.0000
2019-04-19,sh.600305,13.0000,13.2500,13.0000,13.2000,13.0000,11128629,146008705.0000
2019-04-22,sh.600305,13.2300,13.6300,13.1000,13.4500,13.2000,16970199,226609432.0000
2019-04-23,sh.600305,13.4200,13.9300,13.2100,13.7500,13.4500,22418043,306569837.0000
2019-04-24,sh.600305,13.6700,13.8100,13.4500,13.7200,13.7500,11899571,162149259.0000
2019-04-25,sh.600305,13.6500,13.7000,13.0000,13.0000,13.7200,13353486,178287557.0000
2019-04-26,sh.600305,12.8100,13.2500,12.8000,12.9500,13.0000,11401857,148189329.0000
2019-04-29,sh.600305,13.1100,13.5400,12.8800,13.2200,12.9500,22924444,303985851.0000
2019-04-30,sh.600305,13.3600,13.4400,12.8900,13.1300,13.2200,16427295,214454439.0000
2019-05-06,sh.600305,12.6100,13.0600,12.1000,12.4500,13.1300,18952405,239358971.0000
2019-05-07,sh.600305,12.5000,13.1200,12.4500,12.9900,12.4500,18691726,240038865.0000
2019-05-08,sh.600305,12.7000,13.5300,12.6500,13.2600,12.9900,19688624,260414259.0000
2019-05-09,sh.600305,13.0800,13.2600,12.7500,12.8100,13.2600,11695040,150770084.0000
2019-05-10,sh.600305,13.0300,13.5800,12.7800,13.5600,12.8100,18816628,249058813.0000
2019-05-13,sh.600305,13.3300,13.9400,13.3300,13.9300,13.5600,21331504,291691395.0000
2019-05-14,sh.600305,13.7200,13.9100,13.5800,13.6800,13.9300,13533557,185510763.0000
2019-05-15,sh.600305,13.7700,14.3500,13.6200,14.2500,13.6800,28510899,399384371.0000
2019-05-16,sh.600305,14.1100,14.3200,14.0100,14.2600,14.2500,16180139,229054661.0000
2019-05-17,sh.600305,14.2000,14.5200,13.9700,14.1100,14.2600,19231619,273271920.0000
2019-05-20,sh.600305,13.9200,14.0000,13.4500,13.7500,14.1100,14072795,192428568.0000
2019-05-21,sh.600305,13.7000,14.1700,13.6400,14.0500,13.7500,13384718,186178449.0000
2019-05-22,sh.600305,13.9800,14.3300,13.8100,14.1600,14.0500,12444955,175340739.0000
2019-05-23,sh.600305,14.1800,14.1800,13.5600,13.6700,14.1600,14144575,195944390.0000
2019-05-24,sh.600305,13.6700,13.9400,13.5300,13.6000,13.6700,9685407,132676669.0000
2019-05-27,sh.600305,13.5200,13.9100,13.2900,13.8900,13.6000,12047850,164433151.0000
2019-05-28,sh.600305,13.8000,14.2400,13.7700,13.9800,13.8900,16533106,231508795.0000
2019-05-29,sh.600305,13.8200,14.0200,13.8000,13.8200,13.9800,8320738,115428317.0000
2019-05-30,sh.600305,13.7800,14.2200,13.6800,14.1900,13.8200,16748762,234071849.0000
