date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600312,7.9000,7.9000,7.5000,7.6400,8.0800,19409176,148583580.0000
2019-01-03,sh.600312,7.6600,7.7000,7.2000,7.3500,7.6400,14211580,106493375.0000
2019-01-04,sh.600312,7.3300,7.8800,7.2600,7.7900,7.3500,27218521,208453197.0000
2019-01-07,sh.600312,7.8300,8.5700,7.8100,8.5700,7.7900,70541315,586547643.0000
2019-01-08,sh.600312,8.7400,8.8300,8.4200,8.6600,8.5700,45873655,395665981.0000
2019-01-09,sh.600312,8.7400,8.8000,8.5300,8.5900,8.6600,27942430,242520782.0000
2019-01-10,sh.600312,8.6900,9.0200,8.3700,8.4400,8.5900,33996962,293088795.0000
2019-01-11,sh.600312,8.4100,8.5700,8.3000,8.4100,8.4400,20410356,171879759.0000
2019-01-14,sh.600312,8.4400,8.5700,8.2900,8.3700,8.4100,12854429,108110636.0000
2019-01-15,sh.600312,8.3500,8.8500,8.3100,8.7600,8.3700,28954964,249695198.0000
2019-01-16,sh.600312,8.7800,8.7800,8.4300,8.5700,8.7600,17886474,153348216.0000
2019-01-17,sh.600312,8.5200,8.7300,8.4100,8.5400,8.5700,15589679,133853945.0000
2019-01-18,sh.600312,8.5500,8.5700,8.3100,8.4400,8.5400,13291039,111813638.0000
2019-01-21,sh.600312,8.5000,8.6400,8.3700,8.4400,8.4400,11537068,98211873.0000
2019-01-22,sh.600312,8.4400,8.5400,8.3500,8.4300,8.4400,8133357,68615046.0000
2019-01-23,sh.600312,8.3500,8.4700,8.2900,8.4200,8.4300,8317584,69851195.0000
2019-01-24,sh.600312,8.4300,8.6000,8.3000,8.6000,8.4200,14743849,124748693.0000
2019-01-25,sh.600312,8.5800,8.6200,8.3600,8.3900,8.6000,10428123,88701828.0000
2019-01-28,sh.600312,8.4500,8.6400,8.3300,8.4200,8.3900,11672770,99088045.0000
2019-01-29,sh.600312,8.5000,8.5700,8.2800,8.4500,8.4200,17390006,146724966.0000
2019-01-30,sh.600312,8.4000,8.5200,8.3300,8.4000,8.4500,10213035,86272300.0000
2019-01-31,sh.600312,8.4100,8.4800,7.9000,8.0800,8.4000,21356207,174243187.0000
2019-02-01,sh.600312,8.2600,8.3600,8.1200,8.1600,8.0800,24585882,202450905.0000
2019-02-11,sh.600312,8.2800,8.6400,8.2100,8.6400,8.1600,23022937,196071663.0000
2019-02-12,sh.600312,8.7000,8.7500,8.5400,8.6500,8.6400,17024674,147184369.0000
2019-02-13,sh.600312,8.6600,8.9800,8.5700,8.8600,8.6500,23904709,210374086.0000
2019-02-14,sh.600312,8.9100,8.9500,8.7400,8.8500,8.8600,16790557,148411434.0000
2019-02-15,sh.600312,8.8000,8.8900,8.6000,8.6400,8.8500,15987743,139602038.0000
2019-02-18,sh.600312,8.7100,9.1500,8.6900,9.1000,8.6400,23253347,208766855.0000
2019-02-19,sh.600312,9.0800,9.3500,8.8800,9.0000,9.1000,21361617,193909516.0000
2019-02-20,sh.600312,8.9800,9.0900,8.7900,8.9000,9.0000,12824842,114358789.0000
2019-02-21,sh.600312,8.8500,9.2200,8.8300,8.9300,8.9000,23752895,214316087.0000
2019-02-22,sh.600312,8.9200,9.1300,8.8300,9.1000,8.9300,17760822,160157842.0000
2019-02-25,sh.600312,9.2100,9.6000,9.1200,9.5000,9.1000,37373011,350804665.0000
2019-02-26,sh.600312,9.6000,9.6800,9.3500,9.3900,9.5000,26968672,256422349.0000
2019-02-27,sh.600312,9.3100,9.5500,8.9500,9.0600,9.3900,28537860,263227304.0000
2019-02-28,sh.600312,9.1200,9.2700,9.0500,9.2000,9.0600,14926732,136702545.0000
2019-03-01,sh.600312,9.2000,9.3000,8.9500,9.1200,9.2000,15571920,141056282.0000
2019-03-04,sh.600312,9.1900,9.4100,8.9800,9.0400,9.1200,32848614,302765704.0000
2019-03-05,sh.600312,8.9700,9.1800,8.9100,9.1800,9.0400,29529763,266924191.0000
2019-03-06,sh.600312,9.1800,9.3600,9.0000,9.1800,9.1800,31190373,286184435.0000
2019-03-07,sh.600312,9.1700,9.2000,8.9700,9.0500,9.1800,26091714,236486428.0000
2019-03-08,sh.600312,8.9600,8.9800,8.5400,8.5500,9.0500,30249747,265229530.0000
2019-03-11,sh.600312,8.6400,9.4100,8.6400,9.4100,8.5500,38690379,357978883.0000
2019-03-12,sh.600312,10.0800,10.2900,9.5300,9.7000,9.4100,72542012,715671083.0000
2019-03-13,sh.600312,9.6800,9.6800,9.0800,9.1700,9.7000,54219854,507116621.0000
2019-03-14,sh.600312,9.1300,9.2600,8.7100,8.8500,9.1700,31560457,281304756.0000
2019-03-15,sh.600312,8.8800,8.9600,8.6700,8.8000,8.8500,23201209,205087109.0000
2019-03-18,sh.600312,8.8200,9.0600,8.6400,9.0000,8.8000,22636793,201365019.0000
2019-03-19,sh.600312,9.0000,9.1200,8.8500,8.9200,9.0000,19742204,177072123.0000
2019-03-20,sh.600312,8.9200,8.9600,8.6600,8.8200,8.9200,19361778,169876750.0000
2019-03-21,sh.600312,8.8700,8.9300,8.8000,8.8500,8.8200,15069200,133677278.0000
2019-03-22,sh.600312,8.8500,8.8800,8.7000,8.8200,8.8500,14083371,123431806.0000
2019-03-25,sh.600312,8.7000,8.8200,8.6500,8.6800,8.8200,14321707,124904322.0000
2019-03-26,sh.600312,8.6700,8.7300,8.3100,8.3300,8.6800,19966912,169382353.0000
2019-03-27,sh.600312,8.3800,8.4800,8.0000,8.4600,8.3300,34092446,280745029.0000
2019-03-28,sh.600312,8.4000,8.4500,8.2200,8.2200,8.4600,14407223,119996365.0000
2019-03-29,sh.600312,8.2000,8.4200,8.0300,8.3500,8.2200,27011505,221886646.0000
2019-04-01,sh.600312,8.3700,8.8800,8.3700,8.7300,8.3500,28096405,243488159.0000
2019-04-02,sh.600312,8.7200,8.9800,8.7200,8.7400,8.7300,25243226,223052766.0000
2019-04-03,sh.600312,8.7000,8.9800,8.6100,8.9800,8.7400,23904344,212628054.0000
2019-04-04,sh.600312,8.9800,9.1600,8.8300,9.1600,8.9800,29135410,262111293.0000
2019-04-08,sh.600312,9.1800,9.2300,8.7300,8.8700,9.1600,27536401,246432254.0000
