date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600338,19.6300,19.6300,19.1600,19.1600,19.4300,1100632,21228707.0000
2019-01-03,sh.600338,19.3700,19.6500,18.7400,19.1900,19.1600,1869965,35985570.0000
2019-01-04,sh.600338,18.7600,19.6500,18.7600,19.4900,19.1900,1763928,34047035.0000
2019-01-07,sh.600338,19.4300,19.8600,19.4300,19.6200,19.4900,3147227,61827506.0000
2019-01-08,sh.600338,19.7000,19.8000,19.4000,19.5700,19.6200,1548509,30315508.0000
2019-01-09,sh.600338,19.5200,19.7400,19.4600,19.5800,19.5700,1637586,32138238.0000
2019-01-10,sh.600338,19.5800,19.6900,19.4000,19.5000,19.5800,988184,19282002.0000
2019-01-11,sh.600338,19.6000,19.6400,19.3200,19.4700,19.5000,905700,17611051.0000
2019-01-14,sh.600338,19.5400,19.5800,19.3900,19.4300,19.4700,1126577,21915441.0000
2019-01-15,sh.600338,19.3900,19.5100,19.0900,19.4500,19.4300,1838800,35566562.0000
2019-01-16,sh.600338,19.5600,19.5600,19.3500,19.3800,19.4500,1180263,22945174.0000
2019-01-17,sh.600338,19.3200,19.5300,19.1800,19.3000,19.3800,1235200,23936367.0000
2019-01-18,sh.600338,19.2900,19.6800,19.2800,19.6500,19.3000,1595951,31196174.0000
2019-01-21,sh.600338,19.6500,19.9100,19.5100,19.6800,19.6500,1396406,27488055.0000
2019-01-22,sh.600338,19.6400,19.7700,19.2400,19.3100,19.6800,1219752,23690627.0000
2019-01-23,sh.600338,19.4900,19.5500,19.2000,19.4300,19.3100,1367163,26487800.0000
2019-01-24,sh.600338,19.4400,19.5400,19.2100,19.2600,19.4300,1562700,30209693.0000
2019-01-25,sh.600338,19.4100,19.4100,19.0000,19.0000,19.2600,2708200,51942685.0000
2019-01-28,sh.600338,19.0900,19.2900,18.7500,19.0000,19.0000,3513548,66848940.0000
2019-01-29,sh.600338,18.8400,18.8400,18.3800,18.4900,19.0000,3122043,57825119.0000
2019-01-30,sh.600338,18.4000,18.5500,18.1300,18.4000,18.4900,3833642,70435870.0000
2019-01-31,sh.600338,18.4000,18.6800,18.3400,18.4500,18.4000,2348196,43393806.0000
2019-02-01,sh.600338,18.6500,19.3600,18.6500,19.1700,18.4500,3825510,72894576.0000
2019-02-11,sh.600338,19.2600,19.8200,19.0300,19.5900,19.1700,4073500,79352599.0000
2019-02-12,sh.600338,19.6500,20.2800,19.5300,19.5800,19.5900,3760101,74267324.0000
2019-02-13,sh.600338,19.6500,19.8900,19.5000,19.7600,19.5800,3707285,72998087.0000
2019-02-14,sh.600338,19.7600,20.0200,19.6600,19.8000,19.7600,3321351,65884302.0000
2019-02-15,sh.600338,19.8000,19.8600,19.5300,19.5600,19.8000,2036300,40062638.0000
