date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600362,13.1500,13.1600,12.9500,12.9900,13.1600,4432680,57651397.0000
2019-01-03,sh.600362,12.9900,13.0600,12.9000,12.9700,12.9900,4994526,64814964.0000
2019-01-04,sh.600362,12.8300,13.2100,12.8000,13.1800,12.9700,9018656,117718722.0000
2019-01-07,sh.600362,13.2800,13.6600,13.2200,13.5400,13.1800,16238256,218618030.0000
2019-01-08,sh.600362,13.5000,13.5300,13.3700,13.3800,13.5400,5851160,78492291.0000
2019-01-09,sh.600362,13.4400,13.5800,13.3600,13.3800,13.3800,8896055,119894583.0000
2019-01-10,sh.600362,13.3600,13.4500,13.3200,13.3500,13.3800,5579120,74665548.0000
2019-01-11,sh.600362,13.3900,13.4900,13.3500,13.4600,13.3500,5852534,78632347.0000
2019-01-14,sh.600362,13.4000,13.5500,13.3500,13.3800,13.4600,6316626,84973105.0000
2019-01-15,sh.600362,13.3800,13.4800,13.3000,13.4300,13.3800,8649430,115729543.0000
2019-01-16,sh.600362,13.4200,13.4700,13.3600,13.4500,13.4300,5073296,68053540.0000
2019-01-17,sh.600362,13.4400,13.5700,13.3400,13.4000,13.4500,9516719,128006346.0000
2019-01-18,sh.600362,13.4100,13.6300,13.3800,13.6100,13.4000,15274094,207318777.0000
2019-01-21,sh.600362,13.6900,13.7300,13.5000,13.5500,13.6100,11284642,153519578.0000
2019-01-22,sh.600362,13.5000,13.5000,13.2800,13.2800,13.5500,9217593,123277110.0000
2019-01-23,sh.600362,13.2800,13.2800,13.1200,13.1500,13.2800,9153465,120641183.0000
2019-01-24,sh.600362,13.1600,13.2100,13.0200,13.1400,13.1500,10742513,140766877.0000
2019-01-25,sh.600362,13.1800,13.1900,13.0900,13.0900,13.1400,6896165,90659560.0000
2019-01-28,sh.600362,13.2300,13.2500,13.0800,13.1300,13.0900,8715776,114787422.0000
2019-01-29,sh.600362,13.1000,13.1200,12.8800,12.9900,13.1300,8746845,113593805.0000
2019-01-30,sh.600362,13.0200,13.1000,12.9200,13.0000,12.9900,4851812,63271830.0000
2019-01-31,sh.600362,13.1400,13.4500,13.1400,13.2700,13.0000,16949836,225299334.0000
2019-02-01,sh.600362,13.3200,13.4600,13.2000,13.4400,13.2700,12580988,168027856.0000
2019-02-11,sh.600362,13.4400,13.6000,13.3900,13.6000,13.4400,15741248,212666711.0000
2019-02-12,sh.600362,13.5400,13.6900,13.4900,13.6100,13.6000,15581525,211637541.0000
2019-02-13,sh.600362,13.6100,14.0200,13.5800,13.8700,13.6100,25540376,352277949.0000
2019-02-14,sh.600362,13.8500,14.0400,13.7600,13.8600,13.8700,15553396,216138087.0000
2019-02-15,sh.600362,13.8400,13.9300,13.6600,13.7200,13.8600,13906419,191909556.0000
2019-02-18,sh.600362,13.9000,14.1500,13.7800,14.1400,13.7200,24124048,337272153.0000
2019-02-19,sh.600362,14.1600,14.3200,13.9500,14.0400,14.1400,23979717,338692852.0000
2019-02-20,sh.600362,14.3000,14.7500,14.3000,14.4100,14.0400,33896304,492089981.0000
2019-02-21,sh.600362,14.5800,14.6800,14.3100,14.3700,14.4100,29071599,422102361.0000
2019-02-22,sh.600362,14.2900,14.6000,14.1200,14.5700,14.3700,22537891,323285854.0000
2019-02-25,sh.600362,14.9200,16.0300,14.8300,16.0300,14.5700,71324206,1109660229.0000
2019-02-26,sh.600362,16.0600,16.9800,15.7500,16.2100,16.0300,73427311,1206463589.0000
2019-02-27,sh.600362,16.0500,16.3300,15.6000,15.8000,16.2100,44376720,709460005.0000
2019-02-28,sh.600362,15.8800,15.9700,15.4200,15.5500,15.8000,27992067,437877552.0000
2019-03-01,sh.600362,15.6400,15.7100,15.3800,15.6900,15.5500,23540528,366021711.0000
2019-03-04,sh.600362,15.8500,16.1600,15.7500,15.8500,15.6900,52620421,839147293.0000
2019-03-05,sh.600362,16.0800,16.2000,15.8300,16.0800,15.8500,42216855,677420747.0000
2019-03-06,sh.600362,16.2000,16.6900,16.1000,16.5200,16.0800,61795010,1014792908.0000
2019-03-07,sh.600362,16.4000,17.3500,16.1600,16.8000,16.5200,69770376,1176296960.0000
2019-03-08,sh.600362,16.2000,16.4200,15.5100,15.5300,16.8000,57830758,926401329.0000
2019-03-11,sh.600362,15.6500,15.9900,15.4600,15.9400,15.5300,30345821,476808942.0000
2019-03-12,sh.600362,16.0500,16.1600,15.6800,15.8500,15.9400,34876348,555883590.0000
2019-03-13,sh.600362,15.8800,15.9500,15.5000,15.5800,15.8500,25141095,395651059.0000
2019-03-14,sh.600362,15.6400,15.9100,15.2900,15.4100,15.5800,25853337,403422141.0000
2019-03-15,sh.600362,15.4300,15.7500,15.4200,15.7000,15.4100,20135855,313512519.0000
2019-03-18,sh.600362,15.8700,16.0800,15.7500,16.0600,15.7000,32533407,518383938.0000
2019-03-19,sh.600362,16.1000,16.1300,15.8200,15.9500,16.0600,21665796,345272662.0000
2019-03-20,sh.600362,15.9300,16.0100,15.6600,15.8900,15.9500,21422968,339288201.0000
2019-03-21,sh.600362,16.0800,16.3800,15.9800,16.3300,15.8900,46678395,756725031.0000
2019-03-22,sh.600362,16.1500,16.2300,15.7400,16.0500,16.3300,27275015,435785815.0000
2019-03-25,sh.600362,15.5900,15.7400,15.4100,15.5300,16.0500,28958130,452006270.0000
2019-03-26,sh.600362,15.5800,15.6800,15.2000,15.2600,15.5300,19490785,301102311.0000
2019-03-27,sh.600362,15.3500,15.4000,15.1400,15.3100,15.2600,11768027,179679966.0000
2019-03-28,sh.600362,15.2200,15.2900,15.0900,15.1200,15.3100,13028256,197881622.0000
2019-03-29,sh.600362,15.1800,15.6200,15.1300,15.6000,15.1200,21187644,327173602.0000
2019-04-01,sh.600362,15.8600,16.9600,15.8600,16.6500,15.6000,69649228,1148140476.0000
2019-04-02,sh.600362,16.6600,16.7800,16.2400,16.5500,16.6500,49493649,816390912.0000
2019-04-03,sh.600362,16.4100,16.6600,16.3500,16.6600,16.5500,32802637,542281879.0000
2019-04-04,sh.600362,16.8300,17.1200,16.5000,16.6700,16.6600,46012112,772357089.0000
2019-04-08,sh.600362,16.7400,17.4500,16.6900,17.0900,16.6700,62900794,1072465080.0000
2019-04-09,sh.600362,17.0300,17.0300,16.6000,16.8400,17.0900,31597642,528909932.0000
2019-04-10,sh.600362,16.5900,16.7400,16.2700,16.4900,16.8400,31245085,513854325.0000
2019-04-11,sh.600362,16.5000,16.6700,16.0900,16.1700,16.4900,23030782,376907095.0000
2019-04-12,sh.600362,16.1200,16.3100,16.1000,16.2800,16.1700,15393222,249361183.0000
2019-04-15,sh.600362,16.9900,17.1000,16.2800,16.3200,16.2800,32894289,549555727.0000
2019-04-16,sh.600362,16.2000,17.5900,16.1500,17.0600,16.3200,81285589,1386643880.0000
2019-04-17,sh.600362,17.0000,17.2100,16.8600,17.0400,17.0600,39415907,670296824.0000
2019-04-18,sh.600362,17.0400,17.5500,16.9500,16.9600,17.0400,38946182,670428501.0000
2019-04-19,sh.600362,16.8000,16.8900,16.3100,16.7900,16.9600,37973132,630824324.0000
2019-04-22,sh.600362,16.7800,16.7800,16.3500,16.3600,16.7900,27684861,456896579.0000
2019-04-23,sh.600362,16.3500,16.5000,16.1000,16.1100,16.3600,25291997,410909385.0000
2019-04-24,sh.600362,16.1200,16.2500,16.0000,16.2400,16.1100,17831808,287714911.0000
2019-04-25,sh.600362,16.1800,16.1900,15.4500,15.5700,16.2400,29537179,467741538.0000
2019-04-26,sh.600362,15.6000,15.6400,15.4000,15.4100,15.5700,18658520,289377217.0000
2019-04-29,sh.600362,15.4300,15.5400,15.1300,15.2000,15.4100,18447789,283178873.0000
2019-04-30,sh.600362,15.2500,15.4700,15.2300,15.3300,15.2000,14147829,217138124.0000
2019-05-06,sh.600362,14.5000,14.7000,13.9100,14.0800,15.3300,32024468,458670286.0000
2019-05-07,sh.600362,14.1300,14.3000,13.9600,14.2500,14.0800,17135334,242868698.0000
2019-05-08,sh.600362,13.8900,14.2800,13.8900,14.1500,14.2500,14622180,206486797.0000
2019-05-09,sh.600362,14.0500,14.2000,13.9300,14.0200,14.1500,12181443,171142211.0000
2019-05-10,sh.600362,14.2000,14.3300,13.8000,14.3000,14.0200,17967608,255285303.0000
2019-05-13,sh.600362,14.1600,14.1700,14.0000,14.0600,14.3000,10650125,149988033.0000
2019-05-14,sh.600362,13.9600,14.1400,13.9200,13.9600,14.0600,10202648,143263887.0000
2019-05-15,sh.600362,14.0900,14.1800,14.0300,14.1400,13.9600,11453222,161576812.0000
2019-05-16,sh.600362,14.1900,14.8800,14.1100,14.7300,14.1400,34058470,496796647.0000
2019-05-17,sh.600362,14.5900,14.6300,13.9700,14.0500,14.7300,22024821,315105932.0000
2019-05-20,sh.600362,13.9900,14.4700,13.8000,14.3700,14.0500,18695507,264324527.0000
2019-05-21,sh.600362,14.4000,15.3600,14.2400,14.9600,14.3700,40103074,595893444.0000
2019-05-22,sh.600362,14.8800,14.9500,14.5600,14.5600,14.9600,23852047,350647881.0000
2019-05-23,sh.600362,14.5100,14.6500,14.3100,14.3900,14.5600,13850175,200350170.0000
2019-05-24,sh.600362,14.3200,14.7000,14.2600,14.3600,14.3900,12900685,186659826.0000
2019-05-27,sh.600362,14.4000,14.8300,14.3400,14.7200,14.3600,16694993,243886241.0000
2019-05-28,sh.600362,14.6500,14.7500,14.5700,14.7200,14.7200,14574607,213610087.0000
2019-05-29,sh.600362,14.7800,15.0800,14.7800,14.9300,14.7200,27413517,410074988.0000
2019-05-30,sh.600362,14.7600,14.9800,14.5500,14.8700,14.9300,20946702,309235706.0000
2019-05-31,sh.600362,14.7700,15.0800,14.6600,14.8700,14.8700,21133875,314937643.0000
2019-06-03,sh.600362,14.8000,14.9000,14.4900,14.5800,14.8700,16846412,246887479.0000
2019-06-04,sh.600362,14.5800,14.7500,14.2100,14.2800,14.5800,13778600,198885112.0000
2019-06-05,sh.600362,14.4400,14.6400,14.4100,14.5000,14.2800,12316470,178884977.0000
2019-06-06,sh.600362,14.3900,14.7400,14.3800,14.4900,14.5000,13791977,200966970.0000
2019-06-10,sh.600362,14.6700,14.7100,14.3900,14.6500,14.4900,13052551,190175526.0000
2019-06-11,sh.600362,14.6000,15.1500,14.5900,15.1100,14.6500,28303909,424111608.0000
2019-06-12,sh.600362,15.0900,15.6400,15.0200,15.1100,15.1100,40391410,618293481.0000
2019-06-13,sh.600362,14.9900,15.1500,14.8600,15.0300,15.1100,18306598,274704490.0000
2019-06-14,sh.600362,15.0400,15.3200,14.8800,15.1000,15.0300,22463857,339308391.0000
2019-06-17,sh.600362,15.0000,15.3500,14.9300,15.1600,15.1000,18084544,274508807.0000
2019-06-18,sh.600362,15.1600,15.2400,14.8700,15.0100,15.1600,13199482,197976509.0000
2019-06-19,sh.600362,15.3300,15.3900,15.0600,15.1200,15.0100,19880176,302888204.0000
2019-06-20,sh.600362,15.2500,15.5800,15.1200,15.5300,15.1200,30301144,465541454.0000
2019-06-21,sh.600362,15.4900,15.9500,15.3800,15.5400,15.5300,37221190,582689097.0000
2019-06-24,sh.600362,15.5400,15.8800,15.4600,15.7900,15.5400,27611775,434515376.0000
2019-06-25,sh.600362,15.9500,16.2500,15.6500,16.1000,15.7900,50455880,806392727.0000
2019-06-26,sh.600362,15.8500,15.9900,15.6300,15.6400,16.1000,26716707,422405668.0000
2019-06-27,sh.600362,15.6000,15.8400,15.5100,15.6600,15.6400,18720660,294191898.0000
2019-06-28,sh.600362,15.7600,15.9500,15.5400,15.7400,15.6600,21495874,338882944.0000
2019-07-01,sh.600362,15.8500,15.9400,15.7100,15.9100,15.7400,29322891,463671774.0000
2019-07-02,sh.600362,15.7800,15.7900,15.5400,15.5800,15.9100,22632001,353442666.0000
2019-07-03,sh.600362,15.7100,15.8100,15.4400,15.4700,15.5800,20442404,319445481.0000
2019-07-04,sh.600362,15.4900,15.7500,15.4200,15.5200,15.4700,17647688,275259488.0000
2019-07-05,sh.600362,15.5400,15.5900,15.4000,15.5300,15.5200,10295812,159369145.0000
2019-07-08,sh.600362,15.4600,15.4600,14.7800,14.7800,15.5300,21987142,329189865.0000
2019-07-09,sh.600362,14.7600,14.8300,14.6400,14.7000,14.7800,9922957,146081782.0000
2019-07-10,sh.600362,14.7100,14.7600,14.5000,14.5100,14.7000,10803064,157471145.0000
2019-07-11,sh.600362,14.7900,14.9200,14.7100,14.7400,14.5100,15058787,223086517.0000
