date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600366,4.9000,5.0800,4.9000,4.9800,5.0100,5504462,27571414.0000
2019-01-03,sh.600366,5.0500,5.1200,4.9500,4.9500,4.9800,6904591,34737915.0000
2019-01-04,sh.600366,4.8500,5.1300,4.7500,5.0900,4.9500,14121557,70299162.0000
2019-01-07,sh.600366,5.0900,5.2800,5.0700,5.2400,5.0900,14154440,73359578.0000
2019-01-08,sh.600366,5.2300,5.4400,5.1300,5.2100,5.2400,16424959,86714075.0000
2019-01-09,sh.600366,5.1900,5.2900,5.1500,5.1800,5.2100,13141118,68596417.0000
2019-01-10,sh.600366,5.1500,5.2200,5.1100,5.1500,5.1800,6961715,35986376.0000
2019-01-11,sh.600366,5.1400,5.4500,5.1400,5.4300,5.1500,20078639,106444376.0000
2019-01-14,sh.600366,5.3700,5.6400,5.3000,5.5600,5.4300,32262913,177362142.0000
2019-01-15,sh.600366,5.4500,5.5500,5.3700,5.4900,5.5600,19204451,104745685.0000
2019-01-16,sh.600366,5.4200,5.4500,5.2800,5.3200,5.4900,13676866,73137582.0000
2019-01-17,sh.600366,5.3200,5.4700,5.2500,5.3300,5.3200,13245037,71033949.0000
2019-01-18,sh.600366,5.3300,5.4000,5.2800,5.3600,5.3300,10581053,56429949.0000
2019-01-21,sh.600366,5.3600,5.4300,5.2600,5.3200,5.3600,10573056,56359024.0000
2019-01-22,sh.600366,5.3200,5.3500,5.1400,5.1600,5.3200,8538995,44655674.0000
2019-01-23,sh.600366,5.1500,5.3800,5.1500,5.3300,5.1600,12494788,65995264.0000
2019-01-24,sh.600366,5.2800,5.4300,5.2700,5.4100,5.3300,14434302,77524709.0000
2019-01-25,sh.600366,5.4000,5.4200,5.2800,5.3000,5.4100,10762576,57557668.0000
2019-01-28,sh.600366,5.3400,5.4400,5.2900,5.3900,5.3000,9832114,52847479.0000
2019-01-29,sh.600366,5.3600,5.3600,5.0500,5.1100,5.3900,10918444,56583970.0000
2019-01-30,sh.600366,5.1000,5.2200,5.0600,5.1100,5.1100,6145658,31685811.0000
2019-01-31,sh.600366,5.1500,5.1700,4.9000,4.9600,5.1100,8307041,41773609.0000
2019-02-01,sh.600366,5.0300,5.1400,5.0000,5.1100,4.9600,5520524,28068412.0000
2019-02-11,sh.600366,5.1400,5.2800,5.1400,5.2600,5.1100,6246520,32687733.0000
2019-02-12,sh.600366,5.2700,5.4500,5.2700,5.4000,5.2600,11908677,64133590.0000
2019-02-13,sh.600366,5.4300,5.5500,5.3600,5.4600,5.4000,18172507,99232956.0000
2019-02-14,sh.600366,5.4800,5.5500,5.4500,5.4700,5.4600,13471784,73904201.0000
