date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600367,7.1700,7.2100,7.0600,7.1000,7.1600,1142600,8153140.0000
2019-01-03,sh.600367,7.1000,7.2000,7.0700,7.1500,7.1000,883237,6307425.0000
2019-01-04,sh.600367,7.1000,7.3800,7.0700,7.3000,7.1500,2014037,14584032.0000
2019-01-07,sh.600367,7.3500,7.5000,7.3000,7.4600,7.3000,2338704,17309218.0000
2019-01-08,sh.600367,7.4200,7.4700,7.3800,7.4100,7.4600,1361091,10102268.0000
2019-01-09,sh.600367,7.4100,7.5200,7.3700,7.4100,7.4100,1931321,14409672.0000
2019-01-10,sh.600367,7.3800,7.4600,7.3700,7.3800,7.4100,1219300,9037453.0000
2019-01-11,sh.600367,7.4100,7.5000,7.3800,7.4700,7.3800,1655400,12309315.0000
2019-01-14,sh.600367,7.4700,7.6000,7.4400,7.4900,7.4700,1853921,13927262.0000
2019-01-15,sh.600367,7.4900,7.5900,7.4200,7.5700,7.4900,1628600,12241282.0000
2019-01-16,sh.600367,7.5400,7.6200,7.5100,7.5300,7.5700,1418010,10714818.0000
2019-01-17,sh.600367,7.5800,7.6100,7.4600,7.4900,7.5300,1701604,12816243.0000
2019-01-18,sh.600367,7.5300,7.6800,7.4900,7.5600,7.4900,2229529,16899217.0000
2019-01-21,sh.600367,7.5500,7.6600,7.5500,7.6300,7.5600,2624338,19981518.0000
2019-01-22,sh.600367,7.5700,7.6500,7.5000,7.5300,7.6300,2094600,15865456.0000
2019-01-23,sh.600367,7.5400,7.7800,7.4800,7.6900,7.5300,4143700,31782451.0000
2019-01-24,sh.600367,7.6800,7.7800,7.6000,7.7000,7.6900,3164089,24378293.0000
2019-01-25,sh.600367,7.6500,7.9500,7.6500,7.7600,7.7000,4818497,37557734.0000
2019-01-28,sh.600367,7.8000,7.8100,7.6000,7.6200,7.7600,3192737,24543087.0000
2019-01-29,sh.600367,7.6200,7.6300,7.2200,7.4000,7.6200,2878260,21334261.0000
2019-01-30,sh.600367,7.4100,7.5200,7.3000,7.3100,7.4000,1457601,10785598.0000
2019-01-31,sh.600367,7.2700,7.4500,7.2700,7.3500,7.3100,1822777,13422198.0000
2019-02-01,sh.600367,7.4500,7.5200,7.3500,7.5100,7.3500,1968247,14662682.0000
2019-02-11,sh.600367,7.5000,7.8400,7.4600,7.8400,7.5100,5194236,40083920.0000
2019-02-12,sh.600367,7.8500,7.9000,7.7000,7.8400,7.8400,6118400,47784689.0000
2019-02-13,sh.600367,7.8100,8.0100,7.7800,7.9100,7.8400,5980145,47284167.0000
2019-02-14,sh.600367,7.9200,8.1100,7.8800,7.9300,7.9100,5651401,45132236.0000
2019-02-15,sh.600367,7.9500,8.0100,7.8800,7.9000,7.9300,3972400,31480103.0000
2019-02-18,sh.600367,7.9500,8.1300,7.9100,8.1200,7.9000,6199517,49745384.0000
2019-02-19,sh.600367,8.1100,8.1200,7.8700,8.0400,8.1200,6568056,52612342.0000
2019-02-20,sh.600367,8.0000,8.1900,7.9700,8.1100,8.0400,6050372,49065024.0000
2019-02-21,sh.600367,8.1000,8.1300,7.9500,7.9900,8.1100,5470282,44099094.0000
2019-02-22,sh.600367,7.9400,8.1400,7.9200,8.1300,7.9900,5839801,46875836.0000
2019-02-25,sh.600367,8.1900,8.5400,8.1200,8.5100,8.1300,11495831,95986433.0000
2019-02-26,sh.600367,8.5100,8.6200,8.3700,8.4200,8.5100,9899932,83913804.0000
2019-02-27,sh.600367,8.3700,8.4700,8.2700,8.3600,8.4200,6801780,56983135.0000
2019-02-28,sh.600367,8.3900,8.4600,8.3400,8.4000,8.3600,3429773,28790864.0000
2019-03-01,sh.600367,8.4100,8.4500,8.2800,8.3900,8.4000,3269903,27319659.0000
2019-03-04,sh.600367,8.4000,8.6000,8.4000,8.4300,8.3900,8210728,69681389.0000
2019-03-05,sh.600367,8.4100,8.7700,8.3800,8.7200,8.4300,9054096,77653697.0000
2019-03-06,sh.600367,8.7900,8.8800,8.6000,8.8300,8.7200,9629294,84313694.0000
2019-03-07,sh.600367,8.8300,9.1300,8.8100,9.1000,8.8300,9063703,81333595.0000
2019-03-08,sh.600367,8.8500,8.8700,8.5000,8.5000,9.1000,10090204,88057424.0000
2019-03-11,sh.600367,8.5100,8.8500,8.5100,8.8400,8.5000,6636201,57811499.0000
2019-03-12,sh.600367,8.9100,9.0500,8.7800,8.9000,8.8400,9367461,83381059.0000
2019-03-13,sh.600367,8.9500,8.9500,8.6800,8.7600,8.9000,6049860,53431166.0000
2019-03-14,sh.600367,8.7400,8.8800,8.4600,8.5700,8.7600,4903102,42380135.0000
2019-03-15,sh.600367,8.5700,8.8500,8.5700,8.7800,8.5700,5839084,51082056.0000
2019-03-18,sh.600367,8.8000,9.0600,8.7500,9.0600,8.7800,8823534,78836623.0000
2019-03-19,sh.600367,9.0600,9.1100,8.8800,9.0000,9.0600,6690986,60121537.0000
2019-03-20,sh.600367,8.9900,9.0700,8.7400,9.0300,9.0000,6964444,62134330.0000
2019-03-21,sh.600367,8.9900,9.0900,8.8500,8.9800,9.0300,8035191,72225272.0000
2019-03-22,sh.600367,8.9500,9.1700,8.8400,9.1300,8.9800,7825482,70503327.0000
2019-03-25,sh.600367,8.9200,9.1100,8.9100,8.9400,9.1300,6069801,54621284.0000
2019-03-26,sh.600367,8.9600,9.0300,8.6800,8.6800,8.9400,4792039,42396611.0000
2019-03-27,sh.600367,8.7200,8.8000,8.5800,8.7500,8.6800,3821640,33194532.0000
2019-03-28,sh.600367,8.7600,8.8400,8.6300,8.6600,8.7500,3112521,27164520.0000
2019-03-29,sh.600367,8.6500,8.9200,8.5400,8.9000,8.6600,4976924,43543632.0000
2019-04-01,sh.600367,8.9100,9.2800,8.9100,9.1600,8.9000,10364273,94675995.0000
2019-04-02,sh.600367,9.2300,9.3600,9.1500,9.2600,9.1600,9005516,83369955.0000
2019-04-03,sh.600367,9.2400,9.5500,9.2000,9.4600,9.2600,9786482,92541617.0000
2019-04-04,sh.600367,9.5000,9.7400,9.3100,9.4400,9.4600,8104302,76805342.0000
2019-04-08,sh.600367,9.6200,9.8700,9.4100,9.6000,9.4400,11480642,110918337.0000
2019-04-09,sh.600367,9.5800,9.5900,9.2600,9.4000,9.6000,7484701,70218718.0000
2019-04-10,sh.600367,9.3500,9.4100,9.1800,9.3400,9.4000,6111583,56787950.0000
2019-04-11,sh.600367,9.3200,9.4100,9.0900,9.1400,9.3400,5201501,48083918.0000
2019-04-12,sh.600367,9.1400,9.2500,9.0400,9.0700,9.1400,4236401,38671776.0000
2019-04-15,sh.600367,9.1700,9.2400,8.9900,9.0000,9.0700,4651364,42568066.0000
2019-04-16,sh.600367,8.9000,9.2800,8.8200,9.2700,9.0000,6647149,60267910.0000
2019-04-17,sh.600367,9.2300,9.3800,9.1600,9.1800,9.2300,5704449,52604446.0000
2019-04-18,sh.600367,9.2400,9.3200,9.1400,9.1900,9.1800,4730822,43722931.0000
2019-04-19,sh.600367,9.1400,9.1400,8.8600,9.0500,9.1900,7686428,68963876.0000
2019-04-22,sh.600367,9.0700,9.0700,8.8800,8.9400,9.0500,4496070,40415656.0000
2019-04-23,sh.600367,8.9500,8.9600,8.6300,8.6800,8.9400,5518948,48336142.0000
2019-04-24,sh.600367,8.7100,8.7500,8.5800,8.7500,8.6800,3656069,31721802.0000
2019-04-25,sh.600367,8.7300,8.7500,8.3500,8.3700,8.7500,4932122,42238201.0000
2019-04-26,sh.600367,8.3400,8.4500,8.3100,8.3300,8.3700,2724003,22776949.0000
2019-04-29,sh.600367,8.3900,8.3900,8.0100,8.0700,8.3300,4085001,33311346.0000
2019-04-30,sh.600367,8.0900,8.1900,8.0600,8.1400,8.0700,2364900,19223955.0000
2019-05-06,sh.600367,7.9300,7.9300,7.4200,7.6000,8.1400,3512001,27096616.0000
2019-05-07,sh.600367,7.5900,7.7300,7.5400,7.6500,7.6000,2158643,16511904.0000
2019-05-08,sh.600367,7.5500,7.7800,7.4600,7.6600,7.6500,2911328,22263294.0000
2019-05-09,sh.600367,7.5900,7.7600,7.5900,7.6700,7.6600,1823400,14017871.0000
2019-05-10,sh.600367,7.7500,7.8500,7.5000,7.8400,7.6700,2878400,22366854.0000
2019-05-13,sh.600367,7.8000,7.8300,7.6600,7.7600,7.8400,1891901,14673657.0000
2019-05-14,sh.600367,7.6500,7.8000,7.6100,7.7200,7.7600,1568000,12097185.0000
2019-05-15,sh.600367,7.7400,7.8600,7.7400,7.8400,7.7200,2235628,17457793.0000
2019-05-16,sh.600367,7.8700,8.0900,7.8000,8.0800,7.8400,4203902,33675344.0000
2019-05-17,sh.600367,8.0500,8.1000,7.6600,7.7300,8.0800,3453701,27244342.0000
2019-05-20,sh.600367,7.7500,7.7500,7.4300,7.7000,7.7300,2901802,21925713.0000
2019-05-21,sh.600367,7.6800,8.1900,7.6300,8.0500,7.7000,5189493,41436051.0000
2019-05-22,sh.600367,7.9900,8.0800,7.8800,7.8900,8.0500,3140802,25010257.0000
2019-05-23,sh.600367,7.8700,7.9100,7.7200,7.7500,7.8900,2312798,18050978.0000
2019-05-24,sh.600367,7.7300,7.8300,7.7100,7.8100,7.7500,2101097,16341233.0000
2019-05-27,sh.600367,7.8300,8.0600,7.7500,8.0100,7.8100,3623900,28675183.0000
2019-05-28,sh.600367,8.0100,8.0300,7.9100,7.9200,8.0100,2308703,18433027.0000
2019-05-29,sh.600367,7.9500,8.1800,7.9500,8.0900,7.9200,4362400,35340509.0000
2019-05-30,sh.600367,8.0100,8.4300,8.0100,8.3700,8.0900,7152675,59258484.0000
