date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600395,5.0100,5.0400,4.9600,4.9800,5.0100,2409988,12020357.0000
2019-01-03,sh.600395,4.9700,5.0300,4.9600,4.9900,4.9800,1856125,9268965.0000
2019-01-04,sh.600395,4.9600,5.0700,4.9300,5.0500,4.9900,4703860,23567803.0000
2019-01-07,sh.600395,5.0800,5.0900,5.0400,5.0800,5.0500,4272646,21646678.0000
2019-01-08,sh.600395,5.0800,5.0800,5.0500,5.0600,5.0800,1933632,9787273.0000
2019-01-09,sh.600395,5.0700,5.1300,5.0600,5.0600,5.0600,7329167,37291564.0000
2019-01-10,sh.600395,5.0500,5.0700,5.0000,5.0200,5.0600,4004567,20134372.0000
2019-01-11,sh.600395,5.0400,5.0500,5.0100,5.0500,5.0200,2584578,13014016.0000
2019-01-14,sh.600395,5.0500,5.1600,5.0500,5.0800,5.0500,7659665,39064072.0000
2019-01-15,sh.600395,5.0700,5.1000,5.0100,5.1000,5.0800,5487947,27719317.0000
2019-01-16,sh.600395,5.0900,5.1400,5.0500,5.1100,5.1000,7391604,37579104.0000
2019-01-17,sh.600395,5.1000,5.2100,5.0700,5.1300,5.1100,12585410,64783722.0000
2019-01-18,sh.600395,5.1300,5.2100,5.1000,5.1800,5.1300,14811054,76464528.0000
2019-01-21,sh.600395,5.1800,5.1800,5.1000,5.1500,5.1800,10979040,56436634.0000
2019-01-22,sh.600395,5.1500,5.1500,5.0500,5.0600,5.1500,7998826,40642331.0000
2019-01-23,sh.600395,5.0200,5.0700,5.0200,5.0300,5.0600,4496631,22661257.0000
2019-01-24,sh.600395,5.0300,5.0600,5.0100,5.0300,5.0300,3941888,19830726.0000
2019-01-25,sh.600395,5.0300,5.0500,5.0000,5.0100,5.0300,4515492,22708143.0000
2019-01-28,sh.600395,5.0300,5.0500,4.9900,4.9900,5.0100,4641629,23296102.0000
2019-01-29,sh.600395,4.9800,4.9800,4.8000,4.8900,4.9900,7748555,37937293.0000
2019-01-30,sh.600395,4.8800,4.9000,4.8400,4.8500,4.8900,2699362,13148625.0000
2019-01-31,sh.600395,4.8500,4.8900,4.8200,4.8500,4.8500,3902315,18973720.0000
2019-02-01,sh.600395,4.8800,4.9200,4.8600,4.9200,4.8500,3941145,19306530.0000
2019-02-11,sh.600395,4.9100,4.9800,4.9000,4.9800,4.9200,5017748,24866939.0000
2019-02-12,sh.600395,4.9800,5.0500,4.9500,5.0200,4.9800,6753581,33782722.0000
2019-02-13,sh.600395,5.0200,5.0800,4.9900,5.0800,5.0200,9743453,49043142.0000
2019-02-14,sh.600395,5.0700,5.0800,5.0400,5.0700,5.0800,4932685,24965586.0000
2019-02-15,sh.600395,5.0700,5.0800,5.0200,5.0300,5.0700,5352200,27016216.0000
2019-02-18,sh.600395,5.0400,5.1400,5.0400,5.1300,5.0300,11585809,59090012.0000
2019-02-19,sh.600395,5.1400,5.1500,5.0800,5.1100,5.1300,9078651,46452236.0000
2019-02-20,sh.600395,5.1100,5.1900,5.0900,5.1500,5.1100,8904617,45839337.0000
2019-02-21,sh.600395,5.1400,5.1800,5.1000,5.1100,5.1500,12619417,64955846.0000
2019-02-22,sh.600395,5.1000,5.1600,5.0800,5.1600,5.1100,9272458,47448679.0000
2019-02-25,sh.600395,5.1800,5.4800,5.1700,5.4600,5.1600,28287531,151415287.0000
2019-02-26,sh.600395,5.4800,5.7500,5.3700,5.5200,5.4600,29246245,163288583.0000
2019-02-27,sh.600395,5.5000,5.6400,5.4500,5.5200,5.5200,18193774,100772243.0000
2019-02-28,sh.600395,5.5200,5.5400,5.4000,5.4600,5.5200,13117268,71786233.0000
2019-03-01,sh.600395,5.5000,5.5300,5.4300,5.5300,5.4600,10520189,57717109.0000
2019-03-04,sh.600395,5.5400,5.6800,5.5200,5.5900,5.5300,20573262,115435333.0000
2019-03-05,sh.600395,5.5900,5.6200,5.5100,5.6200,5.5900,12868175,71568992.0000
2019-03-06,sh.600395,5.6200,5.7600,5.6100,5.7500,5.6200,22103016,126161869.0000
2019-03-07,sh.600395,5.7100,6.0500,5.7000,5.8600,5.7500,30094161,177503123.0000
2019-03-08,sh.600395,5.7600,5.7700,5.4200,5.5000,5.8600,22305342,125742950.0000
2019-03-11,sh.600395,5.5200,5.6600,5.5000,5.6500,5.5000,15740076,87878593.0000
2019-03-12,sh.600395,5.6800,5.7700,5.6300,5.7200,5.6500,17726393,101235015.0000
2019-03-13,sh.600395,5.7100,5.7100,5.5600,5.6000,5.7200,11084331,62459457.0000
2019-03-14,sh.600395,5.5400,5.6900,5.4700,5.5100,5.6000,8900789,49589180.0000
2019-03-15,sh.600395,5.5400,5.6300,5.5300,5.5800,5.5100,9829419,54825135.0000
2019-03-18,sh.600395,5.6100,5.7300,5.5300,5.7200,5.5800,18069717,102118161.0000
2019-03-19,sh.600395,5.7300,5.7400,5.6400,5.6900,5.7200,12425368,70663663.0000
2019-03-20,sh.600395,5.7000,5.8100,5.6300,5.7300,5.6900,17673040,100818260.0000
2019-03-21,sh.600395,5.7400,5.7700,5.7000,5.7400,5.7300,13123848,75318224.0000
2019-03-22,sh.600395,5.7300,5.7300,5.6300,5.7000,5.7400,11117806,63073268.0000
2019-03-25,sh.600395,5.6000,5.6500,5.5600,5.6100,5.7000,10107591,56676533.0000
2019-03-26,sh.600395,5.6100,5.6400,5.4600,5.5000,5.6100,9504432,52673194.0000
2019-03-27,sh.600395,5.5300,5.5400,5.4400,5.5000,5.5000,7451760,40865128.0000
2019-03-28,sh.600395,5.4700,5.5300,5.4600,5.4700,5.5000,6326492,34760464.0000
2019-03-29,sh.600395,5.4600,5.6500,5.4500,5.6500,5.4700,14508528,80988346.0000
2019-04-01,sh.600395,5.6800,5.8300,5.6600,5.8000,5.6500,24877456,143489829.0000
2019-04-02,sh.600395,5.8100,5.8800,5.7500,5.8400,5.8000,18347346,106706325.0000
2019-04-03,sh.600395,5.8100,5.9400,5.7800,5.9000,5.8400,15812076,93187581.0000
2019-04-04,sh.600395,5.9500,6.0100,5.8500,5.9500,5.9000,17810145,105737321.0000
2019-04-08,sh.600395,6.0700,6.2900,5.9900,6.1000,5.9500,34503097,211578998.0000
2019-04-09,sh.600395,6.0500,6.1200,5.9900,6.0500,6.1000,15701845,94962698.0000
2019-04-10,sh.600395,6.0000,6.0700,5.9000,6.0400,6.0500,13828835,82626958.0000
2019-04-11,sh.600395,6.0200,6.1200,5.8400,5.8600,6.0400,14829552,88508501.0000
2019-04-12,sh.600395,5.8800,5.8900,5.7800,5.8400,5.8600,12465027,72686868.0000
2019-04-15,sh.600395,5.9200,5.9900,5.8600,5.8600,5.8400,13105662,77812259.0000
2019-04-16,sh.600395,5.8500,6.0300,5.8100,6.0200,5.8600,16144043,96208832.0000
2019-04-17,sh.600395,6.0200,6.1300,6.0000,6.0500,6.0200,18338786,111259894.0000
2019-04-18,sh.600395,6.0500,6.1500,6.0200,6.0700,6.0500,11972328,72738333.0000
2019-04-19,sh.600395,6.0400,6.3000,5.9400,6.2800,6.0700,22703778,139130676.0000
2019-04-22,sh.600395,6.4200,6.4600,6.1300,6.1500,6.2800,26614539,167387207.0000
2019-04-23,sh.600395,6.1600,6.3600,6.1400,6.1600,6.1500,21661336,135221386.0000
2019-04-24,sh.600395,6.1900,6.3400,6.1600,6.2500,6.1600,14997821,93593463.0000
2019-04-25,sh.600395,6.2200,6.2700,6.0100,6.0100,6.2500,16669736,102235983.0000
2019-04-26,sh.600395,6.0400,6.0600,5.9500,5.9600,6.0100,9340000,55987596.0000
2019-04-29,sh.600395,6.0000,6.0300,5.8400,5.8600,5.9600,10266501,60739238.0000
2019-04-30,sh.600395,5.8700,5.9600,5.8600,5.9200,5.8600,6503700,38507907.0000
2019-05-06,sh.600395,5.8100,5.8100,5.5300,5.5600,5.9200,13427843,76070834.0000
2019-05-07,sh.600395,5.6200,5.7100,5.6000,5.6800,5.5600,7144625,40381712.0000
2019-05-08,sh.600395,5.5800,5.7800,5.5700,5.6800,5.6800,8206616,46757479.0000
2019-05-09,sh.600395,5.6100,5.6800,5.5600,5.5800,5.6800,6431291,36043355.0000
2019-05-10,sh.600395,5.6300,5.7200,5.5800,5.7000,5.5800,8312220,47111098.0000
2019-05-13,sh.600395,5.6700,5.7200,5.6300,5.6700,5.7000,4591524,26029349.0000
2019-05-14,sh.600395,5.5700,5.6600,5.5500,5.6000,5.6700,4982638,27934449.0000
2019-05-15,sh.600395,5.6500,5.7000,5.6200,5.6800,5.6000,6048466,34221806.0000
2019-05-16,sh.600395,5.6900,5.7800,5.6700,5.7800,5.6800,8480195,48708526.0000
2019-05-17,sh.600395,5.7900,5.7900,5.5900,5.6200,5.7800,7382734,41835164.0000
2019-05-20,sh.600395,5.6300,5.6600,5.5100,5.6500,5.6200,5720075,31938095.0000
