date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600438,8.3000,8.4100,8.2100,8.2800,8.2800,14361367,118939667.0000
2019-01-03,sh.600438,8.4400,8.4400,7.8800,7.9400,8.2800,28063011,226141672.0000
2019-01-04,sh.600438,7.8100,8.1400,7.7700,8.0800,7.9400,22370981,179098287.0000
2019-01-07,sh.600438,8.1800,8.5000,8.1100,8.5000,8.0800,30594146,255483368.0000
2019-01-08,sh.600438,8.5000,8.5400,8.3400,8.4800,8.5000,19556055,165043166.0000
2019-01-09,sh.600438,8.5000,8.5500,8.1100,8.3100,8.4800,28602094,239516890.0000
2019-01-10,sh.600438,8.5000,9.0900,8.5000,8.9200,8.3100,70962867,630105635.0000
2019-01-11,sh.600438,8.9200,8.9800,8.7300,8.7500,8.9200,25984331,229380564.0000
2019-01-14,sh.600438,8.7500,8.9300,8.6400,8.7500,8.7500,21617414,189423607.0000
2019-01-15,sh.600438,8.7000,9.1400,8.6700,9.1000,8.7500,38995673,349671555.0000
2019-01-16,sh.600438,9.1400,9.2300,9.0200,9.1700,9.1000,24048552,219385477.0000
2019-01-17,sh.600438,9.1900,9.6000,9.1300,9.2600,9.1700,35462862,331124830.0000
2019-01-18,sh.600438,9.3900,9.8700,9.3100,9.7400,9.2600,46592585,446368788.0000
2019-01-21,sh.600438,9.7500,9.8500,9.5100,9.5800,9.7400,32296014,311110384.0000
2019-01-22,sh.600438,9.5500,9.6900,9.2100,9.3100,9.5800,29228266,273246086.0000
2019-01-23,sh.600438,9.3200,9.5100,9.2200,9.4100,9.3100,24986090,234434996.0000
2019-01-24,sh.600438,9.3900,10.3500,9.3900,10.1000,9.4100,102407521,1040258538.0000
2019-01-25,sh.600438,10.2700,10.3400,9.9800,10.1200,10.1000,45528579,464490701.0000
2019-01-28,sh.600438,10.2800,10.4000,9.8800,10.0500,10.1200,41790682,422432306.0000
2019-01-29,sh.600438,10.1000,10.3300,9.8500,10.1000,10.0500,40842332,412742085.0000
2019-01-30,sh.600438,10.1800,10.6200,10.1600,10.2600,10.1000,51749887,537729159.0000
2019-01-31,sh.600438,10.2700,10.4300,10.1500,10.2600,10.2600,27790592,286760618.0000
2019-02-01,sh.600438,10.4000,11.0400,10.3600,10.7500,10.2600,51260567,552259751.0000
2019-02-11,sh.600438,10.7500,10.9900,10.7000,10.9800,10.7500,32241875,350824886.0000
2019-02-12,sh.600438,10.8800,10.9500,10.6100,10.8700,10.9800,31980325,343944350.0000
2019-02-13,sh.600438,10.8100,11.0000,10.7300,10.9500,10.8700,35641855,388750832.0000
2019-02-14,sh.600438,10.8400,11.3600,10.8000,11.2800,10.9500,41973967,471859923.0000
2019-02-15,sh.600438,11.2300,11.7000,11.1700,11.4900,11.2800,49539706,567352061.0000
2019-02-18,sh.600438,11.3300,12.3200,11.3300,12.2700,11.4900,57968801,699046461.0000
2019-02-19,sh.600438,12.6500,12.9800,12.0000,12.2400,12.2700,79662528,998536238.0000
2019-02-20,sh.600438,12.4000,12.5500,12.0000,12.4900,12.2400,28795928,354335370.0000
2019-02-21,sh.600438,12.3100,13.1600,12.2900,12.6800,12.4900,50791195,648890176.0000
2019-02-22,sh.600438,12.8300,13.4300,12.6100,13.2900,12.6800,55370015,722690641.0000
2019-02-25,sh.600438,13.6900,13.7800,13.0100,13.4000,13.2900,80950022,1086009361.0000
2019-02-26,sh.600438,13.3100,13.5000,12.7800,13.0500,13.4000,75447681,988802685.0000
2019-02-27,sh.600438,12.8800,12.9400,11.7500,11.7500,13.0500,116971847,1415555707.0000
2019-02-28,sh.600438,11.6300,12.1200,11.4100,11.9000,11.7500,60972554,722415355.0000
2019-03-01,sh.600438,11.9400,12.1800,11.8100,12.0000,11.9000,51769907,619380416.0000
2019-03-04,sh.600438,12.1600,12.2300,11.7300,11.9300,12.0000,91622581,1095943089.0000
2019-03-05,sh.600438,11.9000,12.0800,11.6800,11.9900,11.9300,61261392,727145090.0000
2019-03-06,sh.600438,11.9800,12.1100,11.6800,11.8300,11.9900,60190091,714466317.0000
2019-03-07,sh.600438,11.8300,11.8500,11.3400,11.4800,11.8300,61667757,711824549.0000
2019-03-08,sh.600438,11.4100,11.8500,11.2200,11.3400,11.4800,53949485,622835044.0000
2019-03-11,sh.600438,11.3200,12.4700,11.3100,12.4700,11.3400,109032165,1325883276.0000
2019-03-12,sh.600438,12.4700,12.9500,12.3500,12.6100,12.4700,80772930,1021589447.0000
2019-03-13,sh.600438,12.4900,12.7400,12.1000,12.6300,12.6100,47338633,588787017.0000
2019-03-14,sh.600438,12.6000,13.0600,12.3300,12.4900,12.6300,66215452,839899186.0000
2019-03-15,sh.600438,12.7100,12.9500,12.6100,12.8000,12.4900,58646843,751540747.0000
2019-03-18,sh.600438,12.7400,12.7700,12.1900,12.5500,12.8000,44572633,554268362.0000
2019-03-19,sh.600438,12.5400,12.5500,12.2800,12.3500,12.5500,32127096,398026896.0000
2019-03-20,sh.600438,12.3300,12.5200,12.0500,12.4100,12.3500,31783556,389963270.0000
2019-03-21,sh.600438,12.4100,12.4800,12.1900,12.2500,12.4100,25435158,312249832.0000
2019-03-22,sh.600438,12.1900,12.2300,11.6200,11.8100,12.2500,51762177,612607230.0000
2019-03-25,sh.600438,11.6700,11.9900,11.4500,11.4900,11.8100,39645983,464125761.0000
2019-03-26,sh.600438,11.7500,11.7500,11.2100,11.2500,11.4900,28881314,329819911.0000
2019-03-27,sh.600438,11.3700,11.4800,11.1000,11.3300,11.2500,22490467,254418145.0000
2019-03-28,sh.600438,11.3100,11.7100,11.2000,11.5000,11.3300,27871267,321711427.0000
2019-03-29,sh.600438,11.5800,12.2000,11.5000,12.1600,11.5000,50941452,609056313.0000
2019-04-01,sh.600438,12.1600,13.3800,12.1600,13.3800,12.1600,81650308,1062220189.0000
2019-04-02,sh.600438,13.8600,14.1200,13.4800,13.8100,13.3800,78088514,1081773024.0000
2019-04-03,sh.600438,13.8100,13.9000,13.6000,13.8100,13.8100,36760802,505074969.0000
2019-04-04,sh.600438,13.8200,13.9500,13.3100,13.3600,13.8100,45844995,618627271.0000
2019-04-08,sh.600438,13.4500,13.8000,13.0500,13.3000,13.3600,39549601,530222637.0000
2019-04-09,sh.600438,13.0200,13.3000,12.9500,13.0300,13.3000,29719371,389113023.0000
2019-04-10,sh.600438,13.1000,13.4500,12.9700,13.2300,13.0300,33574430,442851817.0000
2019-04-11,sh.600438,13.4000,13.4700,12.1000,12.7000,13.2300,62316888,791504386.0000
2019-04-12,sh.600438,12.5600,12.9000,12.4200,12.5600,12.7000,33052204,417083215.0000
2019-04-15,sh.600438,12.4600,13.1200,12.4600,12.6000,12.5600,35263604,452705595.0000
2019-04-16,sh.600438,12.6300,12.9400,12.2600,12.8400,12.6000,26377176,333312868.0000
2019-04-17,sh.600438,12.9800,13.9300,12.9000,13.8300,12.8400,58387749,793441235.0000
2019-04-18,sh.600438,13.8800,14.8500,13.5700,14.3000,13.8300,69423270,995392144.0000
2019-04-19,sh.600438,14.3100,14.7500,14.0500,14.6000,14.3000,43699621,632788486.0000
2019-04-22,sh.600438,14.7900,15.6500,14.6700,14.8800,14.6000,50676923,771988879.0000
2019-04-23,sh.600438,15.0000,15.3200,14.4900,14.5400,14.8800,47651285,703821076.0000
