date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600459,11.1400,11.4400,11.0200,11.3300,11.0800,5790451,65368351.0000
2019-01-03,sh.600459,11.3400,11.8300,11.2600,11.7100,11.3300,9424765,109072052.0000
2019-01-04,sh.600459,11.6400,11.9900,11.4800,11.9800,11.7100,10365310,121980886.0000
2019-01-07,sh.600459,12.0900,12.3600,11.8800,12.2400,11.9800,10641321,128841792.0000
2019-01-08,sh.600459,12.2800,12.3500,11.9100,12.0500,12.2400,7925713,95133668.0000
2019-01-09,sh.600459,12.3200,12.7400,12.3200,12.3300,12.0500,15855288,197935600.0000
2019-01-10,sh.600459,12.3000,12.5900,12.0700,12.3300,12.3300,10490603,129431720.0000
2019-01-11,sh.600459,12.2200,13.5600,12.1800,13.2900,12.3300,26951250,352431818.0000
2019-01-14,sh.600459,13.5000,14.6000,13.4000,13.8300,13.2900,32255348,449669290.0000
2019-01-15,sh.600459,13.6500,13.7700,13.3800,13.5200,13.8300,18742921,254009682.0000
2019-01-16,sh.600459,13.4900,13.9400,13.2600,13.3800,13.5200,16782774,228389640.0000
2019-01-17,sh.600459,13.5300,14.1400,13.4100,13.6500,13.3800,19718569,270654706.0000
2019-01-18,sh.600459,13.7000,14.6000,13.2600,13.8600,13.6500,24429813,340092053.0000
2019-01-21,sh.600459,13.7700,14.9800,13.7200,14.8300,13.8600,27628042,398004786.0000
2019-01-22,sh.600459,14.5800,14.6700,14.0800,14.3300,14.8300,20455417,294095726.0000
2019-01-23,sh.600459,14.3000,15.0700,14.1200,14.5300,14.3300,22442471,328688494.0000
2019-01-24,sh.600459,14.4900,14.4900,14.0700,14.0900,14.5300,16394993,233027552.0000
2019-01-25,sh.600459,13.9900,14.5000,13.8000,14.1200,14.0900,16412137,232631532.0000
2019-01-28,sh.600459,14.1200,14.2800,13.6900,13.8700,14.1200,12317394,171785849.0000
2019-01-29,sh.600459,13.7400,14.0400,13.2500,13.8600,13.8700,12961829,177449893.0000
2019-01-30,sh.600459,13.6600,13.9200,13.3000,13.3000,13.8600,10773247,146178467.0000
2019-01-31,sh.600459,13.3000,14.1300,13.3000,13.8300,13.3000,16403741,226899055.0000
2019-02-01,sh.600459,13.9700,14.2800,13.7900,14.0400,13.8300,12617121,177020538.0000
2019-02-11,sh.600459,14.1500,14.5900,13.9600,14.5800,14.0400,15356961,220050260.0000
2019-02-12,sh.600459,14.4400,14.6000,14.2600,14.6000,14.5800,12468866,180115791.0000
2019-02-13,sh.600459,14.6300,15.2800,14.4100,14.8400,14.6000,20317931,303038488.0000
2019-02-14,sh.600459,14.7100,15.0400,14.6400,14.7700,14.8400,12015832,177986457.0000
2019-02-15,sh.600459,14.6600,15.0000,14.3900,14.3900,14.7700,12679118,186340333.0000
2019-02-18,sh.600459,14.0600,14.4400,13.5000,14.4200,14.3900,35332286,495413139.0000
2019-02-19,sh.600459,14.1900,14.4200,13.9600,14.1400,14.4200,24474418,347062906.0000
2019-02-20,sh.600459,14.3900,15.0600,14.1100,14.4900,14.1400,35939470,525440166.0000
2019-02-21,sh.600459,14.4900,14.4900,14.4900,14.4900,14.4900,0,0.0000
2019-02-22,sh.600459,14.4900,14.4900,14.4900,14.4900,14.4900,0,0.0000
2019-02-25,sh.600459,14.4900,14.4900,14.4900,14.4900,14.4900,0,0.0000
2019-02-26,sh.600459,14.4900,14.4900,14.4900,14.4900,14.4900,0,0.0000
2019-02-27,sh.600459,14.4900,14.4900,14.4900,14.4900,14.4900,0,0.0000
2019-02-28,sh.600459,14.4900,14.4900,14.4900,14.4900,14.4900,0,0.0000
2019-03-01,sh.600459,14.8900,14.8900,14.8900,14.8900,13.5400,4728016,70400158.0000
2019-03-04,sh.600459,15.2000,16.3700,14.8100,15.6300,14.8900,42957388,668158322.0000
2019-03-05,sh.600459,15.3100,15.6900,15.1200,15.6800,15.6300,24107304,370823529.0000
2019-03-06,sh.600459,15.6200,15.8000,15.3200,15.6200,15.6800,22341632,347082354.0000
2019-03-07,sh.600459,15.3200,16.6200,15.1500,16.5800,15.6200,37016440,588894501.0000
2019-03-08,sh.600459,15.9600,16.3000,15.4900,15.5000,16.5800,24633731,391127485.0000
2019-03-11,sh.600459,15.5100,15.8900,15.1800,15.8300,15.5000,17047857,265624708.0000
2019-03-12,sh.600459,15.5500,16.2500,15.5200,15.9300,15.8300,31566094,498994559.0000
2019-03-13,sh.600459,15.9100,15.9200,15.0300,15.1100,15.9300,24665960,383265843.0000
2019-03-14,sh.600459,15.0900,15.6000,14.6000,14.8100,15.1100,19369744,291966082.0000
