date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600460,8.1400,8.1800,8.0800,8.1200,8.1200,6863387,55820032.0000
2019-01-03,sh.600460,8.1200,8.2000,8.0500,8.1300,8.1200,9087901,73894927.0000
2019-01-04,sh.600460,8.0500,8.3400,7.9700,8.3400,8.1300,18060406,148636954.0000
2019-01-07,sh.600460,8.3400,8.6000,8.2800,8.5500,8.3400,22791901,193139712.0000
2019-01-08,sh.600460,8.5000,8.5200,8.3400,8.4000,8.5500,15181853,127787552.0000
2019-01-09,sh.600460,8.4300,9.2400,8.3700,9.2400,8.4000,73427340,664895230.0000
2019-01-10,sh.600460,9.1000,9.4700,9.0600,9.1000,9.2400,76368904,707613184.0000
2019-01-11,sh.600460,9.0500,9.1400,8.8700,8.9500,9.1000,39546160,354930587.0000
2019-01-14,sh.600460,8.8800,8.9500,8.7200,8.8500,8.9500,27570930,242463164.0000
2019-01-15,sh.600460,8.8000,9.1600,8.8000,9.1200,8.8500,42541751,384287720.0000
2019-01-16,sh.600460,9.0600,9.2300,8.9200,8.9600,9.1200,30280447,274684500.0000
2019-01-17,sh.600460,8.9100,9.1100,8.8500,8.8800,8.9600,20445666,183534826.0000
2019-01-18,sh.600460,9.0000,9.3900,8.8900,9.1100,8.8800,40284232,367514534.0000
2019-01-21,sh.600460,9.1200,9.3500,8.9800,9.2400,9.1100,41188639,378144493.0000
2019-01-22,sh.600460,9.1500,9.1700,8.9000,8.9800,9.2400,24677209,223314765.0000
2019-01-23,sh.600460,8.9000,8.9900,8.8200,8.9000,8.9800,16463170,146449753.0000
2019-01-24,sh.600460,8.8800,9.7900,8.8800,9.7900,8.9000,70118470,666354044.0000
2019-01-25,sh.600460,10.0000,10.5500,9.7300,10.0000,9.7900,135456952,1374418298.0000
2019-01-28,sh.600460,10.0500,10.6800,9.8400,10.3100,10.0000,95399292,981010738.0000
2019-01-29,sh.600460,10.1400,10.3800,9.9000,10.1400,10.3100,72154000,731874086.0000
2019-01-30,sh.600460,10.0300,10.3500,9.7700,9.9300,10.1400,54091636,542651617.0000
2019-01-31,sh.600460,10.0500,10.1800,9.7000,9.8600,9.9300,49845925,496957904.0000
2019-02-01,sh.600460,9.9600,10.5600,9.8500,10.4700,9.8600,71107555,733287705.0000
2019-02-11,sh.600460,10.3200,10.8400,10.3000,10.7900,10.4700,70740401,746955159.0000
2019-02-12,sh.600460,10.6000,10.8600,10.4700,10.6300,10.7900,70038206,745635504.0000
2019-02-13,sh.600460,10.6700,11.2800,10.5900,11.0200,10.6300,88739166,977226763.0000
2019-02-14,sh.600460,10.9000,11.0800,10.8000,10.9900,11.0200,59034103,645821151.0000
2019-02-15,sh.600460,10.9400,11.3200,10.8800,10.8800,10.9900,61617189,682984831.0000
2019-02-18,sh.600460,10.9300,11.3800,10.7300,11.2700,10.8800,81689467,909509485.0000
2019-02-19,sh.600460,11.2400,11.3700,10.9200,11.0500,11.2700,71220289,795538289.0000
2019-02-20,sh.600460,10.9800,10.9800,10.6600,10.8400,11.0500,53396884,576776925.0000
2019-02-21,sh.600460,10.8000,11.1800,10.6500,10.7400,10.8400,73434251,804041062.0000
2019-02-22,sh.600460,10.6600,11.0500,10.6100,11.0400,10.7400,55117048,599095990.0000
2019-02-25,sh.600460,11.3800,11.8100,11.1100,11.7000,11.0400,100224229,1147830151.0000
2019-02-26,sh.600460,11.7500,11.8800,11.1800,11.3400,11.7000,87707063,1009047621.0000
2019-02-27,sh.600460,11.3000,11.6000,11.0200,11.2000,11.3400,52272762,591609070.0000
2019-02-28,sh.600460,11.2200,11.3400,11.1000,11.2500,11.2000,33629279,377228218.0000
2019-03-01,sh.600460,11.3200,11.3500,10.9600,11.2000,11.2500,36658552,407234103.0000
2019-03-04,sh.600460,11.7700,11.7900,11.3500,11.4700,11.2000,84963843,984232486.0000
2019-03-05,sh.600460,11.3900,12.6200,11.2500,12.6200,11.4700,104002998,1259749903.0000
2019-03-06,sh.600460,13.0000,13.1800,12.4600,12.6700,12.6200,129995146,1662042506.0000
2019-03-07,sh.600460,12.4100,13.0500,12.3500,12.7800,12.6700,96793935,1235256161.0000
2019-03-08,sh.600460,12.8300,14.0600,12.8300,14.0600,12.7800,120982258,1669855517.0000
2019-03-11,sh.600460,15.4700,15.4700,14.1100,14.4900,14.0600,213189532,3167992498.0000
2019-03-12,sh.600460,14.6900,15.9400,14.2500,15.9400,14.4900,192026680,2901547198.0000
2019-03-13,sh.600460,16.4000,17.5300,16.1000,16.9300,15.9400,279535344,4768890877.0000
2019-03-14,sh.600460,15.5000,15.9000,15.2400,15.2400,16.9300,90552070,1391123935.0000
2019-03-15,sh.600460,14.9900,15.7900,14.4400,14.7300,15.2400,151011032,2264427638.0000
2019-03-18,sh.600460,14.4900,15.3600,13.9100,15.0900,14.7300,128275899,1889452681.0000
2019-03-19,sh.600460,15.0000,15.9200,14.7700,15.1600,15.0900,118581804,1812035323.0000
2019-03-20,sh.600460,15.0800,15.4000,14.3100,14.8000,15.1600,104573559,1545443068.0000
2019-03-21,sh.600460,14.7600,16.2600,14.6100,15.4800,14.8000,176165273,2730666220.0000
2019-03-22,sh.600460,15.4800,16.2000,15.3200,15.5800,15.4800,126117740,1978931112.0000
2019-03-25,sh.600460,15.0500,17.0800,14.9000,16.5000,15.5800,148520787,2372598001.0000
2019-03-26,sh.600460,16.4000,18.0000,15.9000,16.7400,16.5000,192471893,3254673066.0000
2019-03-27,sh.600460,16.6600,18.4100,16.6300,18.4100,16.7400,156093084,2743566258.0000
2019-03-28,sh.600460,19.5300,20.2500,16.6800,16.7000,18.4100,308273984,5833240990.0000
2019-03-29,sh.600460,16.4300,17.0700,15.5000,16.4100,16.7000,200931810,3250142563.0000
2019-04-01,sh.600460,16.3000,17.7900,16.2000,17.5600,16.4100,174009685,2977306501.0000
2019-04-02,sh.600460,17.5900,18.6000,17.3000,17.4100,17.5600,185769306,3333693616.0000
2019-04-03,sh.600460,16.9900,17.7900,16.8400,17.3500,17.4100,109052130,1880422157.0000
2019-04-04,sh.600460,17.7000,17.8400,17.1600,17.2700,17.3500,92703782,1613911571.0000
2019-04-08,sh.600460,17.1800,17.1900,16.4000,16.6500,17.2700,99252278,1660455900.0000
2019-04-09,sh.600460,16.6200,17.0500,16.3500,16.7100,16.6500,74559162,1246058407.0000
2019-04-10,sh.600460,16.4600,16.9500,16.0100,16.6200,16.7100,89083541,1472924723.0000
2019-04-11,sh.600460,16.7000,16.7000,15.7200,15.7500,16.6200,79408557,1284712826.0000
2019-04-12,sh.600460,15.7000,16.0900,15.7000,15.8900,15.7500,43400261,689186798.0000
2019-04-15,sh.600460,16.1500,16.6400,15.8900,15.9800,15.8900,63266168,1030188963.0000
2019-04-16,sh.600460,15.7600,17.5200,15.6000,17.5200,15.9800,130235404,2177911502.0000
2019-04-17,sh.600460,17.1400,17.7200,16.8800,16.9700,17.5200,108263415,1864576844.0000
2019-04-18,sh.600460,17.0600,17.5700,16.8700,17.1100,16.9700,84389687,1453409107.0000
2019-04-19,sh.600460,16.9300,17.3800,16.6500,17.0100,17.1100,63241035,1076033688.0000
2019-04-22,sh.600460,17.0300,18.2800,16.6900,17.7800,17.0100,151168657,2670189140.0000
2019-04-23,sh.600460,17.5100,17.9500,16.8100,17.1200,17.7800,104038117,1794442356.0000
2019-04-24,sh.600460,16.9100,17.8400,16.5000,17.4000,17.1200,109365800,1872959683.0000
2019-04-25,sh.600460,17.1000,17.2900,15.6600,15.9300,17.4000,94633827,1572492375.0000
2019-04-26,sh.600460,15.7900,16.2800,15.7000,15.7900,15.9300,52594142,842779361.0000
2019-04-29,sh.600460,15.7300,15.9400,14.3500,14.4800,15.7900,75747290,1123896539.0000
2019-04-30,sh.600460,14.3900,14.7400,13.8500,14.5600,14.4800,60183840,865051632.0000
2019-05-06,sh.600460,13.8600,14.1000,13.1000,13.1000,14.5600,57934061,779889114.0000
2019-05-07,sh.600460,13.1900,13.4500,12.6600,13.4500,13.1000,63953177,838090727.0000
2019-05-08,sh.600460,13.0100,14.5500,12.8800,13.8000,13.4500,90653493,1258935517.0000
2019-05-09,sh.600460,13.9200,14.3600,13.8000,13.8000,13.8000,72616741,1023499317.0000
2019-05-10,sh.600460,13.9000,15.1800,13.6100,15.1800,13.8000,81537344,1180518644.0000
2019-05-13,sh.600460,15.5000,16.3900,15.3000,15.8700,15.1800,144787767,2299829967.0000
2019-05-14,sh.600460,15.7100,16.6500,15.5900,16.0800,15.8700,124570854,2000615955.0000
2019-05-15,sh.600460,16.1700,16.4200,15.7500,16.2900,16.0800,100559853,1622174336.0000
2019-05-16,sh.600460,16.0200,16.4500,15.8500,16.0500,16.2900,79308691,1274963859.0000
2019-05-17,sh.600460,16.7200,17.3000,16.2200,16.3700,16.0500,154125765,2592560190.0000
2019-05-20,sh.600460,17.1700,17.8700,16.8100,17.1700,16.3700,156928984,2714823738.0000
2019-05-21,sh.600460,16.5500,16.9700,16.0200,16.6500,17.1700,118443060,1958095569.0000
2019-05-22,sh.600460,16.6400,17.4000,16.5300,17.3300,16.6500,122102080,2068339368.0000
2019-05-23,sh.600460,17.2000,17.8400,16.8500,16.9300,17.3300,137264603,2378269644.0000
2019-05-24,sh.600460,16.5600,16.8000,15.7000,15.7800,16.9300,98464359,1593028841.0000
2019-05-27,sh.600460,15.6300,17.3600,15.6300,17.3600,15.7800,120995131,2044790696.0000
2019-05-28,sh.600460,17.8000,17.8700,17.0400,17.4400,17.3600,162459798,2831231762.0000
2019-05-29,sh.600460,17.2000,18.2800,17.1300,17.9000,17.4400,159221508,2823090369.0000
2019-05-30,sh.600460,17.5100,17.5100,16.5000,17.1800,17.9000,110669131,1890032933.0000
2019-05-31,sh.600460,17.0600,17.6600,16.8900,17.1500,17.1800,81069272,1402603624.0000
2019-06-03,sh.600460,17.3400,17.5000,16.6000,16.9700,17.1500,74335435,1263199203.0000
2019-06-04,sh.600460,16.8000,17.1800,16.4100,16.5600,16.9700,66686147,1116112128.0000
2019-06-05,sh.600460,16.8200,16.9700,16.2200,16.2200,16.5600,57617611,954786172.0000
2019-06-06,sh.600460,16.1700,16.1800,15.4800,15.5600,16.2200,60646378,955850936.0000
2019-06-10,sh.600460,15.7000,15.9300,15.5100,15.7500,15.5600,42033411,661050606.0000
