date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600516,16.7500,16.9900,16.6600,16.9500,16.7100,16560541,278302086.0000
2019-01-03,sh.600516,16.9500,16.9900,16.6300,16.6600,16.9500,15336898,257776239.0000
2019-01-04,sh.600516,16.5000,17.2000,16.3700,17.0900,16.6600,26603698,450245830.0000
2019-01-07,sh.600516,17.1900,17.3400,17.0200,17.2700,17.0900,25168157,431852329.0000
2019-01-08,sh.600516,17.2700,17.2700,17.0500,17.0900,17.2700,15965528,273083427.0000
2019-01-09,sh.600516,17.1700,17.5100,17.0800,17.1700,17.0900,31026437,537061699.0000
2019-01-10,sh.600516,17.1700,17.1900,16.9900,16.9900,17.1700,18538837,316515734.0000
2019-01-11,sh.600516,16.9300,17.0800,16.9200,17.0300,16.9900,14492783,246465237.0000
2019-01-14,sh.600516,17.0300,17.0300,16.8500,16.8500,17.0300,13120484,222139703.0000
2019-01-15,sh.600516,16.8500,17.1000,16.7100,17.0500,16.8500,21270659,359994719.0000
2019-01-16,sh.600516,17.0800,17.3000,17.0100,17.1200,17.0500,21709895,372347960.0000
2019-01-17,sh.600516,17.1300,17.2000,16.9300,16.9400,17.1200,15125558,257450398.0000
2019-01-18,sh.600516,17.1000,18.6300,17.0500,18.5500,16.9400,112685082,2037192453.0000
2019-01-21,sh.600516,18.6000,19.9800,18.3700,19.4700,18.5500,118563159,2251581265.0000
2019-01-22,sh.600516,18.9900,19.3700,18.8000,18.8100,19.4700,69975478,1331542136.0000
2019-01-23,sh.600516,18.7200,19.6500,18.7100,19.3000,18.8100,72433539,1397561751.0000
2019-01-24,sh.600516,19.1700,19.5500,19.0500,19.1500,19.3000,46295140,891495143.0000
2019-01-25,sh.600516,19.1200,19.4500,18.7200,19.3600,19.1500,55865350,1064929477.0000
2019-01-28,sh.600516,19.4000,19.4800,18.8500,18.9200,19.3600,37193046,711564466.0000
2019-01-29,sh.600516,18.9100,19.3500,18.8000,19.0400,18.9200,37517420,716591009.0000
2019-01-30,sh.600516,19.0500,19.3600,18.9000,19.0200,19.0400,33431613,640321034.0000
2019-01-31,sh.600516,18.9000,19.0400,18.0500,18.3000,19.0200,52306946,963088870.0000
2019-02-01,sh.600516,18.4900,18.7600,18.3300,18.6900,18.3000,29766085,553912390.0000
2019-02-11,sh.600516,18.8500,19.3400,18.8100,19.2500,18.6900,39159549,747823777.0000
2019-02-12,sh.600516,19.2400,19.4600,19.0500,19.2700,19.2500,47544968,914632322.0000
2019-02-13,sh.600516,19.3200,20.6600,19.1600,20.1900,19.2700,86642068,1729881990.0000
2019-02-14,sh.600516,20.1400,20.2100,19.8300,20.0200,20.1900,50015457,1000259469.0000
2019-02-15,sh.600516,19.9600,20.5400,19.8600,19.9400,20.0200,53981274,1088220510.0000
2019-02-18,sh.600516,20.1000,20.5500,20.0600,20.4400,19.9400,65016195,1321818839.0000
2019-02-19,sh.600516,20.4400,20.7400,19.9500,20.2900,20.4400,60972215,1240970380.0000
2019-02-20,sh.600516,20.3100,20.4600,20.0100,20.2400,20.2900,38114631,770481287.0000
2019-02-21,sh.600516,20.3000,21.1800,20.2100,20.6000,20.2400,87744457,1810816195.0000
2019-02-22,sh.600516,20.8600,21.1100,20.6500,21.0700,20.6000,76981710,1611433952.0000
2019-02-25,sh.600516,21.2500,22.8900,21.1100,22.5600,21.0700,116478303,2559465243.0000
2019-02-26,sh.600516,22.4800,23.7600,22.0500,22.6400,22.5600,119474301,2748914411.0000
