date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600522,8.1500,8.2700,8.0900,8.2600,8.1500,38570287,315703540.0000
2019-01-03,sh.600522,8.1900,8.2600,7.9400,7.9500,8.2600,46873234,378372937.0000
2019-01-04,sh.600522,7.8500,8.1700,7.7600,8.1700,7.9500,42846615,344667732.0000
2019-01-07,sh.600522,8.2400,8.5600,8.1700,8.4100,8.1700,87606488,734107630.0000
2019-01-08,sh.600522,8.3800,8.4500,8.2600,8.3200,8.4100,49454932,412303559.0000
2019-01-09,sh.600522,8.3300,8.4500,8.2300,8.2600,8.3200,63197656,528733279.0000
2019-01-10,sh.600522,8.2700,8.6800,8.2500,8.4600,8.2600,99324459,841679234.0000
2019-01-11,sh.600522,8.5300,8.6100,8.4000,8.5000,8.4600,71237467,605719436.0000
2019-01-14,sh.600522,8.5000,8.5000,8.2900,8.4100,8.5000,47836932,400235904.0000
2019-01-15,sh.600522,8.3900,8.5300,8.3400,8.5200,8.4100,47195229,399919823.0000
2019-01-16,sh.600522,8.5000,8.5600,8.4100,8.4600,8.5200,35696020,302346845.0000
2019-01-17,sh.600522,8.4600,8.4600,8.3100,8.3300,8.4600,33759090,283062750.0000
2019-01-18,sh.600522,8.3400,8.4100,8.2900,8.4000,8.3300,29480144,246351432.0000
2019-01-21,sh.600522,8.4000,8.5600,8.3700,8.4700,8.4000,33942310,287715311.0000
2019-01-22,sh.600522,8.4300,8.4400,8.2800,8.3300,8.4700,28712841,239747819.0000
2019-01-23,sh.600522,8.3000,8.3600,8.2400,8.3100,8.3300,18605031,154212284.0000
2019-01-24,sh.600522,8.3200,8.4200,8.2600,8.3600,8.3100,24512784,204835296.0000
2019-01-25,sh.600522,8.3500,8.3800,8.2300,8.2500,8.3600,23445298,194505506.0000
2019-01-28,sh.600522,8.3200,8.3300,8.0800,8.0900,8.2500,29425678,240892251.0000
2019-01-29,sh.600522,8.0700,8.1500,7.9200,8.0900,8.0900,26068749,209609052.0000
2019-01-30,sh.600522,8.0500,8.1100,7.8800,7.9000,8.0900,25252679,201830619.0000
2019-01-31,sh.600522,7.9100,8.0300,7.7700,7.8200,7.9000,25464332,201003869.0000
2019-02-01,sh.600522,7.8500,8.0400,7.8400,8.0300,7.8200,23554575,187645593.0000
2019-02-11,sh.600522,8.0600,8.2900,8.0200,8.2800,8.0300,53581931,437357779.0000
2019-02-12,sh.600522,8.2800,8.3400,8.2300,8.3000,8.2800,37768725,312968573.0000
2019-02-13,sh.600522,8.5500,9.1300,8.5200,9.1300,8.3000,142049727,1255651606.0000
2019-02-14,sh.600522,9.3000,9.3100,8.9500,8.9800,9.1300,124297543,1125346513.0000
2019-02-15,sh.600522,8.9900,9.1800,8.9300,8.9900,8.9800,86889031,787921084.0000
2019-02-18,sh.600522,9.1400,9.5900,9.0600,9.5100,8.9900,125861464,1180034628.0000
2019-02-19,sh.600522,9.5400,9.5900,9.3000,9.5400,9.5100,91263410,863825219.0000
2019-02-20,sh.600522,9.4500,9.4800,9.3100,9.4700,9.5400,59787740,562629008.0000
2019-02-21,sh.600522,9.4700,9.9200,9.3800,9.5400,9.4700,139582942,1346673393.0000
2019-02-22,sh.600522,9.5200,9.9800,9.4200,9.9000,9.5400,122098289,1188413850.0000
2019-02-25,sh.600522,10.3000,10.5200,10.0500,10.3000,9.9000,164088588,1688325329.0000
2019-02-26,sh.600522,10.3100,10.4000,9.9900,10.1000,10.3000,131055776,1332049719.0000
2019-02-27,sh.600522,10.0900,10.2100,9.8700,9.9900,10.1000,93387753,938443044.0000
