date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600547,30.0600,30.7100,29.2500,30.5000,30.2500,21445094,643471942.0000
2019-01-03,sh.600547,30.2000,31.1500,30.0300,31.0900,30.5000,19178372,589117059.0000
2019-01-04,sh.600547,31.3700,32.0000,30.7100,31.0400,31.0900,21253255,664308154.0000
2019-01-07,sh.600547,30.4000,31.1600,30.3000,30.9000,31.0400,17509659,536993132.0000
2019-01-08,sh.600547,30.6200,30.8000,29.0100,29.1900,30.9000,29015264,862463117.0000
2019-01-09,sh.600547,29.0000,29.4900,28.9000,29.4900,29.1900,19509809,569361426.0000
2019-01-10,sh.600547,29.5600,30.8200,29.4600,30.4800,29.4900,29037672,878200606.0000
2019-01-11,sh.600547,30.1000,30.8300,30.0800,30.4500,30.4800,15747884,479337321.0000
2019-01-14,sh.600547,30.4000,30.7000,30.0100,30.3300,30.4500,11780235,358079643.0000
2019-01-15,sh.600547,30.3000,30.5600,30.1200,30.4000,30.3300,12245709,371188290.0000
2019-01-16,sh.600547,30.2100,30.4000,29.1900,29.8200,30.4000,23807488,706024786.0000
2019-01-17,sh.600547,29.8000,30.0700,29.3500,29.8000,29.8200,14116842,419842198.0000
2019-01-18,sh.600547,29.5500,29.7500,29.0100,29.5200,29.8000,13140414,386152990.0000
2019-01-21,sh.600547,28.9500,29.6400,28.9100,29.4700,29.5200,14576001,427151962.0000
2019-01-22,sh.600547,29.3300,30.2200,29.2200,29.9000,29.4700,18540299,551773829.0000
2019-01-23,sh.600547,29.9100,30.1100,29.6000,29.8000,29.9000,10511256,313709014.0000
2019-01-24,sh.600547,29.7400,29.8500,29.3000,29.5600,29.8000,10302054,304440196.0000
2019-01-25,sh.600547,29.4400,29.7600,29.3100,29.7600,29.5600,9516218,281483802.0000
2019-01-28,sh.600547,30.6500,31.0900,30.4200,30.7700,29.7600,25679721,790213872.0000
2019-01-29,sh.600547,31.0500,31.3300,30.2800,30.7900,30.7700,21407135,661108188.0000
2019-01-30,sh.600547,31.3000,31.4000,30.7700,31.2500,30.7900,17047802,530490786.0000
2019-01-31,sh.600547,31.3000,31.4900,30.6000,30.6800,31.2500,18542246,576680673.0000
2019-02-01,sh.600547,30.7000,30.9800,30.5800,30.9000,30.6800,12514037,385078361.0000
2019-02-11,sh.600547,30.5000,30.8000,30.0000,30.8000,30.9000,20968901,637712477.0000
2019-02-12,sh.600547,30.5500,31.3800,30.3200,31.3800,30.8000,21614167,667001296.0000
2019-02-13,sh.600547,31.0000,31.6700,30.9100,31.5100,31.3800,21764206,682212458.0000
2019-02-14,sh.600547,31.4000,31.5000,30.9500,31.2000,31.5100,17094020,533385852.0000
2019-02-15,sh.600547,31.2400,31.9800,31.2400,31.5900,31.2000,22267693,705344512.0000
2019-02-18,sh.600547,31.9500,32.3300,31.6800,32.2000,31.5900,20227567,649312078.0000
2019-02-19,sh.600547,32.5000,33.3200,32.1300,32.8100,32.2000,24640908,804565868.0000
2019-02-20,sh.600547,33.6000,34.1500,33.1600,33.3500,32.8100,29278417,985814394.0000
2019-02-21,sh.600547,33.0000,34.3200,32.9000,34.0800,33.3500,26777693,899974374.0000
2019-02-22,sh.600547,33.2100,33.3800,32.8200,33.1300,34.0800,26913738,890077722.0000
2019-02-25,sh.600547,33.0000,34.0900,32.8800,33.9900,33.1300,32202337,1085902367.0000
2019-02-26,sh.600547,33.6200,34.8300,33.1500,33.2100,33.9900,36533491,1241390927.0000
2019-02-27,sh.600547,33.0500,33.4900,32.6100,32.9400,33.2100,29794194,984607022.0000
2019-02-28,sh.600547,32.3900,32.7500,31.8100,32.6000,32.9400,33806853,1089957031.0000
2019-03-01,sh.600547,32.1700,32.6000,32.0500,32.4300,32.6000,22366010,723007847.0000
2019-03-04,sh.600547,31.8000,32.9700,31.7000,32.9500,32.4300,49414678,1597140255.0000
2019-03-05,sh.600547,32.4300,32.6000,32.1500,32.4300,32.9500,32020679,1036470589.0000
2019-03-06,sh.600547,32.3900,33.4600,32.2600,33.0300,32.4300,46964994,1545282871.0000
2019-03-07,sh.600547,32.8600,33.4500,32.5500,32.7500,33.0300,40294666,1325566061.0000
2019-03-08,sh.600547,32.8100,33.1900,31.9000,31.9000,32.7500,39672368,1283965238.0000
2019-03-11,sh.600547,32.1000,32.2000,31.5800,31.9900,31.9000,28403324,907191131.0000
2019-03-12,sh.600547,31.7500,32.5200,31.7000,32.2000,31.9900,30241914,970722683.0000
2019-03-13,sh.600547,32.3800,32.6800,32.0300,32.2000,32.2000,27513446,889997216.0000
