date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600549,12.1500,12.1700,11.8400,11.8400,12.0800,6356928,75847592.0000
2019-01-03,sh.600549,11.8200,12.0100,11.8200,11.9000,11.8400,3422222,40779397.0000
2019-01-04,sh.600549,11.8100,12.3800,11.6800,12.2900,11.9000,7019091,84663729.0000
2019-01-07,sh.600549,12.3600,12.5700,12.2600,12.5000,12.2900,8376743,103897404.0000
2019-01-08,sh.600549,12.4200,12.5200,12.3000,12.3200,12.5000,4882979,60495811.0000
2019-01-09,sh.600549,12.4100,12.4800,12.3000,12.3100,12.3200,4919203,61038927.0000
2019-01-10,sh.600549,12.2800,12.3600,12.1600,12.1800,12.3100,4499592,55113096.0000
2019-01-11,sh.600549,12.1800,12.3200,12.1500,12.2600,12.1800,3973361,48675727.0000
2019-01-14,sh.600549,12.3200,12.4800,12.2700,12.3600,12.2600,5905227,73180541.0000
2019-01-15,sh.600549,12.3500,12.4200,12.2600,12.4200,12.3600,4780174,59032226.0000
2019-01-16,sh.600549,12.4000,12.4100,12.2100,12.2700,12.4200,4781438,58845422.0000
2019-01-17,sh.600549,12.2900,12.4300,12.1500,12.2500,12.2700,5465343,67189913.0000
2019-01-18,sh.600549,12.2100,12.4800,12.1600,12.4400,12.2500,9401571,116542137.0000
2019-01-21,sh.600549,12.4400,12.5000,12.3400,12.3700,12.4400,6978427,86543040.0000
2019-01-22,sh.600549,12.3800,12.4300,12.1200,12.2300,12.3700,6381856,78220439.0000
2019-01-23,sh.600549,12.1500,12.3900,12.1200,12.3200,12.2300,4919884,60407017.0000
2019-01-24,sh.600549,12.2900,12.3100,12.1200,12.2300,12.3200,4116193,50363379.0000
2019-01-25,sh.600549,12.2400,12.2900,12.1700,12.2000,12.2300,3311842,40498868.0000
2019-01-28,sh.600549,12.2800,12.2900,12.1300,12.1400,12.2000,3980620,48530165.0000
2019-01-29,sh.600549,12.0800,12.1000,11.7500,11.9600,12.1400,5231142,62409114.0000
2019-01-30,sh.600549,11.9400,12.0500,11.8400,11.8800,11.9600,2675811,31953456.0000
2019-01-31,sh.600549,11.8800,12.0300,11.7500,11.7800,11.8800,4500396,53425982.0000
2019-02-01,sh.600549,11.8700,12.0800,11.8400,12.0700,11.7800,4045500,48411157.0000
2019-02-11,sh.600549,12.0800,12.5000,12.0700,12.4500,12.0700,8917877,110091882.0000
2019-02-12,sh.600549,12.4500,12.5500,12.4000,12.4900,12.4500,7641854,95346928.0000
2019-02-13,sh.600549,12.5000,12.7800,12.4600,12.7200,12.4900,12568327,159268265.0000
2019-02-14,sh.600549,12.6400,12.7900,12.6200,12.7200,12.7200,7711408,98049460.0000
2019-02-15,sh.600549,12.6600,12.8300,12.6100,12.6700,12.7200,8023757,102010375.0000
2019-02-18,sh.600549,12.7000,13.0300,12.6700,13.0300,12.6700,12906895,166280703.0000
2019-02-19,sh.600549,13.0400,13.0800,12.8200,12.9500,13.0300,10636680,137808141.0000
2019-02-20,sh.600549,13.0100,13.4300,12.9600,13.1000,12.9500,16755986,221184296.0000
2019-02-21,sh.600549,13.1300,13.2400,12.9300,13.0000,13.1000,14177532,185696981.0000
2019-02-22,sh.600549,12.9100,13.2000,12.8600,13.1900,13.0000,12166025,158872222.0000
2019-02-25,sh.600549,13.1200,14.5000,13.1200,14.5000,13.1900,42880047,599090741.0000
2019-02-26,sh.600549,14.5000,15.2500,14.1700,14.5600,14.5000,53305681,786757837.0000
2019-02-27,sh.600549,14.4600,14.7800,14.1000,14.3400,14.5600,26841901,387937564.0000
2019-02-28,sh.600549,14.3900,14.4900,14.1900,14.2800,14.3400,13461117,192402762.0000
2019-03-01,sh.600549,14.3900,14.4300,14.0800,14.2900,14.2800,13023220,185277731.0000
2019-03-04,sh.600549,14.4200,14.7300,14.3000,14.4400,14.2900,30655585,446036793.0000
2019-03-05,sh.600549,14.4200,14.7900,14.3100,14.7100,14.4400,23295684,339371493.0000
2019-03-06,sh.600549,14.9500,15.4500,14.9100,15.2300,14.7100,46132036,700641067.0000
2019-03-07,sh.600549,15.1400,16.2400,14.9900,15.7400,15.2300,50206956,788362917.0000
2019-03-08,sh.600549,15.1100,15.4400,14.3100,14.5000,15.7400,40399503,606614664.0000
2019-03-11,sh.600549,14.4500,14.9600,14.4500,14.9600,14.5000,21717298,321907073.0000
2019-03-12,sh.600549,15.1000,15.4000,15.0300,15.2700,14.9600,32172979,490970191.0000
2019-03-13,sh.600549,15.2900,15.5200,15.0400,15.1400,15.2700,27784477,424852396.0000
2019-03-14,sh.600549,15.1400,15.4900,14.6000,14.8600,15.1400,28288632,426743035.0000
2019-03-15,sh.600549,14.9900,15.2200,14.8300,15.2200,14.8600,21624507,325116528.0000
2019-03-18,sh.600549,15.9300,16.4000,15.5000,15.6900,15.2200,40898367,647615927.0000
2019-03-19,sh.600549,15.4000,16.1600,15.3100,16.1100,15.6900,40452102,639363073.0000
2019-03-20,sh.600549,15.9100,16.1000,15.4800,15.7400,16.1100,27720934,435549808.0000
2019-03-21,sh.600549,15.9000,16.0800,15.6200,15.7500,15.7400,27187302,431374510.0000
2019-03-22,sh.600549,15.6000,15.9000,15.5200,15.7000,15.7500,18087034,283469558.0000
2019-03-25,sh.600549,15.3600,15.4900,15.1200,15.2000,15.7000,28636713,437086143.0000
2019-03-26,sh.600549,15.2900,15.3800,14.7100,14.8000,15.2000,19068692,285488637.0000
2019-03-27,sh.600549,14.9400,14.9800,14.6000,14.7500,14.8000,10936586,161250002.0000
2019-03-28,sh.600549,14.6600,14.8200,14.5200,14.6300,14.7500,9539273,140274796.0000
2019-03-29,sh.600549,14.6600,15.1000,14.5800,15.0800,14.6300,14847552,221779753.0000
2019-04-01,sh.600549,15.2100,15.8000,15.2000,15.5800,15.0800,32976905,513127383.0000
2019-04-02,sh.600549,15.6000,16.1500,15.4000,15.8700,15.5800,38105055,598946336.0000
2019-04-03,sh.600549,15.7000,15.8200,15.5400,15.7000,15.8700,20771252,325583819.0000
2019-04-04,sh.600549,15.7500,15.9400,15.5000,15.7600,15.7000,25056918,394859046.0000
2019-04-08,sh.600549,15.9600,16.1400,15.6000,15.8700,15.7600,31028267,492752562.0000
2019-04-09,sh.600549,15.8000,15.8300,15.4400,15.5500,15.8700,15959739,248864278.0000
2019-04-10,sh.600549,15.5000,15.5900,15.2100,15.4400,15.5500,14464425,222162617.0000
2019-04-11,sh.600549,15.4100,15.5600,15.1300,15.1500,15.4400,13047320,199927479.0000
2019-04-12,sh.600549,15.1400,15.2500,15.0300,15.1700,15.1500,8693182,131640673.0000
2019-04-15,sh.600549,15.3100,15.4600,15.0000,15.0200,15.1700,14309999,218435803.0000
2019-04-16,sh.600549,14.9300,15.4200,14.8000,15.3400,15.0200,16286226,248093656.0000
2019-04-17,sh.600549,15.3100,15.4900,15.2500,15.3200,15.3400,15736105,241599729.0000
2019-04-18,sh.600549,15.3200,15.5600,15.2000,15.2400,15.3200,12056535,185476124.0000
2019-04-19,sh.600549,15.2000,15.4500,15.0300,15.4000,15.2400,16237725,247969884.0000
2019-04-22,sh.600549,15.3500,15.3600,14.8800,14.9200,15.4000,18314251,275823384.0000
2019-04-23,sh.600549,14.8800,15.1200,14.6000,14.7700,14.9200,14070652,208325302.0000
2019-04-24,sh.600549,14.8000,14.8800,14.5500,14.7100,14.7700,8704660,127756074.0000
2019-04-25,sh.600549,14.6000,14.8800,14.1100,14.1500,14.7100,16286872,235895919.0000
2019-04-26,sh.600549,14.1100,14.1900,13.8300,13.8500,14.1500,10176989,141948897.0000
2019-04-29,sh.600549,13.8900,13.9500,13.2400,13.3200,13.8500,11244800,151579250.0000
2019-04-30,sh.600549,13.4200,13.5400,13.3000,13.3700,13.3200,7014949,94281579.0000
2019-05-06,sh.600549,13.0000,13.0000,12.1500,12.4000,13.3700,15282028,191723432.0000
2019-05-07,sh.600549,12.4500,12.6700,12.4000,12.5900,12.4000,8045043,100916210.0000
2019-05-08,sh.600549,12.3800,12.7500,12.2500,12.6000,12.5900,6537802,82377791.0000
2019-05-09,sh.600549,12.4000,12.9000,12.4000,12.5700,12.6000,7235166,91413403.0000
2019-05-10,sh.600549,12.7000,12.9000,12.3700,12.8600,12.5700,10382333,132400704.0000
2019-05-13,sh.600549,12.7200,12.8000,12.6300,12.6800,12.8600,4715089,59960225.0000
2019-05-14,sh.600549,12.7800,13.2500,12.7800,12.8100,12.6800,8540804,110390437.0000
2019-05-15,sh.600549,12.9000,13.0500,12.8500,12.9700,12.8100,7713565,99937719.0000
2019-05-16,sh.600549,13.1000,14.2700,13.0500,14.2700,12.9700,57820452,813802859.0000
