date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600580,6.3300,6.3900,6.2700,6.3200,6.3000,4102508,26011949.0000
2019-01-03,sh.600580,6.3300,6.4300,6.2900,6.3300,6.3200,2953100,18800898.0000
2019-01-04,sh.600580,6.2700,6.5400,6.2600,6.5000,6.3300,6082407,39268083.0000
2019-01-07,sh.600580,6.5200,6.8000,6.4900,6.7300,6.5000,9967970,66628198.0000
2019-01-08,sh.600580,6.7000,6.8300,6.6700,6.7500,6.7300,8397069,56708983.0000
2019-01-09,sh.600580,6.7600,6.8400,6.7000,6.7000,6.7500,6698064,45362717.0000
2019-01-10,sh.600580,6.7000,6.8800,6.7000,6.7900,6.7000,7377505,50250851.0000
2019-01-11,sh.600580,6.7900,6.8500,6.7300,6.8100,6.7900,3772205,25633675.0000
2019-01-14,sh.600580,6.8600,6.8900,6.7600,6.7800,6.8100,4181409,28438616.0000
2019-01-15,sh.600580,6.7800,6.8600,6.7100,6.8500,6.7800,4116687,27957118.0000
2019-01-16,sh.600580,6.8200,6.8800,6.7400,6.7700,6.8500,3525342,23996980.0000
2019-01-17,sh.600580,6.7600,6.8200,6.6900,6.7100,6.7700,3373418,22767046.0000
2019-01-18,sh.600580,6.7100,6.8400,6.7100,6.8200,6.7100,3610466,24433355.0000
2019-01-21,sh.600580,6.8400,6.8400,6.7400,6.7800,6.8200,4885183,33156311.0000
2019-01-22,sh.600580,6.7800,6.8200,6.7300,6.7500,6.7800,4718523,31995402.0000
2019-01-23,sh.600580,6.7300,6.8100,6.7000,6.7900,6.7500,3406824,22988077.0000
2019-01-24,sh.600580,6.8000,6.8500,6.6900,6.7600,6.7900,5388043,36496034.0000
2019-01-25,sh.600580,6.7500,6.8200,6.7200,6.7400,6.7600,4605725,31224080.0000
2019-01-28,sh.600580,6.7800,6.9100,6.7600,6.7800,6.7400,5287652,36115019.0000
2019-01-29,sh.600580,6.7400,6.7600,6.4900,6.5800,6.7800,6692764,44157543.0000
2019-01-30,sh.600580,6.5800,6.6400,6.4800,6.4900,6.5800,4285435,28139016.0000
2019-01-31,sh.600580,6.5500,6.6200,6.3000,6.4300,6.4900,5360013,34594070.0000
2019-02-01,sh.600580,6.4100,6.7300,6.4100,6.7200,6.4300,7104610,47167142.0000
2019-02-11,sh.600580,6.7200,6.9400,6.6900,6.9100,6.7200,5966154,40931541.0000
2019-02-12,sh.600580,6.9600,7.0700,6.8500,6.9800,6.9100,7211480,50438485.0000
